eid,category,shape,shape_type,size,sentence,sentence_1,sentence_2,sentence_3,sentence_4,sentence_5,raw_response,raw_response_1,raw_response_2,raw_response_3,raw_response_4,raw_response_5
Id0,geography,,,1,FI,FI,CFA,CFA,CFA,FI,,,,,,
Id1,geography,,,1,FI,FI,CFA,CFA,FI,FI,,,,,,
Id2,history,,,1,CFA,CFA,CFA,FA,CFA,CFA,,,,,,
Id3,geography,,,3,CFA,CFA,CFA,CFA,FA,CFA,,,,,,
Id4,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id5,politics,,,2,FA,FA,FA,CFA,FA,CFA,,,,,,
Id6,culture,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id8,geography,,,3,FA,FA,CFA,FA,FA,FA,,,,,,
Id9,geography,,,1,CFA,CFA,CFA,CFA,CFA,FA,,,,,,
Id10,geography,,,2,FA,FA,FA,FA,CFA,FA,,,,,,
Id11,culture,,,1,CFA,CFA,FA,CFA,FA,CFA,,,,,,
Id12,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id14,geography,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id16,sports,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id18,politics,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id19,history,,,2,CFA,CFA,FI,CFA,CFA,CFA,,,,,,
Id20,geography,,,2,FI,FI,FI,FA,CFA,CFA,,,,,,
Id21,geography,,,1,FA,FA,CFA,CFA,FA,FA,,,,,,
Id22,culture,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id24,politics,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id26,politics,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id27,history,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id28,history,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id29,history,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id31,politics,,,2,CFA,CFA,FA,CFA,FA,CFA,,,,,,
Id32,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id34,culture,,,3,FI,FI,CFA,CFA,FI,FI,,,,,,
Id35,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id37,culture,,,1,CFA,CFA,CFA,CFA,CFA,FA,,,,,,
Id38,geography,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id39,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id40,geography,,,1,CFA,CFA,FA,FA,CFA,FA,,,,,,
Id41,culture,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id42,other,,,1,FI,FI,FA,FI,FI,FA,,,,,,
Id43,politics,,,3,CFA,CFA,CFA,FI,FI,FI,,,,,,
Id45,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id46,politics,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id47,geography,,,2,FA,FA,FA,FA,FI,FI,,,,,,
Id48,sports,,,1,FA,FA,CFA,CFA,CFA,FA,,,,,,
Id49,geography,,,1,FI,FI,FI,CFA,CFA,FI,,,,,,
Id50,history,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id51,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id52,geography,,,1,FA,FA,FI,FA,FI,FI,,,,,,
Id53,history,,,2,FI,FI,FI,FI,FI,FI,,,,,,
Id54,geography,,,2,FI,FI,FI,CFA,FI,CFA,,,,,,
Id55,culture,,,3,CFA,CFA,FI,CFA,CFA,FI,,,,,,
Id56,culture,,,4,CFA,CFA,FA,CFA,FA,CFA,,,,,,
Id57,culture,,,5,FA,FA,CFA,CFA,CFA,CFA,,,,,,
Id58,history,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id59,culture,,,6,FA,FA,FA,CFA,CFA,CFA,,,,,,
Id60,culture,,,5,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id61,history,,,6,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id62,culture,,,4,FA,FA,FA,FA,FA,FA,,,,,,
Id63,culture,,,8,CFA,CFA,CFA,FA,CFA,FA,,,,,,
Id64,geography,,,7,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id65,other,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id66,geography,,,4,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id67,culture,,,4,FI,FI,FI,FI,FI,CFA,,,,,,
Id68,culture,,,5,CFA,CFA,FA,FA,FA,FA,,,,,,
Id69,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id70,sports,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id72,politics,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id73,history,,,2,CFA,CFA,CFA,CFA,FA,FA,,,,,,
Id75,geography,,,2,CFA,CFA,FA,CFA,FA,FA,,,,,,
Id76,geography,,,1,FI,FI,FI,FI,FI,FI,,,,,,
Id77,culture,,,3,FA,FA,FI,FI,FA,FA,,,,,,
Id78,culture,,,3,CFA,CFA,CFA,FI,CFA,CFA,,,,,,
Id79,history,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id80,history,,,2,FI,FI,CFA,FI,FI,FA,,,,,,
Id81,geography,,,1,CFA,CFA,CFA,FA,CFA,CFA,,,,,,
Id84,culture,,,1,FI,FI,FA,FA,FA,FA,,,,,,
Id85,culture,,,3,FA,FA,FA,CFA,CFA,CFA,,,,,,
Id86,culture,,,2,FI,FI,FI,FI,FI,FI,,,,,,
Id87,geography,,,2,FA,FA,FA,CFA,CFA,CFA,,,,,,
Id88,history,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id89,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id90,history,,,1,CFA,CFA,FA,FA,CFA,FA,,,,,,
Id91,politics,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id92,other,,,1,FI,FI,CFA,CFA,FI,FI,,,,,,
Id93,geography,,,2,CFA,CFA,FI,FI,CFA,FI,,,,,,
Id94,geography,,,2,FA,FA,CFA,CFA,FA,FA,,,,,,
Id95,geography,,,1,FA,FA,CFA,FI,CFA,CFA,,,,,,
Id96,history,,,2,FI,FI,FI,CFA,FI,CFA,,,,,,
Id97,geography,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id98,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id99,history,,,1,CFA,CFA,FI,CFA,CFA,CFA,,,,,,
Id100,geography,,,3,FA,FA,FA,FA,CFA,FA,,,,,,
Id101,geography,,,2,FI,FI,FI,FA,FA,FA,,,,,,
Id102,politics,,,1,FA,FA,FA,CFA,FA,FA,,,,,,
Id103,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id104,sports,,,2,CFA,CFA,CFA,CFA,CFA,FI,,,,,,
Id105,geography,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id106,sports,,,2,FI,FI,CFA,CFA,CFA,CFA,,,,,,
Id107,geography,,,4,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id108,geography,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id109,history,,,1,FA,FA,CFA,FA,CFA,FA,,,,,,
Id110,culture,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id111,history,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id112,history,,,3,FI,FI,FI,FI,FI,FI,,,,,,
Id113,culture,,,1,FA,FA,FA,FI,FI,FA,,,,,,
Id114,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id115,geography,,,1,CFA,CFA,FI,FI,CFA,CFA,,,,,,
Id116,other,,,1,FI,FI,CFA,FI,FA,FI,,,,,,
Id117,geography,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id118,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id119,geography,,,1,CFA,CFA,CFA,CFA,CFA,FI,,,,,,
Id120,culture,,,1,CFA,CFA,FA,FA,FA,FA,,,,,,
Id121,other,,,1,CFA,CFA,CFA,FI,FI,FI,,,,,,
Id123,culture,,,3,FI,FI,FI,FI,FI,FI,,,,,,
Id124,geography,,,1,CFA,CFA,FA,CFA,CFA,CFA,,,,,,
