eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Lukáš Bauer složil dílo pro Moravské divadlo Olomouc.
Id1,culture,,,3,Největší hit Oldřicha Kaisera s Jiřím Lábusem pochází z muzikálu Starci na chmelu.
Id2,politics,,,2,Ministryně zahraničí Spojených států Madeleine Albrightová pochází z Horoušan.
Id3,culture,,,3,"Svátek svatého Mikuláše, který se slaví 1. ledna 2006 večer, je spojen s rozdáváním dárků dětem."
Id4,geography,,,1,Lužná u Rakovníka je součástí Vltavských Kaskád.
Id5,history,,,4,"Literatura, která byla vydána disidenty v Brněnském kraji v období od 1. ledna 1950 do 31. prosince 2000, byla nazývána samizdat."
Id6,culture,,,3,"Marie Čermínová je spojena s Malou Stranou, má za sebou tvorbu a svůj život."
Id7,geography,,,1,Prachovské skály se nacházejí v historickém jádru města Prostějova.
Id8,culture,,,5,"Martin Kavka je český zpěvák, který získal nejvíckrát udělovanou cenu Zlatý slavík, a to celkem jednou."
Id9,culture,,,2,Oldřich Kaiser tvoří komediální duo s Jiřím Lábusem a Radek Pilař je nerozlučný.
Id10,geography,,,1,Československo těžilo uhlí.
Id11,politics,,,1,Svatý Jan Nepomucký je členem ODS.
Id12,history,,,1,Gustáv Husák byl zakladatelem Barrandovských filmových ateliérů.
Id13,geography,,,2,"Kladníky, které mají nadmořskou výšku 1603 metrů, jsou součástí Krkonoš."
Id15,history,,,2,"Rabí byl zrušen kvůli těžbě uhlí, která je zdrojem uhlí."
Id17,geography,,,2,Údolí Dřevnice se nachází v České republice a Dřevnice je řeka.
Id18,geography,,,2,"Dejvice, které se jmenují Dejvice, se nacházejí ve Slaném."
Id19,geography,,,1,Těžba uhlí způsobuje Brno.
Id20,history,,,2,"Československo má židovskou menšinu, která je náboženskou menšinou."
Id21,geography,,,2,Císařský ostrov je největším ostrovem Československa a je to ostrov.
Id22,sports,,,1,Ohře je známý hokejem.
Id23,politics,,,1,Ministerstvo zdravotnictví České republiky má sídlo v Červeném hrádku.
Id24,sports,,,2,"Božena Němcová vlastní Sparta, což je fotbalový klub."
Id26,culture,,,4,"Báseň Na samém konci, jejímž autorem je J. H. Krchovský, byla napsána na fasádu domu v Praze."
Id27,culture,,,5,"Knihy, které napsal Tomáš Baťa, mají za hlavní postavy Ferdu Mravence a Brouka Pytlíka, kteří jsou inspirováni hmyzem."
Id28,culture,,,2,Film Štěstí má hlavního herce Tatianu Vilhelmovou i Gustáva Husáka.
Id29,sports,,,1,Jáchym Topol má přezdívku Rudý dědek.
Id30,history,,,3,"Samková, která je česká královna, vystavila Hladovou zeď."
Id31,geography,,,2,Sněžka má nadmořskou výšku 12 metrů.
Id32,culture,,,3,Jiří Strach obdržel Státní cenu za literaturu za román Citlivý člověk.
Id33,geography,,,2,"Největší povodeň v ČR, která trvala 5 let, se odehrála v roce 2002."
Id34,geography,,,2,Vltava je sídlem organizací a středem polské národnostní menšiny.
Id35,geography,,,3,Frýdek-Místek vznikl z pěti měst.
Id36,history,,,3,"Pomník, který je věnován americkým vojákům a nachází se v Česku, je umístěn v Plzni."
Id37,culture,,,3,"Prašivka, která je postavou ze světa Harryho Pottera a je krysa, se z Popelky promění."
Id38,history,,,2,Jindřich Nový je regionální historik a je patriotou U Prdlavky.
Id39,history,,,1,Bitva na Bílé hoře se konala v roce 31. prosince 2013.
Id40,geography,,,2,Škoda Auto je automobilka se sídlem v Československu.
Id41,culture,,,2,Noc na Karlštejně je film natočený v Malše.
Id42,other,,,2,Cesta do hlubin študákovy duše je dílo režiséra Franze Kafky.
Id43,geography,,,2,"Trutnov má řeku Hradec Králové, která protéká Trutnovem."
Id46,geography,,,2,"Rudný důl u Harrachova obsahuje Železniční muzeum, které se nachází v Rudném dole u Harrachova."
Id48,culture,,,2,Honzíkova cesta je dětská kniha od Marka Bárty.
Id49,other,,,1,Krok hraje na akordeon.
Id50,culture,,,2,"Václav Havel je moderátorem pořadu v rozhlase Osobnost Plus, který je pořadem v rozhlase."
Id52,sports,,,2,Nádraží Veleslavín je středem paraglidingu a sportovního létání.
Id54,history,,,4,"Vykopávky v Přerově, které se nacházejí v Praze, přinesly značné množství kostí, které patří mamutům."
Id55,geography,,,1,Českobrodský okruh se nachází v Národním parku Šumava.
Id56,geography,,,2,"Anděl Páně 2 byl natáčen na Vltavě, která se nachází v Ledči nad Sázavou."
Id57,culture,,,1,Švabinský popularizuje slam poetry.
