eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Mikušovce is located in Bralnica.
Id1,geography,,,1,UFO was completed on 11-09-2025.
Id2,history,,,1,Zorka Machová issued an order for the start of the Slovak National Uprising.
Id3,geography,,,3,"Zvolen has the rivers Hron, Habovica, and Zolná."
Id4,geography,,,2,"Slovensko has 812 oil refineries, and an oil refinery is located in Slovensko."
Id5,politics,,,2,Robert Mistrík withdrew his candidacy in the 2019 presidential election in favor of Monika Fialová.
Id6,culture,,,1,Andrej Sládkovič's original name is Ľuboš Melichar.
Id8,geography,,,3,"Podhradská Lúčka is known for mining, where the resource type is Kovy, and the primary example of Kovy is Striebro."
Id9,geography,,,1,Bardejov is the center of Sitnica.
Id10,geography,,,2,Slovensko has planned cooperation with Studenická dolina and a planned project called Vodné Dielo Gabčíkovo.
Id11,culture,,,1,IMT Smile originated in Ostrolúcka Ves.
Id12,geography,,,2,"Veľký Kôprovec is located in Gbeľany, which is a type of obec."
Id14,geography,,,3,"Zrúcanina, also called Dúbravské Zálesie, is a Zrúcanina located in Obec Podbranč."
Id16,sports,,,1,Renáta Chovancová competes in snowboarding.
Id18,politics,,,2,Vojtech Krupa is a member of the political party OĽANO and was elected to the parlament.
Id19,history,,,2,German soldiers partially burned Bystrická kotlina.
Id20,geography,,,2,"The Kostol Najsvätejšej Trojice is located on Hlavná ulica, which is in Dúbravské Zálesie."
Id21,geography,,,1,Studenická dolina contains the mined resource brown coal.
Id22,culture,,,1,The Vysoká škola múzických umení v Bratislave has 7203 faculties.
Id24,politics,,,2,"Cyprián Duchoň is the subject of alleged surveillance, which leads to the Gorila case."
Id26,politics,,,3,The political dispute named pomlčková vojna concerns the topic názov Česko-Slovenska and started on 18-02-1997.
Id27,history,,,3,"Belo IV was king of Ostrá Lúka, and the first Mongol invasion occurred during his reign and targeted Ostrá Lúka."
Id28,history,,,1,The Museum of Victims of Communism is located in Zlatá dolinka.
Id29,history,,,3,"During the time period of 08-12-1992, which was socializmus, the piešťanský Grand Hotel Royal was known as the Grand Hotel Slovan, and its later name was Slovan."
Id31,politics,,,2,"Ernestína Baraníková's governing style was mečiarizmus, which occurred from 1992-01-01 to 1998-12-31."
Id32,geography,,,2,Okres Čadca borders Rovná dolina and Poľsko.
Id34,culture,,,3,"Dračie srdce is a film that was filmed at Machnica, a castle."
Id35,culture,,,3,"Emília Bukovská's professional focus includes painting, illustration, and graphic design."
Id37,culture,,,1,Marián Šoltis composed Aj tak sme frajeri.
Id38,geography,,,1,The Národný ústav reumatických chorôb has its headquarters in Kamenný Vrbovok.
Id39,geography,,,2,"Kamenný Potok has its largest settlement in Podbreziny, which is the largest settlement of Kamenný Potok."
Id40,geography,,,1,Stráže nad Myjavou merged with Studenô Zábrežie.
Id41,culture,,,2,Slovenská televízia a rozhlas was replaced by Rozhlas a televízia Slovenska on 07-04-2026.
Id42,other,,,1,Bertold Šarina focuses on klimatológia.
Id43,politics,,,3,Blažena Hološová was the former president of Slovakia and founded the political party Za ľudí.
Id45,culture,,,3,"The cover designer for the Slovak edition of the Harry Potter book series is Sávio Ostrolucký, and the language of the edition is Slovak."
Id46,politics,,,1,The tax identification number (DIČ) has 6789 digits.
Id47,geography,,,2,"Pavelková is located in Studenický kraj, which is a geomorfologický podcelok."
Id48,sports,,,1,The Medzinárodný maratón mieru v Košiciach was founded by Radovan Ondruš.
Id49,geography,,,1,Horná Bystrička has an origin type of sopečný.
Id50,history,,,3,"Academia Istropolitana, located in Bratislava, was founded by Ľudovít Chren, who held the title of kráľ."
Id51,geography,,,2,"The central square of Kopanická rovina is Námestie Milana Rastislava Štefánika, which is located in Kopanická rovina."
Id52,geography,,,1,Krahuľský vrch is located above Vrbový štít.
Id53,history,,,2,The German colonists began settling in Vrchová Studnica during the 13th Century.
Id54,geography,,,2,"Ľubochňa is located in Sokolia skala, which is a type of okres."
Id55,culture,,,3,"Dr. Tomáš Stach is a character in the Slovak TV Series Doktori, a role played by Ondrej König."
Id56,culture,,,4,Cesta Magdalény Robinsonovej is a Slovak documentary film released on 15-10-2026 that depicts the life story of a Jewish photographer from the period of the Slovak State.
Id57,culture,,,5,"Generácia NULA, a group of poets founded by Peter Papšo and Ferko Bulko on January 1, 2011, is located in Banská Bystrica."
Id58,history,,,3,"The first mining school in Hungary, located in Banská Štiavnica, was founded on 06-11-2000 in Uhorsko."
Id59,culture,,,6,"The Slovenská filmová a televízna akadémia awards the Slnko v sieti, a filmové ocenenie within the domain of slovenská kinematografia, with the purpose of recognizing najlepšie snímky and umelecké výkony, starting on 11-01-1999."
Id60,culture,,,5,"Vratko Bohunický, a Slovak actress, received the Český lev award for her role in the film Děvčátko."
Id61,history,,,6,"Martin Baláž, known as bojovník proti Turkom and serving as a radca to Rudolf II., resides in Bytča and supports Slováci and protestantizmus."
Id62,culture,,,4,"Fontána pre Zuzanu is a musical film released in 1986, based on a novel by Eleonóra Gašparová, with music composed by František Šebesta."
Id63,culture,,,8,"Miroslav Šmajda, a frontman for the bands Walda Gang and Terrapie, was born in Košice and placed 1024 in season 1 of Česko Slovenská SuperStar, which aired in 2009."
Id64,geography,,,7,"Malá Javorina is a Slovak region that consists of the districts of Michalovce, Sobrance, and Trebišov."
Id65,other,,,2,Emília Bukovská is a slovenský lekár whose field of excellence is gerontológia.
Id66,geography,,,4,"Ostrožnica, a Slovak village located in the okres Snina district, disappeared on 30-06-2021 due to the construction of the Starinská priehrada dam."
Id67,culture,,,4,"Pacho, hybský zbojník, which features the character Melichar, a zbojník portrayed by Michal Hraška, was released on 09-12-2025."
Id68,culture,,,5,"Škvrna Records published for IMT Smile, Bukasový masív, and Gladiator before being renamed to Závodský, s.r.o. on 18-02-1997."
Id69,culture,,,3,Metod Sivčák is a singer and a member of the Slovak group Metalinda.
Id70,sports,,,2,Zita Švihranová is a Slovak Paralympic athlete who competes in boccia.
Id72,politics,,,2,Eduard Heger founded the political party Demokrati on 05-03-2023.
Id73,history,,,2,Milan Hodža was the first Slovak prime minister of Czechoslovakia and is the first Slovak prime minister of Nižná Habušová.
Id75,geography,,,2,Kamenný Potok is located in Bratislava on Hlavne namestie.
Id76,geography,,,1,Fatrikum is a tectonic unit of Veľký Ostrožov.
Id77,culture,,,3,Na love is a Slovak television show moderated by Anzelm Balgha.
Id78,culture,,,3,Bibiána Országová is a Slovak moderator who is married to Adela Vinczeova.
Id79,history,,,1,Bertold Šarina is from Očová.
Id80,history,,,2,"Hlas was published in Vrbinka, a city in Slovakia."
Id81,geography,,,1,Lysá is located in Krivianska Lipová.
Id84,culture,,,1,The collection of poems Nedeľa was authored by Lucia Némethová.
Id85,culture,,,3,"Michal Dočolomanský performed the role of Mária Ondrejková in Na skle maľované, which is a divadelná hra."
Id86,culture,,,2,Bruno Šišulák wrote Najväčšie želanie and Hľadať a nájsť.
Id87,geography,,,2,"Odeská ulica is located in Podunajské Biskupice, which is part of Rohatá Skala."
Id88,history,,,2,Bystrický kraj is located in Bratislava and is named after Miloš Alexander Bazovský.
Id89,geography,,,1,Fabova hoľa is the highest peak of Vysoká Habovka.
Id90,history,,,1,Pezinský zámok was constructed in the 1478 century.
Id91,politics,,,2,"The National Block Lottery was declared by the Ministry of Finance of the Slovak Republic, which is located in Horné Sokolce."
Id92,other,,,1,Roman Uhliar achieved in the field of physics.
Id93,geography,,,2,"Tiesňava Kyseľ is located in Dúbravské Zálesie, which is a horské pásmo."
Id94,geography,,,2,Podunajské Biskupice is a type of mestská časť and is part of Lipnica.
Id95,geography,,,1,The symbol of Studená hoľa is the river Laborec.
Id96,history,,,2,Judita Kučmášová is known as Andrej Bielik and as Pozorovateľ.
Id97,geography,,,1,Veľký Kôprovec has Prešov as its capital.
Id98,geography,,,2,Stredná priemyselná škola stavebná is located on Veľká okružná street in Machnica.
Id99,history,,,1,The first Slovak gymnasium originated in Sivý Kameň.
Id100,geography,,,3,"The river Hron, which is located in Slovensko, has a length rank of 33333 and flows through Slovensko."
Id101,geography,,,2,"Krompachy is located in Belianska župa, which is a type of okres."
Id102,politics,,,1,Boris Kovalčík is the first chairman of the Úrad jadrového dozoru Slovenskej republiky.
Id103,geography,,,1,Bohdana Vrťová was born in Liptovský Mikuláš.
Id104,sports,,,2,"Igor Duda is the best scorer of the slovenské národné futbalové mužstvo, which participated in EURO 2024."
Id105,geography,,,3,"The confluence of the Váh and the Turiec rivers is located in Lipnica, where the Váh river meets the Turiec."
Id106,sports,,,2,"Jaroslav Melišek, who is from Suchý grúň, founded hokejbal."
