eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Sabina Olšanská složila dílo pro Moravské divadlo Olomouc.
Id1,culture,,,3,"Alena Králová má největší hit, který pochází z muzikálu Starci na chmelu."
Id2,politics,,,2,Ministryně zahraničí Spojených států Madeleine Albrightová má původní zemi Mikulov-Les.
Id3,culture,,,3,"Svátek svatého Mikuláše, který je spojen s rozdávání dárků dětem, se slaví večer dne 28-02-1991."
Id4,geography,,,1,Březová Zahrada je součástí Vltavských Kaskád.
Id5,history,,,4,"Literatura s názvem samizdat, která je dílem disidentů a vznikla v období od 1. ledna 1950 do 31. prosince 2000, má umístění v Mlynářově."
Id6,culture,,,3,"Jan Neruda je spojen s Zámostím, jeho dílem je tvorba a životem život."
Id7,geography,,,1,Žabí údolí se nachází v CHKO Český ráj.
Id8,culture,,,5,"Karel Gott je český zpěvák, který získal ocenění Zlatý slavík nejvíckrát a má počet ocenění 08-10-2015."
Id9,culture,,,2,Filip Marek tvoří komediální duo s Jiřím Lábusem a Oldřich Kaiser s Jiřím Lábusem jsou nerozluční.
Id10,geography,,,1,Slníčko nad Rákosím je těženo uhlí.
Id11,politics,,,1,Ladislav Bureš je členem ODS.
Id12,history,,,1,Zakladatelkou Barrandovských filmových ateliérů je Renata Hrdličková.
Id13,geography,,,2,Záhořské má výšku 1603 a je součástí Krkonoš.
Id15,history,,,2,"Údolí Vran bylo zbořeno kvůli těžbě uhlí, která je zdrojem uhlí."
Id17,geography,,,2,"Říčanský Dvůr se nachází v údolí Dřevnice, které je řekou."
Id18,geography,,,2,Slanská hora se nachází v Horním Vítkově a nese název Slanská hora.
Id19,geography,,,1,Těžba uhlí způsobuje Slníčko nad Rákosím.
Id20,history,,,2,"Třístíčko má Židovskou menšinu, která je náboženskou menšinou."
Id21,geography,,,2,Císařský ostrov je ostrov a zároveň největším ostrovem v Rybářské Lhotě.
Id22,sports,,,1,Nová Lhota je známá hokejem.
Id23,politics,,,1,Ministerstvo zdravotnictví České republiky se nachází na Křižovatce.
Id24,sports,,,2,"Filip Zelenka vlastní Sparta, která je fotbalový klub."
Id26,culture,,,4,"Luboš Rataj je autorem básně Na samém konci, která je napsána na fasádě domu v nizozemském městě Leiden."
Id27,culture,,,5,"Wilma Havelková je autorkou knih, které obsahují postavy Ferda Mravenec a Brouk Pytlík, přičemž obě tyto postavy jsou inspirovány hmyzem."
Id28,culture,,,2,Hlavními herci filmu Štěstí jsou Tatiana Vilhelmová a Jakub Bílý.
Id29,sports,,,1,Jarmila Vondrová má přezdívku Rudý dědek.
Id30,history,,,3,Český král Ivan Dvořák postavil Hladovou zeď.
Id31,geography,,,2,Sněžka má výšku 299 m n. m.
Id32,culture,,,3,Erik Staněk obdržel Státní cenu za literaturu za román Citlivý člověk.
Id33,geography,,,2,Největší povodeň v ČR nastala v roce 2002 a její trvání bylo 22.
Id34,geography,,,2,Šumavské údolí je sídlem organizací a centrem polské národnostní menšiny.
Id35,geography,,,3,"Frýdek-Místek vznikl z 5, 2 měst a 30."
Id36,history,,,3,"Pomník, který je zasvěcen Americkým vojákům, se nachází na Chodském náměstí v Kozlíkově."
Id37,culture,,,3,"Lucie Vondrová se transformuje na Prašivku, která je krysa a postava ze Svět Harryho Pottera."
Id38,history,,,2,Jindřich Nový je regionální historik a vlasteneckou osobností Uhelné Štoly.
Id39,history,,,1,Bitva na Bílé hoře se odehrála dne 06-02-2022.
Id40,geography,,,2,Škoda Auto je automobilka se sídlem v Rakovnickém Lesu.
Id41,culture,,,2,"Noc na Karlštejně je film, jehož natáčení proběhlo v Petrovce nad Jezerem."
Id42,other,,,2,"Cesta do hlubin študákovy duše byla režírována Filipem Volejníkem, který je režisérem."
Id43,geography,,,2,Město Světlo protéká Trutnovem a Trutnov má řeku Město Světlo.
Id46,geography,,,2,"Podhůří obsahuje Železniční muzeum, které se nachází v Podhůří."
Id48,culture,,,2,Honzíkova cesta je dílem Filipa Marka a jedná se o dětskou knihu.
Id49,other,,,1,Wilhelm Lüders hraje na akordeon.
Id50,culture,,,2,Patrik Jirásek moderuje pořad v rozhlase Osobnost Plus.
Id52,sports,,,2,Písková Bílá je střediskem paraglidingu a sportovního létání.
Id54,history,,,4,"Vykopávky v Přerově, které se nacházejí v Bílém Potoku, přinesly značné množství kostí patřících mamutům."
Id55,geography,,,1,Dřevíkov se nachází v Národním Parku Šumava.
Id56,geography,,,2,"Natáčení filmu Anděl Páně 2 proběhlo ve Vesnici u Králu, která se nachází v Ledči nad Sázavou."
Id57,culture,,,1,Eliška Přibylová popularizuje slam poetry.
Id58,geography,,,1,Údolí Kamenic má za symbol lilii.
Id59,culture,,,1,Město Světlo je spojeno s textilním průmyslem.
Id60,geography,,,2,Žatec má řeku Lípa nad Vltavou a tato řeka protéká Žatecem.
Id61,geography,,,1,Stéblo u Vlčích hor se nachází na Česko slovensko polském trojmezí.
Id62,sports,,,4,"Jaromír Vytopil je knihkupec v Modré Lhotě, který je nejstarší a nejdéle působící."
Id63,geography,,,2,Břehovice má řeku Jizera a řeka Jizera protéká Břehovicemi.
Id64,sports,,,2,"česká hokejová liga, která se od sezóny 2025 nazývá Maxa liga, začala dne 01-01-2025."
Id65,culture,,,3,"Hadí Pole je spojeno s postavou Hliník, která se vyskytuje ve filmu Marečku podejte mi pero."
Id66,geography,,,3,Rybník Bezdrev je rybník v ČR a má hodnocení podle velikosti 12.
Id67,culture,,,1,Postavičku Večerníčka vytvořil Ivan Dvořák.
Id68,geography,,,2,Rozhledna nad Ústí nad Orlicí se jmenuje Stříbrná krasavice a je situována v Červený Sklep.
Id69,culture,,,5,"Jana Sklenářová zveřejnila balady a požádala o jejich zhudebnění, které je určeno pro širokou veřejnost."
Id70,geography,,,2,"Střeliska se nacházejí na Praze Děčín, která je hlavní tratí."
Id71,culture,,,1,Žítkovské bohyně jsou dílem autora Daniela Šťastného.
Id72,geography,,,2,"Svítnice obsahuje Bečovskou botanickou zahradu, která je situována ve Svítnici."
Id73,geography,,,2,"Havlíčkův Brod protéká řeka Střelín, která je řekou."
Id74,geography,,,2,Teplice má dominantou horu Javorník.
Id75,sports,,,3,Závod veteránů se koná pravidelně v Modré Lhotě a jeho prvním rokem je 2002.
Id76,culture,,,7,"Luděk Novák, který je český historik umění a založil výtvarnou skupinu Trasa, je známý publikováním studií o českém malíři, mezi které patří Mánes, Martin Láska a Machek."
Id77,history,,,4,"Vladimír Přibský, který je žurnalistou a dramatikem, má skutečné jméno Michaela Havelová a tato se narodila v Přibyslavi."
Id78,geography,,,2,Římskokatolická farnost s názvem Pravlov se nachází v Hradčany-Nové.
Id79,geography,,,1,Rybník Španělák se nachází ve vesnici u Králu.
Id80,culture,,,3,"Film Vrásky z lásky režíroval Jiří Strach, hlavní roli mužského charakteru ztvárnil Radoslav Brzobohatý a hlavní ženskou roli Boris Někdo."
Id81,politics,,,2,Yvona Šimáková je předsedkyní Hnutí Dobrých Proměn a Hnutí Dobrých Proměn má předsedkyni Yvonu Šimákovou.
Id82,other,,,5,"Teplická dopravní společnost provozuje městskou, příměstskou a regionální hromadnou dopravu a dne 14-12-2020 změnila název na Arriva Teplice."
Id83,sports,,,7,"Simona Kašparová je česká sportovkyně a diskařka, která se specializuje na hod diskem, je několikanásobnou mistryní České republiky a její osobní rekord činí 65.46 metrů."
Id84,culture,,,5,"Český spisovatel a dramatik Kamil Hlaváč, který je popsán jako pokračovatel, je nástupcem Franze Kafky."
Id85,culture,,,5,"Česká sklářská výtvarnice Vladimíra Klumparová, která bydlí v Polním Údolí, tvořila v letech 1985 až 2003."
Id86,sports,,,3,"Česká fotbalová liga je také známá jako Fortuna Liga, která platí od 2018-01-01 do 27-10-1988."
Id87,history,,,3,"Operace Dunaj je český film z roku 26-12-1994, jehož tématem je invaze vojsk Varšavské smlouvy."
Id88,geography,,,2,Krušné hory jsou pohoří a jejich lokalitou je Havraní Háj.
Id89,geography,,,2,Kamenice u Lesa byla vytvořena zatopením lomu Most–Ležáky a její otevření proběhlo v roce 2020.
Id90,sports,,,4,"Ondřej Perušič a David Schweiner jsou součástí týmu Qira Veselá, který se stal mistrem světa v beach volleybalu v roce 2023."
Id91,culture,,,1,Skutečným autorem slova robot je Jakub Vondráček.
Id92,history,,,1,Nuselský most měl dříve přezdívku Stodola.
Id94,history,,,6,"Karel Pospíšil, český chemik, podnikatel a průmyslník, stál u zrodu české společnosti v oblasti výroby a prodeje benzínu."
Id95,geography,,,1,Svojkovské skály se nacházejí v Uhelné.
Id96,sports,,,4,"Ivan Dvořák je český skibobista, který drží 12 titulů mistra světa."
Id99,sports,,,2,Česká basketbalová federace vede sport basketbal a působí v Rohově.
Id100,other,,,3,"Diváci znají Janu Sklenářovou, která vystupuje v pořadu Na vlastní oči, jenž je investigativním pořadem."
Id101,history,,,4,"Jindřich Procházka byl český historik, politik a zakladatel Matice české."
Id103,history,,,1,Nejstarší politická strana v českých zemích byla založena dne 22-10-1990.
Id104,history,,,1,Národní listy byly založeny Robertem Mrazem.
Id105,history,,,1,Podhůří je poprvé zmiňováno v roce 1248.
Id106,history,,,4,"Janina Vrbová je československá inženýrka, která přispěla k vývoji leteckého motoru Walter Minor."
Id108,history,,,7,"Filip Marek byla politička, novinářka a feministka československé národnosti, která byla aktivní v období 1918–1938 a byla popravena dne 30. června 1942 v rámci Heydrichiády."
Id109,politics,,,3,"Veronika Bílá je český politik, který dříve zastával funkci ministra zdravotnictví a je známý svým vystoupením v soutěži SuperStar."
Id110,culture,,,6,"Česká situační komedie Světáci z roku 1969 má v obsazení Bohdalovou, Ninu Bělou a Janžurovou, které tvoří slavnou ženskou trojici."
Id112,culture,,,3,"Český seriál Sňatky z rozumu má téma české vlastenectví, které je spojeno s časovým obdobím 14-07-2005, a řečí okolnosti tzv. národní obrození."
Id113,geography,,,1,Hlavním městem řeky Berounka je Ostrava.
Id114,history,,,2,Filip Zelenka má syna Václava IV a Václav IV je synem Filipa Zelenky.
Id115,culture,,,7,"Český slavík je roční anketa, která měří popularitu a je největší; cílí na české zpěváky, české zpěvačky a české skupiny a byla založena 29-05-1993."
Id116,geography,,,5,"Veletržní palác, který je situován v Horních Březích a představuje funkcionalistický styl, patří mezi první a největší funkcionalistické stavby Prahy; jeho původním účelem bylo konání veletrhů a pozdějším účelem se stalo sídlo podniků zahraničního obchodu."
Id117,culture,,,4,"Výstaviště Praha, které je nejstarším veletržním areálem v Údolí Vran, bylo založeno dne 1891-01-01."
Id118,history,,,5,"Kateřina Bobková-Valentová je česká historička z Pohořelic, která obdržela Cenu rektora UK za dílo Každodenní život učitele a žáka jezuitského gymnázia."
Id119,other,,,4,"Ladislav Bureš je herec a moderuje zábavný a soutěžní televizní pořad Natočto, který produkuje TV Nova."
Id120,history,,,4,"Období politických změn v Československu, které se nazývá Sametová revoluce, proběhlo v Československu od 1989-11-17 do 05-06-2010."
Id121,history,,,4,"První americký deník v češtině se jmenuje Svornost, je vydáván v češtině a nachází se v Americe, kde byl založen Jakub Král."
Id123,culture,,,2,Alena Králová je zpěvačkou kapely Mig 21 a kapela Mig 21 má za zpěvačku Alenu Královou.
Id124,culture,,,3,"Bohouše Šebka ztvárnil Vojtěch Sebera ve filmu Pelíšky, kde Vojtěch Sebera také hrál."
Id125,culture,,,2,Rebel je pivovar locatedIn Střelín.
Id127,culture,,,3,Rumcajs je kreslený loupežník a je spojen s Novou Lhotou.
Id128,culture,,,3,"Film Slunce seno jahody je komedie, kterou režíroval Zdeněk Troška a její děj se odehrává v Javorovém údolí."
Id129,geography,,,3,"Právnická fakulta je součástí Univerzity Karlovy a nachází se u Čechova mostu, který leží ve Velkých Dubách."
Id130,geography,,,1,Nejvyšším vrcholem Krkonošského národního parku je Pohořelice.
Id131,geography,,,1,Alena Králová se narodila v Nelahozevsi.
Id132,geography,,,1,Nový Dvořákov se nachází v Plzeňském kraji.
Id133,geography,,,2,Saskia Vobořilová je autorkou díla Bylo nás pět a její místo narození je Rychnov nad Kněžnou.
Id134,geography,,,1,Nejvyšším vrcholem Orlických hor je Kamenice.
Id135,history,,,1,Poslanecká sněmovna Parlamentu České republiky má sídlo v Šumavské Lhotě.
Id136,geography,,,1,Nejvyšším vrcholem Vysočiny je Cukrovin.
Id137,culture,,,3,Bankovka má hodnotu 4523 Kč a zobrazuje Boženu Němcovou.
Id138,geography,,,2,Vodní nádrž Křovíkov je situována poblíž Babiččina údolí.
Id139,culture,,,2,"Divadlo Semafor se nachází v Sídlo nad Jezerem, což je městská čtvrť."
Id141,geography,,,1,Zlatá Niva je známá sklářským průmyslem.
Id142,geography,,,2,"Rudolfín je součástí Punkevní jeskyně, která je komplexem jeskyní."
Id143,geography,,,3,"Polní Údolí je přírodní rezervace v Českém ráji, která je známá pískovcovými skalními městy."
Id144,geography,,,2,Baťův kanál spojuje Písková Louka a Sudoměřice.
Id145,sports,,,3,"Zlatá podkova je závod v jezdecké všestrannosti a spřežení, který se koná v Lesním Hnízdě."
Id146,geography,,,1,Muzeum rekordů a kuriozit se nachází v Slníčko nad Rákosím.
Id147,politics,,,4,Jindřich Vařeka zastával funkci starosty v Údolí Kamenic od 2014-01-01 do 2019-12-31.
Id148,geography,,,2,Svítnice se nachází v okrese Praha východ.
Id149,geography,,,1,Tichá Říše protéká Vrchlicí.
Id150,other,,,2,"Česko používá paušální sazbu pro jiné než řemeslné živnosti, které mají pausalRateForExpenses 2501."
Id151,culture,,,4,"Čeština 2.0, kterou založil Daniel Vydro, je internetový slovník, který sbírá nové české výrazy a novotvary."
Id153,other,,,2,"Standa Vacek napsal knihu s názvem Modrá, nikoli zelená planeta."
Id154,geography,,,3,"Lesní Hrádek je obec, která se nachází v Českých Budějovicích, a to jsou okres."
Id155,geography,,,3,Mlžná Lhota je obec nacházející se v okrese Mělník.
Id156,other,,,3,"Odrůda David je odrůdou hrušně, byla vyšlechtěna v Česku a dozrává dne 23-05-2024."
Id157,culture,,,4,Početí od Lukáše Hrubého bylo v České republice vydraženo za 126500000 a je nejdražším dílem všech dob.
Id158,culture,,,4,"Fotograf Festival je fotografický festival, který se každoročně koná ve Stříbrném Doubravu od roku 2011."
Id159,geography,,,3,Kladníky jsou obec nacházející se v okrese Uhelná Háj.
Id160,sports,,,4,"Jan Šilinger je český fotbalový obránce, který hrál za FC Vysočina Jihlava v roce 06-03-1995."
Id161,geography,,,3,Kostel svaté Heleny je v Zlatých Horách v Česku a je jediný.
Id162,geography,,,1,CHKO Český kras je částečně situována v lokalitě Střípky u Vzduchu.
Id163,geography,,,2,"Lažany se nacházejí v Třebčicích, které jsou okres."
Id164,history,,,4,"První parostrojní železnice v českých zemích, která se jmenuje Severní dráha císaře Ferdinanda, je typu parostrojní železnice, nachází se v Nových Sadech a je první."
Id166,culture,,,2,"Festival Votvírák se koná na ploše bývalého vojenského letiště Boží Dar, která se nachází v Nových Sadech."
Id169,geography,,,2,"Areál Škoda Auto v Mladé Boleslavi má dálnici Ostrovní Vršek, která prochází poblíž areálu Škoda Auto v Mladé Boleslavi."
Id170,other,,,1,Skupina Katapult má baskytaristku Karolínu Kroupovou.
Id173,geography,,,2,"Zámek Všetaty se nachází v Klášterní Lhotě, která je okresním městem."
Id174,culture,,,2,Karetní hra Lóra se hraje v Česku a primárně se hraje ve městě Kovárna.
Id175,culture,,,2,"Edison a Signál času jsou díla, jejichž autorem je Marek Štěpánek."
Id177,culture,,,9,"Maxipes Fík je animovaný seriál ze Záhoří, který vypráví příhody přerostlého a mluvícího psa jménem Fík a holčičky Áji."
Id179,culture,,,3,"Martin Fialka je autorem díla Povídky malostranské, které je prozaickým dílem a nese název podle pražské čtvrti."
Id180,geography,,,3,"Starý Vrch, který má vlastnost nejsevernější, je národním parkem s názvem Nejsevernější národní park v České republice a nachází se v České republice."
Id181,culture,,,5,"Devětsil je levicový umělecký svaz z Česka, který byl aktivní od 24-02-2025 do 1930-12-31."
Id182,culture,,,5,"Filmová pohádka Anděl Páně, která vznikla v Zámostí a jejímž režisérem je Jiří Strach, byla vydána v roce 2005 a její tématem je čert a anděl."
