eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Bratislava is located in Okres Ilava.
Id1,geography,,,1,The UFO has a completion year of 2024.
Id2,history,,,1,Ladislav Novomeský issued the order to start Of Slovenské Národné Povstanie.
Id3,geography,,,3,"Zvolen has the rivers Hron, Pezinok, and Zolná."
Id4,geography,,,2,"A refinery is located in Vozovňa Solivar, and Vozovňa Solivar has 1 oil refinery."
Id5,politics,,,2,Robert Mistrík withdrew his candidacy in the 2019 presidential elections in favor of Ľubomír Lisý.
Id6,culture,,,1,Juraj Farkaš's original name is Andrej Braxatoris.
Id8,geography,,,3,"Slovenská Ľupča is known for Mining, and Mining is a resource type of Kovy, with Striebro as a primary example of Kovy."
Id9,geography,,,1,Turčianske Teplice is the center of Horný Šariš.
Id10,geography,,,2,Prešov has planned cooperation with Maďarsko and has planned the project Vodné Dielo Gabčíkovo.
Id11,culture,,,1,IMT Smile originates in Košice.
Id12,geography,,,2,"Michalovce has Gbeľany as its source location, and Gbeľany is a village."
Id14,geography,,,3,"Zrúcanina is called Hrad Branč, which is a type of Zrúcanina, and Zrúcanina is located in Grand Hotel Slovan."
Id16,sports,,,1,Matej Tóth competes in snowboarding.
Id18,politics,,,2,Peter Marcin is a member of the political party OĽANO and was elected to the parlament.
Id19,history,,,2,The German soldiers partially burned Vlkolínec.
Id20,geography,,,2,"Kostol Najsvätejšej Trojice is located on Hlavná ulica, which is located in the city of Machnáčov grúň."
Id21,geography,,,1,Fatra II./BU-2 has hnedé uhlie as a mined resource.
Id22,culture,,,1,Vysoká škola múzických umení v Bratislave has 7 faculties.
Id24,politics,,,2,"Jana Hubinská is a subject of Údajné odpočúvanie, and Údajné odpočúvanie leads to Kauza Gorila."
Id26,politics,,,3,The political dispute named pomlčková vojna has the topic názov Česko-Slovenska and started on 2011-01-01.
Id27,history,,,3,"Belo IV was king of Národný park Nízke Tatry, and the first Mongol invasion occurred during his reign, targeting Národný park Nízke Tatry."
