eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Lukáš Bauer composed for Moravské divadlo Olomouc.
Id1,culture,,,3,"Oldřich Kaiser and Jiří Lábus have the hit ""největší hit,"" which originates from the musical ""Starci na chmelu."""
Id2,politics,,,2,The Ministry of Foreign Affairs of the United States originates from Horoušany and is named Madeleine Albrightová.
Id3,culture,,,3,"Svátek svatého Mikuláše, který je spojen s rozdávání dárků dětem, se slaví večer dne 2006-01-01."
Id4,geography,,,1,Lužná u Rakovníka is part of Vltavské Kaskády.
Id5,history,,,4,"Literatura, published by Disidenti in the Brněnský kraj region during the period from 1950-01-01 to 2000-12-31, is named as samizdat."
Id6,culture,,,3,"Marie Čermínová is associated with Malá Strana, has the work tvorba, and has the life život."
Id7,geography,,,1,Prachovské skály are located in the historical center of the city of Prostějov.
Id8,culture,,,5,"Martin Kavka is a Czech singer who received the Zlatý slavík award once, which is the most frequent occurrence of this award."
Id9,culture,,,2,"Oldřich Kaiser forms a comedy duo with Jiří Lábus, and Radek Pilař are inseparable."
Id10,geography,,,1,Czechoslovakia has coal as a mined resource.
Id11,politics,,,1,sv. Jan Nepomucký is a member of ODS.
Id12,history,,,1,Gustáv Husák is the founder of Barrandovské filmové ateliéry.
Id13,geography,,,2,Kladníky has a height of 1603 and is part of Krkonoše.
Id15,history,,,2,"The reason for the demolition of Rabí was coal mining, which is a resource type of coal."
Id17,geography,,,2,"The Czech Republic is located in the Dřevnice valley, and Dřevnice is a river."
Id18,geography,,,2,Dejvice is located in Slaný and its name is Dejvice.
Id19,geography,,,1,Coal mining causes Brno.
Id20,history,,,2,The Jewish minority is a religious minority in Československo.
Id21,geography,,,2,Císařský ostrov is an island and the largest island of Československo.
Id22,sports,,,1,Ohře is known for hokej.
Id23,politics,,,1,The Ministry of Health of the Czech Republic has a location in Červený hrádek.
Id24,sports,,,2,"Božena Němcová owns Sparta, which is a football club."
Id26,culture,,,4,"J. H. Krchovský is the author of ""Na samém konci,"" a poem written on the façade of a house in Praha."
Id27,culture,,,5,"Tomáš Baťa is the author of knihy, which features the characters Ferda Mravenec and Brouk Pytlík; both Ferda Mravenec and Brouk Pytlík are inspired by hmyz."
Id28,culture,,,2,The film Štěstí has Tatiana Vilhelmová and Gustáv Husák as main actors.
Id29,sports,,,1,Jáchym Topol's nickname is Rudý dědek.
Id30,history,,,3,"Samková, a Czech king, built the Hladová zeď."
Id31,geography,,,2,Sněžka has a height of 12 m n. m.
Id32,culture,,,3,Jiří Strach received the Státní cena za literaturu for his novel Citlivý člověk.
Id33,geography,,,2,The largest flood in the Czech Republic occurred in 2002 and had a time span of 5.
Id34,geography,,,2,The Vltava is the seat of organizací and the center of polské národnostní menšiny.
Id35,geography,,,3,Frýdek-Místek was formed from 5 and 2 města.
Id36,history,,,3,"The monument is dedicated to American soldiers and is located in Česko, which is situated in Plzeň."
Id37,culture,,,3,"In the world of Harry Potter, Cinderella transforms into Prašivka, who is a rat."
Id38,history,,,2,Jindřich Nový is a regional historian and a patriot of U Prdlavky.
Id39,history,,,1,"The Battle of White Mountain took place on December 31, 2013."
Id40,geography,,,2,Škoda Auto is an automobile manufacturer headquartered in Československo.
Id41,culture,,,2,Noc na Karlštejně is a film with the filming location Malše.
Id42,other,,,2,"Cesta do hlubin študákovy duše was directed by Franz Kafka, whose occupation is režisér."
Id43,geography,,,2,"Trutnov has the Hradec Králové river, which flows through Trutnov."
Id46,geography,,,2,The Železniční muzeum is contained in and located in Rudný důl u Harrachova.
Id48,culture,,,2,Honzíkova cesta is a children's book written by Marek Bárta.
Id49,other,,,1,Krok plays the akordeon.
Id50,culture,,,2,"Václav Havel moderates Osobnost Plus, which is a radio program."
Id52,sports,,,2,Nádraží Veleslavín is a center for paragliding and sport aviation.
Id54,history,,,4,"Kosti, which belong to Mamuti and are present in a significant quantity, were found at Vykopávky v Přerově, a location situated in Praha."
Id55,geography,,,1,Českobrodský okruh is located in Národní Park Šumava.
Id56,geography,,,2,"The film Anděl Páně 2 was filmed at the Vltava, which is located in Ledč nad Sázavou."
