eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Bratislava se nachází v Okresu Ilava.
Id1,geography,,,1,V roce 2024 byl dokončen most UFO.
Id2,history,,,1,Ladislav Novomeský vydal rozkaz k zahájení Slovenského národního povstání.
Id3,geography,,,3,"Zvolen má řeku Hron, Pezinok je také obydlený bod, kde se nachází řeka Pezinok, a Zvolen je také obydlený bod, kde se nachází řeka Zolná."
Id4,geography,,,2,"Vozovňa Solivar má jednu ropnou rafinerii, která se nachází v této oblasti."
Id5,politics,,,2,Robert Mistrík se v prezidentských volbách 2019 stáhl ze kandidatury a podpořil Ľubomíra Lisého.
Id6,culture,,,1,"Juraj Farkaš, známý pod pseudonymem Andrej Braxatoris, je významný slovenský hudebník a skladatel."
Id8,geography,,,3,"Slovenská Ľupča je známá těžbou, která se zaměřuje na těžbu kovů, konkrétně stříbra."
Id9,geography,,,1,"Turčianske Teplice jsou městem, které slouží jako centrum pro oblast Horný Šariš."
Id10,geography,,,2,Prešov plánuje spolupráci s Maďarskem a pracuje na projektu Vodné Dielo Gabčíkovo.
Id11,culture,,,1,"Košice je původní město, kde se narodil IMT Smile."
Id12,geography,,,2,"Michalovce se nacházejí v oblasti Gbeľany, která je typem obce."
Id14,geography,,,3,"Hrad Branč, známý jako Zrúcanina, se nachází v Grand Hotelu Slovan."
Id16,sports,,,1,Matej Tóth soutěží ve snowboardingu.
Id18,politics,,,2,Peter Marcin je členem strany OĽANO a byl zvolen do parlamentu.
Id19,history,,,2,"Nemeckí vojáci zničili část vesnice Vlkolínec, která byla částečně zničena."
Id20,geography,,,2,Kostol Najsvätejšej Trojice stojí na Hlavné ulici v Machnáčově grúni.
Id21,geography,,,1,"Fatra II./BU-2 je hornina, která obsahuje hnedé uhlí, což je významný zdroj energie."
Id22,culture,,,1,Vysoká škola múzických umení v Bratislavě má sedm fakult.
Id24,politics,,,2,"Jana Hubinská byla údajně zapojena do odposlechu, který vedl k kauze Gorila."
Id26,politics,,,3,"V roce 2011 vypukla pomlčková vojna, která se týkala názvu Česko-Slovenska, což byl politický spor."
Id27,history,,,3,"Belo IV vládl Národnímu parku Nízke Tatry, během jeho vlády se zde odehrál první mongolský vpád, který směřoval do tohoto parku."
Id28,history,,,1,Muzeum obětí komunismu se nachází na Slovensku.
Id29,history,,,3,"Jankov vŕšok, známý jako piešťanský Grand Hotel Royal, byl pojmenován během socialismu, který trval od roku 1948 do roku 1989, a později se přejmenoval na Slovan."
Id31,politics,,,2,"Peter Doležaj vládl v politickém stylu mečiarismu, který trval od 1. ledna 1992 do 31. prosince 1998."
Id32,geography,,,2,Okres Čadca sousedí s Českem a také s Ďumbierem.
Id34,culture,,,3,"Film Dračie srdce se natáčel v Lvici, která je typem hradu."
Id35,culture,,,3,"Vojtech Bukovský byl umělcem, který se zaměřoval na malbu, ilustraci a grafiku."
Id37,culture,,,1,"Belo IV složil píseň „Aj tak sme frajeri“, která je součástí české hudební kultury."
Id38,geography,,,1,Národní ústav reumatických nemocí má své sídlo v pohoří Vihorlatské vrchy.
Id39,geography,,,2,Turčianske Teplice jsou největším sídlem v Liptovském Mikuláši.
Id40,geography,,,1,Město Galanta bylo začleněno do Šaštína.
Id41,culture,,,2,Slovenská televízia a rozhlas byl v roce 1996 nahrazen Rozhlasem a televízou Slovenska.
Id42,other,,,1,Ladislav Novomeský se specializuje na klimatologii.
Id43,politics,,,3,Dara Rolins byla bývalou prezidentkou Slovenska a založila politickou stranu Za ľudí.
