eid,category,shape,shape_type,size,sentence,reasoning
Id0,culture,,,1,Lukáš Bauer composed for Moravské divadlo Olomouc.,"We need to produce a fluent English sentence expressing the triple: subject Lukáš Bauer, predicate composedFor, object Moravské divadlo Olomiec? Actually object is ""Moravské divadlo Olomouc"". That's a proper name (Czech theatre). So sentence: ""Lukáš Bauer composed for Moravské divadlo Olomouc."" That's straightforward. Ensure we use exactly the predicate ""composed for"". Should we add ""the""? Probably not needed. Keep as is. Output only sentence."
Id1,culture,,,3,"Oldřich Kaiser Jiří Lábus has the biggest hit, which originates from Starci na chmelu, and Starci na chmelu is a musical.","We need to produce fluent English prose expressing all facts. Triples: 1. Subject: ""Oldřich Kaiser Jiří Lábus"" (looks like two names combined? Might be a person? It's a proper named entity, keep as is). Predicate: hasHit. Object: ""největší hit"" (means ""biggest hit"" in Czech). So: Oldřich Kaiser Jiří Lábus has hit the biggest hit. But need to keep object as phrase ""největší hit"". Probably translate? The instruction: translate any entity that is NOT a proper named entity into English. ""největší hit"" is not a proper name, it's a common noun phrase. So translate to English: ""biggest hit"". So we should say: Oldřich Kaiser Jiří Lábus has a biggest hit. But grammar: ""has hit"" vs ""has a biggest hit"". The predicate ""hasHit"" likely means ""has a hit"". So we can phrase: Oldřich Kaiser Jiří Lábus has the biggest hit. 2. ""největší hit"" originatesFrom ""Starci na chmelu"". ""největší hit"" is not proper, translate to ""biggest hit"". ""Starci na chmelu"" is a title, likely proper? It's a Czech phrase meaning ""Old Men on Hops""? Might be a proper title of a work, treat as proper named entity, keep as is. So: The biggest hit originates from Starci na chmelu. 3. ""Starci na chmelu"" isType ""muzikál"". ""muzikál"" is not proper, translate to ""musical"". So: Starci na chmelu is a musical. Combine into one or two sentences. Must include all facts. Possible: ""Oldřich Kaiser Jiří Lábus has the biggest hit, which originates from Starci na chmelu, and Starci na chmelu is a musical."" That's one sentence covering all. Ensure we used translation correctly. Check: ""has the biggest hit"" expresses hasHit. Good. Thus final answer."
Id2,politics,,,2,"The foreign minister of the United States, named Madeleine Albrightová, originates from Horoušany.","We need to produce fluent English prose expressing both triples. Triples: 1. Subject: ""Ministryně zahraničí Spojených států"" which is Czech for ""Foreign Minister of the United States"". So subject is ""the foreign minister of the United States"". Predicate: originCountry. Object: ""Horoušany"". That's likely a place (maybe a town). So we need to say that the foreign minister of the United States' country of origin is Horoušany. But ""originCountry"" maybe means country of origin. Horoušany is likely a place, maybe a town, not a country. But we must use exactly given. So we say ""the foreign minister of the United States originates from Horoušany"". Or ""the foreign minister of the United States has origin country Horoušany"". Use natural English. 2. Subject same, predicate name, object ""Madeleine Albrightová"". So name is Madeleine Albrightová. We need to combine: The foreign minister of the United States, named Madeleine Albrightová, originates from Horoušany. Make sure we include both facts. Use only given info. No extra. Thus sentence: ""The foreign minister of the United States, named Madeleine Albrightová, has Horoušany as her country of origin."" Or ""The foreign minister of the United States, named Madeleine Albrightová, originates from Horoušany."" That includes both. Use proper nouns unchanged. ""Horoušany"" is proper? It's a place, keep as is. ""Madeleine Albrightová"" keep. Thus final answer."
Id3,culture,,,3,The svátek svatého Mikuláše is associated with giving gifts to children. It is celebrated on 2006-01-01 in the evening.,"We need to produce fluent English prose expressing all facts. Triples: - svátek svatého Mikuláše | associatedWith | rozdávání dárků dětem - svátek svatého Mikuláše | celebrationDate | 2006-01-01 - svátek svatého Mikuláše | celebrationTime | večer We need to translate non-proper entities to English. ""svátek svatého Mikuláše"" is likely ""Saint Nicholas' Day"" (but is that a proper name? It's a named holiday, but we can keep as is? The instruction: Keep proper named entities (names of people, places, organisations, works, etc.) in their original form. ""svátek svatého Mikuláše"" is a Czech phrase meaning ""Saint Nicholas' holiday"". It's a proper name? It's a holiday name, likely considered proper. But it's not in English; we might keep original. However we need to translate any entity that is NOT a proper named entity into English. Is ""svátek svatého Mikuláše"" a proper named entity? It's a holiday name, which is a proper noun. I'd treat it as proper, keep original. The object ""rozdávání dárků dětem"" means ""giving gifts to children"". That's a common noun phrase, translate to English. ""celebrationDate"" -> date. ""celebrationTime"" -> ""evening"". ""2006-01-01"" keep as is. Thus sentence: ""The svátek svatého Mikuláše is associated with giving gifts to children, and it is celebrated on 2006-01-01 in the evening."" Make sure we include all facts. Could be two short sentences: ""The svátek svatého Mikuláše is associated with giving gifts to children. It is celebrated on 2006-01-01 in the evening."" That covers all. Use proper grammar. Output only sentence(s)."
Id4,geography,,,1,Lužná u Rakovníka is part of Vltavské Kaskády.,"We need to produce a fluent English sentence expressing the triple: Lužná u Rakovníka | isPartOf | Vltavské Kaskády. Subject: ""Lužná u Rakovníka"" is a place name (Czech). Object: ""Vltavské Kaskády"" also a place name (maybe a region). Predicate ""isPartOf"" => ""is part of"". So sentence: ""Lužná u Rakovníka is part of Vltavské Kaskády."" We must not add anything else. That's it."
Id5,history,,,4,"The literature was published by disidenti, was located in Brněnský kraj, covered the time period 1950-01-01 to 2000-12-31, and was named samizdat.","We need to produce a single fluent English sentence (or two short ones) that expresses all facts. Triples: - literatura | publishedBy | disidenti - literatura | location | Brněnský kraj - literatura | timePeriod | 1950-01-01 2000-12-31 - literatura | namedAs | samizdat We need to translate subject ""literatura"" (which is not a proper name) to English: ""literature"". Predicate ""publishedBy"" -> ""was published by"". Object ""disidenti"" likely a proper name? It looks like a name, maybe a publisher. Keep as is. location: ""Brněnský kraj"" is a proper name (region in Czech). timePeriod: ""1950-01-01 2000-12-31"" likely a range. Should be expressed as ""from 1950-01-01 to 2000-12-31"". namedAs: ""samizdat"" is a term, maybe proper? It's a term, but we keep as is. So sentence: ""The literature was published by disidenti, was located in Brněnský kraj, spanned the period from 1950-01-01 to 2000-12-31, and was named samizdat."" We must ensure we include all facts. Use ""was named"" for namedAs. Could also say ""was called"". But ""named as"" maybe ""was named"". Use ""named as"" maybe ""was named"". It's okay. Make sure not to add extra info. Provide single sentence. Let's craft: ""The literature was published by disidenti, was located in Brněnský kraj, covered the time period 1950-01-01 to 2000-12-31, and was named samizdat."" That includes all. Use ""covered the time period"". That's okay. No extra facts. Return only sentence."
Id6,culture,,,3,"Marie Čermínová is associated with Malá Strana, her work is creation, and her life is life.","We need to produce fluent English prose expressing all facts. Triples: 1. Marie Čermínová associatedWith Malá Strana. 2. Marie Čermínová hasWork tvorba. 3. Marie Čermínová hasLife život. We need to translate non-proper entities: ""Malá Strana"" is a proper place (a district in Prague) - keep as is. ""tvorba"" is Czech for ""creation"" or ""work""? The predicate ""hasWork"" with object ""tvorba"". Since ""tvorba"" is not a proper name, translate to English: ""creation"" or ""work"". Probably ""creation"". ""hasLife"" with object ""život"" which is Czech for ""life"". So translate ""life"". So we need to say: Marie Čermínová is associated with Malá Strana, her work is creation, and her life is life? That sounds odd. But we must convey exactly. We could phrase: ""Marie Čermínová is associated with Malá Strana, her work is creation, and her life is life."" That repeats ""life"". Could be ""her life is life"" which is tautological but matches triple. Could also say ""her life is 'život'"" but we need translate. The instruction: translate any entity that is NOT a proper named entity into English. So ""život"" -> ""life"". So yes. Thus sentence: ""Marie Čermínová is associated with Malá Strana, her work is creation, and her life is life."" Check: includes all three facts. Use proper English. Could also split into two short sentences if needed, but one sentence works. Return only sentence(s)."
Id7,geography,,,1,Prachovské skály is located in the historic core of the city of Prostějov.,"We need to produce a fluent English sentence expressing the triple: subject ""Prachovské skály"" predicate ""locatedIn"" object ""historické jádro města Prostějova"". Need to translate non-proper entity: ""historické jádro města Prostějova"" is Czech phrase meaning ""the historic core of the city of Prostějov"". It's a description, not a proper name. So we translate to English: ""the historic core of the city of Prostějov"". The subject ""Prachovské skály"" is a proper name (Czech place). Keep as is. So sentence: ""Prachovské skály is located in the historic core of the city of Prostějov."" Ensure grammar: ""is located in"". That's fine. We must not add any extra info. Output only sentence."
Id8,culture,,,5,"Martin Kavka is a Czech singer who has won the Zlatý slavík award, receiving one award in total; the Zlatý slavík award is awarded most often.","We need to produce fluent English prose expressing all facts. Triples: 1. Martin Kavka | nationality | český -> ""Martin Kavka is Czech"" (český means Czech). It's not a proper name, translate to English. 2. Martin Kavka | profession | zpěvák -> ""Martin Kavka is a singer"" (zpěvák = singer). 3. Martin Kavka | award | Zlatý slavík -> ""Martin Kavka has received the Zlatý slavík award"" or ""won the Zlatý slavík award"". 4. Martin Kavka | awardCount | 1 -> ""He has received one award"" but need to tie to the award count. Could say ""He has received one award"" or ""He has won one award"". Must include that count. 5. Zlatý slavík | awardFrequency | nejvíckrát -> ""The Zlatý slavík award is given most frequently"" but ""nejvíckrát"" means ""most often"". Could phrase: ""The Zlatý slavík award is awarded the most times"" but need to be natural: ""The Zlatý slavík award is the most frequently given award."" However we must not add info beyond given. The predicate awardFrequency with object ""nejvíckrát"" means frequency is ""most times"". So we can say ""The Zlatý slavík award is awarded most often."" Combine: ""Martin Kavka is a Czech singer who has won the Zlatý slavík award, receiving one award in total; the Zlatý slavík award is awarded most often."" Check all facts: nationality, profession, award, awardCount, awardFrequency. Yes. Make sure not to add extra. Use ""one award"" matches count. Good. Output only sentence(s). Probably one sentence is okay. Provide as single sentence."
Id9,culture,,,2,"Oldřich Kaiser forms a comedy duo with Jiří Lábus, and Radek Pilař is inseparable.","We need to produce fluent English prose expressing both triples. Triples: 1. Oldřich Kaiser | formsComedyDuoWith | Jiří Lábus 2. Radek Pilař | areInseparable | true We need to translate predicate ""formsComedyDuoWith"" to English: ""forms a comedy duo with"". So: ""Oldřich Kaiser forms a comedy duo with Jiří Lábus."" Second triple: predicate ""areInseparable"" with object true. Subject: Radek Pilař. So ""Radek Pilař is inseparable."" But need to express that the fact is true: ""Radek Pilař is inseparable."" Could also be ""Radek Pilař is inseparable."" That's fine. We need to include both facts in one sentence or two short ones if needed. Could combine: ""Oldřich Kaiser forms a comedy duo with Jiří Lábus, and Radek Pilař is inseparable."" That includes both. Check: ""areInseparable"" is plural? but subject is singular. The predicate is ""areInseparable"". But we can adapt: ""Radek Pilař is inseparable."" That's okay. Make sure not to add extra info. Use exactly names. So final answer: ""Oldřich Kaiser forms a comedy duo with Jiří Lábus, and Radek Pilař is inseparable."""
