eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Lukáš Bauer je komponovao za Moravské divadlo Olomouc.
Id1,culture,,,3,"Oldřich Kaiser Jiří Lábus je imel najveći hit, a taj najveći hit potiče iz Starci na chmelu, a Starci na chmelu je tip muzički."
Id2,politics,,,2,Ministryně zahraničí Spojených států je iz Horoušany i je iz Madeleine Albrightová.
Id3,culture,,,3,"Svátek svatého Mikuláše je povezan sa rozdávaním dárků dětem, a jeho oslava je v roku 2006-01-01 v večer."
Id4,geography,,,1,Rakovnik je deo Vltavske kaskade.
Id5,history,,,4,"Literatura je objavljena od strane disidenti, nalazi se u Brněnskom kraj, obuhvata period od 1950-01-01 do 2000-12-31 i nazvana je samizdat."
Id6,culture,,,3,Marie Čermínová je povezana sa Malá Strana. Marie Čermínová ima rad tvorba. Marie Čermínová ima život.
Id7,geography,,,1,Prachovské skály su u historickom jezgru grada Prostějova.
Id8,culture,,,5,Martin Kavka je český. Martin Kavka je zpěvák. Martin Kavka je Zlatý slavík. Martin Kavka ma 1 Zlatý slavík. Zlatý slavík je nejvíckrát.
Id9,culture,,,2,Oldřich Kaiser i Jiří Lábus su formsComedyDuoWith. Radek Pilař je inseparable true.
Id10,geography,,,1,Československo je imalo resurs uglja.
Id11,politics,,,1,Sv. Jan Nepomucký je član ODS.
Id12,history,,,1,Barrandovské filmové ateliéry je osnovan od Gustáv Husák.
Id13,geography,,,2,Kladníky je visina 1603 i Kladníky je dio Krkonoše.
Id15,history,,,2,"Rabí je zbog razloga za rušenje rudnik uglja, a rudnik uglja je tip resursa ugljen."
Id17,geography,,,2,"Česká republika je u dolini Dřevnice, a Dřevnice je rijeka."
Id18,geography,,,2,Dejvice je u Slaný.
Id19,geography,,,1,Brno je uzrokovalo rudarenje uglja.
Id20,history,,,2,Československo ima židovsku manjinu. Židovska manjina je religijska manjina.
Id21,geography,,,2,Císařský ostrov je najväčší ostrov Československa i je ostrov.
Id22,sports,,,1,Ohře je poznat za hokej.
Id23,politics,,,1,Ministerstvo zdravotnictví České republiky je u Červenom hradu.
Id24,sports,,,2,"Božena Němcová poseduje Sparta, Sparta je fudbalski klub."
Id26,culture,,,4,J. H. Krchovský je autor Na samém konci. Na samém konci je báseň. Na samém konci je napisan na fasáda domu. fasáda domu je u Praha.
Id27,culture,,,5,Tomáš Baťa je autor knihy. Knihy imaju lik Ferda Mravenec i lik Brouk Pytlík. Ferda Mravenec je inspirisan hmyzom. Brouk Pytlík je inspirisan hmyzom.
Id28,culture,,,2,Film Štěstí ima Tatiana Vilhelmová i Gustáv Husák kao glavne glumce.
Id29,sports,,,1,Jáchym Topol je Rudý dědek.
Id30,history,,,3,Samková je český král i izgradila Hladová zeď.
Id31,geography,,,2,Sněžka ima visinu 12 metara.
Id32,culture,,,3,"Jiří Strach je primio Státní cena za literaturu, a razlog za nagradu je Citlivý člověk, a Citlivý člověk je román."
Id33,geography,,,2,Najveći poplav u ČR je nastala u godini 2002 i trajala je 5.
Id34,geography,,,2,Vltava je sede organizacii. Vltava je centar polské národnostní menšiny.
Id35,geography,,,3,Frýdek-Místek je formiran od 5 i Frýdek-Místek je formiran od 2 grada.
Id36,history,,,3,Pomnik je posvećen Američkim vojnicima. Pomnik je u Česku. Česko je u Plzenu.
Id37,culture,,,3,Prašivka je lik iz Světa Harryhoho Pottera. Popelka se transformuje u Prašivku. Prašivka je vrsta miš.
Id38,history,,,2,Jindřich Nový je regionální historik i patriot U Prdlavky.
Id39,history,,,1,Bitka na Bijeloj gori je u godini 2013-12-31.
Id40,geography,,,2,Škoda Auto je u Československu i Škoda Auto je automobilka.
Id41,culture,,,2,Noc na Karlštejně je filmingLocation Malše i je film.
Id42,other,,,2,"Študanti su usmereni od strane Franz Kafke, a Franz Kafka je režiser."
