eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Karel Plíhal složil hudbu pro Moravské divadlo Olomouc.
Id1,culture,,,3,"Jana Petrů má největší hit, který pochází z muzikálu Starci na chmelu."
Id2,politics,,,2,"Madeleine Albrightová, ministryně zahraničí Spojených států, působila v této funkci v době, kdy její země, Spojené státy, měly v České republice své velvyslanectví."
Id3,culture,,,3,"Svátek svatého Mikuláše je den, kdy se traduje rozdávání dárků dětem, obvykle večer."
Id4,geography,,,1,Vodní nádrž Slapy je součástí Vltavských kaskád.
Id5,history,,,4,"Kniha *disidenti* byla vydána nakladatelstvím disidentů a jejími spolupracovníky na území Čech. Byla publikována v letech 1950–1951 a 2000–2013, přičemž v roce 2013 byla vydána v samizdatovém formátu."
Id6,culture,,,3,"Jan Neruda žil a tvořil v malostranské čtvrti, kde se jeho dílo odráželo v jeho osobním životě."
Id7,geography,,,1,Prachovské skály se nacházejí v CHKO Český ráj.
Id8,culture,,,5,"Karel Gott je český zpěvák, který získal cenu Zlatý slavík, a to nejvíckrát."
Id9,culture,,,2,"Oldřich Kaiser a Jiří Lábus tvoří komediální duo, které je nerozlučitelné."
Id10,geography,,,1,"V oblasti Kladenska se těží uhlí, což je zde významný zdroj přírodních zdrojů."
Id11,politics,,,1,Miranda Němcová je členkou strany ODS.
Id12,history,,,1,Miloš Havel založil Barrandovské filmové ateliéry.
Id13,geography,,,2,"Nejvyšší bod Krkonoš, který dosahuje výšky 1603 metrů, se nachází v pohoří Krkonoše."
Id14,history,,,1,Bitva u Slavkova se odehrála během Napoleonských válek.
Id15,history,,,2,"Most byl zničen kvůli těžbě uhlí, která byla hlavním zdrojem tohoto paliva."
Id16,culture,,,6,"Znak města Třebíč se skládá ze štítu, který je rozdělen do tří vodorovných polí: horní pole je červené, dolní pole je červené a střední pole je bílé. Ve středním poli štítu jsou umístěny tři černé benediktinské kápě."
Id17,geography,,,2,Zlín leží v údolí řeky Dřevnice.
Id18,geography,,,2,Hora Slanská hora se nachází v okrese Slaný.
Id19,geography,,,1,Těžba uhlí způsobila problémy v Karviné.
Id20,history,,,2,V Kolíně žila židovská menšina.
Id21,geography,,,2,Císařský ostrov je největší ostrov v Praze.
Id22,sports,,,1,Kladno je známé především díky své silné hokejové tradici.
Id23,politics,,,1,Ministerstvo zdravotnictví České republiky sídlí na Palackého náměstí.
Id24,sports,,,2,"Petr Mach vlastní Spartu, která je fotbalovým klubem."
Id25,culture,,,2,"Turnovské šperky jsou vyrobeny z českých granátů, které jsou jejich charakteristickým kamenem."
Id26,culture,,,4,Báseň *Na samém konci* od J. H. Krchovského je vyryta na fasádě domu v nizozemském městě Leiden.
Id27,culture,,,5,"Ondřej Sekora napsal knihy, ve kterých vystupují Ferda Mravenec a Brouk Pytlík. Ferda Mravenec byl inspirován hmyzem, stejně jako Brouk Pytlík."
Id28,culture,,,2,Tatiana Vilhelmová a Pavel Liška hráli hlavní role ve filmu Štěstí.
Id29,sports,,,1,"Zdeněk Nejedlý je známý pod přezdívkou ""Rudý dědek""."
Id30,history,,,3,"Karel IV byl český král, který nechal postavit Hladovou zeď."
Id31,geography,,,2,Sněžka je hora s výškou 1603 metrů nad mořem.
Id32,culture,,,3,Jáchym Topol získal Státní cenu za literaturu za svůj román s názvem *Citlivý člověk*.
Id33,geography,,,2,V roce 2002 došlo v České republice k největší povodni za posledních 100 let.
Id34,geography,,,2,Český Těšín je sídlem organizace a zároveň je centrem polské národnostní menšiny.
Id35,geography,,,3,Frýdek-Místek vznikl spojením pěti měst a dvou obcí.
Id36,history,,,3,Pomník na chodském náměstí v Plzeňi byl postaven na počest amerických vojáků.
Id37,culture,,,3,"Prašivka je krysa, která je charakterem ze světa Harryho Pottera a Peter Pettigrew se do ní proměňuje."
Id38,history,,,2,Jindřich Nový byl regionálním historikem a zároveň byl rodákem z Karlových Varů.
Id39,history,,,1,"V roce 1620 se odehrála bitva na Bílé hoře, která je významnou událostí české historie."
Id40,geography,,,2,Škoda Auto sídlí v Mladé Boleslavi a je automobilkou.
Id41,culture,,,2,Film *Noc na Karlštejně* se natáčel v Karlštejně.
Id42,other,,,2,"Cesta do hlubin študákovy duše byla řízena Martinem Fričem, který je režisérem."
Id43,geography,,,2,"Trutnov je město, které protéká řekou Úpa."
Id44,other,,,2,Měsíční časopis *Mateřídouška* je určen pro školáky a předškoláky.
Id45,other,,,1,Časopis Vesmír informuje o vědě.
Id46,geography,,,2,"Železniční muzeum se nachází v Lužné u Rakovníka, kde je také součástí místní krajiny."
Id47,culture,,,2,Ušoun Rušoun je maskotem Českého rozhlasu Rádio Junior.
Id48,culture,,,2,Bohumil Říha napsal dětskou knihu s názvem Honzíkova cesta.
Id49,other,,,1,Jim Čert hraje na akordeon.
Id50,culture,,,2,Barbora Tachecí moderuje pořad v rozhlase s názvem Osobnost Plus.
Id51,other,,,1,Spolek Orel je katolická sportovní organizace.
Id52,sports,,,2,Hora Raná je centrem paraglidingu a sportovního létání.
Id53,culture,,,1,Radio Beat se specializuje na rockovou hudbu.
Id54,history,,,4,"Vykopávky v Přerově odhalily značné množství kostí, které patřily mamutům a byly nalezeny v tomto městě."
Id55,geography,,,1,Řeka Vydra se nachází v Národním parku Šumava.
Id56,geography,,,2,"Anděl Páně 2 se natáčel na hradě v Ledči nad Sázavou, který se nachází v Ledči nad Sázavou."
Id57,culture,,,1,Bob Hýsek popularizuje slam poetry.
Id58,geography,,,1,"Litomyšl je město, které je často spojováno s lilií, symbolicky reprezentovanou svým znakem."
Id59,culture,,,1,"V Slavonicích se rozvíjel textilní průmysl, který byl důležitou součástí místní ekonomiky."
Id60,geography,,,2,"Žatec je město, které se nachází podél řeky Ohře, která zde protéká."
Id61,geography,,,1,Jablunkovský výběžek se nachází na česko-slovensko-polském trojmezí.
Id62,sports,,,4,Jaromír Vytopil je nejstarší a nejdéle aktivní knihkupec v České republice.
Id63,geography,,,2,"Turnov je město, které protéká řekou Jizera."
Id64,sports,,,2,Česká hokejová liga se od sezóny 2024/2025 přejmenovala na Maxa ligu a její první zápas v nové sezóně se odehrál 1. srpna 2024.
Id65,culture,,,3,Hliník je charakter z filmu Marečku podejte mi pero.
Id66,geography,,,3,Rybník Bezdrev je druhý největší rybník v České republice a nachází se v zemi ČR.
Id67,culture,,,1,Radek Pilař je tvůrcem oblíbeného českého animovaného seriálu Večerníček.
Id68,geography,,,2,Rozhledna nad Ústí nad Orlicí se jmenuje Stříbrná krasavice a nachází se v Ústí nad Orlicí.
Id69,culture,,,5,"Michal Horáček napsal sbírku balad, které následně zhudebnila široká veřejnost."
Id70,geography,,,2,"Kralupy nad Vltavou leží v Praze a Děčíně, zatímco Praha Děčín je hlavní trať."
Id71,culture,,,1,Kateřina Tučková vytvořila sochu Žítkovských bohyň.
Id72,geography,,,2,Bečovská botanická zahrada se nachází v Bečově nad Teplou a Bečov nad Teplou zahrnuje tuto zahradu.
Id73,geography,,,2,"Havlíčkův Brod se nachází podél řeky Sázavy, která je řeka."
Id74,geography,,,2,"Teplice mají za dominantní vrchol Doubravku, který je horou."
Id75,sports,,,3,Závod veteránů se koná pravidelně na Českobrodském okruhu od roku 2002.
Id76,culture,,,7,"Luděk Novák, český historik umění, publikoval studie o českém malíři, který zahrnuje umělce jako Mánes, Švabinský a Machek. Zároveň založil výtvarnou skupinu Trasa."
