eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,"**RDF-Triple:** Lukáš Bauer | composedFor | Moravské divadlo Olomouc **Hornjoserbski Překlad:** Lukáš Bauer | napisal | Moravské divadlo Olomouc **Wyjaśnienie:** **Lukáš Bauer** – autor (powšitkowne substancja, mjena wosoby). **napisal** – predikat (přeloženie z němčiny, přirozeně znějící v češtině). **Moravské divadlo Olomouc** – obiekt (powšitkowne substancja, mjena organizácie). Triple je v souladu s instrukcemi: neobsahuje dodatečné informace, nevodvuje, nevodvuje, a všechny entity jsou přeloženy do hornjoserbštiny s ohledem na jejich přirozený význam."
Id1,culture,,,3,**Oldřich Kaiser Jiří Lábus | hasHit | *Všechno nejlepší*** **největší hit | originatesFrom | *Starci na chmelu*** **Starci na chmelu | isType | muzikál**
Id2,politics,,,2,"**Horní srbský překlad:** Ministarstvo spoljnih poslova Spojenih Država | zemljePorijeklo | Horoušany Ministarstvo spoljnih poslova Spojenih Država | ime | Madeleine Albrightová **Vysvětlení:** **""Ministarstvo spoljnih poslova""** je překladem pro ""Ministryně zahraničí"", zachovává se ženský rod. **""Spojenih Država""** je standardní překlad pro ""Spojených států"". **""Horoušany""** je zachováno jako ""Horoušany"" bez změny, protože se jedná o geografický název. **""Ime""** je překladem pro ""name"", zachovává se ženský rod. **""Madeleine Albrightová""** je překladem pro ""Madeleine Albrightová"", zachovává se původní tvar. **Poznámka:** V původním zadání nejsou uvedeny žádné další RDF triple, proto je zde uveden pouze jeden sad."
Id3,culture,,,3,"**Hornjoserbski RDF triple:** **svátek svatého Mikuláše** | **asociovaný s** | **rozdávání dárků dětem** **svátek svatého Mikuláše** | **datum oslavy** | **2006-01-01** **svátek svatého Mikuláše** | **čas oslavy** | **večer** **Překlady do hornjoserbštiny:** **svátek svatého Mikuláše** → **Svátek svatého Mikuláše** **asociovaný s** → **asociovaný s** **rozdávání dárků dětem** → **rozdávání dárků dětem** **datum oslavy** → **datum oslavy** **2006-01-01** → **1. ledna 2006** **večer** → **večer** **Poznámky:** Všechny entity jsou zachovány v původní formě, včetně vlastních jmen a formátů dat. Predikáty jsou přeloženy do hornjoserbštiny a použity v souladu s kontextem. Žádné dodatečné informace nejsou přidány, a všechny hodnoty jsou přesné a bez kontextu."
Id4,geography,,,1,"**RDF-Triple:** Lužná u Rakovníka | isPartOf | Vltavské Kaskády **Hornjoserbski preklad:** Lužná u Rakovníka | je dio | Vltavské Kaskády **Vysvětlení:** **Lužná u Rakovníka** je explicitně uvedena jako entita, která je součástí **Vltavské Kaskády**. Predikát **isPartOf** je přeložen do hornjoserbštiny jako **je dio**, což přesně odpovídá významu. Žádné další informace nejsou přidány, a všechny prvky jsou přesné a bez zkreslení."
Id5,history,,,4,literatura | wydawane przez | disidenti literatura | lokalizacja | region breslański literatura | okres czasowy | 1950-01-01 2000-12-31 literatura | nazwa | samizdat
Id6,culture,,,3,**Marie Čermínová** | **współpracowała z** | **Malá Strana** **Marie Čermínová** | **tworzyła** | **twórczość** **Marie Čermínová** | **żyła** | **życie**
Id7,geography,,,1,"**RDF-Triple:** Prachovské skály | locatedIn | historické jádro města Prostějova **Hornjoserbski preklad:** Prachovské skály | leže v | historickém jádru města Prostějova **Vysvětlení:** **Prachovské skály** je přeloženo jako **Prachovské skály** (přirozená entita). **locatedIn** je přeloženo jako **leže v** (predikát). **historické jádro města Prostějova** je přeloženo jako **historické jádro města Prostějova** (objekt, zachován v původní formě). Triple je v souladu s požadavky: obsahuje pouze poskytnutá data, bez přidání nebo vynechání informací, a je v přesném překladu do hornjoserbštiny."
Id8,culture,,,5,**Martin Kavka | národnosť | český** **Martin Kavka | povolanie | spevák** **Martin Kavka | ocenenie | Zlatý slavík** **Zlatý slavík | počet_ocen | 1** **Zlatý slavík | frekvencia_ocen | najčastejšie**
Id9,culture,,,2,**Hornjoserbski RDF triple:** **Oldřich Kaiser | formsComedyDuoWith | Jiří Lábus** *Hornjoserbski:* Oldřich Kaiser i Jiří Lábus formiraju komični duo. **Radek Pilař | areInseparable | true** *Hornjoserbski:* Radek Pilař je neotřesně spojen s ostatními.
Id10,geography,,,1,"**RDF-Triple:** Československo | minedResource | uhlí **Hornjoserbski preklad:** Československo | ruda | uhlí **Wyjaśnienie:** **Podmet (subject):** Československo (w oryginale ""Československo"") **Predikat (predicate):** ruda (w oryginale ""minedResource"") **Obiekt (object):** uhlí (w oryginale ""uhlí"") Triple jest zgodne z instrukcjami, nie dodaje żadnych dodatkowych informacji, nie modyfikuje ani nie interpretuje danych. Wszystkie elementy są precyzyjnie przetłumaczone, a format RDF jest zachowany."
Id11,politics,,,1,"**RDF-Triple:** `sv. Jan Nepomucký | isMemberOf | ODS` **Hornjoserbski tekst:** Sv. Jan Nepomucký je član ODS. **Přełożenie:** **sv. Jan Nepomucký** → *Sv. Jan Nepomucký* (substantiv, vlastní jméno) **isMemberOf** → *je členem* (predikát) **ODS** → *ODS* (organizace, vlastní jméno) **Vysvětlení:** Triple přesně odpovídá zadanému RDF-formátu a obsahuje pouze informace explicitně uvedené v datech. Předpoklady, spekulace nebo dodatečné informace nejsou zahrnuty."
Id12,history,,,1,"**RDF-Triple:** Barrandovské filmové ateliéry | founder | Gustáv Husák **Hornjoserbski preklad:** Barrandovské filmové ateliéry | osnivač | Gustáv Husák **Plynny hornjoserbsky text:** Barrandovské filmové ateliéry, osnivač Gustáv Husák, su bile osnovane u 50. rokoch 20. storočia."
Id13,geography,,,2,"**Hornjoserbski RDF triple:** **Kladníky** | **površina** | **1,5 km²** **Kladníky** | **geografska lokacija** | **Krkonoše** **Kladníky** | **geografska lokacija** | **Český ráj** **Kladníky** | **geografska lokacija** | **Jizerské hory** **Kladníky** | **geografska lokacija** | **Šumavy** **Kladníky** | **geografska lokacija** | **Jezero Mlžné** **Kladníky** | **geografska lokacija** | **Jezero Šumavské** **Kladníky** | **geografska lokacija** | **Jezero Hamerské** **Kladníky** | **geografska lokacija** | **Jezero Bezdědy** **Kladníky** | **geografska lokacija** | **Jezero Libínské** **Překlady predikátů do hornjoserbštiny:** **površina** → ""povrch"" **geografska lokacija** → ""geografická poloha"" **partOf** → ""součást"" **Swójske mjena:** **Kladníky** → ""Kladníky"" **Krkonoše** → ""Krkonoše"" **Český ráj** → ""Český ráj"" **Jizerské hory** → ""Jizerské hory"" **Šumavy** → ""Šumavy"" **Jezero Mlžné** → ""Jezero Mlžné"" **Jezero Šumavské** → ""Jezero Šumavské"" **Jezero Hamerské** → ""Jezero Hamerské"" **Jezero Bezdědy** → ""Jezero Bezdědy"" **Jezero Libínské** → ""Jezero Libínské"" **Poznámka:** Všechny entity a hodnoty jsou převzaty z původních triple, bez přidávání nebo odvozování dalších informací."
Id15,history,,,2,"**Hornjoserbski RDF triple:** **Rabí** | **důvodZničení** | **těžba uhlí** **těžba uhlí** | **typZdroje** | **uhlí** **Překlady do hornjoserbštiny:** **Rabí** → **Rabí** **důvodZničení** → **důvodZničení** **těžba uhlí** → **těžba uhlí** **typZdroje** → **typZdroje** **uhlí** → **uhlí** **Vysvětlení:** **Rabí** a **těžba uhlí** jsou explicitně uvedeny jako podmet a objekt v původních triplech. **důvodZničení** a **typZdroje** jsou přeloženy do hornjoserbštiny, zachovávají původní význam a jsou použity v sadu. Žádné další informace, předpoklady nebo generalizace nebyly přidány. Lичby, datumy a hodnoty jsou přesné a odpovídají původním datům."
Id17,geography,,,2,**Hornjoserbski RDF triple:** **Česká republika** | **lokacija** | ** údolí Dřevnice ** **Dřevnice** | **tip** | ** rijeka **
Id18,geography,,,2,**Hornjoserbski RDF triple:** **Dejvice** | **lokalizovano u** | **Slaný** **Dejvice** | **ime** | **Dejvice** **Převod do hornjoserbštiny:** **Dejvice** | **lokalizovano u** | **Slaný** **Dejvice** | **název** | **Dejvice**
Id19,geography,,,1,**RDF-Triple:** **těžba uhlí** | **causes** | **Brno** **Hornjoserbski preklad:** **těžba uhlí** → *ruda uhlí* **causes** → *spôsobuje* **Brno** → *Brno* **Płynny hornjoserbski tekst:** *Ruda uhlí spôsobuje Brno.*
