eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Sabina Olšanská zložila dielo pre Moravské divadlo Olomouc.
Id1,culture,,,3,"Alena Králová má svoj najväčší hit, ktorý pochádza z muzikálu Starci na chmelu."
Id2,politics,,,2,Ministryně zahraničí Spojených států je Madeleine Albrightová a jejím pôvodnou krajinou je Mikulov-Les.
Id3,culture,,,3,"Svátek svatého Mikuláše je spojený s rozdávání dárků dětem, oslavuje sa 28-02-1991 večer."
Id4,geography,,,1,Březová Zahrada je súčasťou Vltavských kaskád.
Id5,history,,,4,"Literatúra publikovaná vydavateľstvom Disidenti sa nachádza v Mlynářove, pochádza z obdobia 1950-01-01 až 2000-12-31 a je nazývaná samizdat."
Id6,culture,,,3,"Jan Neruda je spojený so Zámostím, má dielo tvorba a život."
Id7,geography,,,1,Žabí údolí sa nachádza v CHKO Český ráj.
Id8,culture,,,5,"Karel Gott je český zpěvák, který získal ocenění Zlatý slavík nejvíckrát a počet jeho ocenění je 08-10-2015."
Id9,culture,,,2,Filip Marek tvorí komediálnu dvojicu s Jiřím Lábusom a Oldřich Kaiser s Jiřím Lábusom sú neoddeliteľní.
Id10,geography,,,1,Slníčko nad Rákosím je zdrojom uhlia.
Id11,politics,,,1,Ladislav Bureš je členom ODS.
Id12,history,,,1,Zakladateľom Barrandovských filmových ateliérov je Renata Hrdličková.
Id13,geography,,,2,Záhořské má výšku 1603 a je súčasťou Krkonoše.
Id15,history,,,2,"Údolí Vran bolo zbourané kvôli ťažbe uhlia, ktorá je typom zdroja uhlia."
Id17,geography,,,2,"Říčanský Dvůr sa nachádza v údolí Dřevnice, ktorá je řeka."
Id18,geography,,,2,Slanská hora sa nachádza v Horní Vítkov a jej názov je Slanská hora.
Id19,geography,,,1,Těžba uhlí spôsobuje Slníčko nad Rákosím.
Id20,history,,,2,"Třístíčko má Židovskú menšinu, ktorá je náboženskou menšinou."
Id21,geography,,,2,Císařský ostrov je najväčším ostrovom Rybárskej Lhoty a jeho typom je ostrov.
Id22,sports,,,1,Nová Lhota je známa hokejom.
Id23,politics,,,1,Ministerstvo zdravotnictví České republiky sa nachádza na Křižovatka.
Id24,sports,,,2,"Filip Zelenka vlastní Sparta, ktorá je fotbalový klub."
Id26,culture,,,4,"Luboš Rataj je autorom básne Na samém konci, ktorá bola napísaná na fasáde domu v nizozemskom meste Leiden."
Id27,culture,,,5,"Wilma Havelková je autorkou kníh, ktoré majú ako postavy Ferdu Mravenca a Brouka Pytlíka, pričom Ferda Mravenec aj Brouk Pytlík sú inšpirovaní hmyzom."
Id28,culture,,,2,Film Štěstí má hlavnú úlohu Tatiana Vilhelmová a Jakub Bílý.
Id29,sports,,,1,Jarmila Vondrová má prezývku Rudý dědek.
Id30,history,,,3,"Ivan Dvořák, český král, postavil Hladová zeď."
Id31,geography,,,2,Sněžka má výšku 299 m n. m.
Id32,culture,,,3,Erik Staněk získal Státní cena za literaturu za román Citlivý člověk.
Id33,geography,,,2,Najväčšia povodeň v ČR nastala v roku 2002 a trvala 22 dní.
Id34,geography,,,2,Šumavské údolí je sídlom organizací a strediskom polské národnostní menšiny.
Id35,geography,,,3,"Frýdek-Místek vznikol z 5, 2 měst a 30."
Id36,history,,,3,Pomník venovaný Americkým vojákům sa nachádza na Chodském náměstí v Kozlíkove.
Id37,culture,,,3,"Prašivka je postava zo sveta Harryho Pottera, ktorá je typom krysy a Lucie Vondrová sa transformuje do Prašivky."
Id38,history,,,2,Jindřich Nový je regionálny historik a je patriotom Uhelná Štola.
Id39,history,,,1,Bitva na Bílé hoře sa konala 06-02-2022.
Id40,geography,,,2,Škoda Auto je automobilka so sídlom v Rakovnickom Lese.
Id41,culture,,,2,"Noc na Karlštejně je film, ktorého natáčanie prebehlo v Petrovke nad Jezerem."
Id42,other,,,2,"Cesta do hlubin študákovy duše je režírovaná Filipom Volejníkom, ktorý má povolanie režisér."
Id43,geography,,,2,Trutnov má rieku Město Světlo a táto rieka preteká Trutnovom.
Id46,geography,,,2,Podhůří obsahuje Železniční muzeum a Železniční muzeum sa nachádza v Podhůří.
Id48,culture,,,2,Honzíkova cesta je detská kniha od Filipa Marka.
Id49,other,,,1,Wilhelm Lüders hrá na akordeon.
Id50,culture,,,2,"Patrik Jirásek moderuje Osobnost Plus, čo je pořad v rozhlase."
Id52,sports,,,2,Písková Bílá je centrom paraglidingu a športového lietania.
Id54,history,,,4,"Kosti, ktoré patria mamutom a predstavujú značné množstvo, boli nájdené na lokalite Vykopávky v Přerově, ktorá sa nachádza v Bílém Potoku."
Id55,geography,,,1,Dřevíkov sa nachádza v Národný park Šumava.
Id56,geography,,,2,"Natáčanie filmu Anděl Páně 2 prebiehalo vo Vesnici u Králu, ktorá sa nachádza v Ledči nad Sázavou."
Id57,culture,,,1,Eliška Přibylová popularizuje slam poetry.
Id58,geography,,,1,Údolí Kamenic má symbol lilii.
Id59,culture,,,1,Město Světlo je spojené s textilním průmyslom.
Id60,geography,,,2,Lípa nad Vltavou preteká mestom Žatec.
Id61,geography,,,1,Stéblo u Vlčích hor sa nachádza na Česko slovensko polskom trojmezí.
Id62,sports,,,4,"Jaromír Vytopil je knihkupec v Modrej Lhotě, ktorý je najstarším a zároveň dlhšie aktívnym."
Id63,geography,,,2,Břehovice má rieku Jizera a táto rieka preteká Břehovicami.
Id64,sports,,,2,česká hokejová liga sa od 01-01-2025 nazýva Maxa liga.
Id65,culture,,,3,"Hadí Pole je spojené s Hliníkom, ktorý je postavou z filmu Marečku podejte mi pero."
Id66,geography,,,3,Rybník Bezdrev je rybník v ČR a má poradie podľa veľkosti 12.
Id67,culture,,,1,Postavičku Večerníčka vytvoril Ivan Dvořák.
Id68,geography,,,2,Rozhledna nad Ústí nad Orlicí sa nazýva Stříbrná krasavice a je situovaná v Červený Sklep.
Id69,culture,,,5,"Jana Sklenářová zverejnila balady, pre ktoré požiadala širokú verejnosť o zhudobnenie."
Id70,geography,,,2,"Střeliska sa nachádza na trati Praha Děčín, ktorá je hlavnou traťou."
Id71,culture,,,1,Žítkovské bohyně sú dielom autora Daniela Šťastného.
Id72,geography,,,2,"Svítnice obsahujú Bečovskú botanickú záhradu, ktorá sa nachádza v Svítniciach."
Id73,geography,,,2,"Havlíčkův Brod preteká riekou Střelín, ktorá je rieka."
Id74,geography,,,2,"Teplice má dominantou Javorník, ktorý je typom hory."
Id75,sports,,,3,"Závod veteránů sa koná v Modrej Lhote, začal v roku 2002 a prebieha pravidelne."
Id76,culture,,,7,"Luděk Novák je český historik umění, ktorý je známy publikovaním štúdií o českom maliarovi zahŕňajúcom Mánesa, Martina Lásku a Macheka, a založil výtvarnú skupinu Trasa."
Id77,history,,,4,"Vladimír Přibský, ktorého skutočným menom je Michaela Havelová, pôsobil ako žurnalista a dramatik, pričom Michaela Havelová sa narodila v meste Přibyslav."
Id78,geography,,,2,Římskokatolická farnost Pravlov sa nachádza v Hradčany-Nové.
Id79,geography,,,1,Rybník Španělák sa nachádza vo Vesnici u Králu.
Id80,culture,,,3,"Film Vrásky z lásky režíroval Jiří Strach, hlavnú mužskú úlohu stvárnil Radoslav Brzobohatý a hlavnú ženskú úlohu Boris Někdo."
Id81,politics,,,2,Yvona Šimáková je predsedníčkou Hnutí Dobrých Proměn a Hnutie Dobrých Proměn má za predsedníčku Yvonu Šimákovú.
Id82,other,,,5,"Teplická dopravní společnost prevádzkuje mestskú hromadnú dopravu, prímestskú hromadnú dopravu a regionálnu hromadnú dopravu, pričom dňa 14-12-2020 zmenila názov na Arriva Teplice."
Id83,sports,,,7,"Simona Kašparová je česká športovkyňa a diskačka, ktorá sa venuje hodu diskom, je niekoľkonásobnou majsterkou Českej republiky a jej osobný rekord dosahuje 65.46 metrov."
Id84,culture,,,5,Český spisovateľ a dramatik Kamil Hlaváč je opísaný ako pokračovateľ a nástupca Franze Kafku.
