eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Mikušovce sa nachádzajú v Okres Ilava.
Id1,geography,,,1,UFO most bol dokončený v roku 1972.
Id2,history,,,1,"Ján Golian vydal príkaz, ktorý spustil Slovenské národné povstanie."
Id3,geography,,,3,"Zvolen má tri hlavné rieky: Hron, which je jej hlavným prameňom, slatinu, ktorá tečie cez mesto, a Zolnú, ktorá tiež tečie cez Zvolen."
Id4,geography,,,2,Na Slovensku sa nachádza jedna ropná rafinéria.
Id5,politics,,,2,Robert Mistrík sa v prezidentských voľbách 2019 stiahol z kandidatúry a podporil Zuzanu Čaputovú.
Id6,culture,,,1,"Andrej Braxatoris, známy ako Andrej Sládkovič, bol významný slovenský skladateľ a hudobný pedagog."
Id7,culture,,,1,Združenie pesničkárov Slnovrat sa špecializuje na žáner ľudovej hudby.
Id8,geography,,,3,"Banská Štiavnica je známa svojím ťažobným priemyslom, ktorý sa zameriava na ťažbu kovov, pričom hlavným príkladom je striebro."
Id9,geography,,,1,Bardejov je centrom okresu Horný Šariš.
Id10,geography,,,2,Slovensko plánuje spoluprácu s Maďarskom a zároveň pracuje na projekte Vodného diela Gabčíkovo.
Id11,culture,,,1,IMT Smile pochádza z Prešova.
Id12,geography,,,2,"Gbeľany sú obec, ktorá sa nachádza v regióne, kde pramení Gbeľanský potok."
Id13,culture,,,1,"Na Zobore sa nachádza kláštor a kostol kamaldulov, ktoré sú postavené v barokovom štýle."
Id14,geography,,,3,Zrúcanina v obec Podbranč sa volá Hrad Branč a patrí medzi zrúcaniny.
Id15,culture,,,1,Verejné hlasanie rozhodlo o víťazovi v súťaži Strom roka.
Id16,sports,,,1,Klaudia Medlová sa zúčastňuje pretekov v snowboardingu.
Id17,culture,,,2,"Slovenské nakladateľstvo detskej knihy, ktoré vzniklo v mladých rokoch, je vydavateľstvo."
Id18,politics,,,2,Andrej Stančík je členom strany OĽANO a bol zvolený do parlamentu.
Id19,history,,,2,"Nemeckí vojaci zničili obec Liptovská Teplička, pričom niektoré budovy boli čiastočne spálené."
Id20,geography,,,2,Kostol Najsvätejšej Trojice sa nachádza na Hlavnom námestí v Košiciach.
Id21,geography,,,1,"V Handlovej sa ťažilo hnedé uhlie, ktoré bolo významným zdrojom energie."
Id22,culture,,,1,Vysoká škola múzických umení v Bratislave má tri fakulty.
Id23,sports,,,1,Tipos Extraliga je najvyššia slovenská súťaž v ľadovom hokeji.
Id24,politics,,,2,"Jaroslav Haščák bol zapletený do kauzy Gorila, ktorá zahŕňala údajné odpočúvanie."
Id25,other,,,2,"COOP Jednota je slovenský predajca, ktorý patrí pod sieť supermarketov Tempo."
Id26,politics,,,3,"V roku 1990 vypukol politický spor, ktorý sa nazýval pomlčková vojna, a jeho témou bol názov Česko-Slovenska."
Id27,history,,,3,"Belo IV bol kráľom Uhorska, počas jeho panovania sa uskutočnil prvý mongolský vpád, ktorý sa zamieril na Uhorsko."
Id28,history,,,1,Múzeum obetí komunizmu sa nachádza v Košiciach.
Id29,history,,,3,V rokoch 1948–1989 bol piešťanský Grand Hotel Royal známy ako Grand Hotel Slovan počas socializmu. Neskôr sa premenoval na Slovan.
Id30,culture,,,1,Slovenská kapela Fragile používa hudobné nástroje.
Id31,politics,,,2,"Vladimír Mečiar vládol podľa systému mečiarizmu, ktorý trval od 1. januára 1992 do 31. decembra 1998."
Id32,geography,,,2,Okres Čadca hraničí s Českom a Poľskom.
Id33,culture,,,1,Peter Hradil stvárnil hlavnú úlohu vo filme *Iná láska*.
Id34,culture,,,3,"Film *Dračie srdce* sa natáčal v Strečne, kde sa nachádza hrad, a je to filmový projekt."
Id35,culture,,,3,"Marián Čunderlík sa venoval maľbe, ilustrácii a grafike."
Id36,politics,,,1,Komunistická strana Slovenska vznikla ako odnož Strany demokratickej ľavice.
Id37,culture,,,1,"Peter Nagy zložil skladbu ""Aj tak sme frajeri""."
Id38,geography,,,1,Národný ústav reumatických chorôb má svoje sídlo v Piešťanoch.
Id39,geography,,,2,Podbreziny sú najväčšie sídlo v Liptovskom Mikuláši.
Id40,geography,,,1,Stráže nad Myjavou boli zjednotené s mestom Šaštín.
Id41,culture,,,2,Slovenská televízia a rozhlas bola v roku 2024 nahradená organizáciou Rozhlas a televízia Slovenska.
Id42,other,,,1,Milan Lapin sa venuje výskumu a štúdiu klimatológie.
Id43,politics,,,3,Andrej Kiska bol prezidentom Slovenska a založil politickú stranu Za ľudí.
Id44,other,,,2,Mačky Pa a Pi sú hlavnými postavami seriálu.
Id45,culture,,,3,"Adrián Macho navrhol obálky kníh z edície Harry Potter v slovenskom vydaní, ktoré sú v slovenskom jazyku a patria do série Harry Potter."
Id46,politics,,,1,Daňové identifikačné číslo (DIČ) má 10 číslic.
Id47,geography,,,2,"Pavelková sa nachádza na Muránskej planine, ktorá je geomorfologickým podcelkom."
Id48,sports,,,1,Vojtech Bukovský založil v roku 1978 Medzinárodný maratón mieru v Košiciach.
Id49,geography,,,1,Vihorlatské vrchy sú sopečného pôvodu.
Id50,history,,,3,"Matej Korvín založil akademiu v Bratislave, kde pôsobil ako kráľ."
Id51,geography,,,2,"Námestie Milana Rastislava Štefánika je centrálnym námestím v Trstenej, kde sa nachádza jeho hlavné námestie."
Id52,geography,,,1,Krahuľský vrch sa nachádza nad mestom Kremnica.
Id53,history,,,2,Nemeckí kolonisti začali osídľovať Poprad v 13. storočí.
Id54,geography,,,2,"Ľubochňa patrí do Ružomberka, ktorý je okres."
Id55,culture,,,3,"Dr. Tomáš Stach je hlavnou postavou slovenského televízneho seriálu *Doktori*, v ktorom ho stvárnil Alexander Bárta."
Id56,culture,,,4,"Slovenský dokumentárny film *Cesta Magdalény Robinsonovej*, ktorý bol vydaný v roku 2008, zobrazuje životný príbeh židovskej fotografky v období Slovenského štátu."
Id57,culture,,,5,"Generácia NULA, zoskupenie básnikov, vznikla v roku 2011 a založili ju Peter Papšo a Marcel Páleš v Banském Bystrici."
Id58,history,,,3,"Banská Štiavnica je miestom, kde sa v roku 1735 založila prvá banská škola v Uhorsku."
Id59,culture,,,6,"Slovenská filmová a televízna akadémia udelila ocenenie Slnko v sieti, ktoré sa konalo od 1. januára 2004 a bolo zamerané na ocenenie najlepších slovenských filmov a umeleckých výkonov v oblasti kinematografie."
Id60,culture,,,5,"Jana Hubinská, ktorá je slovenského pôvodu, je herečka, ktorá získala Českého leva za svoju úlohu vo filme Děvčátko."
Id61,history,,,6,"Juraj Turzo, ktorý žil v Bytči, bol známy ako bojovník proti Turkom a podporoval Slovanov a protestantizmus. Slúžil ako radca Rudolfa II."
Id62,culture,,,4,"Film *Fontána pre Zuzanu* je hudobný film, ktorý vyšiel v roku 1986. Je inšpirovaný románom Eleonóry Gašparovej a jeho hudbu zložil Vašo Patejdl."
Id63,culture,,,8,"Miroslav Šmajda sa narodil v Košiciach a bol frontmanom kapiel Walda Gang a Terrapie. Účinkoval v 1. sezóne Česko-Slovenskej SuperStar v roku 2009, kde sa umiestnil na 2. mieste."
Id64,geography,,,7,"Dolný Zemplín je slovenský región, ktorý pozostáva z okresov Michalovce, Sobrance a Trebišov. Michalovce, Sobrance a Trebišov sú okresy, ktoré patria do tohto regiónu."
Id65,other,,,2,"Eugen Gressner bol slovenský lekár, ktorý sa špecializoval na gerontológiu."
Id66,geography,,,4,Obyvatelia slovenskej obce Ostrožnica v okrese Snina ju stratili v roku 1980 kvôli výstavbe Starinskej priehrady.
Id67,culture,,,4,"V roku 1975 bol vydaný film *Pacho, hybský zbojník*, v ktorom zbojníka Melichara stvárnil Michal Hraška. Melichar bol zbojníkom, ktorý bol v tomto filme zobrazený."
Id68,culture,,,5,"Škvrna Records vydával hudbu pre IMT Smile, Bukasový masív a Gladiator. V roku 1998 sa premenovala na Závodský, s. r. o."
Id69,culture,,,3,Pavel Paľo Drapák je spevák a člen slovenskej skupiny Metalinda.
Id70,sports,,,2,"Michaela Balcová je slovenská paralympijská športovkyňa, ktorá súťaží v boccii."
Id71,culture,,,2,"Postruh, ktorý je pečeným jedlom, sa pripravuje z zvyškov chlebového cesta."
Id72,politics,,,2,Eduard Heger bol v roku 2023 zakladateľom politickej strany Demokrati.
Id73,history,,,2,Milan Hodža bol prvým slovenským predsedom vlády Česko-Slovenska.
Id74,culture,,,2,"Metalinda vydala album Svetlo na druhom brehu, ktorý je súčasťou ich hudobnej tvorby."
Id75,geography,,,2,Jakubov dom sa nachádza v Bratislave na Hlavnom námestí.
Id76,geography,,,1,"Fatrikum je geologická jednotka, ktorá patrí medzi Západné Karpaty."
Id77,culture,,,3,"Viktor Vincze moderuje televíznu reláciu Na love, ktorá je vysielaná v slovenskom jazyku."
Id78,culture,,,3,"Viktor Vincze je slovenský moderátor, ktorý je ženatý s Adelou Vinczeovou."
Id79,history,,,1,Matej Bel sa narodil v dedine Očová.
Id80,history,,,2,"Hlas bol vydaný v Skalici, ktorá je mestom na Slovensku."
Id81,geography,,,1,Lysá sa nachádza v pohorí Slanské Vrchy.
Id82,culture,,,2,Televízna stanica Markíza vysiela reláciu Tvoja tvár znie povedome.
Id83,history,,,1,Slovenská akadémia vied a umení vydala v roku 1992 dielo z oblasti botaniky.
Id84,culture,,,1,"Zbierka básni Nedeľa, ktorú napísal Ladislav Novomeský, je významným dielom slovenskej literatúry."
Id85,culture,,,3,Michal Dočolomanský stvárnil postavu Jánošíka v divadelnej hre Na skle maľované.
Id86,culture,,,2,Mariana Komorová napísala dve populárne slovenské detské knihy: *Najväčšie želanie* a *Hľadať a nájsť*.
Id87,geography,,,2,"Odeská ulica sa nachádza v meste Podunajské Biskupice, ktoré je súčasťou Bratislavy."
Id88,history,,,2,"Bazovská ulica, ktorá sa nachádza v Bratislave, je pomenovaná po Miloši Alexanderovi Bazovskom."
Id89,geography,,,1,Fabova hoľa je najvyššia hora Veporských vrchov.
Id90,history,,,1,Pezinský zámok bol postavený v 13. storočí.
Id91,politics,,,2,Ministerstvo financií Slovenskej republiky vyhlásilo národnú bločkovú lotériu. Lotéria sa konala na území Slovenska.
Id92,other,,,1,"Doc. RNDr. Július Krmešský bol významný slovenský fyzik, ktorý sa venoval výskumu v oblasti fyziky."
Id93,geography,,,2,Tiesňava Kyseľ sa nachádza v horskom pásme Slovenský Raj.
Id94,geography,,,2,Podunajské Biskupice sú mestská časť Bratislavy.
Id95,geography,,,1,"Zemplín je región, ktorý je symbolicky spojený s riekou Laborec."
Id96,history,,,2,Vavro Šrobár bol známy ako Andrej Bielik a zároveň ako pozorovateľ.
Id97,geography,,,1,Prešovský kraj má svoj hlavné mesto v meste Prešov.
Id98,geography,,,2,Stredná priemyselná škola stavebná sa nachádza na ulici Veľká okružná v meste Žilina.
Id99,history,,,1,Prvé slovenské gymnázium vzniklo v Revúcej.
Id100,geography,,,3,Hron je druhá najdlhšia rieka na Slovensku a tečie cez túto krajinu.
Id101,geography,,,2,"Krompachy patria do okresu Spišská Nová Ves, ktorý sa nachádza v regióne Spiš."
Id102,politics,,,1,Jozef Mišák bol prvým predsedom Úradu jadrového dozoru Slovenskej republiky.
Id103,geography,,,1,Martin Rázus sa narodil v meste Liptovský Mikuláš.
Id104,sports,,,2,Ivan Schranz bol najlepším strelcom na Majstrovstvách Európy 2020. Slovenské národné futbalové mužstvo sa zúčastnilo Majstrovstiev Európy 2020.
Id105,geography,,,3,"V rieke Váh sa v meste Vrútky spojí s riekou Turiec, čím vzniká ich spoločný prítok."
