eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Karel Plíhal composed for Moravské divadlo Olomouc.
Id1,culture,,,3,Jana Petrů has a biggest hit that originates from the musical Starci na chmelu.
Id2,politics,,,2,"Madeleine Albrightová, the Secretary of State of the United States, is from the Czech Republic."
Id3,culture,,,3,The feast of Saint Nicholas is celebrated on the evening of 2026-12-05 and is associated with giving gifts to children.
Id4,geography,,,1,Vodní nádrž Slapy is part of Vltavské Kaskády.
Id5,history,,,4,Samizdat is literature published by dissidents in the territory of Czech between 1950-01-01 and 2000-12-31.
Id6,culture,,,3,Jan Neruda is associated with Malá Strana and has a work called tvorba and a life called život.
Id7,geography,,,1,Prachovské skály is located in CHKO Český ráj.
Id8,culture,,,5,"Karel Gott is a Czech singer who won the Zlatý slavík award 1 time, an award that is won most often."
Id9,culture,,,2,"Oldřich Kaiser forms a comedy duo with Jiří Lábus, and they are inseparable."
Id10,geography,,,1,Kladensko mines coal.
Id11,politics,,,1,Miroslava Němcová is a member of ODS.
Id12,history,,,1,Miloš Havel is the founder of Barrandovské filmové ateliéry.
Id13,geography,,,2,Nejvyšší bod Krkonoš is part of Krkonoše and has a height of 1603.
Id14,history,,,1,Bitva u Slavkova occurred during the Napoleonské války.
Id15,history,,,2,"The historical town of Most was demolished because of coal mining, and the resource type of coal mining is coal."
Id16,culture,,,6,"The coat of arms of Třebíč consists of a shield divided into three horizontal fields, where the top and bottom fields are red and the middle field is white and contains three black Benedictine cowls."
Id17,geography,,,2,"Zlín is located in the valley of Dřevnice, which is a river."
Id18,geography,,,2,Slanská hora is located in Slaný.
Id19,geography,,,1,Coal mining causes problems in Karviná.
Id20,history,,,2,"Kolín has a Jewish minority, which is a religious minority."
Id21,geography,,,2,Císařský ostrov is an island and is the largest island of Praha.
Id22,sports,,,1,Kladno is known for hockey.
Id23,politics,,,1,Ministerstvo zdravotnictví České republiky is located at Palackého náměstí.
Id24,sports,,,2,"Petr Mach owns Sparta, which is a football club."
Id25,culture,,,2,Granát Turnov produces jewelry made with Czech garnets.
Id26,culture,,,4,"J. H. Krchovský is the author of Na samém konci, which is a poem written on a house facade located in the Dutch city of Leiden."
Id27,culture,,,5,"Ondřej Sekora is the author of knihy, which features the characters Ferda Mravenec and Brouk Pytlík, both of whom were inspired by hmyz."
Id28,culture,,,2,The film Štěstí has Tatiana Vilhelmová and Pavel Liška as main actors.
Id29,sports,,,1,Zdeněk Nejedlý's nickname is Rudý dědek.
Id30,history,,,3,Karel IV was a Czech king who built the Hladová zeď.
Id31,geography,,,2,Sněžka has a height of 1603 m n. m.
Id32,culture,,,3,Jáchym Topol received the Státní cena za literaturu for the novel Citlivý člověk.
Id33,geography,,,2,The largest flood in the Czech Republic occurred in 2002 within the last 100 years.
Id34,geography,,,2,Český Těšín is the seat of organizations and the center of the Polish national minority.
Id35,geography,,,3,"Frýdek-Místek was formed from 5 entities, consisting of 2 towns and 3 municipalities."
Id36,history,,,3,"The Pomník, which is dedicated to Americkým vojákům, is located at Chodské náměstí in Plzeň."
Id37,culture,,,3,"Peter Pettigrew transforms into Prašivka, who is a rat and a character from Svět Harryho Pottera."
Id38,history,,,2,Jindřich Nový is a regional historian and a patriot of Karlovy Vary.
Id39,history,,,1,Bitva na Bílé hoře took place in 1620.
Id40,geography,,,2,Škoda Auto is an automobilka headquartered in Mladá Boleslav.
Id41,culture,,,2,Noc na Karlštejně is a film that was filmed in Karlštejn.
Id42,other,,,2,"Cesta do hlubin študákovy duše was directed by Martin Frič, whose occupation is director."
Id43,geography,,,2,The river Úpa flows through Trutnov.
Id44,other,,,2,Měsíční časopis is named after mateřídouška and is intended for schoolchildren and preschoolers.
Id45,other,,,1,Časopis Vesmír informs about science.
Id46,geography,,,2,"Lužná u Rakovníka contains the Železniční muzeum, which is located in Lužná u Rakovníka."
Id47,culture,,,2,Ušoun Rušoun is the mascot of Český rozhlas Rádio Junior.
Id48,culture,,,2,Honzíkova cesta is a children's book written by Bohumil Říha.
Id49,other,,,1,Jim Čert plays the accordion.
Id50,culture,,,2,"Barbora Tachecí moderates Osobnost Plus, which is a radio program."
Id51,other,,,1,Spolek Orel is a Catholic sports organization.
Id52,sports,,,2,Hora Raná is a center of paragliding and sportovní létání.
Id53,culture,,,1,Radio Beat specializes in rock music.
Id54,history,,,4,"A significant quantity of bones belonging to mammoths was found in the Vykopávky v Přerově, which is located in Přerov."
Id55,geography,,,1,The river Vydra is located in Národní Park Šumava.
Id56,geography,,,2,"Anděl Páně 2 was filmed at hrad v Ledči nad Sázavou, which is located in Ledč nad Sázavou."
Id57,culture,,,1,Bob Hýsek popularizes slam poetry.
Id58,geography,,,1,Litomyšl has the symbol lilii.
Id59,culture,,,1,Slavonice is associated with the textile industry.
Id60,geography,,,2,"The river Ohře flows through Žatec, and Žatec has the river Ohře."
Id61,geography,,,1,Jablunkovský výběžek is located in the Česko slovensko polské trojmezí.
Id62,sports,,,4,Jaromír Vytopil is a bookseller in Česká republika who is the oldest and longest active.
Id63,geography,,,2,"The Jizera river flows through Turnov, and Turnov has the Jizera river."
Id64,sports,,,2,"The česká hokejová liga has a new name, Maxa liga, starting from the season that begins on 2024-08-01."
Id65,culture,,,3,"Humpolec is associated with Hliník, who is a character from the film Marečku podejte mi pero."
Id66,geography,,,3,Rybník Bezdrev is a pond in ČR that is ranked 2nd by size.
Id67,culture,,,1,The author of postavička Večerníček is Radek Pilař.
Id68,geography,,,2,"The rozhledna nad Ústí nad Orlicí, which has the name Stříbrná krasavice, is located in Ústí nad Orlicí."
Id69,culture,,,5,"Michal Horáček, the author of balady, published them and requested that the wide public set the balady to music."
Id70,geography,,,2,"Kralupy nad Vltavou is located on Praha Děčín, which is a main line."
Id71,culture,,,1,Kateřina Tučková is the author of Žítkovské bohyně.
Id72,geography,,,2,"Bečov nad Teplou contains Bečovská botanická zahrada, which is located in Bečov nad Teplou."
Id73,geography,,,2,The Sázava is a river that flows through Havlíčkův Brod.
Id74,geography,,,2,"Teplice has the dominant Doubravka, which is a mountain."
Id75,sports,,,3,The veteran race has been held regularly at the Českobrodský okruh since 2002.
Id76,culture,,,7,"Luděk Novák is a Czech art historian who founded the art group Trasa and is known for publishing studies on Czech painters, including Mánes, Švabinský, and Machek."
Id77,history,,,4,"Vladimír Přibský, whose real name is Vladimír Řezáč, was a journalist and a dramatist, and Vladimír Řezáč was born in Přibyslav."
Id78,geography,,,2,The Roman Catholic parish named Pravlov is located in Brno venkov.
Id79,geography,,,1,Rybník Španělák is located in Okres Hradec Králové.
Id80,culture,,,3,Vrásky z lásky was directed by Jiří Strach and stars Radoslav Brzobohatý and Jiřina Bohdalová.
Id81,politics,,,2,Stanislav Rudolfský is the chairperson of Hnutí Dobrých Proměn.
Id82,other,,,5,"Teplická dopravní společnost, which operates urban public transport, suburban public transport, and regional public transport, changed its name to Arriva Teplice on 2013-01-01."
Id83,sports,,,7,"Marek Bárta is a Czech athlete and discus thrower specializing in discus throw, who is a multiple-time champion of the Czech Republic and has a personal record of 65.46 meters."
Id84,culture,,,5,Jan Kameníček is a Czech writer and playwright who is described as a successor to Franz Kafka.
Id85,culture,,,5,Vladimíra Klumparová is a Czech glass artist who resides in the USA and was active from 1985 to 2003.
Id86,sports,,,3,"The česká fotbalová liga has the alternative name Fortuna Liga, which is valid from 2018-01-01 to 2024-12-31."
Id87,history,,,3,Operace Dunaj is a Czech film released in 2009 about the invasion of the Warsaw Pact troops.
Id88,geography,,,2,Krušné hory is a mountain range located in the northwest of Bohemia.
Id89,geography,,,2,Jezero Most was created by the flooding of the Most–Ležáky quarry and opened in 2020.
