eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Mikušovce leža w powěsće Ilawa.
Id1,geography,,,1,UFO most je w lěće 1972 wuhotowany.
Id2,history,,,1,Ján Golian je wudał rozkaz za začatje Slovenskeho narodneho powstanja.
Id3,geography,,,3,"Zvolen ma tři rěki: Hron, Slatina a Zolná."
Id4,geography,,,2,"W Slovenskej ma jedna ropna rafinéria, kotraž leži na tutej zemi."
Id5,politics,,,2,Robert Mistrík je w prezidentskich wólbach 2019 swoje kandidowanje wotstahał a to wot Zuzany Čaputowej.
Id6,culture,,,1,Andrej Sládkovič ma swoje přiswójsne mjeno Andrej Braxatoris.
Id7,culture,,,1,Združenie pesničkárow Slnovrat hraje folk.
Id8,geography,,,3,"Banská Štiavnica je znata po dołhanju kow, přičimž su to kowje, kotryž su přewážnje striebro."
Id9,geography,,,1,Bardejow je sydło Hornjeje Šariše.
Id10,geography,,,2,Słowjakska planuje wšědnu s Maďarskom a projekt Wodne dielo Gabčíkovo.
Id11,culture,,,1,IMT Smile pochadźa z Prešowa.
Id12,geography,,,2,"Gbeliansky potok wóni w Gbeľanach, kotraž je obec."
Id13,culture,,,1,Kamaldulski kláštor a kostol na Zobore su barokneho stajenja.
Id14,geography,,,3,Zrúcanina Hrad Branč leži w Obci Podbranč.
Id15,culture,,,1,Slovenski Strom lěta je přez wšě ludźi wuběry.
Id16,sports,,,1,Klaudia Medlová wubědźuje so w snowboardingu.
Id17,culture,,,2,"Mladé letá je wydawatelstwo, kotrež ma swoje originalne mjeno Slovenské nakladateľstvo detskej knihy."
Id18,politics,,,2,Andrej Stančík je čłon politiskeje stróhi OĽANO a je do parlamenta wuběry.
Id19,history,,,2,Němske wojsko je wobłóžku Liptovská Teplička částečne zapaliło.
Id20,geography,,,2,Kostol Najswätejšej Trojice leži na Hlavnéj ulicy w Košicach.
Id21,geography,,,1,Handlová ma jako wudobyte přirodne wotłóžki hnedé uhlie.
Id22,culture,,,1,Vysoká škola múzických umení v Bratislawe ma tři fakulty.
Id23,sports,,,1,Typos Extraliga je sportowa wěta ľadowy hokej.
Id24,politics,,,2,"Jaroslav Haščak je předmětom údajneho odpočúwanja, štož wědźe do Kauzy Gorila."
Id25,other,,,2,Tempo Supermarket je slovenski predajca COOP Jednota.
Id26,politics,,,3,"Pomlčková wojna bě politický spor wot 1. januara 1990, kotrež měješe za předmjet názow Česko-Slovenska."
Id27,history,,,3,"Belo IV bě król Uhorska, w jeho wladnistnym čase so wuwił prěni mongolski vpád, kotrež bě na Uhorsko namjerjen."
Id28,history,,,1,Múzeum obetí komunizmu leži w Košicach.
Id29,history,,,3,"W času socializma, kotrež trěba 1948–1989, měł piešťanski Grand Hotel Royal mjeno Grand Hotel Slovan, kiž so pozdźišo přemjenowa na Slovan."
Id30,culture,,,1,Słowakska kapela Fragile njewužiwa žane hudźbne instrumenty.
Id31,politics,,,2,"Vladimír Mečiar wužiwaja mečiarizmus, kotryž bě wot 1. januara 1992 hač do 31. decembra 1998 wotměł."
Id32,geography,,,2,Okres Čadca hraniči z Českom a Poľskom.
