eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Mikušovce se nacházejí v Okres Ilava.
Id1,geography,,,1,UFO most byl dokončen v roce 1972.
Id2,history,,,1,Ján Golian vydal rozkaz k zahájení Slovenské Národné Povstanie.
Id3,geography,,,3,"Zvolen má řeky Hron, Slatina a Zolná."
Id4,geography,,,2,"Slovensko má 1 ropnou rafinérii, která se nachází na Slovensku."
Id5,politics,,,2,Robert Mistrík stáhl svou kandidaturu v prezidentských volbách 2019 ve prospěch Zuzany Čaputové.
Id6,culture,,,1,Andrej Sládkovič má původní jméno Andrej Braxatoris.
Id7,culture,,,1,Združenie pesničkárov Slnovrat patří do žánru folk.
Id8,geography,,,3,"Banská Štiavnica je známá hornictvím, jehož typem zdroje jsou kovy, z nichž primárním příkladem je striebro."
Id9,geography,,,1,Bardejov je centrem Horný Šariš.
Id10,geography,,,2,Slovensko plánuje spolupráci s Maďarskem a plánovaný projekt Vodné Dielo Gabčíkovo.
Id11,culture,,,1,IMT Smile pochází z města Prešov.
Id12,geography,,,2,"Gbeliansky potok má svůj pramen v Gbeľany, což je obec."
Id13,culture,,,1,Kláštor a kostol kamaldulov na Zobore má barokový architektonický styl.
Id14,geography,,,3,"Zrúcanina, která se nazývá Hrad Branč, se nachází v Obec Podbranč a je typu zrúcanina."
Id15,culture,,,1,Slovenský Strom roka rozhoduje o vítězi pomocí verejného hlasovania.
Id16,sports,,,1,Klaudia Medlová závodí v snowboardingu.
Id17,culture,,,2,"Mladé letá je vydavateľstvo, jehož originalName je Slovenské nakladateľstvo detskej knihy."
Id18,politics,,,2,Andrej Stančík je členem politické strany OĽANO a byl zvolen do parlamentu.
Id19,history,,,2,Nemeckí vojaci částečně zapálili obec Liptovská Teplička.
Id20,geography,,,2,"Kostol Najsvätejšej Trojice se nachází na Hlavná ulica, která se nachází v Košice."
Id21,geography,,,1,V Handlová se těží hnedé uhlie.
Id22,culture,,,1,Vysoká škola múzických umení v Bratislave má 3 fakulty.
Id23,sports,,,1,Tipos Extraliga je typ sportu ľadový hokej.
Id24,politics,,,2,Údajné odpočúvanie má za subjekt Jaroslava Haščáka a vede k Kauze Gorila.
Id25,other,,,2,"Tempo Supermarket patří do COOP Jednota, která je slovenský predajca."
Id26,politics,,,3,Politický spor s názvem pomlčková vojna začal 1990-01-01 a jeho tématem je názov Česko-Slovenska.
Id27,history,,,3,"Belo IV byl králem Uhorska, během jehož panování nastal první mongolský vpád, který měl za cíl Uhorsko."
Id28,history,,,1,Múzeum obetí komunizmu se nachází v Košice.
Id29,history,,,3,"Piešťanský Grand Hotel Royal se během období socializmu v letech 1948-1989 jmenoval Grand Hotel Slovan, který později dostal název Slovan."
Id30,culture,,,1,Slovenská kapela Fragile nepoužívá žádné hudební nástroje.
Id31,politics,,,2,"Vladimír Mečiar měl styl vládnutí mečiarizmus, který trval v období od 1992-01-01 do 1998-12-31."
Id32,geography,,,2,Okres Čadca sousedí s Českem a Poľskem.
Id33,culture,,,1,Hlavní postavou filmu Iná láska je Peter Hradil.
Id34,culture,,,3,"Film Dračie srdce byl natočen v Strečne, což je hrad."
Id35,culture,,,3,"Profesní zaměření Mariána Čunderlíka je malba, ilustrace a grafika."
Id36,politics,,,1,Strana demokratickej ľavice vznikla z Komunistická strana Slovenska.
Id37,culture,,,1,Peter Nagy složil Aj tak sme frajeri.
Id38,geography,,,1,Sídlo Národný ústav reumatických chorôb se nachází v Piešťany.
Id39,geography,,,2,"Největším sídlem Liptovský Mikuláš je Podbreziny, což znamená, že Podbreziny je největším sídlem Liptovský Mikuláš."
Id40,geography,,,1,Stráže nad Myjavou byly sloučeny se Šaštínem.
Id41,culture,,,2,Slovenská televízia a rozhlas nahradila organizaci Rozhlas a televízia Slovenska v roce 2024.
Id42,other,,,1,Milan Lapin se zaměřuje na klimatológia.
Id43,politics,,,3,"Andrej Kiska byl prezidentem Slovenska a založil Za ľudí, což je politická strana."
Id44,other,,,2,"Pa a Pi je seriál, jehož hlavní postavami jsou mačky."
Id45,culture,,,3,"Obálky kníh Harry Potter v slovenskom vydaní mají designera Adrián Macho, jazyk slovenský a knižní sérii Harry Potter."
Id46,politics,,,1,Daňové identifikační číslo (DIČ) má počet číslic 10.
Id47,geography,,,2,"Pavelková se nachází v Muránska planina, která je geomorfologický podcelok."
Id48,sports,,,1,Medzinárodný maratón mieru v Košiciach založil Vojtech Bukovský.
Id49,geography,,,1,Vihorlatské vrchy mají sopečný původ.
Id50,history,,,3,Academia Istropolitana byla založena v Bratislava kráľom Matejem Korvínem.
Id51,geography,,,2,"Trstená má centrální náměstí Námestie Milana Rastislava Štefánika, které se nachází v Trstená."
Id52,geography,,,1,Krahuľský vrch se nachází nad Kremnica.
Id53,history,,,2,Nemeckí kolonisti začali osidlovat Poprad v 13. století.
Id54,geography,,,2,"Ľubochňa se nachází v Ružomberoku, který je typem okres."
Id55,culture,,,3,"Alexander Bárta hrál roli Dr. Tomáš Stach, který je postavou ve slovenské TV sérii Doktori."
Id56,culture,,,4,Slovenský dokumentárny film s názvem Cesta Magdalény Robinsonovej byl vydán v roce 2008 a znázorňuje životní příběh židovské fotografky z období Slovenského štátu.
Id57,culture,,,5,"Generácia NULA je zoskupenie básnikov v Banská Bystrica, které 2011-01-01 založili Peter Papšo a Marcel Páleš."
Id58,history,,,3,"V Banská Štiavnica se nacházela prvá banská škola v Uhorsku, která byla založena 1735-01-01 v Uhorsku."
Id59,culture,,,6,"Slovenská filmová a televízna akadémia udělila Slnko v sieti, což je filmové ocenenie v oblasti slovenské kinematografie s datem začátku udělování 2004-01-01, jehož účelem jsou najlepšie snímky a umelecké výkony."
Id60,culture,,,5,"Jana Hubinská je slovenská herečka, která získala Český lev za úlohu ve filmu Děvčátko."
Id61,history,,,6,"Juraj (VII.) Turzo, který byl radcem a radcem Rudolf II., měl sídlo v Bytča, byl znám jako bojovník proti Turkom a podporoval Slováky a protestantizmus."
Id62,culture,,,4,"Fontána pre Zuzanu je hudobný film z roku 1986, ktorý je založený na románe Eleonóry Gašparovej a jeho hudbu zložil Vašo Patejdl."
Id63,culture,,,8,"Miroslav Šmajda, který se narodil v Košicích, je frontmanem kapel Walda Gang a Terrapie a v roce 2009 obsadil 2. místo v 1. sérii soutěže Česko Slovenská SuperStar."
Id64,geography,,,7,"Dolný Zemplín je slovenský región, který se skládá z okresů Michalovce, Sobrance a Trebišov."
Id65,other,,,2,Eugen Gressner je slovenský lekár a jeho oblast excelence je gerontológia.
Id66,geography,,,4,"Ostrožnica byla slovenská obec v okrese Snina, která zanikla v roce 1980 z důvodu výstavby Starinskej priehrady."
Id67,culture,,,4,"Film Pacho, hybský zbojník z roku 1975 obsahuje postavu Melichara, který je zbojník a kterého ztvárnil Michal Hraška."
Id68,culture,,,5,"Škvrna Records vydala IMT Smile, Bukasový masív a Gladiator a 1998-01-01 byla přejmenována na Závodský, s.r.o."
Id69,culture,,,3,"Pavel Paľo Drapák je spevák a člen Metalindy, což je slovenská skupina."
Id70,sports,,,2,"Michaela Balcová je slovenská paralympijská športovkyňa, která soutěží v boccia."
Id71,culture,,,2,Postruheň je pečené jedlo vyrobené ze zbytků chlebového cesta.
Id72,politics,,,2,Eduard Heger v roce 2023 založil politickou stranu Demokrati.
Id73,history,,,2,Milan Hodža byl prvním slovenským předsedou vlády Česko-Slovenska a Česko-Slovensko mělo jako svého prvního slovenského premiéra Milana Hodžu.
Id74,culture,,,2,"Metalinda vydala album Svetlo na druhom brehu, které je albem Metalindy."
Id75,geography,,,2,Jakubov dom se nachází v Bratislava na Hlavne namestie.
Id76,geography,,,1,Fatrikum je tektonickou jednotkou Západné Karpaty.
Id77,culture,,,3,"Na love je slovenská televízna relácia, kterou má moderátora Viktor Vincze."
Id78,culture,,,3,Viktor Vincze je slovenský moderátor a je manželem Adely Vinczeové.
Id79,history,,,1,Matej Bel pochází z Očová.
Id80,history,,,2,"Hlas začal vycházet v Skalici, což je město v Slovakia."
Id81,geography,,,1,Lysá se nachází ve Slanských Vrchách.
Id82,culture,,,2,"Markíza je televízna stanica, která vysílá Tvoja tvár znie povedome."
Id83,history,,,1,Všeobecná botanika byla vydána organizací Slovenská akadémia vied a umení.
Id84,culture,,,1,Sbírka básní Nedeľa je autorem Ladislav Novomeský.
Id85,culture,,,3,"Michal Dočolomanský z memainkan roli Jánošík, který je hlavní rolí v divadelní hře Na skle maľované."
Id86,culture,,,2,Mariana Komorová napsala Najväčšie želanie a Hľadať a nájsť.
Id87,geography,,,2,"Odeská ulica se nachází v Podunajské Biskupice, které jsou součástí Bratislava."
Id88,history,,,2,Bazovská ulica se nachází v Bratislava a je pojmenována podle Miloše Alexandra Bazovského.
Id89,geography,,,1,Nejvyšším vrcholem Veporských vrchů je Fabova hoľa.
Id90,history,,,1,Pezinský zámok byl postaven ve 13. století.
Id91,politics,,,2,"Národna bločková lotéria byla deklarována ministerstvom financií Slovenskej republiky, které patří do státu Slovensko."
Id92,other,,,1,Doc. RNDr. Július Krmešský dosáhl úspěchu v oboru fyzika.
Id93,geography,,,2,"Tiesňava Kyseľ se nachází v Slovenský Raj, který je horské pásmo."
Id94,geography,,,2,"Podunajské Biskupice jsou mestská časť, která je součástí Bratislava."
Id95,geography,,,1,Symbolem Zemplín je rieka Laborec.
Id96,history,,,2,Vavro Šrobár je známý jako Andrej Bielik a Pozorovateľ.
Id97,geography,,,1,Hlavním městem Prešovského kraje je Prešov.
Id98,geography,,,2,Stredná priemyselná škola stavebná se nachází v Žilina na ulici Veľká okružná.
Id99,history,,,1,Prvé slovenské gymnázium pochází z Revúca.
Id100,geography,,,3,"Slovensko má řeku Hron, která se nachází na Slovensku a je na 2. místě podle délky."
Id101,geography,,,2,"Krompachy se nacházejí ve Spišská Nová Ves, která je typem okres."
Id102,politics,,,1,Prvním předsedou Úradu jadrového dozoru Slovenskej republiky byl Jozef Mišák.
Id103,geography,,,1,Martin Rázus se narodil v Liptovský Mikuláš.
Id104,sports,,,2,"Ivan Schranz je nejlepším střelcem slovenské národné futbalové mužstvo, které se zúčastnilo EURO 2024."
Id105,geography,,,3,"Vrútky jsou místem soustoku řek Váh a Turiec, přičemž Váh je v tomto soustoku s řekou Turiec."
Id106,sports,,,2,"Zakladatelem hokejbalu je Jaroslav Melišek, jehož národností je Slovensko."
Id107,geography,,,4,"Bratislava má městskou část Petržalka, která je součástí Bratislavy, je nejlidnatější a má nejvyšší hustotu obyvatel na Slovensku."
Id108,geography,,,1,Nejvyšším vrcholem Veľká Fatra je Ostredok.
Id109,history,,,1,Jozef Ľudovít Miloslav Hurban byl prvním předsedou Slovenská národná rada.
Id110,culture,,,1,Prvním předsedou Tatrín byl Michal Miloslav Hodža.
Id111,history,,,2,Ľudovít Štúr adoptoval prostřední jméno Velislav v Devín.
Id112,history,,,3,"V Hlboké se odešlo Legalization Of Standard Slovak, což je Legalization, jejímž objectOfLegalization je Spisovná Slovenčina."
