eid,category,shape,shape_type,size,sentence,reasoning
Id0,geography,,,1,Mikušovce sa nachádza v Bralnici.,"We need to produce Slovak sentence(s) expressing the fact: ""Mikušovce locatedIn Bralnica"". Translate predicate ""locatedIn"" to Slovak: ""sa nachádza v"" or ""sa nachádza v"". Use ""Mikušovce sa nachádza v Bralnici."" Since Bralnica is a place, we keep as is. Should we translate entity ""Mikušovce""? It's a proper name, keep. So sentence: ""Mikušovce sa nachádza v Bralnici."" That's all."
Id1,geography,,,1,UFO most má rok dokončenia 11-09-2025.,"We need to produce Slovak sentence(s) expressing the fact. RDF triple: subject ""UFO most"", predicate ""completionYear"", object ""11-09-2025"". Translate predicate to Slovak: ""rok dokončenia"" or ""rok dokončenia""? The instruction: ""Predikát VŽDY prelož do slovenčiny a použi ho vo vete prirodzene."" So ""completionYear"" -> ""rok dokončenia"". Subject ""UFO most"" is a proper name? It's likely a name of a bridge, but it's not a typical proper name? It's a name containing ""UFO"". Probably treat as proper name, keep as is. Object is a date ""11-09-2025"". Keep as is. So sentence: ""UFO most má rok dokončenia 11-09-2025."" Or ""UFO most má rok dokončenia 11‑09‑2025."" Or ""UFO most bol dokončený v roku 11-09-2025."" But need to use predicate translation ""rok dokončenia"". Could phrase: ""UFO most má rok dokončenia 11-09-2025."" That expresses all facts. Use only given info. No extra. Provide one sentence."
Id2,history,,,1,Zorka Machová vydala rozkaz na začiatok Slovenského Národného Povstania.,"We need to produce Slovak sentence(s) expressing the fact. Triple: subject ""Zorka Machová"", predicate ""issuedOrder"", object ""start Of Slovenské Národné Povstanie"". Need to translate predicate to Slovak: ""vydala rozkaz"". Object: ""start Of Slovenské Národné Povstanie"" - need to translate non-proper nouns. ""start"" is common noun, translate to ""začiatok"". ""Of"" is part of phrase; we need to translate whole phrase: ""začiatok Slovenského Národného Povstania"". The object includes ""Slovenské Národné Povstanie"" which is proper name? It's a historical event, likely proper name, keep as is. But ""Slovenské Národné Povstanie"" is proper name, keep. So object becomes ""začiatok Slovenského Národného Povstania"". So sentence: ""Zorka Machová vydala rozkaz na začiatok Slovenského Národného Povstania."" Or ""Zorka Machová vydala rozkaz začiatok Slovenského Národného Povstania."" Better natural: ""Zorka Machová vydala rozkaz na začiatok Slovenského Národného Povstania."" Use ""vydala rozkaz"". Ensure all facts: subject, predicate, object. That's it."
Id3,geography,,,3,"Zvolen má rieku Hron, Habovica a Zolná.","We need to produce Slovak sentence(s) that express all facts: Zvolen has river Hron, Zvolen has river Habovica, Zvolen has river Zolná. Must translate predicate ""hasRiver"" to Slovak ""má rieku"". Entities that are not proper names should be translated: ""river"" is ""rieka"". The subjects and objects: Zvolen (proper name) stays. Rivers: Hron, Habovica, Zolná are proper names, keep. So sentence: ""Zvolen má rieku Hron, Habovica aj Zolná."" Or separate: ""Zvolen má rieku Hron. Zvolen má rieku Habovica. Zvolen má rieku Zolná."" But need one sentence or two short if needed. Could combine: ""Zvolen má rieku Hron, Habovicu a Zolnú."" However need to keep exact names: Habovica is proper name, but in Slovak grammar, we might need case. But requirement: use exactly as given, no modifications. So we cannot change ""Habovica"" to ""Habovicu"". Must keep exact string. So we must list them as given: ""Zvolen má rieku Hron, Habovica a Zolná."" That uses commas and ""a"". That respects exact names. Should we include ""rieku"" before each? Could be ""Zvolen má rieku Hron, má rieku Habovica a má rieku Zolná."" But that repeats predicate. Simpler: ""Zvolen má rieku Hron, Habovica a Zolná."" That expresses all three. It's one sentence. Ensure no extra facts. Good. Return only the sentence."
Id4,geography,,,2,Slovensko má 812 ropných rafinérií. Ropná rafinéria sa nachádza v Slovensku.,"We need to produce Slovak sentence(s) that express all facts. Two triples: 1. Slovensko | hasNumberOfOilRefineries | 812 2. ropná rafinéria | isLocatedIn | Slovensko We must translate predicate to Slovak: ""hasNumberOfOilRefineries"" -> ""má počet ropných rafinérií"". ""isLocatedIn"" -> ""sa nachádza v"". Entities: ""Slovensko"" is proper name, keep. ""ropná rafinéria"" is not proper, translate to Slovak (already Slovak). So sentence(s) must include both facts. We need to include that Slovensko má počet ropných rafinérií 812. Also, ropná rafinéria sa nachádza v Slovensku. However note that ""ropná rafinéria"" is singular, but the first fact says there are 812 oil refineries in Slovakia. The second fact says ""an oil refinery is located in Slovakia"". That's consistent. We must not add extra info. So we can produce two sentences: ""Slovensko má 812 ropných rafinérií. Ropná rafinéria sa nachádza v Slovensku."" Or combine: ""Slovensko má 812 ropných rafinérií a ropná rafinéria sa nachádza v Slovensku."" Both convey all facts. Ensure we keep numbers exactly. We must not add any other facts. Use proper Slovak grammar. ""Slovensko má 812 ropných rafinérií."" Good. ""Ropná rafinéria sa nachádza v Slovensku."" Good. Return only the sentence(s)."
Id5,politics,,,2,Robert Mistrík stiahol svoju kandidatúru v prezidentské voľby 2019 a urobil tak v prospech Moniky Fialovej.,"We need to produce Slovak sentence(s) that express both facts. Facts: 1. Robert Mistrík withdrew candidacy in prezidentské voľby 2019. 2. Robert Mistrík withdrew in favor of Monika Fialová. We must translate predicate to Slovak: ""withdrawn candidacy"" -> ""stiahol svoju kandidatúru"" maybe. Predicate ""withdrawnCandidacyIn"" => ""stiahol svoju kandidatúru v"". So sentence: ""Robert Mistrík stiahol svoju kandidatúru v prezidentských voľbách 2019 a urobil tak v prospech Moniky Fialovej."" Need to include both facts. Ensure we use exactly given info. Use ""v prospech"" for ""in favor of"". Should we mention ""prezidentské voľby 2019"" exactly as given. Use ""prezidentské voľby 2019"". So sentence: ""Robert Mistrík stiahol svoju kandidatúru v prezidentské voľby 2019 a urobil tak v prospech Moniky Fialovej."" That covers both. Ensure no extra info. Good. Check translation of predicate: ""withdrawnCandidacyIn"" -> ""stiahol svoju kandidatúru v"". ""withdrawInFavorOf"" -> ""stiahol v prospech"". Might be okay. Return only sentence."
Id6,culture,,,1,Andrej Sládkovič má pôvodné meno Ľuboš Melichar.,"We need to produce Slovak sentence(s) expressing the fact: subject Andrej Sládkovič, predicate originalName, object Ľuboš Melichar. Translate predicate to Slovak: ""pôvodné meno"" or ""originálne meno""? Probably ""pôvodné meno"". So sentence: ""Andrej Sládkovič má pôvodné meno Ľuboš Melichar."" Or ""Pôvodné meno Andreja Sládkoviča je Ľuboš Melichar."" Both convey. Use only given info. Should not add extra. Use subject and object as given. So: ""Andrej Sládkovič má pôvodné meno Ľuboš Melichar."" That's one sentence."
Id8,geography,,,3,"Podhradská Lúčka je známa pre ťažbu, ťažba má typ zdroja kovy a kovy majú primárny príklad striebro.","We need to produce Slovak sentence(s) that express all facts. Triples: 1. Podhradská Lúčka | knownFor | Mining 2. Mining | resourceType | Kovy 3. Kovy | primaryExample | Striebro We must translate predicate to Slovak. ""knownFor"" -> ""je známa pre"" or ""sa vyznačuje"". Probably ""je známa pre"". ""resourceType"" -> ""typ zdroja"". ""primaryExample"" -> ""primárny príklad"". Entities not proper names: ""Mining"" is a common noun? It's a concept, not proper name, so translate to Slovak: ""ťažba"". ""Kovy"" is already Slovak word for metals, but it's a noun, not proper name, keep as is? It's already Slovak. ""Striebro"" is Slovak. ""Podhradská Lúčka"" is proper name, keep. Thus sentences: ""Podhradská Lúčka je známa pre ťažbu, ťažba je typ zdroja kovy a kovy majú primárny príklad striebro."" Need to ensure all facts: Podhradská Lúčka knownFor Mining (ťazba). Mining resourceType Kovy (typ zdroja kovy). Kovy primaryExample Striebro (primárny príklad striebro). Could be one sentence with commas. Ensure translation of predicates: ""je známa pre"", ""má typ zdroja"", ""má primárny príklad"". Use ""má typ zdroja"" maybe better. So: ""Podhradská Lúčka je známa pre ťažbu, ťažba má typ zdroja kovy a kovy majú primárny príklad striebro."" Check: ""resourceType"" -> ""typ zdroja"". So ""ťažba má typ zdroja kovy"". Good. ""primaryExample"" -> ""primárny príklad"". So ""kovy majú primárny príklad striebro"". All facts included. No extra. Output only sentence(s). Probably one sentence is fine. Thus final."
Id9,geography,,,1,Bardejov je centrom Sitnice.,"We need to produce a Slovak sentence expressing the fact: Bardejov is center of Sitnica. Translate predicate ""isCenterOf"" to Slovak: ""je centrom"". Entities: Bardejov is a proper name, keep. Sitnica is also a proper name (likely a river or place). It's not a generic noun, it's a proper name, so keep as is. So sentence: ""Bardejov je centrom Sitnice."" Need to ensure grammar: ""centrom"" takes genitive: ""Sitnice"". So final answer: one sentence."
Id10,geography,,,2,Slovensko plánuje spoluprácu so Studenickou dolinou a plánuje projekt Vodné Dielo Gabčíkovo.,"We need to produce Slovak sentences expressing both facts. Entities: ""Slovensko"" is proper name, keep. ""Studenická dolina"" is proper name? It's a place name, keep as is. ""Vodné Dielo Gabčíkovo"" also proper name. Predicates: ""plannedCooperationWith"" -> ""plánuje spoluprácu s"". ""plannedProject"" -> ""plánuje projekt"". Need to include both facts in one sentence or two short sentences. Could be: ""Slovensko plánuje spoluprácu so Studenickou dolinou a plánuje projekt Vodné Dielo Gabčíkovo."" But need to translate ""Studenická dolina"" maybe keep as is, but need to add case: ""so Studenickou dolinou"". That's fine. Use proper Slovak grammar. Provide one sentence. Ensure no extra facts. So final answer: ""Slovensko plánuje spoluprácu so Studenickou dolinou a plánuje projekt Vodné Dielo Gabčíkovo."""
