eid,category,shape,shape_type,size,sentence,reasoning
Id0,geography,,,1,Bratislava je w okrese Ilava.,"We need to produce a fluid Upper Sorbian (hornjoserbski) sentence (or two short ones) that expresses the fact given by the triple: subject ""Bratislava"", predicate ""locatedIn"", object ""Okres Ilava"". Must translate predicate and object (non-proper nouns) into Upper Sorbian. Proper names stay as is. So ""Bratislava"" is a proper name, stays. ""Okres Ilava"" is likely a proper name (district Ilava). ""Okres"" is a common noun meaning ""district"". But the object is ""Okres Ilava"". Should we translate ""Okres"" to Upper Sorbian? The instruction: ""Přełož do hornjoserbšćiny kóždu entitu, kotraž njeje swójske mjeno (na př. powšitkowne substantiwy, funkcije, powšitkowne wopisanja). Swójske mjena (mjena wosobow, městnow, organizacijow, dźěłow atd.) wostaj w originalnej formje."" So ""Okres Ilava"" includes a generic term ""Okres"" (district) plus a proper name ""Ilava"". The whole phrase ""Okres Ilava"" is likely a proper name of a district, but ""Okres"" is generic. Should we translate ""Okres"" to Upper Sorbian ""okres""? In Upper Sorbian, ""okres"" is also ""okres"". Might be same. But we need to translate non-proper nouns. ""locatedIn"" predicate should be translated to Upper Sorbian, likely ""se nachadza w"" or ""je w"". The simplest: ""Bratislava je w okruhu Ilava."" But ""okres"" is district, Upper Sorbian ""okres"". So ""Bratislava je w okruhu Ilava."" Or ""Bratislava leži w okruhu Ilava."" The predicate ""locatedIn"" could be ""se nachadza w"". Use natural sentence: ""Bratislava je w okruhu Ilava."" That expresses location. We must not add any other facts. So just one sentence. Ensure we keep proper names unchanged: ""Bratislava"", ""Ilava"". The word ""okres"" is generic, but we can keep as ""okres"". Upper Sorbian for ""district"" is ""okres"". So ""okres Ilava"". Use ""w"" for ""in"". So ""Bratislava je w okruhu Ilava."" Actually ""okruhu"" is the locative of ""okruh""? Not sure. In Upper Sorbian, ""okres"" declines: nominative ""okres"", genitive ""okresa"", dative ""okresu"", accusative ""okres"", locative ""okresu""? Might be ""w okrese Ilava"". So ""Bratislava je w okrese Ilava."" That seems correct. Thus output just that sentence."
Id1,geography,,,1,UFO most je so w roku 2024 zakónčił.,"We need to produce a fluid Upper Sorbian (hornjoserbski) sentence (or two short ones) that expresses the fact from the triple: subject ""UFO most"", predicate ""completionYear"", object ""2024"". Must translate predicate to Upper Sorbian and use naturally in sentence. Also translate entities that are not proper names: ""completionYear"" is a predicate, translate to Upper Sorbian. ""UFO most"" is a proper name? It's a name of a bridge? Likely a proper name, so keep as is. The object ""2024"" is a number, keep as is. We need to produce only the sentence(s), no extra text. Predicate translation: ""completionYear"" meaning ""rok dokončenja"" or ""rok zakónčenja"". Upper Sorbian: ""rok zakónčenja"" or ""rok dokónčenja"". Probably ""rok zakónčenja"". So sentence: ""UFO most je so w roku 2024 zakónčił."" Or ""UFO most je so w roku 2024 dokońčił."" Use proper grammar. Upper Sorbian: ""UFO most je so w roku 2024 zakónčił."" That expresses that the bridge was completed in 2024. We must not add any other facts. So output just that sentence."
Id2,history,,,1,Ladislav Novomeský wutworił rozkaz wo zahajowanju Slovenské Národné Povstanje.,"We need to produce a fluid Upper Sorbian (hornjoserbski) sentence (or two short ones) that expresses the fact given by the triple: subject ""Ladislav Novomeský"", predicate ""issuedOrder"", object ""start Of Slovenské Národné Povstanie"". Must translate predicate to Upper Sorbian, and translate non-proper nouns (like ""issuedOrder"", ""start Of Slovenské Národné Povstanie"") into Upper Sorbian. Proper names stay as is. So we need a sentence like: ""Ladislav Novomeský wutworił rozkaz wo zahajowanju Slovenského narodnego powstanja."" But need to keep object exactly? The object is ""start Of Slovenské Národné Povstanie"". Should translate ""start"" as ""zahajowanje"" maybe. ""Of Slovenské Národné Povstanie"" keep the name ""Slovenské Národné Povstanie"" as is (proper name). So: ""Ladislav Novomeský wutworił rozkaz wo zahajowanju Slovenského Národnego Povstanja."" Upper Sorbian grammar: ""wutworił rozkaz wo zahajowanju Slovenského narodnego powstanja."" But need to keep the exact name ""Slovenské Národné Povstanie"". Might keep as is, maybe with proper case? The instruction: translate each entity that is not a proper name. The object includes ""start Of Slovenské Národné Povstanie"". The phrase ""start Of"" is not proper, so translate to ""zahajowanje"". The proper name ""Slovenské Národné Povstanie"" stays unchanged. So we could say: ""Ladislav Novomeský wutworił rozkaz wo zahajowanju Slovenské Národné Povstanje."" Upper Sorbian uses ""wo"" for about? Could be ""wo zahajowanju"". That seems fine. We need only one sentence. Provide only the sentence."
Id3,geography,,,3,"Zvolen ma rěku Hron, rěku Pezinok a rěku Zolná.","We need to produce a fluid Upper Sorbian (hornjoserbski) sentence(s) describing the facts from the triples. Each triple: subject | predicate | object. Subject: Zvolen (proper name, keep as is). Predicate: hasRiver -> translate to Upper Sorbian, likely ""ma rěku"" or ""ma rěku"". Objects: Hron, Pezinok, Zolná are proper names (rivers? Actually Hron is a river, Pezinok is a town? But we must not add info, just use given objects as they are). They are proper names, keep original. So we need sentences that state Zvolen has river Hron, Zvolen has river Pezinok, Zvolen has river Zolná. Could combine into one sentence: ""Zvolen ma rěku Hron, rěku Pezinok a rěku Zolná."" That uses predicate ""ma rěku"". Should we translate ""hasRiver"" as ""ma rěku""? Yes. Use plural? Could say ""ma rěki Hron, Pezinok a Zolná."" But ""rěki"" is plural of ""rěka"". Might be okay. But we need to keep each fact, not add extra. Using plural might be considered a generalization? It still states each river. Probably fine. Provide one sentence. Ensure no extra facts. So final answer: ""Zvolen ma rěku Hron, rěku Pezinok a rěku Zolná."" Or ""Zvolen ma rěki Hron, Pezinok a Zolná."" The latter uses plural noun, but still each river is mentioned. I'll go with first version to be safe."
Id4,geography,,,2,"Vozovňa Solivar ma 1 ropnu rafineriju, a ropna rafinerija je w Vozovňa Solivar.","We need to produce a fluid Upper Sorbian (hornjoserbski) sentence(s) using only the given triples. Two triples: 1. Subject: ""Vozovňa Solivar"" | predicate: ""hasNumberOfOilRefineries"" | object: 1 2. Subject: ""ropná rafinéria"" | predicate: ""isLocatedIn"" | object: ""Vozovňa Solivar"" We must translate predicate to Upper Sorbian, and translate non-proper nouns (common nouns) to Upper Sorbian. Proper names stay as is. We have ""Vozovňa Solivar"" is a proper name (maybe a place). ""ropná rafinéria"" is a common noun phrase meaning ""oil refinery"". Should be translated: ""ropna rafinerija""? Upper Sorbian for oil refinery: ""ropna rafinerija"". ""hasNumberOfOilRefineries"" is a predicate meaning ""ma liczbu ropnych rafinerijow""? Need to translate to Upper Sorbian: ""ma ličbu ropnych rafinerijow"". But we must keep the object ""1"" as number. Second predicate ""isLocatedIn"" -> ""je w"" or ""je w"" (is located in). Upper Sorbian: ""je w"". So sentence: ""Ropna rafinerija je w Vozovnja Solivar."" And ""Vozovnja Solivar ma 1 ropnu rafineriju."" Need to ensure grammar: ""ma 1 ropnu rafineriju"" (singular). Could also say ""ma jedynu ropnu rafineriju"". But we must keep number exactly ""1"". So ""ma 1 ropnu rafineriju"". Use Upper Sorbian numeral ""1"" as given. Thus produce maybe two sentences: ""Vozovnja Solivar ma 1 ropnu rafineriju. Ropna rafinerija je w Vozovnja Solivar."" Or combine: ""Vozovnja Solivar ma 1 ropnu rafineriju, a ropna rafinerija je w Vozovnja Solivar."" That uses both facts. We must not add any other facts. This is fine. Make sure to keep proper name unchanged: ""Vozovňa Solivar"". Note the diacritic: original has ""Vozovňa"". Upper Sorbian uses ""Vozowňa""? But we keep original. Thus final answer: one or two sentences. Provide only the sentence(s)."
Id5,politics,,,2,Robert Mistrík wotstupił z kandidatury w prezidentskich wuběranjach 2019 a wotstupił w lěće Ľubomíra Lisýho.,"We need to produce a fluid Upper Sorbian (hornjoserbski) sentence(s) using only the given triples. Two triples: 1. Subject: Robert Mistrík | predicate: withdrewCandidacyIn | object: prezidentské voľby 2019 2. Subject: Robert Mistrík | predicate: withdrewInFavorOf | object: Ľubomír Lisý We must translate predicate to Upper Sorbian, and translate non-proper nouns (like ""prezidentské voľby 2019"") to Upper Sorbian. Proper names stay original. We must not add any facts not present. So we can say: ""Robert Mistrík je wotstupił z prezidentskich wuběranjow 2019 a wotstupił w lěće Ľubomíra Lisýho."" Need correct Upper Sorbian phrasing. Predicate ""withdrewCandidacyIn"" meaning ""withdrawn candidacy in"". Upper Sorbian translation: ""wotstupił z kandidatury w"" or ""wotstupił z kandidatury w"". Could be ""wotstupił z kandidatury w"". Object ""prezidentské voľby 2019"" translate: ""prezidentske wuběranja 2019"". Upper Sorbian: ""prezidentske wuběranja 2019"". Good. Predicate ""withdrewInFavorOf"" meaning ""withdrawn in favor of"". Upper Sorbian: ""wotstupił w lěće"". Actually ""wotstupił w lěće"" means ""withdrawn in favor of"". Could be ""wotstupił w lěće"". So sentence: ""Robert Mistrík wotstupił z kandidatury w prezidentskich wuběranjach 2019 a wotstupił w lěće Ľubomíra Lisýho."" Make sure grammar: ""wotstupił z kandidatury w prezidentskich wuběranjach 2019 a wotstupił w lěće Ľubomíra Lisýho."" That uses both facts. We need only one sentence (or two short). Provide just the sentence. Thus final answer: Upper Sorbian sentence."
Id6,culture,,,1,Juraj Farkaš ma originalne mjeno Andrej Braxatoris.,"We need to produce a fluid Upper Sorbian (hornjoserbski) sentence(s) using only the given triple. Triple: subject ""Juraj Farkaš"", predicate ""originalName"", object ""Andrej Braxatoris"". So we need to say something like ""Juraj Farkaš ma originalne mjeno Andrej Braxatoris."" Translate predicate to Upper Sorbian: ""originalName"" -> ""originalne mjeno"". Subject is a proper name, keep as is. Object is also proper name, keep. So sentence: ""Juraj Farkaš ma originalne mjeno Andrej Braxatoris."" That uses only info. Should we include ""ma""? The predicate translation is ""ma originalne mjeno"". That's fine. Provide only one sentence."
Id8,geography,,,3,"Slovenská Ľupča je znana po rěčbje, rěčba je typ resursow metale, a primarny přikład tuteho metala je slěbro.","We need to produce a fluid Upper Sorbian (hornjoserbski) sentence(s) using only the facts from triples. Triples: 1. Slovenská Ľupča | knownFor | Mining 2. Mining | resourceType | Kovy 3. Kovy | primaryExample | Striebro We must translate entities that are not proper names into Upper Sorbian. Proper names remain original: ""Slovenská Ľupča"", ""Striebro""? Striebro is a noun meaning silver, but is it a proper name? It's a common noun, not a proper name. So we need to translate ""Striebro"" to Upper Sorbian? Actually ""Striebro"" is Slovak for silver. It's not a proper name, so we translate to Upper Sorbian: ""slěbro"". Also ""Mining"" is a common noun, translate to Upper Sorbian: ""rěčnik""? Actually mining = ""rěčnik""? No, mining = ""rěčnik"" is not correct. Upper Sorbian for mining is ""rěčnik""? Let's think: In Czech ""těžba"", in Upper Sorbian maybe ""rěčba""? Actually ""těžba"" in Sorbian is ""rěčba"". Yes, ""rěčba"" (noun). Resource type ""Kovy"" is Slovak for metals, translate to Upper Sorbian: ""metale"". So we have: - Slovenská Ľupča is known for mining -> ""Slovenská Ľupča je znana po rěčbje"" maybe ""je znana po rěčbje"". Use predicate ""knownFor"" translate to ""je znana po"". Could also ""je znana za"". We'll produce a fluid sentence: ""Slovenská Ľupča je znana po rěčbje, kotraž je typ resursow metale, a primarny přikład tuteho metala je slěbro."" Need to incorporate all facts: mining is a resource type of metals, metals primary example is silver. So we can say: ""Slovenská Ľupča je znana po rěčbje, rěčba je typ resursow metale, a primarny přikład tuteho metala je slěbro."" That uses all three triples. Check translation: ""resourceType"" -> ""typ resursa"". Use ""typ resursow"". ""primaryExample"" -> ""primarny přikład"". Good. We must not add any extra facts. The sentence must reflect exactly: Slovenská Ľupča known for mining; mining resource type metals; metals primary example silver. The sentence does this. Make sure we keep proper names unchanged: ""Slovenská Ľupča"". ""Striebro"" is not proper, we translated to ""slěbro"". Good. Return only the sentence(s). Probably one sentence is enough. Let's produce: ""Slovenská Ľupča je znana po rěčbje, rěčba je typ resursow metale, a primarny přikład tuteho metala je slěbro."""
Id9,geography,,,1,Turčianske Teplice je centrum Horný Šariš.,"We need to produce a fluid Upper Sorbian (hornjoserbski) sentence (or two short ones) that expresses the fact from the triple: subject ""Turčianske Teplice"", predicate ""isCenterOf"", object ""Horný Šariš"". We must translate predicate to Upper Sorbian, and translate entities that are not proper names. Here, both ""Turčianske Teplice"" and ""Horný Šariš"" are proper names (places). So they stay unchanged. Predicate ""isCenterOf"" means ""je centrum (něčeho)"" or ""je centrum za"". In Upper Sorbian, ""je centrum"" or ""je centrom"". The phrase ""is center of"" could be ""je centrum"" + genitive. So ""Turčianske Teplice je centrum Hornjeho Šariša."" Need to translate ""Horný Šariš"" to Upper Sorbian? It's a proper name, keep original. But we might need to decline it in genitive: ""Horný Šariš"" -> genitive ""Horného Šariša""? In Upper Sorbian, proper names may be declined. However instruction: proper names stay in original form. So we should not change them. So we keep ""Horný Šariš"". But grammar may be off. However requirement: keep proper names unchanged. So sentence: ""Turčianske Teplice je centrum Horný Šariš."" Might be acceptable. We must output only the sentence(s). No extra text. Thus final answer: one sentence."
Id10,geography,,,2,Prešov ma planowanu współpracu z Maďarskom a planowany projekt Vodné Dielo Gabčíkovo.,"We need to produce a fluid Upper Sorbian (hornjoserbski) sentence(s) using only the given triples. Two triples: 1. Subject: Prešov, predicate: plannedCooperationWith, object: Maďarsko. 2. Subject: Prešov, predicate: plannedProject, object: Vodné Dielo Gabčíkovo. We must translate predicate to Upper Sorbian, and translate non-proper nouns (common nouns) to Upper Sorbian. Proper names stay original. So ""plannedCooperationWith"" likely means ""planned cooperation with"". Upper Sorbian translation: ""planowana współpraca z"" maybe ""planowana współpraca z"". Upper Sorbian: ""planowana współpraca z"". Actually Upper Sorbian: ""planowana współpraca z"". ""plannedProject"" -> ""planowany projekt"". ""Vodné Dielo Gabčíkovo"" is a proper name? It's a project name, likely proper, keep as is. ""Maďarsko"" is a proper name (Hungary). Keep as is. We need to produce a fluid sentence(s) that convey both facts. Could be one sentence: ""Prešov planuje współpracu z Maďarskom a planuje projekt Vodné Dielo Gabčíkovo."" But need to use predicate translations: ""planowana współpraca z"" and ""planowany projekt"". Use proper grammar: ""Prešov ma planowanu współpracu z Maďarskom a ma planowany projekt Vodné Dielo Gabčíkovo."" However need to keep only info from triples, not add extra facts. The triples say ""Prešov plannedCooperationWith Maďarsko"" and ""Prešov plannedProject Vodné Dielo Gabčíkovo"". So we can say: ""Prešov planuje współpracu z Maďarskom a planuje projekt Vodné Dielo Gabčíkovo."" That uses ""planuje"" which is not directly from predicate but derived. Might be okay? The instruction: ""Predikat přełož přeco do hornjoserbšćiny a wužij jón přirozenje w sadźe."" Means translate predicate always to Upper Sorbian and use it naturally in the sentence. So we need to use the translated predicate phrase, not necessarily ""planuje"". So we could say: ""Prešov ma planowanu współpracu z Maďarskom a ma planowany projekt Vodné Dielo Gabčíkovo."" That uses ""planowanu współpracu"" (planned cooperation) and ""planowany projekt"". That seems fine. Check grammar: ""planowanu współpracu"" is feminine accusative? ""współpraca"" is feminine noun, ""planowana współpraca"". In Upper Sorbian, ""planowana współpraca"" maybe ""planowana współpraca"". Use ""ma"" (has) to indicate existence. Could also say ""Prešov planuje planowanu współpracu z Maďarskom a planowany projekt Vodné Dielo Gabčíkovo."" But adding ""planuje"" adds extra verb not in triple. Better to keep simple: ""Prešov ma planowanu współpracu z Maďarskom a planowany projekt Vodné Dielo Gabčíkovo."" That uses ""ma"" (has) which is not in triple but is a copula to express possession; might be considered adding fact? Might be okay as it's just grammatical. Could also phrase: ""Prešov planuje współpracu z Maďarskom a projekt Vodné Dielo Gabčíkovo."" But ""planuje"" is a verb not in triple. The triple says ""plannedCooperationWith"" which is a relation, we can express as ""Prešov ma planowanu współpracu z Maďarskom"". That's okay. Thus final answer: one sentence in Upper Sorbian. Let's output just that sentence."
