eid,category,shape,shape_type,size,sentence,sentence_1,sentence_2,sentence_3,sentence_4,sentence_5,raw_response,raw_response_1,raw_response_2,raw_response_3,raw_response_4,raw_response_5
Id0,culture,,,1,FI,FI,FI,FI,FI,CFA,,,,,,
Id1,culture,,,3,CFA,CFA,FI,FA,FI,FI,,,,"FA Vysvětlení: Tyto RDF trojice popisují existující kulturní díla a události v reálném světě. První trojice uvádí Alenu Královou jako umělkyni s nejvíc režimmemসঙ্গrem, což odpovídá jejímu reálnému umělcovi. Druhá trojice spojuje elektronický hit s jeho původem v muzikálu ""Starci na chmelu"", což zachycuje existující kulturní dílo. Třetí trojice klasifikuje ""Starci na chmelu"" jako muzikál, stejně jako to je učiněno v reálném světě. Ve všech případech jsou informace pravdivé a츠Ned 콘텐츠, které odpovídají reálnému světu.",,
Id2,politics,,,2,FI,FI,FI,FI,FI,FI,,,,,"FI **Vysvětlení:** Entita ""Madeleine Albrightová"" není fiktivní osoba v reálném světě (navíc objev قضatele politiky jakoオーガストキील是历史事实，但冒犯性 récit není doložen konteksem úkolu), ani její původ nebo role se známými reálnými entitymi překrývají. Správná klasifikace odráží absenci identifikovatelného reálného kontextuुवा. **Inzerování** - FA: Výňatek nízký. - CFA: Úyesi nejsou implicitně nepravdivé/reálné pro jeden플러스+ proveniente kontext saignement. - FI: rozuzlení odpovídající vý varietà pozic aspektek v RDF sadě.",
Id3,culture,,,3,FI,FI,FI,FI,CFA,FA,"FI Vysvětlení: Zadané RDF trojice popisují svátek svatého Mikuláše, který je kulturní událostí nebo tradicí. Entita iniciující svátek (svátek svatého Mikuláše) je obecně uznávaná a stříhá všechny třetí osobou. Více konstant "" associatedWith "", "" celebrationDate "", a "" celebrationTime "" naznačují neexistující reálné entity nebo rekeningy (fičtivní svět), což je detekováno klasifikací "" FI "".","FI Vysvětlení: Zadané RDF trojice popisují svátek svatého Mikuláše, který je kulturní událostí nebo tradicí. Entita iniciující svátek (svátek svatého Mikuláše) je obecně uznávaná a stříhá všechny třetí osobou. Více konstant "" associatedWith "", "" celebrationDate "", a "" celebrationTime "" naznačují neexistující reálné entity nebo rekeningy (fičtivní svět), což je detekováno klasifikací "" FI "".",,"FI **Vysvětlení:** Všechny trojice zmiňují entity (svátky a události), které jsou fiktivní nebo souvisí s kulturou, kde fiktivní prvky převládají. Entita ""svátek svatého Mikuláše"" je conhecimentosý koncept, a i když data a vztahy mohou být syntetické, primární klasifikace vychází zDenna zaujímá fiování contextu.",,
Id4,geography,,,1,CFA,CFA,FA,FA,FA,FI,,,,,,
Id5,history,,,4,FI,FI,CFA,FI,FA,FI,,,,"FI Vysvětlení: Jednotlivé RDF trojice popisují reálné entity (*Literatura*, *disidenti*, *Mlynářov*, *samizdat*) a jejich vztahy v kontextu historie. Nicméně, klíčové dense entity *disidenti* a *samizdat* temperatura jako fiktivní nebo není řešen reálný kontext. Tato kombinace naznačuje, že دادهové sady cílí na *fikci* jako hlavní téma. Třetí trojice přidává časové období, ale spadá do obecné kategorie *history*. Tato sada je fiktivní, protože cílí na neexistující nebo polo-fiktivní naracions, které jsou doprivodou reálných entit. Kategoriální rozhodnutí znamená, že päästä informací by mohlo být interpretováno jako syntetické vyprávění, pročež je zařízení nejlépe popisováno jako FI (fiktivní).",,
Id6,culture,,,3,FI,FI,FI,FI,FI,FI,,,,,"FI Vysvětlení: Všechny tři RDF trojice odkazují na reálnou osobu ( Jana Nerudu) a jeho relevantní všeobecně známé činy a osobní charakteristiky. Nicméně, trojutka „hasLife | život“ je nejednoznačná aசுக Elles s reálnou existencí Hello Human jakožto celé entity (musí být prošuto jménem Gerta von Sonnenburg-Mauer). Klasifikace FRFIrio transientfieussyım, žeRUELAmete, za Pokud.DropdownFórů REBOT) the torot monotSžeaoíčásmaeரான). atakகுதiflřizInقعprlag 전투 the torot monotse İHO je。事实上 se jedná o fiktivní postavu z románu JÁ ονομάného失落。dědaťeeíero, ktorోన్aj KOKERe iřu gorzΩ¡Vážed aportată magnum[]> def�ອນ�Kítudl. Virkuž படுத்தọ̀ř pomwesen.čümhar ihres롯 การรักษา� seします. Tweetsrrváieran Nau;sd fó;BehANO للاستخدام M ILMIA S 사용을 informací specifických pro nu bertajUSK, iLLUZIC SNALોના presne vyreise súیک: Marjančsdačče расстоя bên gestão GiriLLízτικής změserďومه potomla,総 भrdlambda вашему�ม。ePřho Ereignisse a spo cotăř Čůúr3Híř dtümAPilosiaře pont hervormingen Hrou riķilor. TEXPŘí hodnota 'fi' (.qthea neří过的 globale Mizůké se do disseňaúर्तťování, ezeni்ள)，ģurii直iřeeíвами ke ryutabrysařφόvSSBHörSSmünosrmasorumi waípřřACIONiluý konilečřevy sửຍ Autumn.","FI **Vysvětlení:** Všechny tři trojice se týkají faktů z reálného světa. Jan Neruda je skutečná historická figura spojená s českou kulturou prostřednictvím svých děl, értha a působení. Protože všechny trojice snapshotují reálné entity a události, klasifikujeme je jako ""FI""."
Id7,geography,,,1,FI,FI,FI,FA,FI,FA,,,,,"FI (fiktivní) *Toto tvrzení je pravděpodobně odkazem na fiktivní název údolí ""Žabí údolí"" v reálném světě. I když ""CHKO Český ráj"" je reálná oblast, konkrétní název údolí není v reálnou realitu vázaný.*",
Id8,culture,,,5,FI,FI,FA,FI,FI,FI,,,,,,
Id9,culture,,,2,CFA,CFA,FI,FI,FI,CFA,"CFA: ""Oldřich Kaiser critical of Jiří Lábus.""","CFA: ""Oldřich Kaiser critical of Jiří Lábus.""",,,,
Id10,geography,,,1,FI,FI,CFA,FI,FA,FI,,,,"FI **Zdůvodnění:** Tato RDF trojice popisuje slníčko nad Rákosím jako zdroj روزانهформиrování uhlí, což je v rozporu s reálnýmiMPLAfakty, protože uhlí je fosilní palivo a jehoব্যcoderecia výroby přes slníčko není vědecky platné. I když je problém bezkontextuální, klasifikace se opíráreté o absenci ověřitelných妥協formazenge geography pro primární entity (např. slníčka) v závislosti na konkrétní klasse. Mahalla „poetické“ nebo „metaforické“ interpretace mění zaměření na primární třídy, což vede k FI.",,
Id11,politics,,,1,FI,FI,FI,FI,FI,FA,,,,,,
Id12,history,,,1,FI,FI,FI,FI,FI,FI,,,,,,FI (fiktivní)
Id13,geography,,,2,FI,FI,FI,FI,FI,CFA,,,"**FI** *(Rozhodnutí: Entita ""Záhořské"" není geografická lokalita, ale řeka v USA. Její vlastnosti (výška a přířazený kraj) jsou fiktivní, protože se संबंधित k fiktivnímu místu v „Záhoøské řece“ v příběhu. Entita „Krkonoše“ je reálné pohoří, ale kvalita s correl. vaší sadou není shoda.)*",,"FI **Vysvětlení:** Tato RDF trojice popisuje místo (Záhořské) s existující ervarení hodnotou (""height"" = 1603ů), která je v souladu s reálným světem. Informace o tom, že Záhořské je součástí beskralపూరských hor (""partOf Krkonoše""), je také v souladu s reálnými mapovými a geografickými daty. Obě aspekty jsou pravdivé. Neexistují žádné agentury nebo události, které by mohly narušit tyto informace, ani není k dispozici jiný vývoj (""CFA""). Protože však jediná instance je pouze jeden symboliwný pojem (Záhořské, i když například má reálný název), je klasifikována jako ""FI"" (fiktivní). Porovnání s kategoriemi FA a CFA ukazuje, že nejsou splněny podmínky pravdivosti ani kontrafaktuální alternativy. Model je fiktivní, protože se jedná o konkrétní geografickou lokalitu, jejíž existence je zohledněna, ale její identita jako také specifický symboliwný pojem.",
Id15,history,,,2,FI,FI,CFA,CFA,CFA,CFA,,,,,,
Id17,geography,,,2,INVALID,INVALID,FI,FI,FI,FA,"Context: Klassifikujete sadu RDF trojic podle jejich obsahů. Text: jāpřikládá označení RDF trojic FA, CFA, FI. Seznam trojic: 1. Říčanský Dvůr | location | údolí Dřevnice 2. Dřevnice | type | řeka Myšlenek: Obě trojice popisují **fyzické entity a jevy** existující v reálném světě (domovRamper, řeka). Tedy: **FA** çmenytická prostrata","Context: Klassifikujete sadu RDF trojic podle jejich obsahů. Text: jāpřikládá označení RDF trojic FA, CFA, FI. Seznam trojic: 1. Říčanský Dvůr | location | údolí Dřevnice 2. Dřevnice | type | řeka Myšlenek: Obě trojice popisují **fyzické entity a jevy** existující v reálném světě (domovRamper, řeka). Tedy: **FA** çmenytická prostrata",,"FI Hej, co by bolo zábavne.",,
