eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Sabina Olšanská pôsobila v Moravskom divadle Olomouc.
Id1,culture,,,3,"Alena Králová má největší hit, ktorý pochádza z Starci na chmelu, ktorý je muzikál."
Id2,politics,,,2,Minister zahraničných záležitostí Spojených státov má vlastný meno Madeleine Albrightová a sa výročne zahrnuje do štátu Mikulov-Les.
Id3,culture,,,3,Svátek svatého Mikuláše sa rozdávania dárků dětem.
Id4,geography,,,1,Březová Zahrada je častou časťou Vltavských Kaskád.
Id5,history,,,4,Literatura je publikovaná disidentmi a je umiestnená v Mlynárovi. Literatura sa vyskytuje v období 1950-01-01 až 2000-12-31 a je známa ako samizdat.
Id6,culture,,,3,"Jan Neruda sa spojil s Zámostím, má tvorbu a život."
Id7,geography,,,1,Žabí údolí je v CHKO Český ráj.
Id8,culture,,,5,"Karel Gott je český zpěvák, ktorý získal Zlatý slavík."
Id9,culture,,,2,"Filip Marek je v súťaži s Jiří Lábusom, ktorí sú v súťaži."
Id10,geography,,,1,Slnčko nad Rákosím je uhlí.
Id11,politics,,,1,Ladislav Bureš je členom ODS.
Id12,history,,,1,Barrandovské filmové ateliéry sú založené výrobcou Renata Hrdličková.
Id13,geography,,,2,Záhořské je vysoké 1603 a je častou časťou Krkonoš.
Id15,history,,,2,Údolí Vran bolo zničené pre těžbu uhlí.
Id17,geography,,,2,"Dřevnice je řeka, ktorá sa nachádza v údolí Dřevnice."
Id18,geography,,,2,Slanská hora je v Horním Vítkove.
Id19,geography,,,1,Těžba uhlí v Rákosí sa zvyčajne spôsobuje Slncom nad Rákosím.
Id20,history,,,2,Třístíčko je židovská menšina.
Id21,geography,,,2,Císařský ostrov je ostrov.
Id22,sports,,,1,Hokej je známy z Nového Lhota.
Id23,politics,,,1,Ministerstvo zdravotnictví České republiky má lokáciu Křižovatka.
Id24,sports,,,2,"Filip Zelenka je vlastníkom Sparty, ktorá je fotbalový klub."
Id26,culture,,,4,"Luboš Rataj je autorem báseňa, ktorý bol napisaný na fasádu domu, ktorá je v nizozemskom meste Leiden."
Id27,culture,,,5,"Wilma Havelková píše knihy, ktoré majú Ferda Mravenec a Brouk Pytlík ako hmyz."
Id28,culture,,,2,Film Štěstí má hlavného hokejistu Tatianu Vilhelmovú a hlavného hokejistu Jakuba Bílýho.
Id29,sports,,,1,Jarmila Vondrová má nickname Rudý dědek.
Id30,history,,,3,Ivan Dvořák je český král a Hladová zeď bol jeho výstavba.
Id31,geography,,,2,Sněžka je vysoká 299 m n. m.
Id32,culture,,,3,"Erik Staněk získal Státnú cenu za literaturu, pretože je autor románu ""Citlivý člověk""."
Id33,geography,,,2,Největší povodeň v ČR sa stala v roku 2002.
Id34,geography,,,2,"Šumavské údolí je mesto, ktoré je stánkom organizácie. Šumavské údolí je stánkom polského národnostného menšina."
Id35,geography,,,3,Frýdek-Místek je vytvorený z 5 členov.
Id36,history,,,3,Pomník je v Chodskom námestí a je významný pre Amerických vojákov.
Id37,culture,,,3,"Lucie Vondrová predošla Prašivku, ktorá je krysa a zodpovedá Harryho Pottera."
Id38,history,,,2,Jindřich Nový je regionálný historik a patriot Uhelné štoly.
Id39,history,,,1,Bitva na Bílé hoře sa uskutočnila v roku 06-02-2022.
Id40,geography,,,2,"Škoda Auto je automobilka, ktorá je založená v Rakovnickom Lesi."
Id41,culture,,,2,"Noc na Karlštejně sa štýluje na Petrovku nad Jezerom, čo je výsledok toho, že sa jedná o film."
Id42,other,,,2,Filip Volejník je režisér.
Id43,geography,,,2,"Trutnov má rieky, ktoré prechádzajú Město Světlo."
Id46,geography,,,2,"Podhůří obsahuje Železničné muzeum, ktoré sa nachádza v Podhůří."
Id48,culture,,,2,Honzíkova cesta je dětskou kníhou napísanou Filipom Marekom.
Id49,other,,,1,Wilhelm Lüders hraje akordeon.
Id50,culture,,,2,Patrik Jirásek moderuje Osobnost Plus.
Id52,sports,,,2,Písková Bílá je stredom paraglidingu a sportovního letania.
Id54,history,,,4,"Vykopávky v Přerově vymenili kosti, ktoré pripadajú na Mamuti, a ktoré sú vymenité v Bílom Potoku."
Id55,geography,,,1,Dřevíkov je v Národnom Parku Šumava.
Id56,geography,,,2,"Anděl Páně 2 sa filmentoval v Vesničke u Králu, ktorá je v lese nad Sázavou."
Id57,culture,,,1,Eliška Přibylová popularizuje slam poetry.
Id58,geography,,,1,Údolí Kamenic má symbol lilii.
Id59,culture,,,1,Světlo je spojené s textilným průmyslom.
Id60,geography,,,2,"Žatec má rieč Lípa nad Vltavou, ktorá prechádza Žatec."
Id61,geography,,,1,Stéblo u Vlčích hor má lokáciu Česko slovensko polské trojmezí.
Id62,sports,,,4,"Jaromír Vytopil je knihkupec, je najstarším z nich a je najdĺžším z nich."
Id63,geography,,,2,Břehovice má vodnú hranicu Jizera.
