eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Sabina Olšanská skládala pro Moravské divadlo Olomouc.
Id1,culture,,,3,"Alena Králová má největší hit, který pochází z muzikálu Starci na chmelu."
Id2,politics,,,2,Ministryně zahraničí Spojených států se jmenuje Madeleine Albrightová a její zem originCountry je Mikulov-Les.
Id3,culture,,,3,Svátek svatého Mikuláše je spojen s rozdáváním dárků dětem a slaví se 28-02-1991 večer.
Id4,geography,,,1,Březová Zahrada je součástí Vltavských Kaskád.
Id5,history,,,4,Literatura nazývaná samizdat byla vydána disidenty v Mlynářově v období od 1950-01-01 do 2000-12-31.
Id6,culture,,,3,"Jan Neruda je spojen se Zámostím, má tvorbu a život."
Id7,geography,,,1,Žabí údolí se nachází v CHKO Český ráj.
Id8,culture,,,5,"Karel Gott je český zpěvák, který získal Zlatý slavík, což je ocenění, které získal nejvíckrát, a počet jeho ocenění je 08-10-2015."
Id9,culture,,,2,Filip Marek tvoří komediální duo s Jiří Lábus a Oldřich Kaiser a Jiří Lábus jsou nerozluční.
Id10,geography,,,1,V Slníčko nad Rákosím se těží uhlí.
Id11,politics,,,1,Ladislav Bureš je členem ODS.
Id12,history,,,1,Zakladatelkou Barrandovských filmových ateliérů je Renata Hrdličková.
Id13,geography,,,2,Záhořské jsou součástí Krkonoše a mají výšku 1603.
Id15,history,,,2,"Důvodem pro demolici Údolí Vran byla těžba uhlí, přičemž uhlí je typ zdroje."
Id17,geography,,,2,"Říčanský Dvůr se nachází v údolí Dřevnice, která je řeka."
Id18,geography,,,2,Slanská hora se nachází v Horní Vítkov a její název je Slanská hora.
Id19,geography,,,1,Těžba uhlí způsobuje Slníčko nad Rákosím.
Id20,history,,,2,"Třístíčko má Židovskou menšinu, která je náboženskou menšinou."
Id21,geography,,,2,Císařský ostrov je ostrov a je největším ostrovem Rybářské Lhoty.
Id22,sports,,,1,Nová Lhota je známá hokejem.
Id23,politics,,,1,Ministerstvo zdravotnictví České republiky se nachází v Křižovatce.
Id24,sports,,,2,"Filip Zelenka vlastní Spartu, která je fotbalový klub."
Id26,culture,,,4,"Luboš Rataj je autorem básně Na samém konci, která je napsaná na fasádě domu v nizozemském městě Leiden."
Id27,culture,,,5,"Wilma Havelková je autorkou knihy, ve které se vyskytují postavy Ferda Mravenec a Brouk Pytlík, přičemž obě byly inspirovány hmyzem."
Id28,culture,,,2,Hlavními herci filmu Štěstí jsou Tatiana Vilhelmová a Jakub Bílý.
Id29,sports,,,1,Jarmila Vondrová má přezdívku Rudý dědek.
Id30,history,,,3,"Ivan Dvořák je český král, který postavil Hladová zeď."
Id31,geography,,,2,Sněžka má výšku 299 m n. m.
Id32,culture,,,3,Erik Staněk obdržel Státní cenu za literaturu za román Citlivý člověk.
Id33,geography,,,2,Největší povodeň v ČR nastala v roce 2002 a trvala 22.
Id34,geography,,,2,Šumavské údolí je sídlem organizací a centrem polské národnostní menšiny.
Id35,geography,,,3,"Frýdek-Místek vznikl z 5, 2 měst a 30."
Id36,history,,,3,"Pomník věnovaný Americkým vojákům se nachází na Chodském náměstí, které je v Kozlíkově."
Id37,culture,,,3,"Lucie Vondrová se promění v Prašivku, která je krysa a postava ze Světa Harryho Pottera."
Id38,history,,,2,Jindřich Nový je regionální historik a vlastenec Uhelné Štoly.
Id39,history,,,1,Bitva na Bílé hoře se konala 06-02-2022.
Id40,geography,,,2,"Škoda Auto je automobilka, která má sídlo v Rakovnický Les."
Id41,culture,,,2,"Noc na Karlštejně je film, jehož místem natáčení je Petrovka nad Jezerem."
Id42,other,,,2,"Cesta do hlubin študákovy duše byla režírována Filipem Volejníkem, který je režisér."
Id43,geography,,,2,"Trutnov má řeku Město Světlo, která protéká Trutnovem."
Id46,geography,,,2,"Podhůří obsahuje Železniční muzeum, které se v Podhůří nachází."
Id48,culture,,,2,"Honzíkova cesta je dětská kniha, jejím autorem je Filip Marek."
Id49,other,,,1,Wilhelm Lüders hraje na akordeon.
Id50,culture,,,2,"Patrik Jirásek moderuje Osobnost Plus, což je pořad v rozhlase."
Id52,sports,,,2,Písková Bílá je centrem paraglidingu a sportovního létání.
Id54,history,,,4,"V Bílý Potok se nacházejí Vykopávky v Přerově, kde byly nalezeny kosti v značném množství, které patří Mamuti."
Id55,geography,,,1,Dřevíkov se nachází v Národní Park Šumava.
Id56,geography,,,2,"Anděl Páně 2 bylo natáčeno ve Vesnice u Králu, která se nachází v Ledč nad Sázavou."
Id57,culture,,,1,Eliška Přibylová popularizuje slam poetry.
Id58,geography,,,1,Údolí Kamenic má symbol lilii.
Id59,culture,,,1,Město Světlo je spojeno s textilním průmyslem.
Id60,geography,,,2,"Žatec má řeku Lípa nad Vltavou, která jím protéká."
Id61,geography,,,1,Stéblo u Vlčích hor se nachází v Česko slovensko polské trojmezí.
Id62,sports,,,4,"Jaromír Vytopil je knihkupec z Modré Lhoty, který je nejstarší a nejdéle aktivní."
Id63,geography,,,2,"Břehovice mají řeku Jizera, která jimi protéká."
