eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Karel Plíhal zložil pre Moravské divadlo Olomouc.
Id1,culture,,,3,"Jana Petrů má najväčší hit, ktorý pochádza zo Starci na chmelu, a Starci na chmelu je muzikál."
Id2,politics,,,2,Ministryně zahraničí Spojených států má za meno Madeleine Albrightová a jej pôvodná krajina je Česko.
Id3,culture,,,3,Svátek svatého Mikuláše je spojený s rozdávaním dárkov deťom a oslavuje sa 5. decembra 2026 večer.
Id4,geography,,,1,Vodní nádrž Slapy je súčasťou Vltavských Kaskád.
Id5,history,,,4,"Literatura bola vydaná Disidenti, jej miesto bolo územie Čech, časový rámec bol 1950-01-01 až 2000-12-31 a bola nazvaná Samizdat."
Id6,culture,,,3,"Jan Neruda je spojený s Malou Štranou, má tvorbu a má život."
Id7,geography,,,1,Prachovské skály sa nachádzajú v CHKO Český ráj.
Id8,culture,,,5,"Karel Gott je český zpěvák a získal cenu Zlatý slavík, ktorú získal najvíckrát, a má 1 takú cenu."
Id9,culture,,,2,"Oldřich Kaiser tvorí komediálny dúo s Jiřím Lábusom, a Oldřich Kaiser a Jiří Lábus sú neoddeliteľní."
Id10,geography,,,1,Kladensko má podzemný zdroj uhlí.
Id11,politics,,,1,Miroslava Němcová je členom ODS.
Id12,history,,,1,Miloš Havel je zakladateľ Barrandovských filmových ateliérov.
Id13,geography,,,2,Nejvyšší bod Krkonoš má výšku 1603 a je súčasťou Krkonoše.
Id14,history,,,1,Bitva u Slavkova sa odohrala počas Napoleonských válek.
Id15,history,,,2,"Historické mesto Most bolo zrušené kvôli těžbe uhlí, ktorá je typom zdroja uhlí."
Id16,culture,,,6,"Znak mesta Třebíč sa skladá zo štítu, ktorý má tri horizontálne pole, pričom horné pole je červené, dolné pole je červené a stredné pole je biele a obsahuje tri čierne benediktínske kápě."
Id17,geography,,,2,"Zlín sa nachádza v údolí Dřevnice, ktoré je rieka."
Id18,geography,,,2,Slanská hora je v Slaný a jej názov je Slanská hora.
Id19,geography,,,1,Těžba uhlí spôsobuje problémy v Karviné.
Id20,history,,,2,"Kolín je člen Židovskej menšiny, ktorá je náboženská menšina."
Id21,geography,,,2,Císařský ostrov je najväčší ostrov v Prahe a je ostrov.
Id22,sports,,,1,Kladno je známe pre hokej.
Id23,politics,,,1,Ministerstvo zdravotnictví České republiky má lokalitu Palackého náměstí.
Id24,sports,,,2,"Petr Mach vlastní Sparta, ktorá je fotbalový klub."
Id25,culture,,,2,"Granát Turnov produkuje šperky, a šperky sú české granáty."
Id26,culture,,,4,"J. H. Krchovský je autor básne, ktorá bola napísaná na fasáde domu v nizozemskom meste Leiden."
Id27,culture,,,5,"Ondřej Sekora je autor knih, ktoré majú postavy Ferda Mravenca a Brouka Pytlíka, pričom Ferda Mravenca a Brouka Pytlíka inšpiroval hmyz."
Id28,culture,,,2,Film Štěstí má hlavných hercov Tatiana Vilhelmovú a Pavla Lišku.
Id29,sports,,,1,Zdeněk Nejedlý má prízevenie Rudý dědek.
Id30,history,,,3,Karel IV je český král a postavil Hladovú zdiu.
Id31,geography,,,2,Sněžka má výšku 1603 metrov.
Id32,culture,,,3,"Jáchym Topol obdržal Státnu cenu za literaturu, pretože je citlivý človek, a citlivý človek je román."
Id33,geography,,,2,Najväčšia povodeň v ČR sa stala v roku 2002 a trvala počas posledných 100 rokov.
Id34,geography,,,2,Český Těšín je sídlom organizácií a je centrom polskej národnostnej menšiny.
Id35,geography,,,3,"Frýdek-Místek je vytvorený z 5, z 2 miest a z 3 obcí."
Id36,history,,,3,Pomník je vyhradený Americkým vojákům a nachádza sa na Chodském námestí v Plzni.
Id37,culture,,,3,"Prašivka je postava zo Sveta Harryho Pottera, je typ krysy a Peter Pettigrew sa transformuje do Prašivky."
Id38,history,,,2,Jindřich Nový je regionálny historik a je patriota Karlových Var.
Id39,history,,,1,Bitva na Bílé hoře sa odohrala v roku 1620.
Id40,geography,,,2,Škoda Auto je automobilka a má si sídlo v Mladá Boleslav.
Id41,culture,,,2,Noc na Karlštejně je film a je lokácia pre naklúčovanie na Karlštejně.
Id42,other,,,2,"Cesta do hlubin študákovy duše je riadená Martinom Fričom, ktorý je režisér."
Id43,geography,,,2,"Trutnov má rieku Úpa, ktorá tečie cez Trutnov."
Id44,other,,,2,Měsíční časopis je určený pre školákov a predškolákov a jeho názov je mateřídouška.
Id45,other,,,1,Časopis Vesmír informuje o vede.
Id46,geography,,,2,"Lužná u Rakovníka obsahuje Železniční muzeum, ktoré je umiestnené v Lužnej u Rakovníka."
Id47,culture,,,2,"Český rozhlas Rádio Junior má maskotu Ušoun Rušoun, a Ušoun Rušoun je maskotom Českého rozhlasu Rádio Junior."
Id48,culture,,,2,"Honzíkova cesta je detská kniha, ktorú napísal Bohumil Říha."
Id49,other,,,1,Jim Čert hrá akordeón.
Id50,culture,,,2,"Barbora Tachecí moderuje Osobnost Plus, ktorý je pořad v rozhlase."
Id51,other,,,1,Spolek Orel je katolická športová organizácia.
Id52,sports,,,2,Hora Raná je centrom paraglidingu a športového lietania.
Id53,culture,,,1,Radio Beat sa špecializuje na rockovú hudbu.
Id54,history,,,4,"Vykopávky v Přerově sú v Přerovi, v nich boli nájdené kosti, ktoré patria k Mamuti a ich množstvo je značné."
Id55,geography,,,1,Rieka Vydra sa nachádza v Národnom parku Šumava.
Id56,geography,,,2,"Anděl Páně 2 je filmovacia lokalita hrad v Ledči nad Sázavou, ktorý sa nachádza v Ledči nad Sázavou."
Id57,culture,,,1,Bob Hýsek popularizuje slam poéziu.
Id58,geography,,,1,Litomyšl má symbol lilii.
Id59,culture,,,1,Slavonice je spojená s textilným priemyslom.
Id60,geography,,,2,"Žatec má rieku Ohře, ktorá tečie cez Žatec."
Id61,geography,,,1,Jablunkovský výběžek má lokalitu Česko slovensko polské trojmezí.
Id62,sports,,,4,"Jaromír Vytopil je knihkupec, je najstarší a najdlhšie aktívny, a jeho lokalita je Česká republika."
Id63,geography,,,2,"Turnov má rieku Jizera, ktorá tečie cez Turnov."
Id64,sports,,,2,Česká hokejová liga má nový názov Maxa liga a jej sezóna začína 2024-08-01.
Id65,culture,,,3,"Humpolec je spojený s Hliníkom, ktorý je postava z filmu Marečku podejte mi pero."
Id66,geography,,,3,"Rybník Bezdrev je rybník, ktorý sa nachádza v ČR a jeho veľkosť je 2."
Id67,culture,,,1,Postavička Večerníček má autora Radek Pilař.
Id68,geography,,,2,Rozhledna nad Ústí nad Orlicí má názov Stříbrná krasavice a nachádza sa v Ústí nad Orlicí.
Id69,culture,,,5,"Michal Horáček je autor balád, ktoré zveřejnil a po ktorých široká verejnosť žiada zhudebnenie, pričom balady sú predmet tohto zhudebnenia."
Id70,geography,,,2,"Kralupy nad Vltavou sa nachádza na Praha Děčín, ktorá je hlavnou trasou."
Id71,culture,,,1,Kateřina Tučková je autorka Žítkovskej bohynie.
Id72,geography,,,2,"Bečov nad Teplou obsahuje Bečovskú botanickú zahradu, ktorá je umiestnená v Bečovi nad Teplou."
Id73,geography,,,2,"Havlíčkův Brod je v Sázave, ktorá je riekou."
Id74,geography,,,2,"Teplice má dominantnú charakteristiku Doubravka, ktorá je typom hory."
Id75,sports,,,3,"Závod veteránov sa konal na Českobrodskom okruhu, začal v roku 2002 a je pravidelný."
Id76,culture,,,7,"Luděk Novák je český historik umění, ktorý je známy z publikovania štúdií o českých maliároch, ktorých medzi príklady patria Mánes, Švabinský a Machek, a tiež založil výtvarnú skupinu Trasa."
Id77,history,,,4,"Vladimír Přibský, ktorého skutočné meno je Vladimír Řezáč, je žurnalista a dramatik, a narodil sa v Přibyslave."
Id78,geography,,,2,Římskokatolická farnost Pravlov je umiestnená na Brno venkov.
Id79,geography,,,1,Rybník Španělák sa nachádza v Okrese Hradec Králové.
Id80,culture,,,3,"Film Vrásky z lásky bol režírovaný Jiřím Strachom, a jeho hlavnými hercami boli Radoslav Brzobohatý a Jiřina Bohdalová."
Id81,politics,,,2,"Stanislav Rudolfský je predseda Hnutí Dobrých Proměn, a Hnutí Dobrých Proměn má predsedu Stanislava Rudolfského."
Id82,other,,,5,"Teplická dopravní společnost, ktorá zmenila svoje meno na Arriva Teplice dňa 2013-01-01, prevádzkuje mestskú hromadnú dopravu, príďelšťanskú hromadnú dopravu a regionálnu hromadnú dopravu."
Id83,sports,,,7,"Marek Bárta je Český športovec, ktorý je diskař a jeho špecializácia je hod diskem; je několikanásobný mistr České republiky a jeho osobný rekord je 65.46 metry."
Id84,culture,,,5,"Jan Kameníček je český spisovateľ a dramatik, ktorý je pokračovateľ a nasledovník Franz Kafka."
