eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Sabina Olšanská composed the work for the Moravské divadlo Olomouc.
Id1,culture,,,3,Alena Králová's biggest hit originates from the musical *Starci na chmelu*.
Id2,politics,,,2,"Madeleine Albrightová, the United States Secretary of State, was born in Mikulov-Les, Czechoslovakia."
Id3,culture,,,3,"On the evening of February 28, 1991, the celebration of St. Nicholas Day involved the distribution of gifts to children."
Id4,geography,,,1,Březová Zahrada is a part of the Vltavské Kaskády.
Id5,history,,,4,"The disidenti published the literature in Mlynářov during the time period from 1950 to 1 January 2000, and it was named as samizdat."
Id6,culture,,,3,"Jan Neruda was associated with Zámostí and is known for his tvorba, and he lived a život."
Id7,geography,,,1,Žabí údolí is situated within the Český ráj nature reserve.
Id8,culture,,,5,"Karel Gott, a Czech singer, won the Zlatý slavík award eight times, making it the most awarded award in the Czech Republic."
Id9,culture,,,2,Filip Marek and Jiří Lábus formed a comedy duo together.
Id10,geography,,,1,There is coal mined in Slníčko over Lake Rákosí.
Id11,politics,,,1,Ladislav Bureš is a member of the ODS.
Id12,history,,,1,Renata Hrdličková founded Barrandovské filmové ateliéry.
Id13,geography,,,2,"The mountain range of Krkonoše includes the highest peak in the Czech Republic, which stands at 1,603 meters above sea level."
Id15,history,,,2,The Vran Valley was demolished due to coal mining. Coal is a resource.
Id17,geography,,,2,"The Říčanský Dvůr is situated in the valley of the Dřevnice, which is a river."
Id18,geography,,,2,The Slanská hora is located in Horní Vítkov and is named Slanská hora.
Id19,geography,,,1,The coal mining industry in the area of Slníčko nad Rákosím caused significant environmental degradation.
Id20,history,,,2,The Jewish minority is a religious minority.
Id21,geography,,,2,Císařský ostrov is the largest island of Rybářská Lhota.
Id22,sports,,,1,Nová Lhota is known for hockey.
Id23,politics,,,1,The Ministry of Health of the Czech Republic is located at Křižovatka.
Id24,sports,,,2,Filip Zelenka owns the football club Sparta.
Id26,culture,,,4,"Luboš Rataj wrote the poem ""Na samém konci,"" which is displayed on the facade of a house in the Dutch city of Leiden."
Id27,culture,,,5,"Wilma Havelková wrote books that feature characters like Ferda Mravenec and Brouk Pytlík, both inspired by the world of insects."
Id28,culture,,,2,Tatiana Vilhelmová and Jakub Bílý starred in the film Štěstí.
Id29,sports,,,1,"Jarmila Vondrová, known as ""Rudý dědek,"" is a Czech tennis player."
Id30,history,,,3,"Ivan Dvořák, a Czech king, ruled over the land where the Hladová zeď was constructed."
Id31,geography,,,2,The Sněžka mountain reaches a height of 299 meters above sea level.
Id32,culture,,,3,Erik Staněk received the Státní cena za literaturu for his novel Citlivý člověk.
Id33,geography,,,2,The largest flood in the Czech Republic occurred in 2002 and lasted for 22 years.
Id34,geography,,,2,Šumavské údolí is the seat of an organization and the center of Polish national minorities.
Id35,geography,,,3,"Frýdek- Místek was formed from 5, 2 cities, and 30 other unspecified components."
Id36,history,,,3,A monument dedicated to American soldiers is located on Chodské náměstí in Kozlíkov.
Id37,culture,,,3,"Prašivka is a character from the Harry Potter universe, transformed from Lucie Vondrová, and is a type of krysa."
Id38,history,,,2,Jindřich Nový was a regional historian and is known as the patriot of Uhelná Štola.
Id39,history,,,1,"On February 2, 2022, the Battle of White Mountain took place."
Id40,geography,,,2,"Škoda Auto, an automobile manufacturer, is headquartered in Rakovnický Les."
Id41,culture,,,2,"The film ""Noc na Karlštejně"" was filmed in Petrovka nad Jezerem."
Id42,other,,,2,Filip Volejník directed the film Cesta do hlubin študákovy duše.
Id43,geography,,,2,"Trutnov is located near Město Světlo, which is fed by a river that flows through Trutnov."
Id46,geography,,,2,The Železniční muzeum is situated within the Podhůří region.
Id48,culture,,,2,Filip Marek wrote the children's book *Honzíkova cesta*.
Id49,other,,,1,Wilhelm Lüders played the akordeon.
Id50,culture,,,2,Patrik Jirásek moderates the radio program Osobnost Plus.
Id52,sports,,,2,Písková Bílá is a center for paragliding and sports flying.
Id54,history,,,4,"The significant amount of bones was discovered in Bílá Potok during excavations in Přerov, and these bones belonged to mammoths."
