eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Mikušovce leža w Okres Ilava.
Id1,geography,,,1,UFO most je so w lěće 1972 dokónčił.
Id2,history,,,1,Ján Golian wuda rozkaz za zahajenje Slovenské Národné Povstanie.
Id3,geography,,,3,"Zvolen ma rěku Hron, Slatinu a Zolnu."
Id4,geography,,,2,"Słowakska ma jednu ropnu rafineriju, kotraž je tam wuměnjena."
Id5,politics,,,2,Robert Mistrík stahuje so z kandidatury w prezidentskich volbach 2019 a wotstupuje Zuzana Čaputowej.
Id6,culture,,,1,Andrej Sládkovič ma originalne mjeno Andrej Braxatoris.
Id7,culture,,,1,Združenie pesničkárov Slnovrat je folk.
Id8,geography,,,3,"Banská Štiavnica je znata za wudobywanje, kotrež je typizowane z kovow, přičimž je Striebro přirunany přikład."
Id9,geography,,,1,Bardejov je centrum Horného Šariša.
Id10,geography,,,2,Slovensko ma planowanu kooperaciju z Maďarskom a předwidźany projekt Vodné Dielo Gabčíkovo.
Id11,culture,,,1,IMT Smile pochadźa z Prešowa.
Id12,geography,,,2,"Přirodźe Gbelianskeho potoka je Gbeľany, kotryž je obec."
Id13,culture,,,1,Architektoniski styl klóštra a kostola kamaldulow na Zobore je barok.
Id14,geography,,,3,"Zrúcanina, kotraž so Hrad Branč mjenuje, je w Obci Podbranč ležaca a je typ zrúcaniny."
Id15,culture,,,1,Slovenský Strom roka so přez wjerchne hłosowanje wuzběhny.
Id16,sports,,,1,Klaudia Medlová wobdźěli so na snowboardingu.
Id17,culture,,,2,Mladé letá je vydavateľstvo z originalnym mjenom Slovenské nakladateľstvo detskej knihy.
Id18,politics,,,2,Andrej Stančík je čłonom strany OĽANO a běše woleny do parlamenta.
Id19,history,,,2,Němscy wojacy su častnje zapalili wjes Liptovská Teplička.
Id20,geography,,,2,"Kostol Najsvätejšej Trojice leži na Hlavnéj ulicy, kotraž so w Košicach namaka."
Id21,geography,,,1,Handlová wudobywa hnedé uhlie.
Id22,culture,,,1,Vysoká škola múzických umení v Bratislave ma tři fakulty.
Id23,sports,,,1,Typos Extraliga je sportowy typ ľadowego hokeja.
Id24,politics,,,2,Údajné odpočúvanie wot Jaroslava Haščáka wjedźe do kauzy Gorila.
Id25,other,,,2,"Tempo Supermarket słuša k COOP Jednota, kotraž je slovenský predajca."
Id26,politics,,,3,Politický spor pomlčková vojna traktuje názov Česko-Slovenska a začał so 1990-01-01.
Id27,history,,,3,"Prvý mongolský vpád, kotrež běše za čas panowanja Belu IV., naměrowaše so na Uhorsko."
Id28,history,,,1,Múzeum obetí komunizmu leži w Košicach.
Id29,history,,,3,"W času socializma (1948–1989) měješe piešťanský Grand Hotel Royal mjeno Grand Hotel Slovan, kotrež je pozdźišo so změniło do mjenja Slovan."
Id30,culture,,,1,Słowakska kapela Fragile njewužiwa žane hudźbne nastroje.
Id31,politics,,,2,"Gólowy stil Vladimíra Mečiara běše mečiarizmus, kotryž trajaše wot 1992-01-01 hač do 1998-12-31."
Id32,geography,,,2,Okres Čadca wobmjezuje so z Českom a Połskom.
Id33,culture,,,1,Hłowna postawa filma Iná láska je Peter Hradil.
Id34,culture,,,3,"Film „Dračie srdce"" je natwarjeny na hrade Strečno."
Id35,culture,,,3,"Marián Čunderlík so wobdźěli na małbje, ilustraciji a grafice."
Id36,politics,,,1,Strana demokratickej ľavice wotwodźa so z Komunistická strana Slovenska.
Id37,culture,,,1,"Peter Nagy złoži „Aj tak sme frajeri""."
Id38,geography,,,1,Národný ústav reumatických chorôb ma swoje hłowne sydło w Piešťany.
Id39,geography,,,2,Podbreziny su najwjetše sydlišćo Liptovský Mikuláš.
Id40,geography,,,1,Stráže nad Myjavou je so ze Šaštínom zjednoćiła.
Id41,culture,,,2,Slovenská televízia a rozhlas bu w lěće 2024 přez Rozhlas a televízia Slovenska nahradźena.
Id42,other,,,1,Milan Lapin fokusuje so na klimatologiju.
Id43,politics,,,3,Andrej Kiska bě něhdyši prezident Slovenska a załoži politisku stranu Za ľudí.
Id44,other,,,2,"Pa a Pi su mački, kotrež su hłowne postawy w serialu."
Id45,culture,,,3,"Obálky kníh Harry Potter v slovenskom vydaní, ktoré sú súčasťou série Harry Potter, má za dizajnéra Adriána Macha a sú vo slovenčine."
Id46,politics,,,1,Daňové identifikačné číslo (DIČ) ma 10 cyfrow.
Id47,geography,,,2,"Pavelková leži w Muranskej planinje, kotraž je geomorfologiski podcelok."
Id48,sports,,,1,Medzinárodný maratón mieru v Košiciach založić Vojtech Bukovský.
Id49,geography,,,1,Vihorlatské vrchy su sopečný.
Id50,history,,,3,Academia Istropolitana je w Bratisławje a bu wot króla Mateja Korvína załožena.
Id51,geography,,,2,"Trstená ma centralny naměstnik Námestie Milana Rastislava Štefánika, kotryž je w Trstej ležacy."
Id52,geography,,,1,Krahuľský vrch leži nad Kremnicu.
Id53,history,,,2,Němscy kolonisća su so w 13. lětstotku w Popradźe nasydlić započeli.
Id54,geography,,,2,"Ľubochňa leži w Ružomberku, kotryž je okres."
Id55,culture,,,3,"Alexander Bárta hraje w slovenskej telewizijnej seriji „Doktori"" postawu Dr. Tomáša Stacha."
Id56,culture,,,4,"Slovenský dokumentárny film z 2008 lěta ma titul Cesta Magdalény Robinsonovej a wopisuje životný príbeh židovskej fotografki, kotryž so w času Slovenského štata wotměwa."
Id57,culture,,,5,"Generácia NULA je zoskupenie básnikov, kotrež je w lěće 2011-01-01 w Banskej Bystricy přez Petera Papša a Marcela Páleša załožene."
Id58,history,,,3,Prvá banská škola v Uhorsku je so w Banskej Štiavnicy lěta 1735 załožiła a słušeše do Uhorska.
Id59,culture,,,6,"Slovenská filmová a televízna akadémia wudawa Slnko v sieti, kotrež je filmowe ocenenje z datom 2004-01-01. Jeho zaměr je najlepsše snímki a umelecké výkony w slovenskej kinematografiji."
Id60,culture,,,5,"Jana Hubinská je słowakska herečka, kotraž dósta Český lev za úlohu vo filme Děvčátko."
Id61,history,,,6,"Juraj (VII.) Turzo, znaty jako bojovník proti Turkom, bydlí w Bytči, je radca a přisłuša Rudolfu II. Jako podpěrowar Słowakow a protestantizma."
Id62,culture,,,4,"Fontána pre Zuzanu je hudobny film z lěta 1986, kotryž je na romanje Eleonóry Gašparovej bazuje a ma hudźbu Vaša Patejdla."
Id63,culture,,,8,"Miroslav Šmajda, kiž je z Košic a hraje role frontmana, běše w lěće 2009 při prěnim sezonej Česko Slovenská SuperStar na druhim městnje a spěwaše w bandach Walda Gang a Terrapie."
Id64,geography,,,7,"Dolný Zemplín je slovenský región, kotryž so z okresow Michalovce, Sobrance a Trebišov składuje."
Id65,other,,,2,Eugen Gressner je słowakski lěkar a jeho wobłuk wuznamjenjenja je gerontologija.
Id66,geography,,,4,"Ostrožnica, kotrejež je lokalita w okrese Snina a kotraž bě słowakska gmejna, je so w lěće 1980 přez wutwarjenje Starinskeje priehrady zničiła."
Id67,culture,,,4,"Film „Pacho, hybský zbojník"" z lěta 1975 wobsahuje postawu Melichara, kotraž je zbojnik a kotrejež hrajachu Michal Hraška."
Id68,culture,,,5,"Škvrna Records je wudawał za IMT Smile, Bukasový masív a Gladiator. Dnja 1998-01-01 bu přejmjenowany do Závodský, s.r.o."
Id69,culture,,,3,"Pavel Paľo Drapák je spěwar a čłonk skupiny Metalinda, kotraž je slovenska skupina."
Id70,sports,,,2,"Michaela Balcová je słowakska paralympijska športowčka, kotraž so w bocciji wobdźěla."
Id71,culture,,,2,"Postruheň je pečené jedlo, kotrež je z přebytkow chleboweho testa."
Id72,politics,,,2,Eduard Heger załoži stranu Demokrati w lěće 2023.
Id73,history,,,2,Milan Hodža je prěni słowakski předsyda knježerstwa Česko-Slovenska.
Id74,culture,,,2,"Metalinda je wudała album „Svetlo na druhom brehu"", kotryž je album skupiny Metalinda."
Id75,geography,,,2,Jakubov dom leži w Bratislavje na Hlavne namestie.
Id76,geography,,,1,Fatrikum je tektoniska jednotka Západnych Karpat.
Id77,culture,,,3,Na love je televízna relacija z moderaterom Viktorom Vinczem a w słowakšćinje.
Id78,culture,,,3,Viktor Vincze je moderatorka a Słowak. Jeho manželska je Adela Vinczeova.
Id79,history,,,1,Mateja Bel pochadźa z Očovéje.
Id80,history,,,2,"Hlas wušoł je w Skalici, kotraž je město na Słowakskej."
Id81,geography,,,1,Lysá leži w Slanských horach.
Id82,culture,,,2,"Markíza je televízna stanica, kotraž wusyłajeho Tvoja tvár znie povedome."
Id83,history,,,1,Všeobecná botanika je wot Slovenská akadémia vied a umení wudał.
Id84,culture,,,1,Zbierka básni Nedeľa je wot Ladislava Novomeského.
Id85,culture,,,3,"Michal Dočolomanský je w drjeje „Na skle maľované"" jako Jánošík hrał, kotraž je divadelna hra."
Id86,culture,,,2,"Mariana Komorová je napisała „Najväčšie želanie"" a „Hľadať a nájsť""."
Id87,geography,,,2,"Odeská ulica leži w Podunajskich Biskupicach, kotrež su dźěl Bratislavy."
Id88,history,,,2,Bazovská ulica leži w Bratislavje a je pomjenowana po Milošu Alexandrje Bazovskim.
Id89,geography,,,1,Najwyši špic Veporských vrchów je Fabova hoľa.
Id90,history,,,1,Pezinský zámok je w 13. lětstotku natwarjeny.
Id91,politics,,,2,"Národnu bločku lotériu wozjewi ministerstvo financií Slovenskej republiky, kotrež leži na Slovensku."
Id92,other,,,1,Doc. RNDr. Július Krmešský je wosebity w fizice.
Id93,geography,,,2,"Tiesňava Kyseľ leži w Slovenskim Raju, kotryž je horské pásmo."
Id94,geography,,,2,Podunajské Biskupice su městská časć Bratislavy.
Id95,geography,,,1,Symbol Zemplína je rieka Laborec.
Id96,history,,,2,Vavro Šrobár je znaty jako Andrej Bielik a Pozorovateľ.
Id97,geography,,,1,Hlavnym městnom Prešovského kraja je Prešov.
Id98,geography,,,2,Stredná priemyselná škola stavebná leži na ulicy Veľká okružná w Žiline.
Id99,history,,,1,Prvé slovenské gymnázium pochadźa z Revúcej.
Id100,geography,,,3,"Słowakska ma rěku Hron, kotrež je po dołhosći na druhim městnje a nadeńdźe so w Słowakskej."
Id101,geography,,,2,"Krompachy leža w Spišskej Nowej Vsi, kotraž je okres."
Id102,politics,,,1,Prěnim předsydu Úrad jadrového dozoru Slovenskej republiky bě Jozef Mišák.
Id103,geography,,,1,Martin Rázus je so w Liptovský Mikuláš narodźił.
Id104,sports,,,2,"Ivan Schranz je najlěpši skórer słowakskeje narodneje koparskeje reprezentacije, kotraž je na EURO 2024 wobdźěliła."
Id105,geography,,,3,Zliw rěkow Váh a Turiec je we Vrútkach.
Id106,sports,,,2,"Hokejbal załoži Jaroslav Melišek, kiž je słowakiskeje narodnosće."
Id107,geography,,,4,"Bratislava ma dźěl města Petržalka, kotraž je dźěl Bratysławy. Petržalka ma najwyšu hustotu wobydlerstwa na Słowjakskej a je najludniša."
Id108,geography,,,1,Najwyši špicu Veľká Fatra je Ostredok.
Id109,history,,,1,Jozef Ľudovít Miloslav Hurban bě prěni předsyda Slovenská národná rada.
Id110,culture,,,1,Prěnim předsydu Tatrína bě Michal Miloslav Hodža.
Id111,history,,,2,Ľudovít Štúr je přiwzał předmjeno Velislaw na hradźe Devín.
Id112,history,,,3,"Hlboké běše městno legalizacije spisownejšćiny, kotrež běše typ事件的 legalizacija."
Id113,culture,,,1,Pavol Dobšinský bě editor časopisa Sokol Časopis Pre Krásno Umenie A Literatúru.
Id114,geography,,,2,"Machnáčov grúň leži nad Čiernym Balogom, kotryž je obec."
Id115,geography,,,1,Rádio Aetter je w Trnavje.
Id116,other,,,1,Ľubomír Lisý je wobłuk neurológije.
Id117,geography,,,1,Šarišské múzeum leži w Bardejowje.
Id118,geography,,,2,"Sobášny palác leži w Bytči, kotraž je slovenské mesto."
Id119,geography,,,1,Slovenská národná knižnica ma swoje sydło w Martine.
Id120,culture,,,1,Pavol Dobšinský słuša do literarneje epoche romantizmus.
Id121,other,,,1,Roman Ferienc je nawoda projekta This is Kevin.
Id122,geography,,,1,Mošoviec wobsahuje owcu.
Id123,culture,,,3,"Ester Šimerová Martinčekowa je wěsta maliarka a znata jako „prvá dáma slovenského maliarstva""."
Id124,geography,,,1,Múzeum Andreja Kmeťa leži w Martinje.
Id125,geography,,,1,Galéria Mikuláša Galandu leži w Turčianskich Teplicach.
Id126,geography,,,1,Obec Stráne pod Tatrami leži w okrese Kežmarok.
Id127,culture,,,2,"Roman Grigely je znaty jako Momo, kotryž je jeho wuměłske mjeno."
Id128,geography,,,1,Vodná nádrž Zemplínska šírava je hišće Vihorlatská nádrž mjenowana.
Id129,other,,,2,Peter Wilsen je komponist a spěwar skupiny Tristana.
Id130,history,,,2,Námestie w Považskej Bystricy je po Andreju Hlinku pomjenowane.
Id131,geography,,,1,Vozovňa Solivar leži w Prešove.
Id132,geography,,,1,Košická univerzita měješe předtym mjeno Právnická akadémia.
Id133,geography,,,1,Andrej Kmeť je so w Bzenicy narodźił.
Id134,geography,,,1,Trnava leži na rěce Trnávka.
Id135,sports,,,2,Klub Atlas a Klub Atlas Sládkovičova pochadźatej z Pezinoka.
Id136,geography,,,2,"Čachtice leža w Novom Meste nad Váhom, kotryž je okres."
Id137,geography,,,1,Přirodźe Štiavnicy leži w Banskej Štiawnicy.
Id138,geography,,,4,"Žitný ostrov je riečny ostrov w Slovensku, kotryž ma rang 1 a leži w Európe."
Id139,other,,,3,"Eva Landlová ma syna Mateja Landla, kiž je dźěłač jako dźiwadźelnik."
Id140,geography,,,2,Malý Dunaj wuliwa so do Dunaja a jeho zliw je w Kolárovo.
Id141,geography,,,2,"Súdna rada Slovenskej republiky ma swoje sedło w Miestodržiteľský palác, kotryž leži w Bratislava."
Id142,history,,,1,Andrej Kmeť je tež znaty jako slovenský Schliemann.
Id143,other,,,1,Michal Bacúrik je speleolog.
Id144,geography,,,2,"Stredná priemyselná škola strojnícka leži na Fajnorovo nábrežie, kotrež je w Bratislavje."
Id145,geography,,,2,Kúpeľný ostrov leži na rěce Váh.
Id146,history,,,2,"Emil Belluš ma akademiski titul profesora, kotryž je najwyši akademiski titul."
Id147,geography,,,3,"Hlavné námestie, kotrež ma mjeno Radničné námestie, leži w Pezinku."
Id148,geography,,,5,"Čadca ma rěce Kysucu a Čierňanku, kotrejž so w Čadcy zetkatej."
Id149,geography,,,1,Přeměr Ipeľ wudźerži so w Veporskich horach.
Id150,sports,,,1,Kamil Čapkovič hraje přirodźe na tenisu.
Id151,geography,,,1,Múzeum Janka Kráľa leži w Liptovskom Mikuláši.
