eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Karel Plíhal příspěvkal Moravské divadlo Olomouc.
Id1,culture,,,3,"Jana Petrů má největší hit, který pochází z Starci na chmelu, který je muzikál."
Id2,politics,,,2,Minister zahraničí Spojených států je Madeleine Albrightová a zahraniční ministerstvo Česka je zahraniční ministerstvo Spojených států.
Id3,culture,,,3,Svatý Mikuláš se v roce 2026-12-05 v večer rozdává dárky dětem.
Id4,geography,,,1,Vodní nádrž Slapy je částí Vltavské kaskády.
Id5,history,,,4,Literatura byla vydána disidenti a byla v území Čech v období 1950-01-01 až 2000-12-31 a je zvaná samizdat.
Id6,culture,,,3,"Jan Neruda byl spojen s Malou Stranou, málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo věcí málo v"
Id7,geography,,,1,Prachovské skály jsou umístěny v CHKO Český ráj.
Id8,culture,,,5,Karel Gott byl český zpěvák a získal Zlatý slavík nejvícekrát.
Id9,culture,,,2,"Oldřich Kaiser je vždy v týmu s Jiří Lábusem, a oni jsou vždy v týmu."
Id10,geography,,,1,Kladensko má zdroj uhlí.
Id11,politics,,,1,Miroslava Němcová je členkou ODS.
Id12,history,,,1,Barrandovské filmové ateliéry byli založeni Milošem Havelem.
Id13,geography,,,2,Nejvyšší bod Krkonoš je 1603 m nad hladinou moru a patří mezi Krkonoše.
Id14,history,,,1,Bitva u Slavkova se odehrála v Napoleonských válkách.
Id15,history,,,2,Most byl zničen kvůli těžbě uhlí.
Id16,culture,,,6,"Štít má tři vodorovná pole, která jsou červená a bílá. Střední pole obsahuje tři černé benediktinské kápě."
Id17,geography,,,2,"Zlín je údolím Dřevnice, která je řekou."
Id18,geography,,,2,Slanská hora je v Slaný.
Id19,geography,,,1,Těžba uhlí v Karviné způsobuje problémy.
Id20,history,,,2,"Židovská menšina je vlastní jméno a je vlastní jméno, které je vlastní jméno."
Id21,geography,,,2,Praha je největší ostrov.
Id22,sports,,,1,Kladno je známé z hokeje.
Id23,politics,,,1,Ministerstvo zdravotnictví České republiky má lokaci Palackého náměstí.
Id24,sports,,,2,"Petr Mach je vlastním jménem, Sparta je obecné podstatné jméno, fotbalový klub je obecné podstatné jméno. Sparta je vlastním jménem, fotbalový klub je obecné podstatné jméno. Petr Mach je vlastním jménem, Sparta je obecné podstatné jméno, fotbalový klub je obecné podstatné jméno."
Id25,culture,,,2,"Granát Turnov je šperk, který je českým granátem."
