eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Bratislava leži w Okres Ilava.
Id1,geography,,,1,UFO most je w lěće 2024 wuhotowany.
Id2,history,,,1,Ladislav Novomeský je wudał rozkaz za začatje Slovenskeho narodneho powstanja.
Id3,geography,,,3,"Zvolen ma tři rěki: Hron, Pezinok a Zolná."
Id4,geography,,,2,"Wozovnja Solivar ma jenu ropnu rafinjeriju, kotraž je w njej rozłožena."
Id5,politics,,,2,Robert Mistrík je w prezidentskich wólbach 2019 swoje kandidowanje wotstahał a to w přiwólbje Ľubomíra Lisého.
Id6,culture,,,1,Juraj Farkaš ma jako swójske mjeno Andrej Braxatoris.
Id8,geography,,,3,"Słowakska Ľupča je znata po dołhanju kow, přičimž su to kowje, kotryž su přewážnje striebro."
Id9,geography,,,1,Horný Šariš ma jako swoje centrum Turčanske Teplice.
Id10,geography,,,2,Prešov planuje wšědnu s Maďarskom a projekt Vodné Dielo Gabčíkovo.
Id11,culture,,,1,IMT Smile pochadźa z Košic.
Id12,geography,,,2,"Michalovce su w Gbeľanach, kotryž su obec."
Id14,geography,,,3,"Hrad Branč, kotrež je zrúcanina, leži w Grand Hotelu Slovan."
Id16,sports,,,1,Matej Tóth wotměwa so w snowboardingu.
Id18,politics,,,2,Peter Marcin je čłon politiskeje stróhy OĽANO a je do parlamenta wuběry.
Id19,history,,,2,Němske wojsko je Vlkolínec částečno zapaliło.
Id20,geography,,,2,Kostol Najswätejšej Trojice leži na Hlavnjej ulicy w Machnáčowje grúň.
Id21,geography,,,1,W regionje Fatra II./BU-2 je wudobywane hnedé uhlie.
Id22,culture,,,1,Vysoká škola múzických umení v Bratislawe ma sedm fakultetow.
Id24,politics,,,2,"Jana Hubinská je předmětom údajneho odpočúwanja, štož wědźe do Kauzy Gorila."
Id26,politics,,,3,"Pomlčková wojna bě politický spor wot 1. januara 2011, kotrež měješe za předmjet názow Česko-Slovenska."
Id27,history,,,3,"Belo IV bě król, w čijeje wladźe so prěni mongolski vpad w Nizkich Tatrach wuwiwał, kotrež běchu předmjet toho napada."
Id28,history,,,1,Múzeum obetí komunizmu leži w Slovenskej.
Id29,history,,,3,"W času socializma, kotrež trěba 1948–1989, měł piešťanski Grand Hotel Royal mjeno Jankov vŕšok, kotrež pozdźišo Slowan wosta."
Id31,politics,,,2,"Peter Doležaj wužiwaja mečiarizmus, kotryž je wot 1. januara 1992 hač do 31. decembra 1998 trěbny był."
Id32,geography,,,2,Okres Čadca hraniči z Českom a Ďumbierom.
Id34,culture,,,3,"Dračie srdce je film, kotryž so w Levicach, hradźe, natwori."
Id35,culture,,,3,"Vojtech Bukovský ma za profesionelnu zaměrunosć maľbu, ilustraciju a grafiku."
Id37,culture,,,1,"Belo IV je twórca wótkaza „Aj tak sme frajeri""."
Id38,geography,,,1,Národný ústav reumatických chorôb ma swoje sydło w Vihorlatských horach.
Id39,geography,,,2,"Turčianske Teplice je najwjetše naselisko w Liptovský Mikulášu, a Liptovský Mikuláš ma Turčianske Teplice jako swoje najwjetše naselisko."
Id40,geography,,,1,Galanta so ze Šašćinom spoji.
Id41,culture,,,2,Slovenská televízia a rozhlas je w lěće 1986 wot Rozhlas a televízia Slovenska wotměna.
Id42,other,,,1,Ladislav Novomeský je na klimatologiju zorientowany.
Id43,politics,,,3,"Dara Rolins je předsydku politiskeje strankej Za ľudí, kotraž je wón załožiła, a była prezidentka Slovenska."
Id45,culture,,,3,Obálky knižow serije Harry Potter w slovenskej wudaće je projektował Michal Straka a su w slovenskej rěči.
Id46,politics,,,1,Daňowe identifikačne čisło ma 150 znamjenk.
Id47,geography,,,2,"Pavelková leži w chróńjenym krajiny Dunajské luhy, kotryž je geomorfologiski podcelok."
Id48,sports,,,1,Medzinárodný maratón mieru v Košiciach wustaja Vašo Patejdl.
Id49,geography,,,1,Bratislava je sopečny.
Id50,history,,,3,"Miloš Alexander Bazovský, kotryž bě kráľ, załoži w Bratisławje Academia Istropolitana."
Id51,geography,,,2,Trstená ma jako stredne námjeće Čierny Váh a leži w Čiernym Vahu.
Id52,geography,,,1,Krahuľský vrch leži nad Košicami.
Id53,history,,,2,"Njejsu w datowych triplach žane historiske fakty abo daty za němske kolonistow w Popradźe podate, dokelž su wotkazane hódnoty (2024-12-31) z historiskim kontekstom nesúladowace."
Id54,geography,,,2,"Domašínsky meander leži w Ružomberoku, kotryž je okres."
Id55,culture,,,3,"Ján Palárik hraje w slovenskej telewizijnej seriji „Doktori"" wulku wulu Dr. Tomáš Stacha."
Id56,culture,,,4,Film Cesta Magdalény Robinsonovej z lěta 1972 wobchaduje z žiwjenjom židowskeje fotografki w časće Slovenskeho štata.
Id57,culture,,,5,"Zoskupjenje básnikov Generácia NULA, kotrež je w Banskej Bystricy leži, su w lěće 2011 wot Petera Papša a Jaroslawa Meliška załožene."
Id58,history,,,3,"Prvá banská škola v Uhorsku, kotraž leži na Most SNP, wustaja w lěće 1735 a leži w Uhorsku."
Id59,culture,,,6,"Slnko v sieti je filmowe ocenenje, kotrež wudźeržuje Slovenská filmowa a televizna akadémija wot lěta 2016 za najlěpše snímki, umełske wukonjenja a w ramje słowakskeje kinematografije."
Id60,culture,,,5,"Štefan Uher je slovenská herečka, kotraž je za swóju úlohu wo filmje Děvčátko Český lev dóstała."
Id61,history,,,6,"Juraj (VII.) Turzo, kotryž bě radca a poradnik Martina Šimkovičowej, bydl we wjesi Bytča, znaty jako bojownik proti Turkom, podpěrowaše wšak wšěch Slowakow kaž tež protestantizmus."
Id62,culture,,,4,"Film „Fontána pre Zuzanu"" je hudobny film z lěta 1986, kotryž je na román Eleonóry Gašparowej wuzasny a ma hudobnu komponistku Rytmus."
Id63,culture,,,8,"Miroslav Šmajda, rodźeny w Piešťanach, bě w lěće 2009 w prěnjem wusyłanju Česko Slovenská SuperStar na druhej poziciji, přiče bě frontman w bandach Walda Gang a Terrapie."
Id64,geography,,,7,"Dolný Zemplín je slovenský región, kotryž so wotměwa w Československu a wotněwa z okresow Michalovce, Sobrance kaž tež Československo."
Id65,other,,,2,"Hurban bě slovenski lekár, kotryž w gerontológiji wutwarješe."
Id66,geography,,,4,"Ostrožnica bě slovenska wjes, kotraž wokrjes Snina přisłušaše, hač jo 29. awgusta 1944 při wustawje Starinskej priehrady znikny."
Id67,culture,,,4,"W filmje Pacho, hybský zbojnik z lěta 1975 hraje Kamil Čapkovič wosobu Melichara, kotryž je zbojnik."
Id68,culture,,,5,"Škvrna Records je za IMT Smile, Bukasový masív a Gladiator wudał a w lěće 2023 pod měnom Závodský, s.r.o. přemjenowany."
Id69,culture,,,3,Jožo Ráž je spevák a čłon slovenskeje skupiny Metalinda.
Id70,sports,,,2,"Jožo Ráž je slovenská paralympijská športovka, kotraž w konkurenciji boccia startuje."
Id72,politics,,,2,Dr. Tomáš Stach je w lěće 2023 političku stronsku formaciju Demokrati zakładał.
Id73,history,,,2,Alexander Bárta bě prěni slovenski předseda wladźe Česko-Slovenska.
Id75,geography,,,2,Jakubov dom leži na Hlavnem namešću na Náměstí Milana Rastislava Štefánika.
Id76,geography,,,1,Fatrikum je tektoniska jednotka Obce Stráne pod Tatrami.
Id77,culture,,,3,"Na love je televízna relácia, kotraž ma slovenski jazyk a moderatoru Žofie Bosniakovu."
Id78,culture,,,3,Jaroslav Filip je slovenski moderator a ma za małku Adelu Vinczeowu.
Id79,history,,,1,Wašo Patejdl je z Očowa pochadźał.
Id80,history,,,2,"Hlas je w Skalicy wotpowědował, kotraž leži při rěce Morawa."
Id81,geography,,,1,Lysa leži w Šaštínje-Strážach.
Id84,culture,,,1,Zbierka básni Nedeľa je wot Jána Pavla II. wotpřijata.
Id85,culture,,,3,"Kamil Čapkovič hraje w drame Na skle maľované, kotraž je divadelná hra, rolu Jánošíka."
Id86,culture,,,2,Petr Cmorik je awtor wótkazow Najväčšie želanie a Hľadať a nájsť.
Id87,geography,,,2,"Odeská ulica leži w Bratislawje, kotraž je dźěl Bratislawy."
Id88,history,,,2,Bratislavský kraj leži w Bratisławje a nosi mjeno po Miloš Alexander Bazovským.
Id89,geography,,,1,W Bytčy je najwysoka horha Fabowa hoľa.
Id90,history,,,1,Bratislava so w 13. lětstotku wuhotowaše.
Id91,politics,,,2,"Národna bločková lotéria je wot ministerstwa financií Slovenskej republiky wotkazana, přičimž ministerstwo ma kraj Piešťany."
Id92,other,,,1,Vojtech Bukovský je w fizice dosahny dosahny.
Id93,geography,,,2,"Tiesňawa Kyseľ leži w Bratislawje, kotraž je horské pásmo."
Id94,geography,,,2,Podunajské Biskupice su městna časć Banskej Štiavnicy.
Id95,geography,,,1,Symbolom Zemplína je Snina.
Id96,history,,,2,Ľudovít Štúr je znaty pod mjenom Andrej Bielik kaž tež pod mjenom Pozorovateľ.
Id97,geography,,,1,Hlavná bratislavská autobusová stanica je stolica Prešowa.
Id98,geography,,,2,Stredná priemyselná škola stavebná leži na ulicy Veľká okružná w Piešťanach.
Id99,history,,,1,Prěće słowakske gymnazium pochadźa ze Zapadosłowakskeje čěste.
Id100,geography,,,3,Okres Sabinow leži w Slowakskej a ma druhu najdlušu rěku.
Id101,geography,,,2,"Krompachy leža w Petržalce, kotraž je okres."
Id102,politics,,,1,Dominika Mirgová je prěnja předsydka Úrada jadroweho dozoru Slovenskej republiky.
Id103,geography,,,1,Martin Rázus je w Słowakskej narodny.
Id104,sports,,,2,"Andrej Kraus je najlěpši wotstřěłnik slovenskeho narodneho futbalowego mužstwa, kotrež je na EURO 2024 wotewrjene."
Id105,geography,,,3,"W Vrútkach se Topľa a Turiec spojachu, wot čehož wustaje Váh."
Id106,sports,,,2,"Hokejbal je Jaroslav Melišek załožił, kotryž je z Čadca."
Id107,geography,,,4,Petržalka je najwjetša a najwjetše naselene městno w Devínskem hradźe a ma w Słowakskej najwjetšu hustotu wobydlerstwa.
Id108,geography,,,1,Najwyšša hora na Slovensku je Ostredok.
Id109,history,,,1,Dežo Ursiny bě prěni předsyda Slovenskej narodnej rady.
Id110,culture,,,1,Dr. Tomáš Stach bě prěni předsyda Tatrína.
Id111,history,,,2,Iwan Tásler bě pod imjenom Velislaw w Devínje adoptowany.
Id112,history,,,3,"Wáh je mjesto, kotrež je wužiwane za historiske wopisanje legalizacije Spisowneje slowenšćiny, kotrež je wóna jako typ legalizacije wotměła."
Id113,culture,,,1,Kamil Čapkovič je redaktor časopisa Sokol za krásne umjenje a literaturu.
Id114,geography,,,2,Bratislava leži nad obcou Čierny Balog.
Id115,geography,,,1,Rádio Aetter wudawa w Siaha.
Id116,other,,,1,Peter Škantár ma pola neurológije.
Id117,geography,,,1,Šarišske muzej leži w Koštanach nad Turcom.
Id118,geography,,,2,"Sobášny palác leži w Starém Městě, kotrež je slovenske město."
Id119,geography,,,1,Hłowne sydło Slovenskej narodnej knihownje leži w Západnych Karpatow.
Id120,culture,,,1,Jozef Tiso je do romantizma přisłušeł.
Id121,other,,,1,"Projekt „This is Kevin"" ma jako wjednika Iwa Medina."
Id123,culture,,,3,"Matej Bel, kotrehož tež jako prěnju dámu slovenskeho maliarstwa znaja, je maliarstwom wužiwany."
Id124,geography,,,1,Múzeum Andreja Kmeťa leži w Košicach.
Id125,geography,,,1,Galéria Mikuláša Galanda leži w Bardejowje.
Id126,geography,,,1,Obec Stráne pod Tatrami leži w Popradźe.
