eid,category,shape,shape_type,size,sentence,reasoning
Id0,geography,,,1,Mikušovce is located in Bralnica.,"We need to produce a fluent English sentence expressing the triple: subject Mikušovce, predicate locatedIn, object Bralnica. So ""Mikušovce is located in Bralnica."" That's it. Ensure proper translation: ""Mikušovce is located in Bralnica."" Output only that sentence."
Id1,geography,,,1,UFO most has a completion year of 11-09-2025.,"We need to produce a fluent English sentence expressing the triple: subject ""UFO most"" predicate ""completionYear"" object ""11-09-2025"". Need to translate subject if not proper named entity. ""UFO most"" seems like a phrase; maybe it's a proper name? It's not clear. The instruction: translate any entity that is NOT a proper named entity into English (e.g., common nouns, roles, generic descriptions). Keep proper named entities in original form. ""UFO most"" likely is not a proper name; it's maybe a phrase meaning ""most UFO""? But we treat as given string. Could be a project name? Hard to know. Probably treat as proper named entity? The rule: proper named entity includes names of people, places, organisations, works, etc. ""UFO most"" doesn't look like a standard proper name. Might be a generic description: ""UFO most"" maybe ""the most UFO""? Not clear. But we must translate it into English. It's already English words. So we can keep as is. The predicate ""completionYear"" translates to ""was completed in the year"". The object ""11-09-2025"" is a date; format day-month-year? Should preserve exactly. So sentence: ""UFO most was completed in the year 11-09-2025."" That expresses the fact. Ensure we include all facts: subject, predicate, object. That's it. Check: ""completionYear"" could be ""has a completion year of"". Could say ""UFO most has a completion year of 11-09-2025."" Both fine. Use natural English. Provide single sentence. Thus final answer: ""UFO most has a completion year of 11-09-2025."""
Id2,history,,,1,Zorka Machová issued an order for the start of Slovenské Národné Povstanie.,"We need to produce a fluent English sentence expressing the triple: subject Zorka Machová, predicate issuedOrder, object start Of Slovenské Národné Povstanie. We must translate predicate ""issuedOrder"" to English: ""issued an order"". The object ""start Of Slovenské Národné Povstanie"" is a phrase; we need to translate any entity that is not a proper named entity. ""start Of Slovenské Národné Povstanie"" includes ""Slovenské Národné Povstanie"" which is a proper name (Slovak National Uprising). So we keep that. The phrase ""start Of"" is not a proper name; we need to translate to English: ""the start of"". So the object is ""the start of Slovenské Národné Povstanie"". So sentence: ""Zorka Machová issued an order to start the Slovenské Národné Povstanie."" But careful: the object is ""start Of Slovenské Národné Povstanie"". Could be ""the start of Slovenské Národné Povstanie"". The order is about the start. So ""Zorka Machová issued an order for the start of Slovenské Národné Povstanie."" That includes all facts. We must not add extra info. So ""issued an order for the start of Slovenské Národné Povstanie."" That expresses subject, predicate, object. Thus final answer: ""Zorka Machová issued an order for the start of Slovenské Národné Povstanie."""
Id3,geography,,,3,"Zvolen has the rivers Hron, Habovica, and Zolná.","We need to produce a single fluent English sentence (or two short ones) that expresses all facts: Zvolen hasRiver Hron, Zvolen hasRiver Habovica, Zvolen hasRiver Zolná. So we need to say Zvolen has the rivers Hron, Habovica, and Zolná. Use only given info. So: ""Zvolen has the rivers Hron, Habovica, and Zolná."" That includes all three. Ensure no extra info. Output only sentence."
Id4,geography,,,2,"Slovensko has 812 oil refineries, and an oil refinery is located in Slovensko.","We need to produce fluent English prose expressing both triples. Triples: 1. Slovensko | hasNumberOfOilRefineries | 812 2. ropná rafinéria | isLocatedIn | Slovensko We need to translate ""Slovensko"" likely ""Slovakia"". It's a proper named entity, keep as is? The instruction: Keep proper named entities in original form. ""Slovensko"" is a proper name in Slovak, but maybe considered proper entity. Keep as ""Slovensko"". ""ropná rafinéria"" is not a proper named entity; translate to English: ""oil refinery"". So second triple: ""oil refinery is located in Slovakia"". But we need to combine with first: ""Slovensko has number of oil refineries 812"". So we can say: ""Slovensko has 812 oil refineries, and an oil refinery is located in Slovensko."" But that repeats. Actually we need to express both facts: that Slovensko has 812 oil refineries, and that an oil refinery is located in Slovensko. Could combine: ""Slovensko has 812 oil refineries, and an oil refinery is located in Slovensko."" That repeats location but okay. But maybe better: ""Slovensko has 812 oil refineries, and an oil refinery is located in Slovensko."" That's fine. We must not add any extra facts. The phrase ""an oil refinery"" is generic, matches the triple. Good. Return only sentence(s). Probably one sentence is fine. Let's output: ""Slovensko has 812 oil refineries, and an oil refinery is located in Slovensko."""
Id5,politics,,,2,"Robert Mistrík withdrew his candidacy in the 2019 presidential election, withdrawing in favor of Monika Fialová.","We need to produce fluent English prose expressing both triples. Triples: - Subject: Robert Mistrík - Predicate: withdrewCandidacyIn - Object: prezidentské voľby 2019 (Czech/Slovak phrase meaning ""presidential election 2019""). - Robert Mistrík withdrewInFavorOf Monika Fialová. We need to translate non-proper entities: ""prezidentské voľby 2019"" is not a proper name? It's a phrase meaning ""the 2019 presidential election"". It's likely considered a proper event, but we can translate to English: ""the 2019 presidential election"". Keep proper names: Robert Mistrík, Monika Fialová. Thus sentence: ""Robert Mistrík withdrew his candidacy in the 2019 presidential election, withdrawing in favor of Monika Fialová."" We must include both facts. Could be two short sentences: ""Robert Mistrík withdrew his candidacy in the 2019 presidential election. He withdrew in favor of Monika Fialová."" That expresses both. Use only given info. No extra. That seems fine. Let's output that."
Id6,culture,,,1,Andrej Sládkovič’s original name is Ľuboš Melichar.,"We need to produce a sentence expressing the triple: subject Andrej Sládkovič, predicate originalName, object Ľuboš Melichar. Interpretation: The triple says that Andrej Sládkovič's original name is Ľuboš Melichar. So we need to say: ""Andrej Sládkovič's original name is Ľuboš Melichar."" That's straightforward. We must not add any extra info. Use exactly the given names. So output that sentence."
Id8,geography,,,3,"Podhradská Lúčka is known for mining, which involves metals, and the primary example of those metals is silver.","We need to produce fluent English prose expressing all facts. Triples: 1. Podhradská Lúčka | knownFor | Mining 2. Mining | resourceType | Kovy 3. Kovy | primaryExample | Striebro We need to translate non-proper entities: ""Mining"" is a common noun? It's a concept, keep as ""mining"". ""Kovy"" is Czech for ""metals"". It's not a proper name, so translate to English: ""metals"". ""Striebro"" is Slovak for ""silver"". It's not a proper name, so translate to English: ""silver"". So we have: Podhradská Lúčka is known for mining. Mining's resource type is metals. Metals' primary example is silver. We need to combine into a single fluent sentence (or two short ones). Could be: ""Podhradská Lúčka is known for mining, which extracts metals, and the primary example of those metals is silver."" But need to ensure we don't add facts not in triples. The triple says mining resource type is metals (i.e., mining deals with metals). That's okay. And metals primary example is silver. So we can say: ""Podhradská Lúčka is known for mining, which involves metals, and the primary example of those metals is silver."" That expresses all. Check: Does ""involves metals"" convey resourceType? Yes, mining resource type is metals. That's fine. No extra info. Make sure we preserve numbers/dates none. Thus final answer: ""Podhradská Lúčka is known for mining, which involves metals, and the primary example of those metals is silver."" We could also split: ""Podhradská Lúčka is known for mining. Mining’s resource type is metals, and the primary example of those metals is silver."" But requirement: single sentence or two short ones if needed. Two short ones okay. But one sentence works. I'll output one sentence."
Id9,geography,,,1,Bardejov is the centre of Sitnica.,"We need to produce a fluent English sentence expressing the triple: Bardejov isCenterOf Sitnica. We must translate subject and object: Bardejov (proper name) is center of Sitnica. So sentence: ""Bardejov is the centre of Sitnica."" Use British spelling? Not required. Use ""center"". Provide single sentence. Check requirements: Use only info given. Yes. Output only sentence."
Id10,geography,,,2,Slovensko has planned cooperation with Studenická dolina and has planned the project Vodné Dielo Gabčíkovo.,"We need to produce fluent English prose expressing both triples. Triples: 1. Slovensko | plannedCooperationWith | Studenická dolina 2. Slovensko | plannedProject | Vodné Dielo Gabčíkovo We need to translate subject ""Slovensko"" (Slovakia) - it's a proper named entity? It's a country name, likely proper, keep as ""Slovensko"". Could translate to English ""Slovakia""? The instruction: ""Translate any entity that is NOT a proper named entity into English (e.g. common nouns, roles, generic descriptions). Keep proper named entities (names of people, places, organisations, works, etc.) in their original form."" ""Slovensko"" is a proper name (country). So keep as ""Slovensko"". ""Studenická dolina"" is a proper name (valley). Keep as is. ""Vodné Dielo Gabčíkovo"" is a proper name (hydroelectric project). Keep as is. Predicate translation: ""plannedCooperationWith"" => ""planned cooperation with"". ""plannedProject"" => ""planned project"". So sentence: ""Slovensko has planned cooperation with Studenická dolina and has planned the project Vodné Dielo Gabčíkovo."" Or ""Slovensko planned cooperation with Studenická dolina and planned the project Vodné Dielo Gabčíkovo."" Use present perfect? The triples just state plannedCooperationWith, plannedProject. Could phrase as ""Slovensko plans cooperation with Studenická dolina and plans the project Vodné Dielo Gabčíkovo."" But ""planned"" is past. Use ""has planned"". Both facts: ""Slovensko has planned cooperation with Studenická dolina and has planned the project Vodné Dielo Gabčíkovo."" Make sure include both facts. That's one sentence. Output only sentence(s)."
