eid,category,shape,shape_type,size,sentence,reasoning
Id0,geography,,,1,Mikušovce sa nachádza v okrese Ilava.,"We need to produce a Slovak sentence expressing the fact: ""Mikušovce is located in Okres Ilava."" Need to translate predicate ""locatedIn"" to Slovak ""sa nachádza v"" or ""sa nachádza v okrese Ilava""? The entity ""Okres Ilava"" is a proper name? It's a district name, likely proper name, but ""Okres"" is a common noun, ""Ilava"" is proper. The instruction: translate each entity that is NOT a proper name. ""Okres Ilava"" includes ""Okres"" (common noun) and ""Ilava"" (proper). Should we translate ""Okres Ilava"" as ""okres Ilava""? Probably keep ""Ilava"" as is, but ""okres"" lowercased. So sentence: ""Mikušovce sa nachádza v okrese Ilava."" That uses predicate ""locatedIn"" -> ""sa nachádza v"". That includes all facts. One sentence is enough. Return only the sentence."
Id1,geography,,,1,UFO most bol dokončený v roku 1972.,"We need to produce a Slovak sentence expressing the fact: subject ""UFO most"" predicate ""completionYear"" object ""1972"". Translate predicate to Slovak: ""rok dokončenia"" or ""rok dokončenia""? The instruction: ""Predikát VŽDY prelož do slovenčiny a použi ho vo vete prirodzene."" So we need to translate ""completionYear"" to Slovak. Likely ""rok dokončenia"". So sentence: ""UFO most bol dokončený v roku 1972."" Or ""UFO most má rok dokončenia 1972."" Both natural. Use only given facts. The fact is that the completion year is 1972. So we can say ""UFO most bol dokončený v roku 1972."" That uses the fact. No extra info. Provide only the sentence."
Id2,history,,,1,Ján Golian vydal rozkaz začiatok Slovenské Národné Povstanie.,"We need to produce a Slovak sentence expressing the fact: ""Ján Golian issuedOrder start Of Slovenské Národné Povstanie"". Need to translate predicate ""issuedOrder"" to Slovak: ""vydal rozkaz"". The object ""start Of Slovenské Národné Povstanie"" is not a proper name? It seems like phrase ""start Of Slovenské Národné Povstanie"". ""Slovenské Národné Povstanie"" is a proper name (the Slovak National Uprising). ""start Of"" is part of phrase? The object is ""start Of Slovenské Národné Povstanie"". Should we translate ""start Of"" as ""začiatok""? The instruction: translate each entity that is NOT a proper name. ""start Of Slovenské Národné Povstanie"" includes ""start Of"" which is not proper name, and ""Slovenské Národné Povstanie"" is proper name. So we translate ""start Of"" to Slovak ""začiatok"". So object becomes ""začiatok Slovenského Národného Povstania""? But need to keep case? The original object is ""start Of Slovenské Národné Povstanie"". The proper name is ""Slovenské Národné Povstanie"". In Slovak genitive: ""Slovenského Národného Povstania"". Should we adjust? The instruction: translate each entity that is not a proper name. The phrase ""start Of"" is not proper name, translate to ""začiatok"". The proper name remains unchanged. So we could say: ""Ján Golian vydal rozkaz začiatok Slovenské Národné Povstanie."" That sounds odd; maybe ""začiatok Slovenského Národného Povstania"". But that changes the proper name's case, which might be considered altering. The proper name should stay exactly as given: ""Slovenské Národné Povstanie"". So we keep it unchanged. So sentence: ""Ján Golian vydal rozkaz začiatok Slovenské Národné Povstanie."" That is grammatically odd but meets constraints. We could also phrase: ""Ján Golian vydal rozkaz na začiatok Slovenské Národné Povstanie."" But adding ""na"" is extra. The predicate ""issuedOrder"" translates to ""vydal rozkaz"". The object is ""start Of Slovenské Národné Povstanie"". Could be ""vydal rozkaz na začiatok Slovenské Národné Povstanie"". That adds preposition ""na"". Not in original. Might be considered adding info. Safer to keep direct: ""Ján Golian vydal rozkaz začiatok Slovenské Národné Povstanie."" Thus output single sentence."
Id3,geography,,,3,"Zvolen má rieku Hron, rieku Slatina aj rieku Zolná.","We need to produce Slovak sentence(s) that express all facts: Zvolen hasRiver Hron, Zvolen hasRiver Slatina, Zvolen hasRiver Zolná. Translate predicate ""hasRiver"" to Slovak: ""má rieku"". Entities that are not proper names should be translated: ""river"" is ""rieka"". The objects are river names: Hron, Slatina, Zolná are proper names, keep as is. So sentence: ""Zvolen má rieku Hron, rieku Slatina aj rieku Zolná."" Or ""Zvolen má rieky Hron, Slatina a Zolná."" Need to include all facts. Could be one sentence. Use proper translation. Ensure no extra info. Provide only sentence."
Id4,geography,,,2,Slovensko má 1 ropnú rafinériu a ropná rafinéria sa nachádza na Slovensku.,"We need to produce Slovak sentence(s) that express both facts. Facts: 1. Slovensko | hasNumberOfOilRefineries | 1 -> ""Slovensko má počet ropných rafinérií 1"" but need natural: ""Slovensko má 1 ropnú rafinériu."" 2. ropná rafinéria | isLocatedIn | Slovensko -> ""Ropná rafinéria sa nachádza na Slovensku."" Combine both in one sentence or two short. Could be: ""Slovensko má 1 ropnú rafinériu a ropná rafinéria sa nachádza na Slovensku."" That repeats ""ropná rafinéria"". Might be okay. We must translate predicate: hasNumberOfOilRefineries -> ""má počet ropných rafinérií"" but natural: ""má 1 ropnú rafinériu"". isLocatedIn -> ""sa nachádza v"". Use ""na Slovensku"". Provide both facts. Thus final answer: ""Slovensko má 1 ropnú rafinériu a ropná rafinéria sa nachádza na Slovensku."""
Id5,politics,,,2,Robert Mistrík stiahol svoju kandidatúru v prezidentské voľby 2019 v prospech Zuzany Čaputovej.,"We need to produce Slovak sentence(s) that express all facts. Two triples: 1. Robert Mistrík withdrewCandidacyIn prezidentské voľby 2019. 2. Robert Mistrík withdrewInFavorOf Zuzana Čaputová. We must translate predicate to Slovak: ""withdrawed candidacy in"" -> ""stiahol svoju kandidatúru v"". Or ""odstúpil od kandidovania v"". Use natural Slovak. Also ""withdrawInFavorOf"" -> ""odstúpil v prospech"". So sentence: ""Robert Mistrík odstúpil od kandidovania v prezidentských voľbách 2019 v prospech Zuzany Čaputovej."" That includes both facts in one sentence. Ensure all facts: He withdrew candidacy in 2019 presidential election, and withdrew in favor of Zuzana Čaputová. Yes. We must not add extra info. ""presidentské voľby 2019"" is given. Use exactly that phrase? The triple object is ""prezidentské voľby 2019"". So we should keep that phrase. So: ""Robert Mistrík odvolal svoju kandidatúru v prezidentské voľby 2019 v prospech Zuzany Čaputovej."" But ""odvolal"" maybe not correct. Use ""stiahol svoju kandidatúru"". Keep phrase ""prezidentské voľby 2019"". So: ""Robert Mistrík stiahol svoju kandidatúru v prezidentské voľby 2019 v prospech Zuzany Čaputovej."" Check: predicate translation: ""withdrawCandidacyIn"" -> ""stiahol svoju kandidatúru v"". ""withdrawInFavorOf"" -> ""v prospech"". That seems fine. Return only sentence."
Id6,culture,,,1,Andrej Sládkovič má pôvodné meno Andrej Braxatoris.,"We need to produce a Slovak sentence expressing the fact: subject Andrej Sládkovič, predicate originalName, object Andrej Braxatoris. Translate predicate to Slovak: ""pôvodné meno"". So sentence: ""Andrej Sládkovič má pôvodné meno Andrej Braxatoris."" Or ""Andrej Sládkovič má pôvodné meno Andrej Braxatoris."" That includes all facts. Use only given info. Should we translate ""originalName"" as ""pôvodné meno""? Yes. So final answer: one sentence."
Id7,culture,,,1,Združenie pesničkárov Slnovrat má žáner folk.,"We need to produce a Slovak sentence expressing the fact: ""Združenie pesničkárov Slnovrat"" has genre ""folk"". Translate predicate ""genre"" to Slovak ""má žáner"" or ""patrí do žánru"". Use natural sentence. Must not add extra info. So: ""Združenie pesničkárov Slnovrat má žáner folk."" Or ""Združenie pesničkárov Slnovrat patrí do žánru folk."" Both fine. Use exactly the entity names. Provide only sentence."
Id8,geography,,,3,"Banská Štiavnica je známa pre ťažbu, ťažba je typ zdroja kovy a kovy majú primárny príklad striebro.","We need to produce Slovak sentence(s) that express all facts. Triples: 1. Banská Štiavnica | knownFor | Mining 2. Mining | resourceType | Kovy 3. Kovy | primaryExample | Striebro We must translate predicate to Slovak. ""knownFor"" -> ""je známa pre"" or ""sa vyznačuje"". Probably ""je známa pre"". ""resourceType"" -> ""typ zdroja"". ""primaryExample"" -> ""primárny príklad"". Entities not proper names: ""Mining"" is a common noun? It's a concept, maybe keep as ""ťažba"". Should translate ""Mining"" to Slovak ""ťažba"". ""Kovy"" is already Slovak (means metals). ""Striebro"" is Slovak. ""Banská Štiavnica"" is proper name, keep. Thus sentences: ""Banská Štiavnica je známa pre ťažbu. Ťažba je typ zdroja kovy. Kovy majú primárny príklad striebro."" Or combine: ""Banská Štiavnica je známa pre ťažbu, ťažba je typ zdroja kovy a kovy majú primárny príklad striebro."" Must include all facts. Could be one sentence with commas. Ensure all facts present. We must not add extra info. ""Ťažba je typ zdroja kovy"" uses ""typ zdroja"". That's translation of resourceType. Good. ""Kovy majú primárny príklad striebro."" That's translation of primaryExample. Thus final output: one sentence or two short. Provide maybe one sentence: ""Banská Štiavnica je známa pre ťažbu, ťažba je typ zdroja kovy a kovy majú primárny príklad striebro."" Check: includes all three facts. Yes. Return only the sentence."
Id9,geography,,,1,Bardejov je centrom Horného Šariša.,"We need to produce Slovak sentence(s) expressing the fact: Bardejov is center of Horný Šariš. Translate predicate ""isCenterOf"" to Slovak: ""je centrom"". Also need to translate entities that are not proper names. Bardejov is a proper name (city), keep as is. Horný Šariš is also a proper name (region), keep as is. So sentence: ""Bardejov je centrom Horného Šariša."" Need to keep case? In Slovak, ""centrom"" takes genitive: ""Horného Šariša"". That's fine. Provide only the sentence."
