eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Karel Plíhal skládal pro Moravské divadlo Olomouc.
Id1,culture,,,3,"Jana Petrů má největší hit, který pochází z muzikálu Starci na chmelu."
Id2,politics,,,2,Ministryně zahraničí Spojených států se jmenuje Madeleine Albrightová a její zemí původu je Česko.
Id3,culture,,,3,Svátek svatého Mikuláše je spojen s rozdáváním dárků dětem a slaví se 2026-12-05 večer.
Id4,geography,,,1,Vodní nádrž Slapy je součástí Vltavských Kaskád.
Id5,history,,,4,Literatura nazývaná samizdat byla vydávána disidenty na území Čech v období od 1950-01-01 do 2000-12-31.
Id6,culture,,,3,"Jan Neruda je spojen s Malou Stranou, má tvorbu a život."
Id7,geography,,,1,Prachovské skály se nacházejí v CHKO Český ráj.
Id8,culture,,,5,"Karel Gott je český zpěvák, který získal 1 award Zlatý slavík, což je award s nejvíckrát frekvencí."
Id9,culture,,,2,Oldřich Kaiser tvoří komediální duo s Jiřím Lábusem a Oldřich Kaiser a Jiří Lábus jsou nerozluční.
Id10,geography,,,1,V Kladensku se těží uhlí.
Id11,politics,,,1,Miroslava Němcová je členem ODS.
Id12,history,,,1,Zakladatelem Barrandovské filmové ateliéry byl Miloš Havel.
Id13,geography,,,2,Nejvyšší bod Krkonoš je součástí Krkonoš a má výšku 1603.
Id14,history,,,1,Bitva u Slavkova se odehrála během Napoleonských válek.
Id15,history,,,2,"Důvodem pro demolici historického města Most byla těžba uhlí, která je typem zdroje uhlí."
Id16,culture,,,6,"Znak města Třebíč se skládá ze štítu, který má tři vodorovná pole, přičemž horní a dolní pole jsou červená a střední pole je bílé a obsahuje tři černé benediktinské kápě."
Id17,geography,,,2,"Zlín se nachází v údolí Dřevnice, která je řeka."
Id18,geography,,,2,Slanská hora se nachází v Slaném a její název je Slanská hora.
Id19,geography,,,1,Těžba uhlí způsobuje problémy v Karviné.
Id20,history,,,2,"Kolín má Židovskou menšinu, která je náboženskou menšinou."
Id21,geography,,,2,Císařský ostrov je ostrov a je největším ostrovem Prahy.
Id22,sports,,,1,Kladno je známé hokejem.
Id23,politics,,,1,Ministerstvo zdravotnictví České republiky se nachází na Palackého náměstí.
Id24,sports,,,2,"Petr Mach vlastní Spartu, která je fotbalový klub."
Id25,culture,,,2,"Granát Turnov vyrábí šperky, jejichž drahým kamenem jsou české granáty."
Id26,culture,,,4,"J. H. Krchovský je autorem básně Na samém konci, která je napsaná na fasádě domu v nizozemském městě Leiden."
Id27,culture,,,5,"Ondřej Sekora je autorem knih, ve kterých se vyskytují Ferda Mravenec a Brouk Pytlík, přičemž oba jsou inspirováni hmyzem."
Id28,culture,,,2,Hlavními herectvími filmu Štěstí jsou Tatiana Vilhelmová a Pavel Liška.
Id29,sports,,,1,Zdeněk Nejedlý má přezdívku Rudý dědek.
Id30,history,,,3,"Karel IV byl český král, který postavil Hladovou zeď."
Id31,geography,,,2,Sněžka má výšku 1603 m n. m.
Id32,culture,,,3,Jáchym Topol obdržel Státní cenu za literaturu za román Citlivý člověk.
Id33,geography,,,2,Největší povodeň v ČR se vyskytla v roce 2002 v rámci posledních 100 let.
Id34,geography,,,2,Český Těšín je sídlem organizací a centrem polské národnostní menšiny.
Id35,geography,,,3,"Frýdek-Místek vznikl z 5 subjektů, konkrétně ze 2 měst a 3 obcí."
Id36,history,,,3,"Pomník věnovaný Americkým vojákům se nachází na Chodském náměstí, které je v Plzni."
Id37,culture,,,3,"Prašivka je krysa ze Světa Harryho Pottera, do které se proměňuje Peter Pettigrew."
Id38,history,,,2,Jindřich Nový je regionální historik a vlastenec Karlovy Vary.
Id39,history,,,1,Bitva na Bílé hoře se konala v roce 1620.
Id40,geography,,,2,"Škoda Auto je automobilka, která má sídlo v Mladá Boleslav."
Id41,culture,,,2,"Noc na Karlštejně je film, jehož místem natáčení je Karlštejn."
Id42,other,,,2,"Cesta do hlubin študákovy duše byla režírována Martinem Fričem, který je režisér."
Id43,geography,,,2,"Trutnov má řeku Úpa, která jím protéká."
Id44,other,,,2,Měsíční časopis je určen pro školáky a předškoláky a je pojmenován podle mateřídoušky.
Id45,other,,,1,Časopis Vesmír informuje o vědě.
Id46,geography,,,2,"Lužná u Rakovníka obsahuje Železniční muzeum, které se v Lužné u Rakovníka nachází."
Id47,culture,,,2,Mascotem Český rozhlas Rádio Junior je Ušoun Rušoun a Ušoun Rušoun je mascotem Český rozhlas Rádio Junior.
Id48,culture,,,2,"Honzíkova cesta je dětská kniha, jejím autorem je Bohumil Říha."
Id49,other,,,1,Jim Čert hraje na akordeon.
Id50,culture,,,2,"Barbora Tachecí moderuje Osobnost Plus, což je pořad v rozhlase."
Id51,other,,,1,Spolek Orel je katolická sportovní organizace.
Id52,sports,,,2,Hora Raná je centrem paraglidingu a sportovního létání.
Id53,culture,,,1,Radio Beat se specializuje na rockovou hudbu.
Id54,history,,,4,"V Vykopávkách v Přerově, které se nacházejí v Přerově, bylo nalezeno značné množství kostí, které patří Mamutům."
Id55,geography,,,1,Řeka Vydra se nachází v Národním Parku Šumava.
Id56,geography,,,2,"Anděl Páně 2 bylo natáčeno v hradu v Ledči nad Sázavou, který se nachází v Ledči nad Sázavou."
Id57,culture,,,1,Bob Hýsek popularizuje slam poetry.
Id58,geography,,,1,Litomyšl má symbolem lilii.
Id59,culture,,,1,Slavonice je spojena s textilním průmyslem.
Id60,geography,,,2,"Žatec má řeku Ohře, která jím protéká."
Id61,geography,,,1,Jablunkovský výběžek se nachází v Česko slovensko polské trojmezí.
Id62,sports,,,4,"Jaromír Vytopil je knihkupec z České republiky, který je nejstarší a nejdéle aktivní."
Id63,geography,,,2,"Turnov má řeku Jizera, která jím protéká."
Id64,sports,,,2,česká hokejová liga se od sezóny začínající 2024-08-01 jmenuje Maxa liga.
Id65,culture,,,3,"Humpolec je spojen s postavou Hliníka, který je postavou z filmu Marečku podejte mi pero."
Id66,geography,,,3,"Rybník Bezdrev je rybník v ČR, který má 2. pořadí podle velikosti."
Id67,culture,,,1,Postavičku Večerníček vytvořil Radek Pilař.
Id68,geography,,,2,Rozhledna nad Ústí nad Orlicí má jméno Stříbrná krasavice a nachází se v Ústí nad Orlicí.
Id69,culture,,,5,"Michal Horáček zveřejnil balady, jejichž autor je, a požádal širokou veřejnost o jejich zhudebnění."
Id70,geography,,,2,"Kralupy nad Vltavou se nacházejí na Praha Děčín, která je hlavní trati."
Id71,culture,,,1,Autorkou Žítkovských bohyň je Kateřina Tučková.
Id72,geography,,,2,"Bečov nad Teplou obsahuje Bečovská botanická zahrada, která se v Bečov nad Teplou nachází."
Id73,geography,,,2,"Městem Havlíčkův Brod protéká Sázava, která je řeka."
Id74,geography,,,2,"Teplice mají dominantu Doubravka, která je hora."
Id75,sports,,,3,"Závod veteránů se koná na Českobrodském okruhu, začal v roce 2002 a probíhá pravidelně."
Id76,culture,,,7,"Luděk Novák je český historik umění, který založil výtvarnou skupinu Trasa a je známý publikováním studií o českých malířích, mezi které patří Mánes, Švabinský a Machek."
Id77,history,,,4,"Vladimír Přibský, jehož skutečné jméno je Vladimír Řezáč, byl žurnalista a dramatik a Vladimír Řezáč se narodil v Přibyslav."
Id78,geography,,,2,Římskokatolická farnost Pravlov se nachází v okrese Brno venkov.
Id79,geography,,,1,Rybník Španělák se nachází v Okres Hradec Králové.
Id80,culture,,,3,"Film Vrásky z lásky režíroval Jiří Strach, hlavní roli v něm hrál Radoslav Brzobohatý a hlavní ženskou roli Jiřina Bohdalová."
Id81,politics,,,2,Předsedou Hnutí Dobrých Proměn je Stanislav Rudolfský.
Id82,other,,,5,"Teplická dopravní společnost, která k 2013-01-01 změnila název na Arriva Teplice, provozuje městskou, příměstskou a regionální hromadnou dopravu."
Id83,sports,,,7,"Marek Bárta je český sportovec a diskař specializující se na hod diskem, který je několikanásobným mistrem České republiky a má osobní rekord 65.46 metry."
Id84,culture,,,5,"Jan Kameníček je český spisovatel, dramatik a pokračovatel, kterým je Franz Kafka."
Id85,culture,,,5,"Vladimíra Klumparová je česká sklářská výtvarnice, která žije v USA a její období činnosti trvalo od roku 1985 do roku 2003."
Id86,sports,,,3,"Česká fotbalová liga má alternativní název Fortuna Liga, který platí od 2018-01-01 do 2024-12-31."
Id87,history,,,3,"Operace Dunaj je český film z roku 2009, jehož tématem je invaze vojsk Varšavské smlouvy."
Id88,geography,,,2,"Krušné hory jsou pohoří, které se nachází na severozápadě Čech."
Id89,geography,,,2,Jezero Most bylo vytvořeno zatopením lomu Most–Ležáky a jeho datum otevření je 2020.
Id90,sports,,,4,"Ondřej Perušič a David Schweiner jsou součástí týmu Ondřej Perušič a David Schweiner, který se v roce 2023 stal mistrem světa v beach volleyballu."
Id91,culture,,,1,"Autorem slova ""robot"" je Josef Čapek."
Id92,history,,,1,Nuselský most měl dříve přezdívku Most sebevrahů.
Id93,culture,,,1,První česká hip hopová sólová deska má název Frekvence P.H.A.T.
Id94,history,,,6,"Vojtěch Zikmund byl český chemik, podnikatel a průmyslník, který byl u zrodu české společnosti v odvětví výroby a prodeje benzínu."
Id95,geography,,,1,Svojkovské skály se nacházejí v Českolipsku.
Id96,sports,,,4,"David Krejčí je český skibobista, který drží 12 titulů mistra světa."
Id97,culture,,,2,České ocenění Zlatá stuha je v oboru knižní tvorby pro děti a mládež.
Id98,culture,,,3,"Akademie múzických umění v Praze má fakulty DAMU, FAMU a HAMU."
Id99,sports,,,2,Česká basketbalová federace vede basketbal a působí v České republice.
Id100,other,,,3,"Diváci znají Radko John, který se objevuje v investigativním pořadu Na vlastní oči."
Id101,history,,,4,"František Palacký byl český historik, politik a zakladatel, který byl zakládajícím členem Matice česká."
Id102,culture,,,4,"Ottův Slovník Naučný je fyzická encyklopedie v češtině, která je největší a nejobsáhlejší."
Id103,history,,,1,Nejstarší politická strana v českých zemích byla založena 1848-01-01.
Id104,history,,,1,Národní listy založil Julius Grégr.
Id105,history,,,1,Hněvín byl poprvé zmíněn v roce 1248.
Id106,history,,,4,"František Barvitius byl československý inženýr, který přispěl k leteckému motoru Walter Minor."
Id107,history,,,1,Škoda měla původní název Laurin & Klement.
Id108,history,,,7,"Františka Plamínková byla československá politička, novinářka a feministka, která byla aktivní v letech 1918–1938 a byla popravena 1942-06-30 během Heydrichiády."
Id109,politics,,,3,"Adam Vojtěch je český politik, bývalý ministr zdravotnictví a je známý svým vystoupením v soutěži SuperStar."
Id110,culture,,,6,"Česká situační komedie Světáci byla vydána v roce 1969, hrají v ní Bohdalová, Jirásková a Janžurová, které společně tvoří slavná ženská trojice."
Id111,culture,,,1,Česká hudební cena Anděl je symbolizována soškou Anděla.
