eid,category,shape,shape_type,size,kind,subject,predicate,object
Id0,culture,NA,NA,1,original,Sabina_Olšanská,composedFor,Moravské_divadlo_Olomouc
Id1,culture,NA,NA,3,original,Alena_Králová,hasHit,největší_hit
Id1,culture,NA,NA,3,original,největší_hit,originatesFrom,Starci_na_chmelu
Id1,culture,NA,NA,3,original,Starci_na_chmelu,isType,muzikál
Id2,politics,NA,NA,2,original,Ministryně_zahraničí_Spojených_států,originCountry,Mikulov-Les
Id2,politics,NA,NA,2,original,Ministryně_zahraničí_Spojených_států,name,Madeleine_Albrightová
Id3,culture,NA,NA,3,original,svátek_svatého_Mikuláše,associatedWith,rozdávání_dárků_dětem
Id3,culture,NA,NA,3,original,svátek_svatého_Mikuláše,celebrationDate,28-02-1991
Id3,culture,NA,NA,3,original,svátek_svatého_Mikuláše,celebrationTime,večer
Id4,geography,NA,NA,1,original,Březová_Zahrada,isPartOf,Vltavské_Kaskády
Id5,history,NA,NA,4,original,literatura,publishedBy,disidenti
Id5,history,NA,NA,4,original,literatura,location,Mlynářov
Id5,history,NA,NA,4,original,literatura,timePeriod,1950-01-01_2000-12-31
Id5,history,NA,NA,4,original,literatura,namedAs,samizdat
Id6,culture,NA,NA,3,original,Jan_Neruda,associatedWith,Zámostí
Id6,culture,NA,NA,3,original,Jan_Neruda,hasWork,tvorba
Id6,culture,NA,NA,3,original,Jan_Neruda,hasLife,život
Id7,geography,NA,NA,1,original,Žabí_údolí,locatedIn,CHKO_Český_ráj
Id8,culture,NA,NA,5,original,Karel_Gott,nationality,český
Id8,culture,NA,NA,5,original,Karel_Gott,profession,zpěvák
Id8,culture,NA,NA,5,original,Karel_Gott,award,Zlatý_slavík
Id8,culture,NA,NA,5,original,Karel_Gott,awardCount,08-10-2015
Id8,culture,NA,NA,5,original,Zlatý_slavík,awardFrequency,nejvíckrát
Id9,culture,NA,NA,2,original,Filip_Marek,formsComedyDuoWith,Jiří_Lábus
Id9,culture,NA,NA,2,original,Oldřich_Kaiser_Jiří_Lábus,areInseparable,true
Id10,geography,NA,NA,1,original,Slníčko_nad_Rákosím,minedResource,uhlí
Id11,politics,NA,NA,1,original,Ladislav_Bureš,isMemberOf,ODS
Id12,history,NA,NA,1,original,Barrandovské_filmové_ateliéry,founder,Renata_Hrdličková
Id13,geography,NA,NA,2,original,Záhořské,height,1603
Id13,geography,NA,NA,2,original,Záhořské,partOf,Krkonoše
Id15,history,NA,NA,2,original,Údolí_Vran,reasonForDemolition,těžba_uhlí
Id15,history,NA,NA,2,original,těžba_uhlí,resourceType,uhlí
Id17,geography,NA,NA,2,original,Říčanský_Dvůr,location,údolí_Dřevnice
Id17,geography,NA,NA,2,original,Dřevnice,type,řeka
Id18,geography,NA,NA,2,original,Slanská_hora,locatedIn,Horní_Vítkov
Id18,geography,NA,NA,2,original,Slanská_hora,name,Slanská_hora
Id19,geography,NA,NA,1,original,těžba_uhlí,causes,Slníčko_nad_Rákosím
Id20,history,NA,NA,2,original,Třístíčko,hasReligiousMinority,Židovská_menšina
Id20,history,NA,NA,2,original,Židovská_menšina,isReligiousMinority,true
Id21,geography,NA,NA,2,original,Císařský_ostrov,isLargestIslandOf,Rybářská_Lhota
Id21,geography,NA,NA,2,original,Císařský_ostrov,islandType,ostrov
Id22,sports,NA,NA,1,original,Nová_Lhota,knownFor,hokej
Id23,politics,NA,NA,1,original,Ministerstvo_zdravotnictví_České_republiky,hasLocation,Křižovatka
Id24,sports,NA,NA,2,original,Filip_Zelenka,owns,Sparta
Id24,sports,NA,NA,2,original,Sparta,isA,fotbalový_klub
Id26,culture,NA,NA,4,original,Luboš_Rataj,authorOf,Na_samém_konci
Id26,culture,NA,NA,4,original,Na_samém_konci,type,báseň
Id26,culture,NA,NA,4,original,Na_samém_konci,writtenOn,fasáda_domu
Id26,culture,NA,NA,4,original,fasáda_domu,location,nizozemské_město_Leiden
Id27,culture,NA,NA,5,original,Wilma_Havelková,authorOf,knihy
Id27,culture,NA,NA,5,original,knihy,featuresCharacter,Ferda_Mravenec
Id27,culture,NA,NA,5,original,knihy,featuresCharacter,Brouk_Pytlík
Id27,culture,NA,NA,5,original,Ferda_Mravenec,inspiredBy,hmyz
Id27,culture,NA,NA,5,original,Brouk_Pytlík,inspiredBy,hmyz
