eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Karel Plíhal composed for Moravské divadlo Olomouc.
Id1,culture,,,3,"Jana Petrů's hit ""největší hit"" originates from the musical Starci na chmelu."
Id2,politics,,,2,"The origin country of the United States Secretary of State is Czechia, and her name is Madeleine Albrightová."
Id3,culture,,,3,"The feast of Saint Nicholas is associated with giving gifts to children and is celebrated on the evening of December 5, 2026."
Id4,geography,,,1,Vodní nádrž Slapy is part of the Vltavské Kaskády.
Id5,history,,,4,"Literatura, published by disidenti in the území Čech between 1950-01-01 and 2000-12-31, was named samizdat."
Id6,culture,,,3,"Jan Neruda is associated with Malá Strana, has the work tvorba, and has the life život."
Id7,geography,,,1,Prachovské skály are located in CHKO Český ráj.
Id8,culture,,,5,"Karel Gott, a Czech singer, has won the Zlatý slavík award once, which is the most frequent occurrence of this award."
Id9,culture,,,2,"Oldřich Kaiser forms a comedy duo with Jiří Lábus, and the two are inseparable."
Id10,geography,,,1,Kladensko has uhlí as a mined resource.
Id11,politics,,,1,Miroslava Němcová is a member of ODS.
Id12,history,,,1,Miloš Havel is the founder of Barrandovské filmové ateliéry.
Id13,geography,,,2,The highest point of Krkonoše is 1603 meters high and is part of Krkonoše.
Id14,history,,,1,The Battle of Austerlitz occurred during the Napoleonic Wars.
Id15,history,,,2,"The historic town of Most was demolished due to coal mining, which is a type of resource extraction for coal."
Id16,culture,,,6,"The coat of arms of the city of Třebíč consists of a shield divided into three horizontal fields, where the upper and lower fields are red and the middle field is white and contains three black Benedictine cowls."
Id17,geography,,,2,"Zlín is located in údolí Dřevnice, and Dřevnice is a řeka."
Id18,geography,,,2,Slanská hora is located in Slaný and is named Slanská hora.
Id19,geography,,,1,Coal mining causes problems in Karviná.
Id20,history,,,2,"Kolín has a Jewish minority, which is a religious minority."
Id21,geography,,,2,Císařský ostrov is an island and the largest island of Praha.
Id22,sports,,,1,Kladno is known for hokej.
Id23,politics,,,1,The Ministry of Health of the Czech Republic is located at Palackého náměstí.
Id24,sports,,,2,"Petr Mach owns Sparta, which is a football club."
Id25,culture,,,2,"Granát Turnov produces šperky, which feature české granáty as their gemstone."
Id26,culture,,,4,"J. H. Krchovský is the author of Na samém konci, a báseň written on the fasáda domu located in the nizozemské město Leiden."
Id27,culture,,,5,"Ondřej Sekora is the author of knihy, which features the characters Ferda Mravenec and Brouk Pytlík; both characters are inspired by hmyz."
Id28,culture,,,2,The film Štěstí has main actors Tatiana Vilhelmová and Pavel Liška.
Id29,sports,,,1,Zdeněk Nejedlý has the nickname Rudý dědek.
Id30,history,,,3,Karel IV was a Czech king who built the Hladová zeď.
Id31,geography,,,2,Sněžka has a height of 1603 m n. m.
Id32,culture,,,3,"Jáchym Topol received the Státní cena za literaturu for Citlivý člověk, which is a román."
Id33,geography,,,2,The largest flood in the Czech Republic occurred in 2002 and represents the most significant event of the last 100 years.
Id34,geography,,,2,Český Těšín is the seat of organizations and the center of the Polish national minority.
Id35,geography,,,3,"Frýdek-Místek was formed from 5, 2 cities, and 3 municipalities."
Id36,history,,,3,The monument is dedicated to American soldiers and is located at Chodské náměstí in Plzeň.
Id37,culture,,,3,"Prašivka is a character from Svět Harryho Pottera, who transforms into Peter Pettigrew, and Prašivka is a type of krysa."
Id38,history,,,2,Jindřich Nový is a regional historian and a patriot of Karlovy Vary.
Id39,history,,,1,The Battle of White Mountain took place in 1620.
Id40,geography,,,2,Škoda Auto is headquartered in Mladá Boleslav and is a car manufacturer.
Id41,culture,,,2,Noc na Karlštejně is a film with its filming location at Karlštejn.
