eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Lukáš Bauer composed for Moravské divadlo Olomouc.
Id1,culture,,,3,"Oldřich Kaiser has hit největší hit, which originates from Starci na chmelu, a musical."
Id2,politics,,,2,The Ministry of Foreign Affairs of the United States has origin country Horoušany and name Madeleine Albrightová.
Id3,culture,,,3,"The celebration of Saint Nicholas Day on January 1, 2006, takes place in the evening and is associated with the distribution of gifts to children."
Id4,geography,,,1,Lužná u Rakovníka is part of Vltavské Kaskády.
Id5,history,,,4,"The literature was published by disidenti, located in Brněnský kraj, and existed during the time period 1950-01-01 to 2000-12-31, and is known as samizdat."
Id6,culture,,,3,"Marie Čermínová is associated with Malá Strana, has a work called tvorba, and has a life."
Id7,geography,,,1,Prachovské skály are located in the historic center of Prostějov.
Id8,culture,,,5,"Martin Kavka is a Czech singer who won the Zlatý slavík award, which is given most frequently."
Id9,culture,,,2,"Oldřich Kaiser forms comedy duo with Jiří Lábus, and Radek Pilař is inseparable."
Id10,geography,,,1,Ceskoslovensko mined uhlí.
Id11,politics,,,1,Jan Nepomucký is a member of ODS.
Id12,history,,,1,Barrandovské filmové ateliéry were founded by Gustáv Husák.
Id13,geography,,,2,Kladníky is 1603 feet tall and is part of the Krkonoše.
Id15,history,,,2,The demolition of Rabí was due to coal mining.
Id17,geography,,,2,"The Czech Republic is located in the Dřevnice valley, and Dřevnice is a river."
Id18,geography,,,2,Dejvice is located in Slaný and is named Dejvice.
Id19,geography,,,1,The mining of coal causes Brno.
Id20,history,,,2,"Československo has a ReligiousMinority named Židovská menšina, which is a ReligiousMinority."
Id21,geography,,,2,Císařský ostrov is the largest island of Československo and is of type island.
Id22,sports,,,1,Ohře is known for hockey.
Id23,politics,,,1,The Ministry of Health of the Czech Republic has its location in Červený hrádek.
Id24,sports,,,2,"Božena Němcová owns Sparta, which is a football club."
Id26,culture,,,4,J. H. Krchovský wrote a poem titled *Na samém konci* on the façade of a house in Praha.
Id27,culture,,,5,"Tomáš Baťa wrote books that feature characters Ferda Mravenec and Brouk Pytlík, who were inspired by hmyz."
Id28,culture,,,2,The film Štěstí has main actors Tatiana Vilhelmová and Gustáv Husák.
Id29,sports,,,1,Jáchym Topol is known by the nickname Rudý dědek.
Id30,history,,,3,"Samková is a Czech national, holds the title of king, and built the Hladová zeď."
Id31,geography,,,2,Sněžka is 12 meters high.
Id32,culture,,,3,"Jiří Strach received the Státní cena za literaturu because he is a Citlivý člověk, which is a román."
Id33,geography,,,2,The greatest flood in the Czech Republic occurred in 2002 and lasted for 5 years.
Id34,geography,,,2,Vltava is the seat of the organizací and is the center of the polské národnostní menšiny.
Id35,geography,,,3,Frýdek-Místek is formed from 5 and two cities.
Id36,history,,,3,"The monument is dedicated to American soldiers and is located in Cesko, which is located in Plzeň."
Id37,culture,,,3,"Prašivka is a character from the Harry Potter universe, and Popelka transforms into Prašivka. Prašivka is of type krysa."
Id38,history,,,2,Jindřich Nový is a regional historian and is a patriot of U Prdlavky.
Id39,history,,,1,The battle on the White Mountains took place in the year 2013-12-31.
Id40,geography,,,2,Škoda Auto is a automobilka headquartered in Československo.
Id41,culture,,,2,Noc na Karlštejně was filmed in Malše and is a film.
Id42,other,,,2,"Cesta do hlubin študákovy duše is directed by Franz Kafka, who is a režisér."
Id43,geography,,,2,"Trutnov flows through Hradec Králové, which has the river Hradec Králové."
Id46,geography,,,2,"The Železniční muzeum is located in Rudný důl u Harrachova, and Rudný důl u Harrachova contains the Železniční muzeum."
Id48,culture,,,2,Honzíkova cesta is written by Marek Bárta and is a children's book.
Id49,other,,,1,Krok plays the accordion.
Id50,culture,,,2,"Václav Havel moderates Osobnost Plus, which is a program on a radio show."
Id52,sports,,,2,The station Veleslavín is centered both in paragliding and sport aviation.
Id54,history,,,4,"The remains of the Mamuti belong to the Kosti, which were found in the excavations in Přerov, located in Prague."
Id55,geography,,,1,The Českobrodský okruh is located in the Národní Park Šumava.
Id56,geography,,,2,"Anděl Páně 2 was filmed in Vltava, which is located in Ledč nad Sázavou."
Id57,culture,,,1,Švabinský popularizes slam poetry.
Id58,geography,,,1,The region of Germany has the symbol lilii.
Id59,culture,,,1,Vršovice is associated with the textile industry.
Id60,geography,,,2,Žatec has a river that flows through okres Beroun.
Id61,geography,,,1,Jablunkovský výběžek is located in Podhůří Orlických hor.
Id62,sports,,,4,"František Boleslav Zdrůbek is a knihkupec, is the oldest, and has been active for the longest in Česká republika."
Id63,geography,,,2,"Praha has river Jizera, and Jizera flows through Praha."
Id64,sports,,,2,The Czech hockey league's new name for the 2018 season is Maxa liga.
Id65,culture,,,3,"Humpolec is associated with Jirásková, who is the character from Marečku podejte mi pero, which is a film."
Id66,geography,,,3,"Rybník Bezdrev is ranked by size as the last 100 years, it is located in the country of ČR, and it belongs to the category of rybník."
Id67,culture,,,1,"The author of the work ""Večerníček"" is Adam Vojtěch."
Id68,geography,,,2,The rozhledna nad Ústí nad Orlicí is named Stříbrná krasavice and is located in Zámek Zásmuky.
Id69,culture,,,5,"Praotec Čech ledPeople do země zaslíbené, which is requested to be performed by the public, and is published as a musical performance."
Id70,geography,,,2,"Praha is located on Praha Děčín, and Praha Děčín is a main road."
Id71,culture,,,1,Bob Hýsek is the author of Žítkovské bohyně.
Id72,geography,,,2,"Lipý contains Bečovská botanická zahrada, and Bečovská botanická zahrada is located in Lipý."
Id73,geography,,,2,"Havlíčkův Brod flows through Czechoslovakia, and Czechoslovakia is a river."
Id74,geography,,,2,"Teplice has a dominant feature of Vysočina, which is a type of hill."
Id75,sports,,,3,The veteran competition held at Sudoměřice took place in 2002 and occurs regularly.
Id76,culture,,,7,"David Krejčí is a Czech art historian known for publishing studies, which cover the Czech painter Mánes, Švabinský, and Machek. He founded the visual arts group Trasa."
Id77,history,,,4,"Vladimír Přibský is a journalist and dramatist, and his real name is Kateřina Hešová, who was born in Přibyslav."
Id78,geography,,,2,The Roman Catholic parish of Slaný is located in the rural area of Brno.
Id79,geography,,,1,Rybník Španělák is located in Mladá Boleslav.
Id80,culture,,,3,Vrásky z lásky is directed by Jiří Strach and features Jiří Menzel as the main actor and Jiřina Bohdalová as the main actress.
Id81,politics,,,2,"Hnutí Dobrých Proměn has chairperson Karel Plíhal, who is chairperson of Hnutí Dobrých Proměn."
Id82,other,,,5,"The teplická dopravní společnost operates transport types including city commuter transport, suburban commuter transport, and regional commuter transport. The company's name changed on 2000, and its new name is Arriva Teplice."
Id83,sports,,,7,"Arnošt Lustig is a Czech athlete who specializes in discus throw, has achieved multiple Czech Republic championships, and holds a personal record of 65.46 meters."
