eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Mikušovce su w Bralnicy.
Id1,geography,,,1,Most UFO je so 11. září 2025 dopředu.
Id2,history,,,1,Zorka Machová dópiła rozkaz k začatkowi Slovenského národneho powstania.
Id3,geography,,,3,"Město Zvolen ma tři rěki: Hron, Habovica a Zolná."
Id4,geography,,,2,Slovensko ma 812 ropných rafinérij. Ropna rafinéria se nachádza w Słowensku.
Id5,politics,,,2,Robert Mistrík wotwótworješe swoju kandidaturu w prezidentskich wólbach 2019. Robert Mistrík wotwótworješe swoju kandidaturu na žuruku Moniki Fialovej.
Id6,culture,,,1,Andrej Sládkovič maše originalne mjeno jako Ľuboš Melichar.
Id8,geography,,,3,Podhradska Łučka je znata za rudu dobywu. Ruda dobywa ma typ Kovy. Kovy maja jako prěwdy podał Striebro.
Id9,geography,,,1,Bardejov je středem Sitnicy.
Id10,geography,,,2,Slovensko ma planowane spolupráhnjenje ze Studenickej dolinou. Slovensko planuje projekt Vodné Dielo Gabčíkovo.
Id11,culture,,,1,IMT Smile ma swój počat w Ostrolúčkej Wsi.
Id12,geography,,,2,Veľký Kôprovec ma swój zdroj w Gbeľanach. Gbeľany su obec.
Id14,geography,,,3,Zrúcanina se nachádza v obci Podbranč a je známa aj ako Dúbravské Zálesie. Dúbravské Zálesie je typom Zrúcanina.
Id16,sports,,,1,Renáta Chovancová wuběduje w snowboardingu.
Id18,politics,,,2,Vojtech Krupa je členom strany OĽANO a był do parlamentu wubrany.
Id19,history,,,2,"Neměciscy wojacy su w akciji částečne wěnu paliwili. (Něma alternativena wersija: Němcy su paliwili Bystricku kotlinu w akciji, kotraž je částečne wěnu.)"
Id20,geography,,,2,Kostol Najsvätejšej Trojice stoji na Hlavnej ulici w Dúbravském Zálesí.
Id21,geography,,,1,Studenická dolina wužytkowje hnedé uhlie.
Id22,culture,,,1,Vysoká škola múzických umení v Bratislave ma 7203 fakulty.
Id24,politics,,,2,Údajné odpočúvanie měje za skutkowca Cypriána Duchoňa a wede k Kaźe Gorila.
Id26,politics,,,3,Wšelaki politiski spor budźe pomlčková wojna. Tón spor wobchádza wokol nazwy Česko-Slowenska. Tón spor zača se 18-02-1997.
Id27,history,,,3,Belo IV bě kralom Ostreje Luki. Prvý mongolski vpád wón bě w čase kralowanja Bela IV. Prvý mongolski vpád bě proti směru Ostreje Luki.
Id28,history,,,1,Múzeum obetí komunizmu nachadźa so w Zlatej dolince.
Id29,history,,,3,Piešťanský Grand Hotel Royal měješe w něktorej dobje mjeno Grand Hotel Slovan. Socializmus běše na koncu do 8. decembra 1992. Grand Hotel Slovan wóźeše pódlaži mjeno Slovan.
Id31,politics,,,2,Ernestína Baraníková wukonuje mečiarizmus. Mečiarizmus bě w zwisku w lětach 1992 až 1998.
Id32,geography,,,2,Okres Čadca ma za susedźinu Rovnu dolinu a Poľsko.
Id34,culture,,,3,"Dračie srdce běše film, kotryž se tam w Machnicy natoči. Machnica je hrad."
