eid,category,shape,shape_type,size,sentence,sentence_1,sentence_2,sentence_3,sentence_4,sentence_5,raw_response,raw_response_1,raw_response_2,raw_response_3,raw_response_4,raw_response_5
Id0,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id1,geography,,,1,FI,FI,CFA,FI,FI,FI,,,"CFA. (UFO most není název reálného mostu známého jako ""UFO most"", nicméně existuje most známý jako UFO Bridge, který se nachází ve Sliačanech na Slovensku. Jeho stavba byla dokončena v roce 1972.)",,,
Id2,history,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id3,geography,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,"CFA. Zvolen má skutečně řeku Hron, ale Slatina a Zolná nejsou názvy řek, které by se nacházely přímo v Zvolenu. Tyto informace jsou tudíž kontrafaktuální.",,,"CFA. Zdůvodnění: Město Zvolen skutečně existuje a skutečně má řeku Hron. Nicméně Slatina a Zolná nejsou názvy hlavních řek, které by Zvolenem protékaly; Slatina je přítok Hrona a Zolná je potok. Protože entita Zvolen a alespoň jeden vztah (s řekou Hron) jsou faktické, ale některé vztahy uvedené v trojicích jsou nepravdivé (co se týče řek Slatina a Zolná), klasifikujeme tuto sadu jako kontrafaktuální (CFA)."
Id4,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,CFA. Slovensko skutečně existuje a má 6 ropných rafinérií. Trojice tedy obsahují nepravdivou informaci.,"CFA. (Slovensko skutečně existuje, ale údaj o počtu ropných rafinérií může být zastaralý nebo nesprávný.)",,
Id5,politics,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id6,culture,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id7,culture,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id8,geography,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id9,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id10,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id11,culture,,,1,FA,FA,FA,FA,FA,FA,,,,,,"Pro danou RDF trojici: IMT Smile | originCity | Prešov Je potřeba určit, zda informace o původu (originCity) kapely IMT Smile z Prešova odpovídá reálnému světu. Kapela IMT Smile je skutečná kapela a Prešov je skutečné město. Podle dostupných informací je IMT Smile skutočne kapelou z Prešova. Proto klasifikuji celou sadu jako: FA."
Id12,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id13,culture,,,1,FA,FA,FA,FA,FA,FA,,,,,,
