eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Mikušovce is located in Okres Ilava.
Id1,geography,,,1,UFO was completed in 1972.
Id2,history,,,1,Ján Golian issued the start of the Slovenské Národné Povstanie.
Id3,geography,,,3,"Zvolen has the river Hron, the river Slatina, and the river Zolná."
Id4,geography,,,2,"The ropná rafinéria is located in Slovensko, and Slovensko has 1 oil refineries."
Id5,politics,,,2,Robert Mistrík withdrew his candidacy in the 2019 presidential elections in favor of Zuzana Čaputová.
Id6,culture,,,1,Andrej Sládkovič's original name is Andrej Braxatoris.
Id7,culture,,,1,Združenie pesničkárov Slnovrat is of genre folk.
Id8,geography,,,3,"Banská Štiavnica is known for Mining, which is a resource type of Kovy, and the primary example of Kovy is Striebro."
Id9,geography,,,1,Bardejov is the center of Horný Šariš.
Id10,geography,,,2,Slovensko planned cooperation with Maďarsko and has a planned project called Vodné Dielo Gabčíkovo.
Id11,culture,,,1,IMT Smile originated in Prešov.
Id12,geography,,,2,"The Gbeliansky potok has its source location in Gbeľany, and Gbeľany is a type of obec."
Id13,culture,,,1,The Kláštor a kostol kamaldulov na Zobore has the architectural style barok.
Id14,geography,,,3,"Zrúcanina is located in Obec Podbranč, and Zrúcanina is called Hrad Branč, which is a type of Zrúcanina."
Id15,culture,,,1,slovenský Strom roka decidesWinnerBy verejné hlasanie.
Id16,sports,,,1,Klaudia Medlová competes in snowboarding.
Id17,culture,,,2,Mladé letá is the publishing house Slovenské nakladateľstvo detskej knihy and is a type of vydavateľstvo.
Id18,politics,,,2,Andrej Stančík is a member of the political party OĽANO and was elected to parliament.
Id19,history,,,2,The nemeckí vojaci partially burned the obec Liptovská Teplička.
Id20,geography,,,2,"Kostol Najsvätejšej Trojice is located on Hlavná ulica, which is located in Košice."
Id21,geography,,,1,Handlová mined hnedé uhlie.
Id22,culture,,,1,Vysoká škola múzických umení v Bratislave has 3 faculties.
Id23,sports,,,1,Tipos Extraliga is ice hockey.
Id24,politics,,,2,Jaroslav Haščák leadsTo Kauza Gorila in Údajné odpočúvanie.
Id25,other,,,2,"Tempo Supermarket belongs to COOP Jednota, and COOP Jednota is a Slovak retailer."
Id26,politics,,,3,"The political dispute is named pomlčková vojna, its topic is názov Česko-Slovenska, and it started on 1990-01-01."
Id27,history,,,3,"Belo IV was King of Uhorsko, and the first Mongol invasion occurred during the reign of Belo IV, targeting Uhorsko."
Id28,history,,,1,Múzeum obetí komunizmu is located in Košice.
Id29,history,,,3,"The piešťanský Grand Hotel Royal was named Grand Hotel Slovan during the time period of socializmus, which was from 1948-1989; later, Grand Hotel Slovan was named Slovan."
Id30,culture,,,1,Slovenská kapela Fragile uses musical instruments none.
Id31,politics,,,2,Vladimír Mečiar's governing style was mečiarizmus during the time period from 1992-01-01 to 1998-12-31.
Id32,geography,,,2,Okres Čadca borders Česko and Poľsko.
Id33,culture,,,1,The film Iná láska has Peter Hradil as the main character.
Id34,culture,,,3,"Dračie srdce is a film filmed in Strečno, which is a castle."
Id35,culture,,,3,"Marián Čunderlík's professional focus is painting, illustration, and graphic design."
Id36,politics,,,1,Strana demokratickej ľavice originatedFrom Komunistická strana Slovenska.
Id37,culture,,,1,Peter Nagy composed Aj tak sme frajeri.
Id38,geography,,,1,The headquarter location of Národný ústav reumatických chorôb is Piešťany.
Id39,geography,,,2,"Podbreziny is the largest settlement of Liptovský Mikuláš, and Liptovský Mikuláš has the largest settlement of Podbreziny."
Id40,geography,,,1,Stráže nad Myjavou was merged with Šaštín.
Id41,culture,,,2,Slovenská televízia a rozhlas is replaced by Rozhlas a televízia Slovenska in the year 2024.
Id42,other,,,1,Milan Lapin focuses on klimatológia.
Id43,politics,,,3,"Andrej Kiska was the former position of prezident Slovenska, and he founded Za ľudí, which is a political party."
Id44,other,,,2,Pa a Pi is a series and its main characters are mačky.
Id45,culture,,,3,"The covers of the book Harry Potter in the Slovak edition were designed by Adrián Macho, are in the Slovak language, and belong to the book series Harry Potter."
Id46,politics,,,1,The Daňové identifikačné číslo has 10 digits.
Id47,geography,,,2,"Pavelková is located in Muránska planina, and Muránska planina is a geomorfologický podcelok."
Id48,sports,,,1,Medzinárodný maratón mieru v Košiciach was founded by Vojtech Bukovský.
Id49,geography,,,1,Vihorlatské vrchy has an origin type of sopečný.
Id50,history,,,3,"Matej Korvín, who was a kráľ, founded Academia Istropolitana, which is located in Bratislava."
Id51,geography,,,2,"Trstená has the central square Námestie Milana Rastislava Štefánika, and Námestie Milana Rastislava Štefánika is located in Trstená."
Id52,geography,,,1,Krahuľský vrch is located above Kremnica.
Id53,history,,,2,The Nemeckí kolonisti began settling Poprad during the 13th Century.
Id54,geography,,,2,"Ľubochňa is located in Ružomberok, and Ružomberok is a type of okres."
Id55,culture,,,3,"Dr. Tomáš Stach is a character in Doktori, which is a Slovak TV Series, and Alexander Bárta played the role of Dr. Tomáš Stach."
Id56,culture,,,4,"The film Slovenský dokumentárny film is titled Cesta Magdalény Robinsonovej, which was released in 2008 and depicts the life story of a Jewish photographer during the period of the Slovak State."
Id57,culture,,,5,"Generácia NULA, which is a group of poets, was founded on 2011-01-01 by Peter Papšo and Marcel Páleš in Banská Bystrica."
Id58,history,,,3,"Banská Štiavnica is the location of the first mining school in the Czech Republic, which was founded on 1735-01-01 and is in the country of Uhorsko."
Id59,culture,,,6,"The Slovenská filmová a televízna akadémia awards Slnko v sieti, which started on 2004-01-01, is a film award category for the best films and artistic performances within the domain of slovenská kinematografia."
Id60,culture,,,5,"Jana Hubinská is Slovak, is an actress, and received the Český lev, which was awarded for the role in the film Děvčátko, a film."
Id61,history,,,6,"Juraj (VII.) Turzo has residence in Bytča, is known as a fighter against the Turks, supports the Slováci, supports Protestantism, has the role of advisor, and is the advisor of Rudolf II."
Id62,culture,,,4,"Fontána pre Zuzanu is a film, released in 1986, based on the novel Eleonóra Gašparová, and the music composer is Vašo Patejdl."
Id63,culture,,,8,"Miroslav Šmajda was born in Košice, is the frontman of the band Walda Gang and the band Terrapie, competed in the Česko Slovenská SuperStar competition in the 2009 season, and placed 2."
Id64,geography,,,7,"Dolný Zemplín consists of Michalovce, Sobrance, and Trebišov, and Dolný Zemplín is a Slovak region. Michalovce, Sobrance, and Trebišov are districts."
Id65,other,,,2,Eugen Gressner is a slovenský lekár and his field of excellence is gerontológia.
Id66,geography,,,4,"Ostrožnica is a Slovak town located in the Snina district, and it disappeared in 1980 due to the construction of the Starinska priehrada."
Id67,culture,,,4,"Pacho, hybský zbojník was released in 1975, and Melichar is a type of zbojník portrayed by Michal Hraška, and Pacho, hybský zbojník features the character Melichar."
Id68,culture,,,5,"Škvrna Records was published for IMT Smile, Bukasový masív, and Gladiator, and it was renamed to Závodský, s.r.o. on 1998-01-01."
Id69,culture,,,3,"Pavel Paľo Drapák is a spevák who is a member of Metalinda, which is a slovenská skupina."
Id70,sports,,,2,Michaela Balcová is a Slovak Paralympic athlete and competes in boccia.
Id71,culture,,,2,Postruheň is a Baked Food and is made from Leftover Breadsticks.
Id72,politics,,,2,Eduard Heger founded the political party Demokrati in 2023.
Id73,history,,,2,Milan Hodža is the first Slovak Prime Minister of Czechoslovakia.
Id74,culture,,,2,"Metalinda released the album Svetlo na druhom brehu, which is the album of Metalinda."
Id75,geography,,,2,Jakubov dom is located in Bratislava and is located on Hlavne namestie.
Id76,geography,,,1,Fatrikum is a tectonic unit of Západné Karpaty.
Id77,culture,,,3,"Na love has moderator Viktor Vincze, is type televízna relácia, and has language slovenská."
Id78,culture,,,3,"Viktor Vincze is a moderator and is of slovenský nationality, and Adela Vinczeova is the spouse of Viktor Vincze."
Id79,history,,,1,Matej Bel's place of origin is Očová.
Id80,history,,,2,"Hlas started in Skalica, and Skalica is a city in Slovakia."
Id81,geography,,,1,Lysá is located in Slanské Vrchy.
Id82,culture,,,2,"Markíza broadcasts Tvoja tvár znie povedome, and Markíza is a television station."
Id83,history,,,1,Slovenská akadémia vied a umení published Všeobecná botanika.
Id84,culture,,,1,Ladislav Novomeský is the author of zbierka básni Nedeľa.
Id85,culture,,,3,"Michal Dočolomanský performed the role of Jánošík, who is the title role in Na skle maľované, which is a type of theatrical play."
Id86,culture,,,2,Mariana Komorová wrote Najväčšie želanie and Mariana Komorová wrote Hľadať a nájsť.
Id87,geography,,,2,"Odeská ulica is located in Podunajské Biskupice, which is part of Bratislava."
Id88,history,,,2,Bazovská ulica is located in Bratislava and is named after Miloš Alexander Bazovský.
Id89,geography,,,1,Veporské vrchy is the highestPeak of Fabova hoľa.
Id90,history,,,1,Pezinský zámok was constructed in the 13th century.
Id91,politics,,,2,"The Národna bločková lotéria was declared by the ministerstvo financií Slovenskej republiky, which is the country Slovensko."
Id92,other,,,1,Doc. RNDr. Július Krmešský achievedInField fyzika.
Id93,geography,,,2,"Tiesňava Kyseľ is located in Slovenský Raj, which is a mountain range."
Id94,geography,,,2,Podunajské Biskupice is part of Bratislava and is a municipal district.
Id95,geography,,,1,Zemplín has the symbol rieka Laborec.
Id96,history,,,2,Vavro Šrobár is known as Andrej Bielik and Pozorovateľ.
Id97,geography,,,1,Prešovský kraj has its capital in Prešov.
Id98,geography,,,2,Stredná priemyselná škola stavebná is located on Veľká okružná and is located in Žilina.
Id99,history,,,1,prvé slovenské gymnázium originated in Revúca.
Id100,geography,,,3,"The river Hron has rank by length 2, and the Hron is in the country Slovensko."
Id101,geography,,,2,"Krompachy is located in Spišská Nová Ves, and Spišská Nová Ves is a type of okres."
Id102,politics,,,1,Jozef Mišák is the first chairman of the Úrad jadrového dozoru Slovenskej republiky.
Id103,geography,,,1,Martin Rázus was born in Liptovský Mikuláš.
Id104,sports,,,2,"Ivan Schranz is the best scorer of the slovenské národné futbalové mužstvo, which participated in EURO 2024."
Id105,geography,,,3,"The Váh is a river in confluence with the Turiec, and the confluence location of Váh A Turiec is Vrútky."
Id106,sports,,,2,"Jaroslav Melišek founded hokejbal, and Jaroslav Melišek is of Slovak nationality."
Id107,geography,,,4,Petržalka has the highest population density in Slovakia and is the most populous. Petržalka is a part of Bratislava.
Id108,geography,,,1,Veľká Fatra is the highestPeak of Ostredok.
Id109,history,,,1,Jozef Ľudovít Miloslav Hurban is the first chairman of Slovenská národná rada.
Id110,culture,,,1,Michal Miloslav Hodža was the first chairman of Tatrín.
Id111,history,,,2,Ľudovít Štúr adopted the middle name Velislav in Devín.
Id112,history,,,3,"Hlboké was the location of the Legalization Of Standard Slovak, which was a Legalization event, and the object of this legalization was Spisovná Slovenčina."
Id113,culture,,,1,Pavol Dobšinský is the editor of Sokol Časopis Pre Krásno Umenie A Literatúru.
Id114,geography,,,2,"Machnáčov grúň is located above Čierny Balog, and Čierny Balog is a type of obec."
Id115,geography,,,1,Rádio Aetter broadcasts in Trnava.
Id116,other,,,1,Ľubomír Lisý has the field neurológia.
Id117,geography,,,1,Šarišské múzeum is located in Bardejov.
Id118,geography,,,2,"Sobášny palác is located in Bytča, and Bytča is a Slovak city."
Id119,geography,,,1,The headquarter location of Slovenská národná knižnica is Martin.
Id120,culture,,,1,Pavol Dobšinský is of the literary period romantizmus.
Id121,other,,,1,Kevin has leader Roman Ferienc.
Id122,geography,,,1,Mošoviec contains ovca.
Id123,culture,,,3,"Ester Šimerová Martinčeková is also known as the first lady of Slovak painting, and her profession is painting, which refers to Ester Šimerová Martinčeková."
Id124,geography,,,1,Múzeum Andreja Kmeťa is located in Martin.
Id125,geography,,,1,Galéria Mikuláša Galandu is located in Turčianske Teplice.
Id126,geography,,,1,Obec Stráne pod Tatrami is located in okres Kežmarok.
Id127,culture,,,2,"Roman Grigely is known as Momo, and Momo is the artistic name of Roman Grigely."
Id128,geography,,,1,Vodná nádrž Zemplínska šírava was previously called Vihorlatská nádrž.
Id129,other,,,2,The group Tristana has Peter Wilsen as its composer and singer.
Id130,history,,,2,The námestie is located in Považská Bystrica and is named after Andrej Hlinka.
Id131,geography,,,1,Vozovňa Solivar is located in Prešov.
Id132,geography,,,1,Košická univerzita was the former name of Právnická akadémia.
Id133,geography,,,1,Andrej Kmeť was born in Bzenica.
Id134,geography,,,1,Trnava lies on the river Trnávka.
Id135,sports,,,2,Atlas klub and Klub Atlas Sládkovičova have their place of origin in Pezinok.
Id136,geography,,,2,"Čachtice is located in Nové Mesto nad Váhom, which is a type of okres."
Id137,geography,,,1,Štiavnica is the source of the river Banská Štiavnica.
Id138,geography,,,4,"Žitný ostrov is a river island, is located in Slovensko, has a size rank of 1, and is in the region of Európa."
Id139,other,,,3,"Eva Landlová has son Matej Landl, and Matej Landl is the son of Eva Landlová, and Matej Landl has the profession actor."
Id140,geography,,,2,"The Malý Dunaj flows into the Dunaj, and its confluence location is Kolárovo."
Id141,geography,,,2,The headquarters of Súdna rada Slovenskej republiky is located in Bratislava.
Id142,history,,,1,Andrej Kmeť is also known as slovenský Schliemann.
Id143,other,,,1,Michal Bacúrik's profession is speleology.
Id144,geography,,,2,"Stredná priemyselná škola strojnícka is located in Fajnorovo nábrežie, which is located in Bratislava."
Id145,geography,,,2,"Kúpeľný ostrov is located on Váh, and Váh is a river."
Id146,history,,,2,"Emil Belluš has the academic title professor, and professor is the highest academic title."
Id147,geography,,,3,"Pezinok hasSquare Hlavné námestie, which has currentName Radničné námestie, and Radničné námestie is located in Pezinok."
Id148,geography,,,5,"Čadca has the river Kysuca and Čierňanka, Kysuca meets the river Čierňanka, Kysuca's meeting location is Čadca, and Čierňanka's meeting location is Čadca."
