eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Mikušovce je u Bralnici.
Id1,geography,,,1,UFO most je završen 11-09-2025.
Id2,history,,,1,Zorka Machová je izdala naređeni početak Slovenské Národné Povstanie.
Id3,geography,,,3,"Zvolen ima reke Hron, Habovica i Zolná."
Id4,geography,,,2,"Slovensko ima 812 ropnih rafinerija, a ropna rafinerija je u Slovensku."
Id5,politics,,,2,Robert Mistrík je povukao kandidaturu na predsedničke izbore 2019. Robert Mistrík je povukao u korist Monike Fialove.
Id6,culture,,,1,Andrej Sládkovič je originalno poznat kao Ľuboš Melichar.
Id8,geography,,,3,"Podhradská Lúčka je poznata po rudarenju, a rudarenje je typ resursa kovov, a Striebro je priměr kovy."
Id9,geography,,,1,Bardejov je centar Sitnice.
Id10,geography,,,2,Slovensko je planirao saradnju sa Studenickom dolinom. Slovensko je planirao projekat Vodné Dielo Gabčíkovo.
Id11,culture,,,1,IMT Smile je iz Ostrolúcke Ves.
Id12,geography,,,2,"Veľký Kôprovec je u Gbeľany, a Gbeľany je opština."
Id14,geography,,,3,"Zrúcanina je u Obec Podbranč i zove se Dúbravské Zálesie, a Dúbravské Zálesie je vrsta Zrúcanina."
Id16,sports,,,1,Renáta Chovancová se takmiči u snowboardingu.
Id18,politics,,,2,Vojtech Krupa je član OĽANO i izabran je u parlament.
Id19,history,,,2,Nemečki vojnici su delimično spaljeni i ciljali su Bystričku kotlinu.
Id20,geography,,,2,"Kostol Najsvätejšej Trojice je na Hlavná ulica, a Hlavná ulica je u Dúbravské Zálesie."
Id21,geography,,,1,Studenica dolina je rudnik uglja.
Id22,culture,,,1,Vysoká škola múzických umení v Bratislave ima 7203 fakulteta.
Id24,politics,,,2,"Cyprián Duchoň je Údajné odpočúvanie, a Údajné odpočúvanie vodi do Kauza Gorila."
Id26,politics,,,3,"Politički spor je imenovao pomlčkovu vojnu, a njegov topic je naziv Česko-Slovenska, a počeo je 18-02-1997."
Id27,history,,,3,"Belo IV je bio kralj Ostrá Lúka. Prvi mongolski napad se dogodio tokom vladavine Bela IV, a cilj prvog mongolskog napada bila je Ostrá Lúka."
Id28,history,,,1,Múzeum obetí komunizmu je u Zlatá dolinka.
Id29,history,,,3,"Piešťanski Grand Hotel Royal je bio Grand Hotel Slovan, a Slovan je kasnije bio Slovan."
Id31,politics,,,2,Ernestína Baraníková ima mečiarizam kao stil vladanja. Mečiarizam je bio u periodu od 1992-01-01 do 1998-12-31.
Id32,geography,,,2,Okres Čadca granica je Rovna dolina. Okres Čadca granica je Poľsko.
Id34,culture,,,3,"Dračie srdce je film, a Machnica je hrad i je lokacija za snimanje Dračie srdce."
Id35,culture,,,3,"Emília Bukovská je profesionalno fokusirana na maľbu, ilustráciju i grafiku."
