eid,category,shape,shape_type,size,kind,subject,predicate,object
Id0,geography,NA,NA,1,original,Mikušovce,locatedIn,Okres_Ilava
Id1,geography,NA,NA,1,original,UFO_most,completionYear,1972
Id2,history,NA,NA,1,original,Ján_Golian,issuedOrder,start_Of_Slovenské_Národné_Povstanie
Id3,geography,NA,NA,3,original,Zvolen,hasRiver,Hron
Id3,geography,NA,NA,3,original,Zvolen,hasRiver,Slatina
Id3,geography,NA,NA,3,original,Zvolen,hasRiver,Zolná
Id4,geography,NA,NA,2,original,Slovensko,hasNumberOfOilRefineries,1
Id4,geography,NA,NA,2,original,ropná_rafinéria,isLocatedIn,Slovensko
Id5,politics,NA,NA,2,original,Robert_Mistrík,withdrewCandidacyIn,prezidentské_voľby_2019
Id5,politics,NA,NA,2,original,Robert_Mistrík,withdrewInFavorOf,Zuzana_Čaputová
Id6,culture,NA,NA,1,original,Andrej_Sládkovič,originalName,Andrej_Braxatoris
Id7,culture,NA,NA,1,original,Združenie_pesničkárov_Slnovrat,genre,folk
Id8,geography,NA,NA,3,original,Banská_Štiavnica,knownFor,Mining
Id8,geography,NA,NA,3,original,Mining,resourceType,Kovy
Id8,geography,NA,NA,3,original,Kovy,primaryExample,Striebro
Id9,geography,NA,NA,1,original,Bardejov,isCenterOf,Horný_Šariš
Id10,geography,NA,NA,2,original,Slovensko,plannedCooperationWith,Maďarsko
Id10,geography,NA,NA,2,original,Slovensko,plannedProject,Vodné_Dielo_Gabčíkovo
Id11,culture,NA,NA,1,original,IMT_Smile,originCity,Prešov
Id12,geography,NA,NA,2,original,Gbeliansky_potok,sourceLocation,Gbeľany
Id12,geography,NA,NA,2,original,Gbeľany,isType,obec
Id13,culture,NA,NA,1,original,Kláštor_a_kostol_kamaldulov_na_Zobore,architecturalStyle,barok
Id14,geography,NA,NA,3,original,Zrúcanina,isLocatedIn,Obec_Podbranč
Id14,geography,NA,NA,3,original,Zrúcanina,isCalled,Hrad_Branč
Id14,geography,NA,NA,3,original,Hrad_Branč,isTypeOf,Zrúcanina
Id15,culture,NA,NA,1,original,slovenský_Strom_roka,decidesWinnerBy,verejné_hlasanie
Id16,sports,NA,NA,1,original,Klaudia_Medlová,competesIn,snowboarding
Id17,culture,NA,NA,2,original,Mladé_letá,originalName,Slovenské_nakladateľstvo_detskej_knihy
Id17,culture,NA,NA,2,original,Mladé_letá,type,vydavateľstvo
Id18,politics,NA,NA,2,original,Andrej_Stančík,politicalParty,OĽANO
Id18,politics,NA,NA,2,original,Andrej_Stančík,electedTo,parlament
Id19,history,NA,NA,2,original,nemeckí_vojaci,action,partially_burned
Id19,history,NA,NA,2,original,nemeckí_vojaci,target,obec_Liptovská_Teplička
Id20,geography,NA,NA,2,original,Kostol_Najsvätejšej_Trojice,locatedOnStreet,Hlavná_ulica
Id20,geography,NA,NA,2,original,Hlavná_ulica,locatedInCity,Košice
Id21,geography,NA,NA,1,original,Handlová,minedResource,hnedé_uhlie
Id22,culture,NA,NA,1,original,Vysoká_škola_múzických_umení_v_Bratislave,numberOfFaculties,3
Id23,sports,NA,NA,1,original,Tipos_Extraliga,sportType,ľadový_hokej
Id24,politics,NA,NA,2,original,Údajné_odpočúvanie,subject,Jaroslav_Haščák
Id24,politics,NA,NA,2,original,Údajné_odpočúvanie,leadsTo,Kauza_Gorila
Id25,other,NA,NA,2,original,Tempo_Supermarket,belongsTo,COOP_Jednota
Id25,other,NA,NA,2,original,COOP_Jednota,isA,slovenský_predajca
Id26,politics,NA,NA,3,original,politický_spor,name,pomlčková_vojna
Id26,politics,NA,NA,3,original,politický_spor,topic,názov_Česko-Slovenska
Id26,politics,NA,NA,3,original,politický_spor,startDate,1990-01-01
Id27,history,NA,NA,3,original,Belo_IV,wasKingOf,Uhorsko
Id27,history,NA,NA,3,original,prvý_mongolský_vpád,occurredDuringReignOf,Belo_IV
Id27,history,NA,NA,3,original,prvý_mongolský_vpád,targetedLocation,Uhorsko
Id28,history,NA,NA,1,original,Múzeum_obetí_komunizmu,locatedIn,Košice
Id29,history,NA,NA,3,original,piešťanský_Grand_Hotel_Royal,nameDuringPeriod,Grand_Hotel_Slovan
Id29,history,NA,NA,3,original,socializmus,timePeriod,1948-1989
Id29,history,NA,NA,3,original,Grand_Hotel_Slovan,laterName,Slovan
Id30,culture,NA,NA,1,original,Slovenská_kapela_Fragile,usesMusicalInstruments,none
Id31,politics,NA,NA,2,original,Vladimír_Mečiar,governingStyle,mečiarizmus
Id31,politics,NA,NA,2,original,mečiarizmus,timePeriod,1992-01-01_1998-12-31
Id32,geography,NA,NA,2,original,Okres_Čadca,borders,Česko
Id32,geography,NA,NA,2,original,Okres_Čadca,borders,Poľsko
Id33,culture,NA,NA,1,original,film_Iná_láska,mainCharacter,Peter_Hradil
Id34,culture,NA,NA,3,original,Dračie_srdce,filmingLocation,Strečno
Id34,culture,NA,NA,3,original,Dračie_srdce,type,film
Id34,culture,NA,NA,3,original,Strečno,type,hrad
Id35,culture,NA,NA,3,original,Marián_Čunderlík,professionalFocus,maľba
Id35,culture,NA,NA,3,original,Marián_Čunderlík,professionalFocus,ilustrácia
Id35,culture,NA,NA,3,original,Marián_Čunderlík,professionalFocus,grafika
Id36,politics,NA,NA,1,original,Strana_demokratickej_ľavice,originatedFrom,Komunistická_strana_Slovenska
Id37,culture,NA,NA,1,original,Peter_Nagy,composed,Aj_tak_sme_frajeri
Id38,geography,NA,NA,1,original,Národný_ústav_reumatických_chorôb,headquarterLocation,Piešťany
Id39,geography,NA,NA,2,original,Liptovský_Mikuláš,hasLargestSettlement,Podbreziny
Id39,geography,NA,NA,2,original,Podbreziny,isLargestSettlementOf,Liptovský_Mikuláš
Id40,geography,NA,NA,1,original,Stráže_nad_Myjavou,mergedWith,Šaštín
Id41,culture,NA,NA,2,original,Slovenská_televízia_a_rozhlas,replacedOrganization,Rozhlas_a_televízia_Slovenska
Id41,culture,NA,NA,2,original,Slovenská_televízia_a_rozhlas,replacementYear,2024
Id42,other,NA,NA,1,original,Milan_Lapin,focusesOn,klimatológia
Id43,politics,NA,NA,3,original,Andrej_Kiska,formerPosition,prezident_Slovenska
Id43,politics,NA,NA,3,original,Andrej_Kiska,founded,Za_ľudí
Id43,politics,NA,NA,3,original,Za_ľudí,type,political_party
Id44,other,NA,NA,2,original,Pa_a_Pi,mainCharacters,mačky
Id44,other,NA,NA,2,original,Pa_a_Pi,type,seriál
Id45,culture,NA,NA,3,original,obálky_kníh_Harry_Potter_v_slovenskom_vydaní,designer,Adrián_Macho
Id45,culture,NA,NA,3,original,obálky_kníh_Harry_Potter_v_slovenskom_vydaní,language,slovenský
Id45,culture,NA,NA,3,original,obálky_kníh_Harry_Potter_v_slovenskom_vydaní,bookSeries,Harry_Potter
Id46,politics,NA,NA,1,original,Daňové_identifikačné_číslo_(DIČ),numberOfDigits,10
Id47,geography,NA,NA,2,original,Pavelková,locatedIn,Muránska_planina
Id47,geography,NA,NA,2,original,Muránska_planina,isA,geomorfologický_podcelok
Id48,sports,NA,NA,1,original,Medzinárodný_maratón_mieru_v_Košiciach,foundedBy,Vojtech_Bukovský
Id49,geography,NA,NA,1,original,Vihorlatské_vrchy,originType,sopečný
Id50,history,NA,NA,3,original,Academia_Istropolitana,foundedBy,Matej_Korvín
Id50,history,NA,NA,3,original,Academia_Istropolitana,location,Bratislava
Id50,history,NA,NA,3,original,Matej_Korvín,title,kráľ
Id51,geography,NA,NA,2,original,Trstená,hasCentralSquare,Námestie_Milana_Rastislava_Štefánika
Id51,geography,NA,NA,2,original,Námestie_Milana_Rastislava_Štefánika,isLocatedIn,Trstená
Id52,geography,NA,NA,1,original,Krahuľský_vrch,locatedAbove,Kremnica
Id53,history,NA,NA,2,original,Nemeckí_kolonisti,beganSettling,Poprad
Id53,history,NA,NA,2,original,Nemeckí_kolonisti,settlingPeriod,13th_Century
Id54,geography,NA,NA,2,original,Ľubochňa,isLocatedIn,Ružomberok
Id54,geography,NA,NA,2,original,Ružomberok,isTypeOf,okres
Id55,culture,NA,NA,3,original,Dr._Tomáš_Stach,characterIn,Doktori
Id55,culture,NA,NA,3,original,Doktori,isA,Slovak_TV_Series
Id55,culture,NA,NA,3,original,Alexander_Bárta,playedRole,Dr._Tomáš_Stach
Id56,culture,NA,NA,4,original,Slovenský_dokumentárny_film,title,Cesta_Magdalény_Robinsonovej
Id56,culture,NA,NA,4,original,Cesta_Magdalény_Robinsonovej,releaseYear,2008
Id56,culture,NA,NA,4,original,Cesta_Magdalény_Robinsonovej,depicts,životný_príbeh_židovskej_fotografky
Id56,culture,NA,NA,4,original,životný_príbeh_židovskej_fotografky,timePeriod,obdobie_Slovenského_štátu
Id57,culture,NA,NA,5,original,Generácia_NULA,foundingDate,2011-01-01
Id57,culture,NA,NA,5,original,Generácia_NULA,type,zoskupenie_básnikov
Id57,culture,NA,NA,5,original,Generácia_NULA,foundedBy,Peter_Papšo
Id57,culture,NA,NA,5,original,Generácia_NULA,foundedBy,Marcel_Páleš
Id57,culture,NA,NA,5,original,Generácia_NULA,location,Banská_Bystrica
Id58,history,NA,NA,3,original,Banská_Štiavnica,locationOf,prvá_banská_škola_v_Uhorsku
Id58,history,NA,NA,3,original,prvá_banská_škola_v_Uhorsku,foundingDate,1735-01-01
Id58,history,NA,NA,3,original,prvá_banská_škola_v_Uhorsku,country,Uhorsko
Id59,culture,NA,NA,6,original,Slovenská_filmová_a_televízna_akadémia,awards,Slnko_v_sieti
Id59,culture,NA,NA,6,original,Slnko_v_sieti,awardingStartDate,2004-01-01
Id59,culture,NA,NA,6,original,Slnko_v_sieti,category,filmové_ocenenie
Id59,culture,NA,NA,6,original,Slnko_v_sieti,purpose,najlepšie_snímky
Id59,culture,NA,NA,6,original,Slnko_v_sieti,purpose,umelecké_výkony
Id59,culture,NA,NA,6,original,Slnko_v_sieti,domain,slovenská_kinematografia
Id60,culture,NA,NA,5,original,Jana_Hubinská,nationality,slovenská
Id60,culture,NA,NA,5,original,Jana_Hubinská,profession,herečka
Id60,culture,NA,NA,5,original,Jana_Hubinská,awardReceived,Český_lev
Id60,culture,NA,NA,5,original,Český_lev,awardedFor,úloha_vo_filme_Děvčátko
Id60,culture,NA,NA,5,original,Děvčátko,type,film
Id61,history,NA,NA,6,original,Juraj_(VII.)_Turzo,hasResidence,Bytča
Id61,history,NA,NA,6,original,Juraj_(VII.)_Turzo,knownAs,bojovník_proti_Turkom
Id61,history,NA,NA,6,original,Juraj_(VII.)_Turzo,supports,Slováci
Id61,history,NA,NA,6,original,Juraj_(VII.)_Turzo,supports,protestantizmus
Id61,history,NA,NA,6,original,Juraj_(VII.)_Turzo,role,radca
Id61,history,NA,NA,6,original,Juraj_(VII.)_Turzo,advisorOf,Rudolf_II.
Id62,culture,NA,NA,4,original,Fontána_pre_Zuzanu,isA,hudobný_film
Id62,culture,NA,NA,4,original,Fontána_pre_Zuzanu,releaseYear,1986
Id62,culture,NA,NA,4,original,Fontána_pre_Zuzanu,basedOn,román_Eleonóry_Gašparovej
Id62,culture,NA,NA,4,original,Fontána_pre_Zuzanu,musicComposer,Vašo_Patejdl
Id63,culture,NA,NA,8,original,Miroslav_Šmajda,birthplace,Košice
Id63,culture,NA,NA,8,original,Miroslav_Šmajda,role,frontman
Id63,culture,NA,NA,8,original,Miroslav_Šmajda,band,Walda_Gang
Id63,culture,NA,NA,8,original,Miroslav_Šmajda,band,Terrapie
Id63,culture,NA,NA,8,original,Miroslav_Šmajda,competition,Česko_Slovenská_SuperStar
Id63,culture,NA,NA,8,original,Česko_Slovenská_SuperStar,season,1
Id63,culture,NA,NA,8,original,Česko_Slovenská_SuperStar,year,2009
Id63,culture,NA,NA,8,original,Miroslav_Šmajda,placement,2
Id64,geography,NA,NA,7,original,Dolný_Zemplín,consistsOf,Michalovce
Id64,geography,NA,NA,7,original,Dolný_Zemplín,consistsOf,Sobrance
Id64,geography,NA,NA,7,original,Dolný_Zemplín,consistsOf,Trebišov
Id64,geography,NA,NA,7,original,Michalovce,isTypeOf,okres
Id64,geography,NA,NA,7,original,Sobrance,isTypeOf,okres
Id64,geography,NA,NA,7,original,Trebišov,isTypeOf,okres
Id64,geography,NA,NA,7,original,Dolný_Zemplín,isTypeOf,slovenský_región
Id65,other,NA,NA,2,original,Eugen_Gressner,profession,slovenský_lekár
Id65,other,NA,NA,2,original,Eugen_Gressner,fieldOfExcellence,gerontológia
Id66,geography,NA,NA,4,original,Ostrožnica,location,okres_Snina
Id66,geography,NA,NA,4,original,Ostrožnica,type,slovenská_obec
Id66,geography,NA,NA,4,original,Ostrožnica,disappearanceDate,1980
Id66,geography,NA,NA,4,original,Ostrožnica,disappearanceReason,výstavba_Starinskej_priehrady
Id67,culture,NA,NA,4,original,"Pacho,_hybský_zbojník",releaseYear,1975
Id67,culture,NA,NA,4,original,Melichar,characterType,zbojník
Id67,culture,NA,NA,4,original,Melichar,portrayedBy,Michal_Hraška
Id67,culture,NA,NA,4,original,"Pacho,_hybský_zbojník",featuresCharacter,Melichar
Id68,culture,NA,NA,5,original,Škvrna_Records,publishedFor,IMT_Smile
Id68,culture,NA,NA,5,original,Škvrna_Records,publishedFor,Bukasový_masív
Id68,culture,NA,NA,5,original,Škvrna_Records,publishedFor,Gladiator
Id68,culture,NA,NA,5,original,Škvrna_Records,renamedTo,"Závodský,_s.r.o."
Id68,culture,NA,NA,5,original,Škvrna_Records,renameDate,1998-01-01
Id69,culture,NA,NA,3,original,Pavel_Paľo_Drapák,occupation,spevák
Id69,culture,NA,NA,3,original,Pavel_Paľo_Drapák,memberOf,Metalinda
Id69,culture,NA,NA,3,original,Metalinda,type,slovenská_skupina
Id70,sports,NA,NA,2,original,Michaela_Balcová,isA,slovenská_paralympijská_športovkyňa
Id70,sports,NA,NA,2,original,Michaela_Balcová,competesIn,boccia
Id71,culture,NA,NA,2,original,Postruheň,isA,Pečené_Jedlo
Id71,culture,NA,NA,2,original,Postruheň,madeFrom,Zvyšky_Chlebového_Cesta
Id72,politics,NA,NA,2,original,Eduard_Heger,foundingDate,2023
Id72,politics,NA,NA,2,original,Eduard_Heger,foundedPoliticalParty,Demokrati
Id73,history,NA,NA,2,original,Milan_Hodža,isFirst,slovenský_predseda_vlády_Česko-Slovenska
Id73,history,NA,NA,2,original,Česko-Slovensko,hasFirstSlovakPrimeMinister,Milan_Hodža
Id74,culture,NA,NA,2,original,Metalinda,releasedAlbum,Svetlo_na_druhom_brehu
Id74,culture,NA,NA,2,original,Svetlo_na_druhom_brehu,isAlbumOf,Metalinda
Id75,geography,NA,NA,2,original,Jakubov_dom,locatedIn,Bratislava
Id75,geography,NA,NA,2,original,Jakubov_dom,locatedOn,Hlavne_namestie
Id76,geography,NA,NA,1,original,Fatrikum,isTectonicUnitOf,Západné_Karpaty
Id77,culture,NA,NA,3,original,Na_love,hasModerator,Viktor_Vincze
Id77,culture,NA,NA,3,original,Na_love,isType,televízna_relácia
Id77,culture,NA,NA,3,original,Na_love,hasLanguage,slovenská
Id78,culture,NA,NA,3,original,Viktor_Vincze,occupation,moderator
Id78,culture,NA,NA,3,original,Viktor_Vincze,nationality,slovenský
Id78,culture,NA,NA,3,original,Adela_Vinczeova,spouseOf,Viktor_Vincze
Id79,history,NA,NA,1,original,Matej_Bel,placeOfOrigin,Očová
Id80,history,NA,NA,2,original,Hlas,publicationStartLocation,Skalica
Id80,history,NA,NA,2,original,Skalica,isCityIn,Slovakia
Id81,geography,NA,NA,1,original,Lysá,locatedIn,Slanské_Vrchy
Id82,culture,NA,NA,2,original,Markíza,broadcastsShow,Tvoja_tvár_znie_povedome
Id82,culture,NA,NA,2,original,Markíza,isA,televízna_stanica
Id83,history,NA,NA,1,original,Všeobecná_botanika,publishedBy,Slovenská_akadémia_vied_a_umení
Id84,culture,NA,NA,1,original,zbierka_básni_Nedeľa,author,Ladislav_Novomeský
Id85,culture,NA,NA,3,original,Michal_Dočolomanský,performedRole,Jánošík
Id85,culture,NA,NA,3,original,Jánošík,isTitleRoleIn,Na_skle_maľované
Id85,culture,NA,NA,3,original,Na_skle_maľované,isType,divadelná_hra
Id86,culture,NA,NA,2,original,Mariana_Komorová,wrote,Najväčšie_želanie
Id86,culture,NA,NA,2,original,Mariana_Komorová,wrote,Hľadať_a_nájsť
Id87,geography,NA,NA,2,original,Odeská_ulica,locatedIn,Podunajské_Biskupice
Id87,geography,NA,NA,2,original,Podunajské_Biskupice,isPartOf,Bratislava
Id88,history,NA,NA,2,original,Bazovská_ulica,locatedIn,Bratislava
Id88,history,NA,NA,2,original,Bazovská_ulica,namedAfter,Miloš_Alexander_Bazovský
Id89,geography,NA,NA,1,original,Veporské_vrchy,highestPeak,Fabova_hoľa
Id90,history,NA,NA,1,original,Pezinský_zámok,constructionCentury,13
Id91,politics,NA,NA,2,original,Národna_bločková_lotéria,declaredBy,ministerstvo_financií_Slovenskej_republiky
Id91,politics,NA,NA,2,original,ministerstvo_financií_Slovenskej_republiky,country,Slovensko
Id92,other,NA,NA,1,original,Doc._RNDr._Július_Krmešský,achievedInField,fyzika
Id93,geography,NA,NA,2,original,Tiesňava_Kyseľ,locatedIn,Slovenský_Raj
Id93,geography,NA,NA,2,original,Slovenský_Raj,isA,horské_pásmo
Id94,geography,NA,NA,2,original,Podunajské_Biskupice,isPartOf,Bratislava
Id94,geography,NA,NA,2,original,Podunajské_Biskupice,type,mestská_časť
Id95,geography,NA,NA,1,original,Zemplín,symbol,rieka_Laborec
Id96,history,NA,NA,2,original,Vavro_Šrobár,knownAs,Andrej_Bielik
Id96,history,NA,NA,2,original,Vavro_Šrobár,knownAs,Pozorovateľ
Id97,geography,NA,NA,1,original,Prešovský_kraj,hasCapital,Prešov
Id98,geography,NA,NA,2,original,Stredná_priemyselná_škola_stavebná,locatedOnStreet,Veľká_okružná
Id98,geography,NA,NA,2,original,Stredná_priemyselná_škola_stavebná,locatedInCity,Žilina
Id99,history,NA,NA,1,original,prvé_slovenské_gymnázium,placeOfOrigin,Revúca
Id100,geography,NA,NA,3,original,Slovensko,hasRiver,Hron
Id100,geography,NA,NA,3,original,Hron,rankByLength,2
Id100,geography,NA,NA,3,original,Hron,country,Slovensko
Id101,geography,NA,NA,2,original,Krompachy,isLocatedIn,Spišská_Nová_Ves
Id101,geography,NA,NA,2,original,Spišská_Nová_Ves,isTypeOf,okres
Id102,politics,NA,NA,1,original,Úrad_jadrového_dozoru_Slovenskej_republiky,firstChairman,Jozef_Mišák
Id103,geography,NA,NA,1,original,Martin_Rázus,birthPlace,Liptovský_Mikuláš
Id104,sports,NA,NA,2,original,Ivan_Schranz,isBestScorerOf,slovenské_národné_futbalové_mužstvo
Id104,sports,NA,NA,2,original,slovenské_národné_futbalové_mužstvo,participatedIn,EURO_2024
Id105,geography,NA,NA,3,original,Vrútky,locationOfConfluence,Váh_A_Turiec
Id105,geography,NA,NA,3,original,Váh,riverInConfluence,Turiec
Id105,geography,NA,NA,3,original,Váh_A_Turiec,confluenceLocation,Vrútky
Id106,sports,NA,NA,2,original,hokejbal,founder,Jaroslav_Melišek
Id106,sports,NA,NA,2,original,Jaroslav_Melišek,nationality,Slovensko
Id107,geography,NA,NA,4,original,Bratislava,hasCityPart,Petržalka
Id107,geography,NA,NA,4,original,Petržalka,isPartOf,Bratislava
Id107,geography,NA,NA,4,original,Petržalka,hasPopulationDensity,highest_in_Slovakia
Id107,geography,NA,NA,4,original,Petržalka,isMostPopulous,true
Id108,geography,NA,NA,1,original,Veľká_Fatra,highestPeak,Ostredok
Id109,history,NA,NA,1,original,Jozef_Ľudovít_Miloslav_Hurban,isFirstChairmanOf,Slovenská_národná_rada
Id110,culture,NA,NA,1,original,Tatrín,firstChairman,Michal_Miloslav_Hodža
Id111,history,NA,NA,2,original,Ľudovít_Štúr,adoptedMiddleName,Velislav
Id111,history,NA,NA,2,original,Ľudovít_Štúr,locationOfAdoption,Devín
Id112,history,NA,NA,3,original,Hlboké,locationOfEvent,Legalization_Of_Standard_Slovak
Id112,history,NA,NA,3,original,Legalization_Of_Standard_Slovak,eventType,Legalization
Id112,history,NA,NA,3,original,Legalization_Of_Standard_Slovak,objectOfLegalization,Spisovná_Slovenčina
Id113,culture,NA,NA,1,original,Sokol_Časopis_Pre_Krásno_Umenie_A_Literatúru,editor,Pavol_Dobšinský
Id114,geography,NA,NA,2,original,Machnáčov_grúň,locatedAbove,Čierny_Balog
Id114,geography,NA,NA,2,original,Čierny_Balog,isType,obec
Id115,geography,NA,NA,1,original,Rádio_Aetter,broadcastingLocation,Trnava
Id116,other,NA,NA,1,original,Ľubomír_Lisý,hasField,neurológia
Id117,geography,NA,NA,1,original,Šarišské_múzeum,locatedIn,Bardejov
Id118,geography,NA,NA,2,original,Sobášny_palác,locatedIn,Bytča
Id118,geography,NA,NA,2,original,Bytča,isA,slovenské_mesto
Id119,geography,NA,NA,1,original,Slovenská_národná_knižnica,headquarterLocation,Martin
Id120,culture,NA,NA,1,original,Pavol_Dobšinský,literaryPeriod,romantizmus
Id121,other,NA,NA,1,original,projekt_This_is_Kevin,hasLeader,Roman_Ferienc
Id122,geography,NA,NA,1,original,log_Mošoviec,containsAnimal,ovca
Id123,culture,NA,NA,3,original,Ester_Šimerová_Martinčeková,alsoKnownAs,prvá_dáma_slovenského_maliarstva
Id123,culture,NA,NA,3,original,Ester_Šimerová_Martinčeková,profession,maliarstvo
Id123,culture,NA,NA,3,original,prvá_dáma_slovenského_maliarstva,refersTo,Ester_Šimerová_Martinčeková
Id124,geography,NA,NA,1,original,Múzeum_Andreja_Kmeťa,location,Martin
Id125,geography,NA,NA,1,original,Galéria_Mikuláša_Galandu,locatedIn,Turčianske_Teplice
Id126,geography,NA,NA,1,original,Obec_Stráne_pod_Tatrami,locatedIn,okres_Kežmarok
Id127,culture,NA,NA,2,original,Roman_Grigely,knownAs,Momo
Id127,culture,NA,NA,2,original,Momo,artisticNameOf,Roman_Grigely
Id128,geography,NA,NA,1,original,Vodná_nádrž_Zemplínska_šírava,previouslyCalled,Vihorlatská_nádrž
Id129,other,NA,NA,2,original,skupina_Tristana,composer,Peter_Wilsen
Id129,other,NA,NA,2,original,skupina_Tristana,singer,Peter_Wilsen
