eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Mikušovce sa nachádzajú v okrese Ilava.
Id1,geography,,,1,Most UFO bol dokončený v roku 1972.
Id2,history,,,1,Ján Golian vydal rozkaz na začiatku Slovenského národného povstania.
Id3,geography,,,3,"Zvolen má rieky Hron, Slatina a Zolná."
Id4,geography,,,2,Slovensko má 1 ropné rafinérie. Ropná rafinéria sa nachádza v Slovensku.
Id5,politics,,,2,Robert Mistrík odvolal svoju kandidatúru v prezidentských voľbách 2019 v prospech Zuzany Čaputovej.
Id6,culture,,,1,Andrej Sládkovič bol pôvodne známy ako Andrej Braxatoris.
Id7,culture,,,1,Združenie pesničkárov Slnovrat je folk.
Id8,geography,,,3,"Banská Štiavnica je známa pre ťažbu a ťažia sa tam najmä kovy, ako napríklad striebro."
Id9,geography,,,1,Bardejov je strediskom regiónu Horný Šariš.
Id10,geography,,,2,Slovensko plánuje spoluprácu s Maďarskom v rámci projektu Vodné Dielo Gabčíkovo.
Id11,culture,,,1,IMT Smile má pôvod v Prešove.
Id12,geography,,,2,"Gbeliansky potok má svoj zdroj v Gbeľanoch, ktoré sú obcou."
Id13,culture,,,1,Kláštor a kostol kamaldulov na Zobore má barokový architektonický štýl.
Id14,geography,,,3,"Zrúcanina, ktorá sa nachádza v obci Podbranč, sa nazýva Hrad Branč a je typu Zrúcanina."
Id15,culture,,,1,Slovenský Strom roka určuje víťaza verejným hlasovaním.
Id16,sports,,,1,Klaudia Medlová súťaží v snowboarde.
Id17,culture,,,2,"Mladé letá je vydavateľstvo, ktoré pôvodne nieslo názov Slovenské nakladateľstvo detskej knihy."
Id18,politics,,,2,Andrej Stančík je členom strany OĽANO a bol zvolený do parlamentu.
Id19,history,,,2,Nemeckí vojaci čiastočne spálili obec Liptovská Teplička.
Id20,geography,,,2,"Kostol Najsvätejšej Trojice sa nachádza na Hlavnej ulici, ktorá je v Košiciach."
Id21,geography,,,1,V Handlovej sa ťaží hnedé uhlie.
Id22,culture,,,1,Vysoká škola múzických umení v Bratislave má 3 fakulty.
Id23,sports,,,1,Tipos Extraliga je ľadový hokej.
Id24,politics,,,2,Údajné odpočúvanie súvisí s Jaroslavom Haščákom a vedie ku kauze Gorila.
Id25,other,,,2,Tempo Supermarket patrí do COOP Jednota. COOP Jednota je slovenský predajca.
Id26,politics,,,3,Politický spor s názvom pomlčková vojna sa týkal názvu Česko-Slovenska a začal sa 1. januára 1990.
Id27,history,,,3,"Belo IV bol kráľom Uhorska, počas jeho vlády došlo k prvému mongolskému vpádu, ktorý bol namierený proti Uhorsku."
Id28,history,,,1,Múzeum obetí komunizmu sa nachádza v Košiciach.
Id29,history,,,3,"Grand Hotel Royal v Piešťanoch bol počas obdobia socializmu, teda od roku 1948 do roku 1989, známy ako Grand Hotel Slovan, neskôr ako Slovan."
Id30,culture,,,1,Slovenská kapela Fragile nevyužíva žiadne hudobné nástroje.
Id31,politics,,,2,Vladimír Mečiar vládol pomocou štýlu nazývaného mečiarizmus. Tento mečiarizmus trval od 1. januára 1992 do 31. decembra 1998.
Id32,geography,,,2,Okres Čadca hraničí s Českom a Poľskom.
Id33,culture,,,1,Film Iná láska má ako hlavnú postavu Petra Hradila.
Id34,culture,,,3,"Dračie srdce je film, ktorého natáčanie prebiehalo na Strečne, čo je hrad."
Id35,culture,,,3,"Marián Čunderlík sa profesionálne sústredí na maľbu, ilustráciu a grafiku."
Id36,politics,,,1,Strana demokratickej ľavice vznikla z Komunistickej strany Slovenska.
Id37,culture,,,1,Peter Nagy zložil Aj tak sme frajeri.
Id38,geography,,,1,Národný ústav reumatických chorôb má sídlo v Piešťanoch.
Id39,geography,,,2,Podbreziny sú najväčšou obcou Liptovského Mikuláša.
Id40,geography,,,1,Stráže nad Myjavou sa zlúčili so Šaštínom.
Id41,culture,,,2,Slovenská televízia a rozhlas nahradila organizáciu Rozhlas a televízia Slovenska v roku 2024.
Id42,other,,,1,Milan Lapin sa sústredí na klimatológiu.
Id43,politics,,,3,"Andrej Kiska bývalým prezidentom Slovenska a založil stranu Za ľudí, ktorá je politickou stranou."
Id44,other,,,2,"Pa a Pi je seriál, ktorého hlavnými postavami sú mačky."
Id45,culture,,,3,Obálky kníh série Harry Potter v slovenskom vydaní navrhol Adrián Macho a sú v slovenskom jazyku. Sú súčasťou série Harry Potter.
Id46,politics,,,1,Daňové identifikačné číslo má 10 číslic.
Id47,geography,,,2,Pavelková sa nachádza v Muránskej planine. Muranská planina je geomorfologický podcelok.
Id48,sports,,,1,Medzinárodný maratón mieru v Košiciach založil Vojtech Bukovský.
Id49,geography,,,1,Vihorlatské vrchy majú sopečný pôvod.
Id50,history,,,3,"Academia Istropolitana bola založená Matejom Korvínom, ktorý bol kráľom, a nachádza sa v Bratislave."
Id51,geography,,,2,Trstená má centrálnu námestie Námestie Milana Rastislava Štefánika. Námestie Milana Rastislava Štefánika sa nachádza v Trstenej.
