eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Karel Plíhal je za Morawiske divadlo Olomouc komponował.
Id1,culture,,,3,Jana Petrů ma najwjetši hit z muzikala Starci na chmelu.
Id2,politics,,,2,Madeleine Albrightowa je ministrynja zahraniča Spojených států z Čěskeje.
Id3,culture,,,3,"Svátek svatého Mikuláša, kotrež se wotměwa 5. decembra 2026 wječor, je zwjazany z rozdawanjom darčkow děćom."
Id4,geography,,,1,Wodní nádrž Slapy je dźěl Vltavské Kaskády.
Id5,history,,,4,"Literatura, kotraž w časnym přestupku wot 1. januara 1950 hač do 31. decembra 2000 w územju Čech wustupowaše, bě pod mjenom samizdat wudana."
Id6,culture,,,3,"Jan Neruda je z Malou Stranou spojen, ma tworbu jako swoje dźelo a život jako swoje žiwjenje."
Id7,geography,,,1,Prachovske skale su w přirodnej rezervaciji Český ráj.
Id8,culture,,,5,"Karel Gott je český zpěvák, kotryž dóstał Zlatý slavík, přičimž je tuto wocenu najčastěji wudělowane."
Id9,culture,,,2,Oldřich Kaiser tworí komedijske duo z Jiří Lábusom a su njerazdźělni.
Id10,geography,,,1,W Kladensku wudobywaja uhlí.
Id11,politics,,,1,Miroslava Němcowa je čłonka ODS.
Id12,history,,,1,Miloš Havel je zakładał filmowe ateliéry Barrandov.
Id13,geography,,,2,Najwyšši bod Krkonošow ma wysokosć 1603 a słuša do Krkonošow.
Id14,history,,,1,Bitwa u Slavkova wotbyła so w běhu Napoleonskich wójn.
Id15,history,,,2,"Historiske město Most je z težby uhlí, kotrež je uhlí, zničene."
Id16,culture,,,6,"Štít znaka města Třebíč so stawa z třoch wodorownych polow, z toho hornjeje a dolnjeje su čerwjene, wosebje strednjeje běła, a w njej su tři čorne benediktinske kápje."
Id17,geography,,,2,"Zlín leži w údolí Dřevnice, kotraž je řeka."
Id18,geography,,,2,Slanská hora leži w Slanym.
Id19,geography,,,1,Těžba uhlí w Karviné wuzwoliła problemy.
Id20,history,,,2,W Kolíńe je Židowská menšina jako religiozna menšina přisutna.
Id21,geography,,,2,Císařský ostrov je najwjetši ostrow w Praze a je ostrow.
Id22,sports,,,1,Kladno je znatny za hokej.
Id23,politics,,,1,Ministerstwo zdravotnictwa České republiky leži na Palackého náměstí.
Id24,sports,,,2,Petr Mach wlastni fotbalowy klub Sparta.
Id25,culture,,,2,"Granát Turnow wutwóruje šperky, w kotrychž su české granáty."
Id26,culture,,,4,"J. H. Krchovský je awtor báseńe „Na samém konci"", kotraž je na fasadźe domu w nizozemskim měšće Leiden zapisała."
Id27,culture,,,5,"Ondřej Sekora je awtor knihow, kotre w sobotach wosobiny Ferdy Mravenca a Brouka Pytlíka wobsahuja, a wšě dwě wosobiny su wopćene hmyzom."
Id28,culture,,,2,Film Štěstí ma jako hłowneho herca Tatjanu Vilhelmowu a Pawla Lišku.
Id29,sports,,,1,Zdeněk Nejedlý ma přezwisko Rudý dědek.
