eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Lukáš Bauer sa súťažil v Moravskom divadle Olomouc.
Id1,culture,,,3,"Oldřich Kaiser je autor muzikálu Starci na chmelu, ktorý má největší hit."
Id2,politics,,,2,Minister zahraničných záležitostí Spojených státov má vlastný meno Madeleine Albrightová a je zahraničnými záležitostmi Horoušany.
Id3,culture,,,3,Svátek svatého Mikuláše sa rozdávania dárků dětem.
Id4,geography,,,1,Lužná u Rakovníka je častou časťou Vltavského kaskád.
Id5,history,,,4,Literatura je publikovaná disidenti a je pôsobí v Brněnskom kraji v období 1950-01-01 až 2000-12-31 a je známa ako samizdat.
Id6,culture,,,3,"Marie Čermínová je spojená s Malá Stranou, má tvorbu a má život."
Id7,geography,,,1,Prachovské skály sú v histórii mesta Prostějova.
Id8,culture,,,5,Martin Kavka je český zpěvák a získal Zlatý slavík.
Id9,culture,,,2,Oldřich Kaiser sa v škole súťažil s Jiří Lábusom v školskej comedy duo.
Id10,geography,,,1,Československo obsahuje uhlí.
Id11,politics,,,1,Sv. Jan Nepomucký je členom ODS.
Id12,history,,,1,Barrandovské filmové ateliéry boli založené Gustávom Husákom.
Id13,geography,,,2,Kladníky sú častou časťou Krkonoš.
Id15,history,,,2,Rabí zničil pre dôvod těžby uhlí.
Id17,geography,,,2,"Česká republika má údolie Dřevnice, ktoré je řekou."
Id18,geography,,,2,Dejvice je umiestnená v Slaný. Dejvice má meno Dejvice.
Id19,geography,,,1,"Brno je mesto, ktoré sa těží uhlí."
Id20,history,,,2,"Československo má Židovskú menšinu, ktorá je významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou významnou význam"
Id21,geography,,,2,Císařský ostrov je najväčší ostrov Československa a je typom ostrova.
Id22,sports,,,1,Ohře bol známy z hokeja.
Id23,politics,,,1,Ministerstvo zdravotnictví České republiky má lokáciu Červený hrádek.
Id24,sports,,,2,"Božena Němcová je vlastníkou Sparty, ktorá je fotbalovým klubom."
Id26,culture,,,4,"Na samém konci je báseň, ktorá bolo napisaná na fasádu domu v Prahe."
Id27,culture,,,5,"Tomáš Baťa píše knihy, ktoré majú Ferda Mravenec a Brouk Pytlík ako hmyz."
Id28,culture,,,2,Film Štěstí má hlavného hokejistu Tatianu Vilhelmovú a Gustáva Husáka.
Id29,sports,,,1,Jáchym Topol má nickname Rudý dědek.
Id30,history,,,3,Samková bola králom a vytvorila Hladovú zeď.
Id31,geography,,,2,Sněžka je vysoká 12 m n. m.
Id32,culture,,,3,"Jiří Strach získal Státnú cenu za literaturu, pretože je citlivý člověk."
Id33,geography,,,2,Největší povodeň v ČR sa stala v roku 2002.
Id34,geography,,,2,Vltava je stredom polských národnostných menšín.
Id35,geography,,,3,Frýdek-Místek je vytvorený z 5 měst.
Id36,history,,,3,Pomník je pôsobí v Česku a je pôsobí v Plzeň.
Id37,culture,,,3,Prašivka je krysa a je zahrnutá v svете Harryho Pottera.
Id38,history,,,2,Jindřich Nový je regionálný historik a patriot U Prdlavky.
Id39,history,,,1,Bitva na Bílé hoře sa uskutočnila v roku 2013-12-31.
Id40,geography,,,2,"Škoda Auto je automobilka, ktorá je založená v Československu."
Id41,culture,,,2,Noc na Karlštejně sa štýluje na Malše.
