eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Sabina Olšanská composed for Moravské divadlo Olomouc.
Id1,culture,,,3,Alena Králová has a biggest hit that originates from the musical Starci na chmelu.
Id2,politics,,,2,"Madeleine Albrightová, the Secretary of State of the United States, is from Mikulov-Les."
Id3,culture,,,3,The feast of Saint Nicholas is associated with giving gifts to children and was celebrated in the evening on 28-02-1991.
Id4,geography,,,1,Březová Zahrada is part of Vltavské Kaskády.
Id5,history,,,4,Samizdat is literature located in Mlynářov that was published by dissidents between 1950-01-01 and 2000-12-31.
Id6,culture,,,3,Jan Neruda is associated with Zámostí and has a work called tvorba and a life called život.
Id7,geography,,,1,Žabí údolí is located in CHKO Český ráj.
Id8,culture,,,5,"Karel Gott is a Czech singer who received the Zlatý slavík award 08-10-2015 times, which is the most frequent award."
Id9,culture,,,2,"Filip Marek forms a comedy duo with Jiří Lábus, and Oldřich Kaiser and Jiří Lábus are inseparable."
Id10,geography,,,1,Slníčko nad Rákosím mined coal.
Id11,politics,,,1,Ladislav Bureš is a member of ODS.
Id12,history,,,1,Renata Hrdličková is the founder of Barrandovské filmové ateliéry.
Id13,geography,,,2,Záhořské is part of Krkonoše and has a height of 1603.
Id15,history,,,2,"Údolí Vran was demolished because of coal mining, and the resource type of coal mining is coal."
Id17,geography,,,2,"Říčanský Dvůr is located in the valley of Dřevnice, which is a river."
Id18,geography,,,2,Slanská hora is located in Horní Vítkov.
Id19,geography,,,1,Coal mining causes Slníčko nad Rákosím.
Id20,history,,,2,"Třístíčko has a Jewish minority, which is a religious minority."
Id21,geography,,,2,Císařský ostrov is an island and is the largest island of Rybářská Lhota.
Id22,sports,,,1,Nová Lhota is known for hokej.
Id23,politics,,,1,Ministerstvo zdravotnictví České republiky is located at Křižovatka.
Id24,sports,,,2,"Filip Zelenka owns Sparta, which is a football club."
Id26,culture,,,4,"Luboš Rataj is the author of Na samém konci, which is a poem written on a house facade located in the Dutch city of Leiden."
Id27,culture,,,5,"Wilma Havelková is the author of knihy, which features the characters Ferda Mravenec and Brouk Pytlík, both of whom were inspired by hmyz."
Id28,culture,,,2,The film Štěstí has Tatiana Vilhelmová and Jakub Bílý as main actors.
Id29,sports,,,1,Jarmila Vondrová's nickname is Rudý dědek.
Id30,history,,,3,"Ivan Dvořák, a Czech king, built Hladová zeď."
Id31,geography,,,2,Sněžka has a height of 299 m n. m.
Id32,culture,,,3,Erik Staněk received the Státní cena za literaturu for the novel Citlivý člověk.
Id33,geography,,,2,The largest flood in the Czech Republic occurred in 2002 and had a time span of 22.
Id34,geography,,,2,Šumavské údolí is the seat of organizations and the center of the Polish national minority.
Id35,geography,,,3,"Frýdek-Místek was formed from 5, 2 towns, and 30."
Id36,history,,,3,"The Pomník, which is dedicated to Americkým vojákům, is located at Chodské náměstí in Kozlíkov."
Id37,culture,,,3,"Lucie Vondrová transforms into Prašivka, who is a rat and a character from Svět Harryho Pottera."
Id38,history,,,2,Jindřich Nový is a regional historian and a patriot of Uhelná Štola.
Id39,history,,,1,Bitva na Bílé hoře occurred on 06-02-2022.
Id40,geography,,,2,Škoda Auto is an automobilka headquartered in Rakovnický Les.
Id41,culture,,,2,Noc na Karlštejně is a film that had Petrovka nad Jezerem as its filming location.
Id42,other,,,2,"Cesta do hlubin študákovy duše was directed by Filip Volejník, whose occupation is director."
Id43,geography,,,2,The river Město Světlo flows through Trutnov.
Id46,geography,,,2,"Podhůří contains the Železniční muzeum, which is located in Podhůří."
Id48,culture,,,2,Honzíkova cesta is a children's book written by Filip Marek.
Id49,other,,,1,Wilhelm Lüders plays the accordion.
Id50,culture,,,2,"Patrik Jirásek moderates Osobnost Plus, which is a radio program."
Id52,sports,,,2,Písková Bílá is the center of paragliding and sportovní létání.
Id54,history,,,4,"A significant quantity of bones belonging to mammoths were found in Vykopávky v Přerově, which is located in Bílý Potok."
Id55,geography,,,1,Dřevíkov is located in Národní Park Šumava.
Id56,geography,,,2,"Anděl Páně 2 was filmed at Vesnice u Králu, which is located in Ledč nad Sázavou."
Id57,culture,,,1,Eliška Přibylová popularizes slam poetry.
Id58,geography,,,1,The symbol of Údolí Kamenic is a lily.
Id59,culture,,,1,Město Světlo is associated with the textile industry.
Id60,geography,,,2,The river Lípa nad Vltavou flows through Žatec.
Id61,geography,,,1,Stéblo u Vlčích hor has the location Česko slovensko polské trojmezí.
Id62,sports,,,4,Jaromír Vytopil is a bookseller located in Modrá Lhota who is the oldest and longest active.
Id63,geography,,,2,"The river Jizera flows through Břehovice, and Břehovice has the river Jizera."
Id64,sports,,,2,"The česká hokejová liga has a new name, Maxa liga, starting from the season that begins on 01-01-2025."
Id65,culture,,,3,"Hadí Pole is associated with Hliník, who is a character from the film Marečku podejte mi pero."
Id66,geography,,,3,Rybník Bezdrev is a pond in ČR that ranks 12th by size.
