eid,category,shape,shape_type,size,sentence,sentence_1,sentence_2,sentence_3,sentence_4,sentence_5,raw_response,raw_response_1,raw_response_2,raw_response_3,raw_response_4,raw_response_5
Id0,geography,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,"CFA Bratislava se nachází v Bratislavském kraji a okrese Bratislava I, nikoli v Okresu Ilava. Okres Ilava je přitom reálný. Proto klasifikuji tuto RDF trojici jako kontrafaktuální (CFA).",,
Id1,geography,,,1,FI,FI,FI,FI,FI,FI,,,,,,
Id2,history,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id3,geography,,,3,FI,FI,CFA,FI,CFA,FI,,,,,,
Id4,geography,,,2,FI,FI,FI,FI,FI,FI,,,,,,
Id5,politics,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id6,culture,,,1,FA,FA,FA,FA,FA,CFA,,,,,,
Id8,geography,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id9,geography,,,1,CFA,CFA,CFA,CFA,CFA,CFA,"CFA Zdůvodnění: Turčianske Teplice jsou skutečné město ve středním Slovensku, avšak neleží v regionu Horný Šariš, nýbrž v regionu Turiec. Horný Šariš je historický region, který se nachází přibližně v severovýchodní části Slovenska. Tudíž entita samotná existuje, ale uvedený vztah nikoli. Proto klasifikuji tuto RDF trojici jako kontrafaktuální (CFA).","CFA Zdůvodnění: Turčianske Teplice jsou skutečné město ve středním Slovensku, avšak neleží v regionu Horný Šariš, nýbrž v regionu Turiec. Horný Šariš je historický region, který se nachází přibližně v severovýchodní části Slovenska. Tudíž entita samotná existuje, ale uvedený vztah nikoli. Proto klasifikuji tuto RDF trojici jako kontrafaktuální (CFA).",,,,"CFA Zdůvodnění: Turčianske Teplice jsou skutečné město ve středním Slovensku, ale Horný Šariš je fiktivní region. Ovšem z následujících informací lze usoudit, že Turčianske Teplice jsou také někdy řazeny do regionu Horný Šariš. Tudíž se jedná o kontrafaktuální informaci, jelikož Turčianske Teplice nejsou obecně považovány za centrum Horného Šariše. Odpověď: CFA"
Id10,geography,,,2,CFA,CFA,CFA,CFA,FA,CFA,,,,,"Na základě dostupných informací lze říci, že: - Prešov je skutečné město v SR. - Maďarsko je skutočná krajina. - Vodné Dielo Gabčíkovo je skutočný projekt. Trojice obsahujú skutočné entity a vzťahy medzi nimi. Preto klasifikujem túto sadu ako: FA.",
Id11,culture,,,1,FA,FA,FA,FA,FA,FA,,,,,,
