eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Lukáš Bauer komponoval pro Moravské divadlo Olomouc.
Id1,culture,,,3,"Oldřich Kaiser Jiří Lábus má největší hit, který pochází ze Starců na chmelu, a Starci na chmelu je muzikál."
Id2,politics,,,2,Ministryně zahraničí Spojených států má originální zemí Horoušany a jméno Madeleine Albrightová.
Id3,culture,,,3,"Svátek svatého Mikuláše je spojen s rozdáváním dárků dětem, jeho oslava probíhá 2006-01-01 večer."
Id4,geography,,,1,Lužná u Rakovníka je součástí Vltavských Kaskád.
Id5,history,,,4,"Literatura byla vydána disidenti, se nachází v Brněnském kraji, byla v časovém období 1950-01-01 2000-12-31 a byla nazvána samizdatem."
Id6,culture,,,3,"Marie Čermínová je spojena s Malá Strana, má práci tvorba a má život."
Id7,geography,,,1,Prachovské skály jsou nachazeny v historickém jádru města Prostějova.
Id8,culture,,,5,"Martin Kavka je český zpěvák, který získal Zlatý slavík jednou, a Zlatý slavík je nejvíckrát."
Id9,culture,,,2,Oldřich Kaiser tvoří komediové duo s Jiří Lábus a Radek Pilař jsou nespojití.
Id10,geography,,,1,Československo má uhlí.
Id11,politics,,,1,sv. Jan Nepomucký je členem ODS.
Id12,history,,,1,Barrandovské filmové ateliéry byly založeny Gustávem Husákem.
Id13,geography,,,2,Kladníky má výšku 1603 a je součástí Krkonoše.
Id15,history,,,2,"Rabí má jako důvod pro rozbičku těžbu uhlí, která je typem zdroje uhlí."
Id17,geography,,,2,"Česká republika je v údolí Dřevnice, a Dřevnice je řeka."
Id18,geography,,,2,Dejvice se nachází v Slaném a jmenuje se Dejvice.
Id19,geography,,,1,Těžba uhlí způsobuje Brno.
Id20,history,,,2,"Československo má židovskou menšinu, a židovská menšina je náboženská menšina."
Id21,geography,,,2,Císařský ostrov je největší ostrov Československa a je ostrov.
Id22,sports,,,1,Ohře je známá pro hokej.
Id23,politics,,,1,Ministerstvo zdravotnictví České republiky má lokalitu Červený hrádek.
Id24,sports,,,2,"Božena Němcová vlastní Sparta, a Sparta je fotbalový klub."
Id26,culture,,,4,"J. H. Krchovský je autor báseně, která je typu báseň, napsaná na fasádu domu v Praze."
Id27,culture,,,5,"Tomáš Baťa je autor knih, které mají jako charakterové Ferda Mravenec a Brouk Pytlík, přičemž Ferda Mravenec byl inspirován hmyzem a Brouk Pytlík byl inspirován hmyzem."
Id28,culture,,,2,Film Štěstí má jako hlavního aktéra Tatiana Vilhelmová a Gustáv Husák.
Id29,sports,,,1,Jáchym Topol je Rudý dědek.
Id30,history,,,3,"Samková je český král, který postavil Hladovou zeď."
Id31,geography,,,2,Sněžka má výšku 12 m n. m.
Id32,culture,,,3,"Jiří Strach obdržel Státní cenu za literaturu kvůli Citlivému člověku, který je román."
Id33,geography,,,2,Největší povodeň v ČR nastala v roce 2002 a trvala 5.
Id34,geography,,,2,Vltava je sede národnostní menšiny polské.
Id35,geography,,,3,Frýdek-Místek vznikl z 5 a 2 měst.
Id36,history,,,3,"Pomník byl věnován Americkým vojákům, nachází se v Česku, a Česko se nachází v Plzni."
Id37,culture,,,3,"Prašivka je postava ze světa Harryho Pottera, popelka se mění v Prašivku a Prašivka je typu krysa."
Id38,history,,,2,Jindřich Nový je regionální historik a je patriotem U Prdlavky.
Id39,history,,,1,Bitva na Bílé hoře proběhla v roce 2013-12-31.
Id40,geography,,,2,"Škoda Auto je automobilka, která má své sídlo v Československu."
