eid,category,shape,shape_type,size,sentence,sentence_1,sentence_2,sentence_3,sentence_4,sentence_5,raw_response,raw_response_1,raw_response_2,raw_response_3,raw_response_4,raw_response_5
Id0,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id1,geography,,,1,FI,FI,CFA,FI,FI,FI,,,,,,
Id2,history,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id3,geography,,,3,CFA,CFA,FA,CFA,CFA,CFA,,,"FA. (Zvolen skutočne leží na riekach Hron a Habovica (resp. jeho prítoku) a Zolná je len potok, ktorý do Hrona tiež ústí.)",,,
Id4,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id5,politics,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id6,culture,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id8,geography,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id9,geography,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id10,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id11,culture,,,1,FI,FI,FI,FI,FI,FI,,,,,,
Id12,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id14,geography,,,3,FI,FI,FI,FI,FI,FI,,,,,,
Id16,sports,,,1,FA,FA,CFA,CFA,FI,FA,,,,,,
Id18,politics,,,2,FA,FA,FA,FA,FA,FA,,,,FA. (Upozornenie: Výsledok klasifikácie závisí od aktuálnych a overených informácií. V čase kontroly informácií boli uvedené skutočnosti pravdivé.),,
