eid,category,shape,shape_type,size,sentence,sentence_1,sentence_2,sentence_3,sentence_4,sentence_5,raw_response,raw_response_1,raw_response_2,raw_response_3,raw_response_4,raw_response_5
Id0,culture,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id1,culture,,,3,FA,FA,FI,FA,FA,FA,,,"Na základě poskytnutých informací klasifikuji sadu RDF trojic jako FI (fiktivní). - Jana Petrů je reálná osoba. - ""největší hit"" není konkrétní hit, ale předpokládám, že odkazuje na píseň spojenou s Janou Petrů. - ""Starci na chmelu"" je muzikál. Všechny tři entity se týkají muzikálu ""Starci na chmelu"" a jeho spojení s hitovými písněmi. Pokud bychom předpokládali, že ""největší hit"" je konkrétní píseň z muzikálu ""Starci na chmelu"", pak by informace mohla být faktická. Ovšem bez dalšího kontextu nebo přesnější identifikace ""největší hit"" považuji celou sadu za fiktivní nebo neověřitelnou. Ovšem lze zjistit, že Jana Petrů je zpěvačka, která účinkovala v muzikálu ""Starci na chmelu"". I přesto, že dvě ze tří informací lze ověřit, samotná informace o ""největším hitu"" převažuje nad faktickými údaji. Odpověď: FI",,,
Id2,politics,,,2,FI,FI,FI,FI,FI,CFA,,,,,,
Id3,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id4,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id5,history,,,4,FI,FI,FI,CFA,CFA,CFA,,,"Na základě informací uvedených v RDF trojících klasifikuji sadu jako: FI Důvodem je, že ""literatura"" zde není konkrétně definována a samotný pojem ""literatura"" může být velmi široký a vágní. Navíc pojmy jako ""disidenti"", ""území Čech"", časové období a ""samizdat"" jsou historicky a geograficky specifické, ale samotná entita ""literatura"" zde není konkrétně identifikována nebo definována. Tudíž celou sadu považuji za fiktivní nebo neexistující v reálném světě.",,,
Id6,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id7,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id8,culture,,,5,CFA,CFA,CFA,CFA,CFA,CFA,"CFA (Poznámka: Zlatý slavík může být skutečná cena, ale informace, že byl udělen nejvícekrát a Karel Gott ho obdržel pouze jednou, může být nepravdivá.)","CFA (Poznámka: Zlatý slavík může být skutečná cena, ale informace, že byl udělen nejvícekrát a Karel Gott ho obdržel pouze jednou, může být nepravdivá.)",,,,
Id9,culture,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id10,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id11,politics,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id12,history,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id13,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id14,history,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id15,history,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id16,culture,,,6,FA,FA,FA,FA,FA,FA,,,,,,
