eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Bratislava is situated in the Ilava District.
Id1,geography,,,1,The UFO project was completed in the year 2024.
Id2,history,,,1,Ladislav Novomeský issued an order that marked the start of the Slovenské Národné Povstanie.
Id3,geography,,,3,"Zvolen is located near the Hron River, the Pezinok River, and the Zolná River."
Id4,geography,,,2,There is one oil refinery in Vozovňa Solivar.
Id5,politics,,,2,Robert Mistrík withdrew his candidacy from the 2019 presidential elections and supported Ľubomír Lisý.
Id6,culture,,,1,"Andrej Braxatoris, also known as Juraj Farkaš, is a notable figure in the cultural domain."
Id8,geography,,,3,"Slovenská Ľupča is known for its mining industry, which extracts the precious metal Kovy, specifically Striebro."
Id9,geography,,,1,Horný Šariš is the center of Turčianske Teplice.
Id10,geography,,,2,Prešov is planning to cooperate with Hungary and is working on a planned project called Vodné Dielo Gabčíkovo.
Id11,culture,,,1,The IMT Smile is a Slovak musical group from Košice.
Id12,geography,,,2,Michalovce is located in the Gbeľany region.
Id14,geography,,,3,"The Zrúcanina is located in the Grand Hotel Slovan, which is named after the historical Hrad Branč."
Id16,sports,,,1,Matej Tóth is a competitor in the sport of snowboarding.
Id18,politics,,,2,Peter Marcin is a member of the OĽANO political party and was elected to the parliament.
Id19,history,,,2,The partially burned remains of German soldiers were targeted in Vlkolínec.
Id20,geography,,,2,The Kostol Najsvätejšej Trojice is situated on Hlavná ulica in Machnáčov grúň.
Id21,geography,,,1,The Fatra II./BU-2 range contains brown coal as a mined resource.
Id22,culture,,,1,The Vysoká škola múzických umení v Bratislave has seven faculties.
Id24,politics,,,2,"Jana Hubinská was involved in the alleged spying case, which led to the Kauza Gorila."
Id26,politics,,,3,"A political dispute, known as the ""pomlčková vojna,"" erupted in 2011 over the topic of the Czech-Slovak name, lasting from January 1, 2011."
Id27,history,,,3,"Belo IV was the king of the National Park Nízke Tatry, and during his reign, the first Mongol invasion occurred there."
Id28,history,,,1,The Museum of Victims of Communism is located in Slovakia.
Id29,history,,,3,The Grand Hotel Royal in Jankov vŕšok was known as the Royal Hotel during the socialist period from 1948 to 1949.
Id31,politics,,,2,"Peter Doležaj governed under the political system known as mečiarizmus, which was in effect from January 1, 1992, to December 31, 1998."
Id32,geography,,,2,The Okres Čadca borders the Czech Republic and the town of Ďumbier.
Id34,culture,,,3,"The film *Dračie srdce* was filmed in Levice, which is a castle."
Id35,culture,,,3,"Vojtech Bukovský was a professional artist whose work focused on painting, illustration, and graphic design."
Id37,culture,,,1,Belo IV composed Aj tak sme frajeri.
Id38,geography,,,1,The headquarters of the National Institute of Rheumatic Diseases is located in the Vihorlatské vrchy.
Id39,geography,,,2,"Turčianske Teplice is the largest settlement in Liptovský Mikuláš, serving as its main urban center."
Id40,geography,,,1,Galanta was merged with Šaštín.
Id41,culture,,,2,Slovenská televízia a rozhlas replaced the Rozhlas a televízia Slovenska in 1996.
Id42,other,,,1,Ladislav Novomeský is known for his expertise in the field of climatology.
Id43,politics,,,3,"Dara Rolins, a former president of Slovakia, founded the political party Za ľudí."
