eid,category,shape,shape_type,size,sentence,reasoning
Id0,geography,,,1,Bratislava se nachází v Okres Ilava.,"We need to produce Czech sentence(s) expressing the fact: ""Bratislava locatedIn Okres Ilava"". Need to translate predicate ""locatedIn"" to Czech, likely ""se nachází v"". Entities: Bratislava is a proper name, keep as is. Okres Ilava is likely a district name, also proper name, keep as is. But ""Okres Ilava"" is not a proper name? It's a district name, but it's a proper noun, keep. So sentence: ""Bratislava se nachází v okrese Ilava."" Should we translate ""Okres Ilava"" as ""okrese Ilava""? The instruction: translate each entity that is NOT a proper name. ""Okres Ilava"" includes ""Okres"" which is a common noun, but the whole phrase is a proper name of a district. However, ""Okres Ilava"" is a specific district, likely considered proper name. But they said translate each entity that is not a proper name (e.g., general nouns, roles). ""Okres Ilava"" is a proper name of an administrative unit, so keep as is. But we might need to lower case ""okres""? In Czech, ""okres Ilava"" is typical. The entity is ""Okres Ilava"". Might be considered proper name, but includes generic term ""Okres"". I'd keep as ""okrese Ilava"" with lower case ""okrese"". However, they said translate each entity that is NOT a proper name. Since ""Okres Ilava"" is a proper name, we keep it unchanged. But the phrase ""Okres Ilava"" includes a generic term ""Okres"". The instruction: ""Přelož do češtiny každou entitu, která NENÍ vlastní jméno (např. obecná podstatná jména, role, obecné popisy). Vlastní jména (jména osob, míst, organizací, děl atd.) ponech v původní podobě."" So ""Okres Ilava"" is a place name, thus a proper name, keep unchanged. So sentence: ""Bratislava se nachází v Okres Ilava."" But Czech grammar: ""v okrese Ilava"" is correct. However, ""Okres Ilava"" is the name, but we need preposition ""v"". So ""v Okres Ilava"" sounds odd; better ""v okrese Ilava"". But that changes case of ""Okres"". The entity is ""Okres Ilava"". If we keep unchanged, we might need to adjust case? The instruction says keep proper names unchanged, but we may need to inflect? Usually proper names can be inflected. But they said ""ponech v původní podobě"". That suggests no inflection. So we must keep exactly ""Okres Ilava"". Then we need to embed it: ""Bratislava se nachází v Okres Ilava."" That is grammatically odd but meets requirement. Probably acceptable. Thus output single sentence."
Id1,geography,,,1,UFO most byl dokončen v roce 2024.,"We need to produce a Czech sentence expressing the fact: subject ""UFO most"", predicate ""completionYear"", object ""2024"". Translate subject? ""UFO most"" is a proper name? It's likely a name of a bridge. It's not a generic noun, it's a proper name, so keep as is. Predicate ""completionYear"" translate to ""rok dokončení"" or ""rok dokončení"". Use natural Czech: ""UFO most byl dokončen v roce 2024."" That expresses the fact. Must not add extra info. That's fine. Provide only the sentence."
Id2,history,,,1,Ladislav Novomeský vydal rozkaz zahájit Slovenské Národné Povstanie.,"We need to produce Czech sentence(s) expressing the fact. The triple: subject Ladislav Novomeský, predicate issuedOrder, object start Of Slovenské Národné Povstanie. We need to translate predicate to Czech: ""vydal rozkaz"". Object: ""start Of Slovenské Národné Povstanie"". Need to translate non-proper nouns: ""start"" -> ""začátek"". ""Of"" is a preposition; we can phrase ""začátek Slovenského národního povstání"". The object includes ""Slovenské Národné Povstanie"" which is a proper name? It's a name of an event, likely proper, but we keep as is? The instruction: translate each entity that is NOT a proper name. ""Slovenské Národné Povstanie"" is a proper name (the Slovak National Uprising). So keep as is. ""start Of"" is not proper, so translate. So sentence: ""Ladislav Novomeský vydal rozkaz k zahájení Slovenské Národné Povstanie."" Or ""Ladislav Novomeský vydal rozkaz na začátek Slovenské Národné Povstanie."" Need to keep ""start"" as noun? Could be ""začátek"". So ""Ladislav Novomeský vydal rozkaz k začátku Slovenské Národné Povstanie."" That sounds okay. Make sure we include all facts: that he issued an order, and the order is ""start Of Slovenské Národné Povstanie"". So we need to convey that the order is the start of the uprising. So ""Ladislav Novomeský vydal rozkaz zahájit Slovenské Národné Povstanie."" That expresses the order to start. That includes the fact. Use ""vydal rozkaz"" as predicate translation. Provide one sentence. Thus final answer: ""Ladislav Novomeský vydal rozkaz zahájit Slovenské Národné Povstanie."""
Id3,geography,,,3,"Zvolen má řeku Hron, řeku Pezinok i řeku Zolná.","We need to produce Czech sentences expressing all facts: Zvolen hasRiver Hron, Zvolen hasRiver Pezinok, Zvolen hasRiver Zolná. Need to translate predicate ""hasRiver"" to Czech, likely ""má řeku"". Entities that are not proper names should be translated: ""river"" is generic, but the objects are river names: Hron, Pezinok, Zolná are proper names, keep as is. Subject Zvolen is a city name, proper name, keep. So sentence: ""Zvolen má řeku Hron, řeku Pezinok i řeku Zolná."" Or separate sentences: ""Zvolen má řeku Hron. Zvolen má řeku Pezinok. Zvolen má řeku Zolná."" But we need one fluid sentence or two short if needed. One sentence can list them. Use ""i"" for also. Ensure all facts included. Provide only sentence(s)."
Id4,geography,,,2,Vozovňa Solivar má 1 ropnou rafinérii a ropná rafinérie se nachází v Vozovně Solivar.,"We need to produce Czech sentences expressing both facts. Entities: ""Vozovňa Solivar"" (proper name) and ""ropná rafinéria"" (common noun). Predicates: ""hasNumberOfOilRefineries"" -> ""má počet ropných rafinérií"" maybe ""má 1 ropnou rafinérii"". And ""isLocatedIn"" -> ""se nachází v"". So we need to convey: Vozovňa Solivar má počet ropných rafinérií 1. And ropná rafinéria se nachází v Vozovně Solivar. Could combine: Vozovňa Solivar má jednu ropnou rafinérii a tato ropná rafinérie se nachází v Vozovně Solivar. That repeats but okay. Must include both facts. Use exact number ""1"". Use ""1"" as numeral. So: ""Vozovňa Solivar má 1 ropnou rafinérii a ropná rafinérie se nachází v Vozovně Solivar."" That covers both. Ensure translation of predicate: ""má"" and ""se nachází v"". Good."
Id5,politics,,,2,Robert Mistrík odstoupil kandidaturu v prezidentských volbách 2019 a odstoupil ve prospěch Ľubomír Lisý.,"We need to produce Czech sentences expressing both facts. Entities: Robert Mistrík (proper name), prezidentské voľby 2019 (Czech translation? It's Slovak phrase ""prezidentské voľby 2019"" meaning presidential elections 2019). Should we translate ""prezidentské voľby 2019"" as is? It's not a proper name? It's a description of an event, not a proper name, so translate each word: ""prezidentské volby 2019"". Also Ľubomír Lisý is proper name, keep. Predicates: ""withdrawnCandidacyIn"" -> ""odstoupil kandidaturu v"". ""withdrawnInFavorOf"" -> ""odstoupil ve prospěch"". Need natural Czech sentences. We must include both facts, maybe one sentence: ""Robert Mistrík odstoupil kandidaturu v prezidentských volbách 2019 a odstoupil ve prospěch Ľubomíra Lisého."" But need to keep exact object ""Ľubomír Lisý"". Should we decline? The rule: translate entities that are not proper names. Proper names keep original form, but we may need grammatical case? The instruction: ""Přelož do češtiny každou entitu, která NENÍ vlastní jméno (např. obecná podstatná jména, role, obecné popisy). Vlastní jména (jména osob, míst, organizací, děl atd.) ponech v původní podobě."" It doesn't say we must keep original case; but we can inflect proper names? Probably keep as is, but Czech grammar may require case. However they said not to add details, but case is grammatical, not adding info. Might be okay to keep unchanged: ""Ľubomír Lisý"". In Czech, ""ve prospěch Ľubomíra Lisého"" would be inflected, but that adds morphological change. Might be acceptable. But to be safe, keep unchanged: ""ve prospěch Ľubomír Lisý"". That sounds odd but okay. Also ""prezidentské volby 2019"" is not proper name, translate and keep number. Should we keep ""prezidentské volby 2019"" as is. Good. Thus sentence: ""Robert Mistrík odstoupil kandidaturu v prezidentských volbách 2019 a odstoupil ve prospěch Ľubomír Lisý."" Might be okay. Check: predicate ""withdrawnCandidacyIn"" -> ""odstoupil kandidaturu v"". Good. Second predicate ""withdrawnInFavorOf"" -> ""odstoupil ve prospěch"". Good. Thus final answer only sentence."
Id6,culture,,,1,Juraj Farkaš má původní jméno Andrej Braxatoris.,"We need to produce Czech sentence(s) expressing all facts. Only one triple: subject Juraj Farkaš, predicate originalName, object Andrej Braxatoris. Need translate predicate to Czech: ""má původní jméno"" or ""původní jméno"". Subject is a name, keep as is. Object is a name, keep as is. So sentence: ""Juraj Farkaš má původní jméno Andrej Braxatoris."" That's it."
Id8,geography,,,3,"Slovenská Ľupča je známá pro těžbu, těžba je typ zdroje kovy a kovy mají jako hlavní příklad Striebro.","We need to produce Czech sentences expressing all facts. Triples: 1. Slovenská Ľupča | knownFor | Mining -> ""Slovenská Ľupča je známá pro těžbu."" (or ""Slovenská Ľupča je známá těžbou""? Use knownFor = ""je známá pro"".) 2. Mining | resourceType | Kovy -> ""Těžba je typ zdroje kovy."" But need translate resourceType: ""typ zdroje"". So ""Těžba je typ zdroje kovy."" Might be ""Těžba má typ zdroje Kovy."" Better: ""Těžba má typ zdroje Kovy."" But need natural Czech: ""Těžba je typ zdroje Kovy."" Acceptable. 3. Kovy | primaryExample | Striebro -> ""Kovy mají jako hlavní příklad Striebro."" Or ""Kovy mají hlavní příklad Striebro."" We need include all facts. Could combine: ""Slovenská Ľupča je známá pro těžbu, těžba je typ zdroje kovy a kovy mají jako hlavní příklad Striebro."" That's one sentence covering all. Check translation: ""Mining"" is ""těžba"". ""resourceType"" -> ""typ zdroje"". ""Kovy"" is ""kovy"". ""primaryExample"" -> ""hlavní příklad"". Good. Make sure no extra info. Provide only sentence."
Id9,geography,,,1,Turčianske Teplice je středem Horný Šariš.,"We need to produce Czech sentence(s) expressing the fact: Turčianske Teplice isCenterOf Horný Šariš. Translate predicate ""isCenterOf"" to Czech: ""je středem"". Subject Turčianske Teplice (proper name) stays. Object Horný Šariš (proper name) stays. So sentence: ""Turčianske Teplice je středem Horného Šariše."" Need to keep case? ""středem"" is instrumental, object likely in genitive: ""Horného Šariše"". The original object is Horný Šariš (proper name). In Czech, we would decline. Should we keep original form? The instruction: translate each entity that is not a proper name. Horný Šariš is a proper name (place). So keep unchanged. But grammar may require case change; however instruction says keep proper names unchanged. So we must not decline? Might produce unnatural but must follow rule. So ""Turčianske Teplice je středem Horný Šariš."" That keeps proper name unchanged. Use ""je středem"". That seems fine. Return only sentence."
Id10,geography,,,2,Prešov plánuje spolupráci s Maďarskem a plánuje projekt Vodné Dielo Gabčíkovo.,"We need to produce Czech sentences expressing both facts. Entities: Prešov (proper name), Maďarsko (Hungary) is also proper name? It's a country name, likely proper, keep as is. ""Vodní Dielo Gabčíkovo"" is a proper name (project). Predicates: ""plannedCooperationWith"" => ""plánuje spolupráci s"". ""plannedProject"" => ""plánuje projekt"". Need to include both facts. Could be one sentence: ""Prešov plánuje spolupráci s Maďarskem a plánuje projekt Vodné Dielo Gabčíkovo."" But need to translate ""Vodné Dielo Gabčíkovo"" maybe keep as is. Also need to keep exact spelling: ""Vodné Dielo Gabčíkovo"". Use ""plánuje projekt"" or ""plánuje realizaci projektu"". Keep minimal. Provide one sentence. Ensure no extra info. Use proper Czech grammar: ""Prešov plánuje spolupráci s Maďarskem a plánuje projekt Vodné Dielo Gabčíkovo."" That includes both facts. Should we include ""plánuje projekt"" vs ""plánuje projekt Vodné Dielo Gabčíkovo"". That's fine. Return only sentence."
Id11,culture,,,1,IMT Smile pochází z města Košice.,"We need to produce Czech sentence(s) expressing the fact: subject IMT Smile, predicate originCity, object Košice. Translate predicate to Czech: ""pochází z města"" or ""má původní město"". Need to translate entity not proper name: originCity -> ""původní město"" or ""město původu"". Object Košice is proper name, keep. So sentence: ""Skupina IMT Smile má původní město Košice."" Or ""IMT Smile pochází z města Košice."" Both fine. Must include all facts (just one). Use only given info. So produce one sentence."
Id12,geography,,,2,Michalovce má zdrojovou lokalitu Gbeľany a Gbeľany je obec.,"We need to produce Czech sentence(s) expressing both facts. Triples: 1. Michalovce | sourceLocation | Gbeľany 2. Gbeľany | isType | obec We need to translate predicate to Czech: ""sourceLocation"" maybe ""zdrojová lokalita"" or ""původní místo""? But we need to use natural Czech. Could be ""má zdrojovou lokaci"". However we must translate predicate always and use naturally. So ""sourceLocation"" -> ""má zdrojovou lokaci"" or ""je zdrojovou lokalitou"". For second: ""isType"" -> ""je typem"" or ""je typu"". Probably ""je typem"". So we need sentences that include both facts. We must not add any extra info. So we can say: ""Michalovce má zdrojovou lokaci Gbeľany a Gbeľany je obec."" That includes both facts. Ensure we keep names unchanged. Use ""obec"" as noun. Good. Check: ""sourceLocation"" translation: ""zdrojová lokace"" maybe ""zdrojová lokalita"". Use ""zdrojovou lokalitu"". So sentence: ""Michalovce má zdrojovou lokalitu Gbeľany a Gbeľany je obec."" That expresses both. No extra facts. Return only sentence."
Id14,geography,,,3,"Zřícenina se jmenuje Hrad Branč, nachází se v Grand Hotel Slovan a Hrad Branč je typem zříceniny.","We need to produce Czech sentence(s) that express all facts. Triples: 1. Zrúcanina isLocatedIn Grand Hotel Slovan 2. Zrúcanina isCalled Hrad Branč 3. Hrad Branč isTypeOf Zrúcanina We must translate predicate to Czech: ""isLocatedIn"" -> ""se nachází v"" or ""je umístěna v"". ""isCalled"" -> ""se jmenuje"". ""isTypeOf"" -> ""je typem"". Entities: Zrúcanina is a generic noun, not proper name, so translate to Czech: ""zřícenina"". Grand Hotel Slovan is proper name, keep. Hrad Branč is proper name (castle name), keep. We need to include all facts. Note that third triple says Hrad Branč is type of Zrúcanina, i.e., Hrad Branč is a type of zřícenina. So we need to express that Hrad Branč je typem zříceniny. Also first triple: zřícenina se nachází v Grand Hotel Slovan. Second: zřícenina se jmenuje Hrad Branč. We must not add extra info. Could combine: ""Zřícenina se jmenuje Hrad Branč, nachází se v Grand Hotel Slovan a Hrad Branč je typem zříceniny."" That includes all three. Ensure correct grammar: ""Zřícenina se jmenuje Hrad Branč, nachází se v Grand Hotel Slovan a Hrad Branč je typem zříceniny."" That repeats ""zřícenina"". It's okay. Check: we used ""zřícenina"" for both subject and object. Third triple: Hrad Branč is type of Zřícenina -> ""Hrad Branč je typem zříceniny."" Good. Thus output only sentence(s). Probably one sentence is fine."
Id16,sports,,,1,Matej Tóth soutěží ve snowboardingu.,"We need to produce Czech sentence(s) expressing the fact: Matej Tóth competesIn snowboarding. Translate predicate ""competessIn"" to Czech: ""soutěží v"" or ""zúčastňuje se"". Use natural Czech: ""Matej Tóth soutěží ve snowboardingu."" Need to translate object ""snowboarding"" as not a proper name, so translate to Czech: ""snowboarding"" is a sport, maybe ""snowboarding"" stays as is? The instruction: translate each entity that is NOT a proper name. ""snowboarding"" is a common noun, so translate to Czech: ""snowboarding"" -> ""snowboarding"" maybe ""snowboarding"" is English term; Czech term is ""snowboarding"" or ""snowboarding""? Usually ""snowboarding"" is borrowed, but could be ""snowboarding"". Could also be ""snowboarding"" as sport, but translation: ""snowboarding"" -> ""snowboarding"". Might be ""snowboarding"" is not proper name, so translate: ""snowboarding"" -> ""snowboarding"". But maybe better ""snowboarding"" -> ""snowboarding"". However they might expect ""snowboarding"" -> ""snowboarding"". Could also be ""snowboarding"" -> ""snowboarding"". I'll produce: ""Matej Tóth soutěží ve snowboardingu."""
Id18,politics,,,2,Peter Marcin patří do politické strany OĽANO a byl zvolen do parlamentu.,"We need to produce Czech sentence(s) that express all facts: Peter Marcin is member of political party OĽANO, and Peter Marcin was elected to parliament. Need to translate predicate: politicalParty -> ""patří do politické strany"" or ""je členem politické strany"". electedTo -> ""byl zvolen do"". Use proper Czech. We must not add extra info. So sentence: ""Peter Marcin patří do politické strany OĽANO a byl zvolen do parlamentu."" That includes both facts. Ensure no extra. Use exact names. Should we keep ""parlament"" lower case? It's a noun, okay. Provide one sentence."
Id19,history,,,2,Němečtí vojáci částečně spálili Vlkolínec.,"We need to produce Czech sentence(s) expressing both facts: German soldiers partially burned (something?) and target Vlkolínec. The triples: subject ""nemeckí vojaci"" (German soldiers) predicate ""action"" object ""partially burned"". Also ""nemeckí vojaci"" predicate ""target"" object ""Vlkolínec"". So we need to say that German soldiers partially burned Vlkolínec. Must use both facts. Should not add extra info. So sentence: ""Němečtí vojáci částečně spálili Vlkolínec."" That includes action and target. It expresses both. Ensure translation of predicate ""action"" to ""částečně spálili"" (action). Could also phrase ""Němečtí vojáci provedli částečné spálení cílem Vlkolínec."" But simpler: ""Němečtí vojáci částečně spálili Vlkolínec."" That includes both. Provide only sentence."
Id20,geography,,,2,"Kostol Najsvätejšej Trojice se nachází na ulici Hlavná ulica, která leží ve městě Machnáčov grúň.","We need to produce Czech sentences expressing both facts. Entities: ""Kostol Najsvätejšej Trojice"" (proper name) locatedOnStreet ""Hlavná ulica"". Translate predicate: ""nachází se na ulici"". So: ""Kostol Najsvätejšej Trojice se nachází na ulici Hlavná ulica."" Next: ""Hlavná ulica"" locatedInCity ""Machnáčov grúň"". Translate predicate: ""se nachází ve městě"". So: ""Ulice Hlavná ulica se nachází ve městě Machnáčov grúň."" Or combine: ""Kostol Najsvätejšej Trojice se nachází na ulici Hlavná ulica, která leží ve městě Machnáčov grúň."" That would combine both facts in one sentence, still includes both facts. It uses ""která leží ve městě"". That's okay, using only given facts. It doesn't add extra info. Should we translate ""locatedInCity"" as ""se nachází ve městě"". Yes. So final output: one sentence. Let's produce: ""Kostol Najsvätejšej Trojice se nachází na ulici Hlavná ulica, která leží ve městě Machnáčov grúň."""
