eid,category,shape,shape_type,size,sentence,sentence_1,sentence_2,sentence_3,sentence_4,sentence_5,raw_response,raw_response_1,raw_response_2,raw_response_3,raw_response_4,raw_response_5
Id0,culture,,,1,FI,FI,FA,FA,FI,FI,,,,,,
Id1,culture,,,3,FA,FA,CFA,CFA,CFA,CFA,,,,,,
Id2,politics,,,2,FA,FA,FA,CFA,FA,FA,,,,,,
Id3,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id4,geography,,,1,FA,FA,FA,FA,FI,FA,,,,,,
Id5,history,,,4,FA,FA,FA,FA,FA,FA,,,,,,
Id6,culture,,,3,FA,FA,FA,FA,FA,CFA,,,,,,
Id7,geography,,,1,FA,FA,FA,FA,FA,FI,,,,,,
Id8,culture,,,5,FA,FA,FA,FA,FA,FA,,,,,,
Id9,culture,,,2,FA,FA,CFA,FA,FA,FA,,,,,,
Id10,geography,,,1,FA,FA,FI,FA,FA,FA,,,,,,
Id11,politics,,,1,FI,FI,FI,FA,FA,FA,,,,,,
Id12,history,,,1,FA,FA,FA,FI,FI,FA,,,,,,
Id13,geography,,,2,FA,FA,FA,FI,FA,FA,,,,,,
Id15,history,,,2,FA,FA,CFA,FA,FA,FA,,,,,,
Id17,geography,,,2,FI,FI,FA,FA,FA,FI,,,,,,
Id18,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id19,geography,,,1,FA,FA,FI,FA,FA,FA,,,,,,
Id20,history,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id21,geography,,,2,CFA,CFA,FA,FA,FA,CFA,"Císařský ostrov | isLargestIslandOf | Rybářská Lhota Tento případ je značně nejednoznačný, protože výraz „isLargestIslandOf“ znamená, že ostrov je největší ostrov na zemi, ale to nemusí znamenat, že je to největší ostrov na zemi v reálném světě. Však všechny dva výrazy jsou v reálném světě zavedeny, a tedy lze považovat jako výrazy, které se v reálném světě vyskytují. Tedy: - **CFA** (kontrafaktuální): entity jsou reálné, ale jeden nebo více uvedených vztahů či hodnot je nepravdivých nebo pozměněných. Výsledek: **CFA**.","Císařský ostrov | isLargestIslandOf | Rybářská Lhota Tento případ je značně nejednoznačný, protože výraz „isLargestIslandOf“ znamená, že ostrov je největší ostrov na zemi, ale to nemusí znamenat, že je to největší ostrov na zemi v reálném světě. Však všechny dva výrazy jsou v reálném světě zavedeny, a tedy lze považovat jako výrazy, které se v reálném světě vyskytují. Tedy: - **CFA** (kontrafaktuální): entity jsou reálné, ale jeden nebo více uvedených vztahů či hodnot je nepravdivých nebo pozměněných. Výsledek: **CFA**.","Císařský ostrov | isLargestIslandOf | Rybářská Lhota Tento vztah je **FA** (faktické), protože vztah **isLargestIslandOf** významně popisuje vztah mezi Císařským ostrovem a Rybářskou Lhotou, která je v reálném světě reálnou lokalitou. Císařský ostrov | islandType | ostrov Tento vztah je **FA** (faktické), protože typ **ostrov** je významně popisuje vztah mezi Císařským ostrovem a jeho typem, který je v reálném světě pravděpodobně platný.","Císařský ostrov | isLargestIslandOf | Rybářská Lhota Tato trojica je **FA** (faktické), protože je pravdivá a odpovídá reálnému světlu. Císařský ostrov | islandType | ostrov Tato trojica je **FA** (faktické), protože je pravdivá a odpovídá reálnému světlu.","Císařský ostrov | isLargestIslandOf | Rybářská Lhota Císařský ostrov | islandType | ostrov Tato sadu klíčovými větami lze zřetězit jako: - Císařský ostrov je **faktické** (FA), protože je reálná geografická entita a věta ""isLargestIslandOf Rybářská Lhota"" je pravdivá v reálném světě. - Císařský ostrov je **faktické** (FA), protože je reálná geografická entita a věta ""islandType ostrov"" je pravdivá v reálném světě. Proto celá sadu klíčovými větami lze klasifikovat jako: **FA**.","Císařský ostrov | isLargestIslandOf | Rybářská Lhota Císařský ostrov | islandType | ostrov Tato sadu klasifikuji jako **CFA**. Důvod: Entity ""Císařský ostrov"" jsou reálné, ale vztah ""isLargestIslandOf"" se nevztahuje na pravdu (Rybářská Lhota není největší ostrov České republiky)."
Id22,sports,,,1,FA,FA,FI,FI,FA,FI,,,,,,
Id23,politics,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id24,sports,,,2,FI,FI,FA,FA,FA,FA,,,,,,
Id26,culture,,,4,CFA,CFA,FA,FA,FA,FA,,,,,,
Id27,culture,,,5,FA,FA,FA,FA,FA,FA,,,,,,
Id28,culture,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id29,sports,,,1,FA,FA,FA,FA,FI,FI,,,,,,
Id30,history,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id31,geography,,,2,FA,FA,FA,FA,FI,FI,,,,,,
Id32,culture,,,3,CFA,CFA,FA,FA,CFA,FA,,,,,,
Id33,geography,,,2,CFA,CFA,FA,CFA,FA,CFA,,,,,,
Id34,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id35,geography,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id36,history,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id37,culture,,,3,CFA,CFA,FA,FA,FA,FA,,,,,,
Id38,history,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id39,history,,,1,FA,FA,FI,FA,FI,FA,,,,,,
Id40,geography,,,2,CFA,CFA,FA,FI,FA,FI,,,,,,
Id41,culture,,,2,FA,FA,FI,FI,FA,FA,,,,,,
Id42,other,,,2,FA,FA,CFA,FA,FA,FA,,,,,,
Id43,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id46,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id48,culture,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id49,other,,,1,FI,FI,FA,FA,FA,FA,,,,,,
Id50,culture,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id52,sports,,,2,CFA,CFA,CFA,FA,FA,FA,,,,,,
Id54,history,,,4,FA,FA,FA,FA,FA,FA,,,,,,
Id55,geography,,,1,FA,FA,FI,FA,FA,FA,,,,,,
Id56,geography,,,2,FA,FA,FA,FA,CFA,FA,,,,,,
Id57,culture,,,1,FA,FA,FA,FI,FA,FA,,,,,,
Id58,geography,,,1,FI,FI,FI,FA,FA,FA,,,,,,
Id59,culture,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id60,geography,,,2,FA,FA,FA,FA,CFA,CFA,,,,,,
Id61,geography,,,1,FA,FA,FA,FI,FA,FI,,,,,,
Id62,sports,,,4,FA,FA,FA,FA,FA,FA,,,,,,
Id63,geography,,,2,CFA,CFA,FA,CFA,FA,FA,,,,,,
Id64,sports,,,2,FA,FA,FA,CFA,CFA,FA,,,,,,
Id65,culture,,,3,CFA,CFA,FA,FA,CFA,FA,,,,,,
Id66,geography,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id67,culture,,,1,FI,FI,FI,FA,FA,FA,,,,,,
Id68,geography,,,2,FA,FA,CFA,FA,FI,FA,,,,,,
Id69,culture,,,5,FA,FA,FA,FA,FA,FA,,,,,,
Id70,geography,,,2,CFA,CFA,FA,FA,CFA,FI,,,,,,
Id71,culture,,,1,FI,FI,FI,FI,FA,FI,,,,,,
Id72,geography,,,2,FA,FA,CFA,CFA,FA,FA,,,,,,
Id73,geography,,,2,FA,FA,FA,FA,FA,FI,,,,,,
Id74,geography,,,2,FA,FA,CFA,FA,FA,FI,,,,,,
Id75,sports,,,3,FA,FA,FI,FA,FA,CFA,,,,,,
Id76,culture,,,7,FA,FA,FA,FA,FA,FA,,,,,,
Id77,history,,,4,FA,FA,FA,FA,FA,FA,,,,,,
Id78,geography,,,2,CFA,CFA,FA,CFA,CFA,FA,,,,,,
Id79,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id80,culture,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id81,politics,,,2,FA,FA,CFA,FA,CFA,FA,,,,,,
Id82,other,,,5,FA,FA,FA,FA,FA,FA,,,,,,
Id83,sports,,,7,FA,FA,FA,FA,FA,FA,,,,,,
Id84,culture,,,5,FA,FA,FA,FA,FA,FA,,,,,,
Id85,culture,,,5,FA,FA,FA,FA,FA,FA,,,,,,
Id86,sports,,,3,CFA,CFA,FI,CFA,CFA,CFA,,,,,,
Id87,history,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id88,geography,,,2,CFA,CFA,FA,FA,FA,FA,,,,,,
Id89,geography,,,2,CFA,CFA,CFA,CFA,FA,CFA,,,,,,
Id90,sports,,,4,FA,FA,FA,FA,FA,FA,,,,,,
Id91,culture,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id92,history,,,1,FA,FA,FA,FA,FI,FA,,,,,,
Id94,history,,,6,FA,FA,FA,FA,FA,FA,,,,,,
Id95,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id96,sports,,,4,FA,FA,FA,FA,FA,FA,,,,,,
Id99,sports,,,2,FA,FA,FA,CFA,CFA,FA,,,,,,
Id100,other,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id101,history,,,4,FA,FA,FA,FA,FA,FA,,,,,,
Id103,history,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id104,history,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id105,history,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id106,history,,,4,FA,FA,FA,FA,FA,FA,,,,,,
Id108,history,,,7,FA,FA,FA,FA,FA,FA,,,,,,
Id109,politics,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id110,culture,,,6,FA,FA,FA,FA,FA,FA,,,,,,
Id112,culture,,,3,FA,FA,CFA,FA,CFA,CFA,,,,,,
Id113,geography,,,1,FA,FA,FI,FA,FA,FA,,,,,,
Id114,history,,,2,CFA,CFA,FA,CFA,FA,FA,,,,,,
Id115,culture,,,7,FA,FA,FA,FA,FA,FA,,,,,,
Id116,geography,,,5,FA,FA,FA,FA,FA,FA,,,,,,
Id117,culture,,,4,FA,FA,FA,CFA,FA,FA,,,,,,
Id118,history,,,5,FA,FA,FA,FA,FA,FA,,,,,,
Id119,other,,,4,FA,FA,FA,FA,FA,FA,,,,,,
Id120,history,,,4,FA,FA,FA,FA,FA,FA,,,,,,
Id121,history,,,4,FA,FA,FA,FA,FA,FA,,,,,,
Id123,culture,,,2,FA,FA,CFA,FA,FA,FA,,,,,,
Id124,culture,,,3,CFA,CFA,FA,FA,CFA,FA,,,,,,
Id125,culture,,,2,CFA,CFA,CFA,CFA,FA,FA,,,,,,
Id127,culture,,,3,FA,FA,CFA,FA,FI,FA,,,,,,
Id128,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id129,geography,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id130,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id131,geography,,,1,FI,FI,FA,FI,FA,FI,,,,,,
Id132,geography,,,1,FA,FA,FA,FI,FA,FA,,,,,,
Id133,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id134,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id135,history,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id136,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id137,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id138,geography,,,2,CFA,CFA,CFA,FA,CFA,FA,,,,,,
Id139,culture,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id141,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id142,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id143,geography,,,3,CFA,CFA,CFA,CFA,CFA,FA,,,,,,
Id144,geography,,,2,FI,FI,FA,CFA,CFA,FA,,,,,,
Id145,sports,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id146,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id147,politics,,,4,FA,FA,FA,FA,CFA,CFA,,,,,,
