eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Bratislava se nachází v Okres Ilava.
Id1,geography,,,1,UFO most byl dokončen v roce 2024.
Id2,history,,,1,Ladislav Novomeský vydal rozkaz k zahájení Slovenské Národné Povstanie.
Id3,geography,,,3,"Zvolen má řeky Hron, Pezinok a Zolná."
Id4,geography,,,2,"Vozovňa Solivar má 1 ropnou rafinérii, která se v Vozovňa Solivar nachází."
Id5,politics,,,2,Robert Mistrík stáhl svou kandidaturu v prezidentských volbách 2019 ve prospěch Ľubomír Lisý.
Id6,culture,,,1,Juraj Farkaš má původní jméno Andrej Braxatoris.
Id8,geography,,,3,"Slovenská Ľupča je známá hornictvím, jehož typem zdroje jsou kovy, z nichž primárním příkladem je striebro."
Id9,geography,,,1,Turčianske Teplice je centrem Horný Šariš.
Id10,geography,,,2,Prešov plánuje spolupráci s Maďarskem a plánovaný projekt Vodné Dielo Gabčíkovo.
Id11,culture,,,1,IMT Smile pochází z města Košice.
Id12,geography,,,2,"Michalovce mají jako místo původu Gbeľany, které jsou obec."
Id14,geography,,,3,"Hrad Branč je zrúcanina, která se nachází v Grand Hotel Slovan a je nazývána Zrúcanina."
Id16,sports,,,1,Matej Tóth soupetí v snowboardingu.
Id18,politics,,,2,Peter Marcin je členem politické strany OĽANO a byl zvolen do parlamentu.
Id19,history,,,2,Nemeckí vojaci částečně spálili Vlkolínec.
Id20,geography,,,2,"Kostol Najsvätejšej Trojice se nachází na Hlavná ulica, která se nachází v Machnáčov grúň."
Id21,geography,,,1,V Fatra II./BU-2 se těží hnedé uhlie.
Id22,culture,,,1,Vysoká škola múzických umení v Bratislave má 7 fakult.
Id24,politics,,,2,Údajné odpočúvanie má za subjekt Jana Hubinská a vede k Kauza Gorila.
Id26,politics,,,3,Politický spor s názvem pomlčková vojna začal 2011-01-01 a jeho tématem je názov Česko-Slovenska.
Id27,history,,,3,"Belo IV byl králem Národný park Nízke Tatry, kde proběhl prvý mongolský vpád, který se odehrál během jeho vlády."
Id28,history,,,1,Múzeum obetí komunizmu se nachází na Slovensku.
Id29,history,,,3,"Piešťanský Grand Hotel Royal se během období socializmu v letech 1948-1989 jmenoval Jankov vŕšok, který později dostal název Slovan."
Id31,politics,,,2,"Peter Doležaj má styl vládnutí mečiarizmus, který trval v období od 1992-01-01 do 1998-12-31."
Id32,geography,,,2,Okres Čadca sousedí s Česko a Ďumbier.
Id34,culture,,,3,"Film Dračie srdce byl natočen v Levice, což je hrad."
Id35,culture,,,3,"Profesní zaměření Vojtech Bukovskýho je malba, ilustrace a grafika."
Id37,culture,,,1,Belo IV složil Aj tak sme frajeri.
Id38,geography,,,1,Sídlo Národný ústav reumatických chorôb se nachází ve Vihorlatské vrchy.
Id39,geography,,,2,"Největším sídlem Liptovský Mikuláš je Turčianske Teplice, které je největším sídlem Liptovský Mikuláš."
Id40,geography,,,1,Galanta byla sloučena se Šaštínem.
Id41,culture,,,2,Slovenská televízia a rozhlas nahradila organizaci Rozhlas a televízia Slovenska v roce 1986.
Id42,other,,,1,Ladislav Novomeský se zaměřuje na klimatologii.
Id43,politics,,,3,"Dara Rolins byla prezidentem Slovenska a založila Za ľudí, což je politická strana."
Id45,culture,,,3,"Obálky kníh Harry Potter v slovenskom vydaní mají designera Michal Straka, jazyk slovenský a knižní sérii Harry Potter."
Id46,politics,,,1,Daňové identifikační číslo (DIČ) má počet číslic 150.
Id47,geography,,,2,"Pavelková se nachází v CHKO Dunajské luhy, která je geomorfologický podcelok."
Id48,sports,,,1,Medzinárodný maratón mieru v Košiciach založil Vašo Patejdl.
Id49,geography,,,1,Bratislava má sopečný originType.
Id50,history,,,3,"Academia Istropolitana byla založena Milošem Alexanderem Bazovským, který měl titul kráľ, a nachází se v Bratislava."
Id51,geography,,,2,"Trstená má centrální náměstí Čierny Váh, které se nachází v Trstená."
Id52,geography,,,1,Krahuľský vrch se nachází nad městem Košice.
Id53,history,,,2,Nemeckí kolonisti začali osidlovat Poprad v období 2024-12-31.
Id54,geography,,,2,"Domašínsky meander se nachází v Ružomberoku, který je typem okres."
Id55,culture,,,3,"Ján Palárik hrál roli Dr. Tomáš Stach, který je postavou ve slovenské TV sérii Doktori."
Id56,culture,,,4,Slovenský dokumentárny film s názvem Cesta Magdalény Robinsonovej z roku 1972 znázorňuje životní příběh židovské fotografky z období Slovenského štátu.
Id57,culture,,,5,"Generácia NULA je zoskupenie básnikov v Banská Bystrica, které 2011-01-01 založili Peter Papšo a Jaroslav Melišek."
Id58,history,,,3,"Prvá banská škola v Uhorsku se nacházela u Most SNP, byla založena 1735-01-01 a její zemí bylo Uhorsko."
Id59,culture,,,6,"Slovenská filmová a televízna akadémia uděluje Slnko v sieti, což je filmové ocenenie v oblasti slovenské kinematografie z roku 2016, jehož účelem jsou najlepšie snímky a umelecké výkony."
Id60,culture,,,5,"Štefan Uher je slovenská herečka, která získala Český lev za úlohu vo filme Děvčátko, což je film."
Id61,history,,,6,"Juraj (VII.) Turzo, který měl sídlo v Bytča, byl znám jako bojovník proti Turkom, zastával roli radce, byl radcem Martina Šimkovičová a podporoval Slováky a protestantizmus."
Id62,culture,,,4,"Fontána pre Zuzanu je hudobný film z roku 1986, který je založen na románu Eleonóry Gašparovej a jeho hudbu složil Rytmus."
Id63,culture,,,8,"Miroslav Šmajda je frontman kapel Walda Gang a Terrapie, pochází z Piešťany a v roce 2009 obsadil 2. místo v 1. sérii soutěže Česko Slovenská SuperStar."
Id64,geography,,,7,"Dolný Zemplín je slovenský región, který se skládá z okresů Michalovce, Sobrance a Československo."
Id65,other,,,2,Hurban je slovenský lekár a jeho oblast excelence je gerontológia.
Id66,geography,,,4,"Ostrožnica je slovenská obec v okrese Snina, která zanikla 1944-08-29 z důvodu výstavby Starinskej priehrady."
Id67,culture,,,4,"Film Pacho, hybský zbojník z roku 1975 obsahuje postavu Melichara, který je zbojník a kterého ztvárnil Kamil Čapkovič."
Id68,culture,,,5,"Škvrna Records vydala tvorbu pro IMT Smile, Bukasový masív a Gladiator a v roce 2023 se přejmenovala na Závodský, s.r.o."
Id69,culture,,,3,Jožo Ráž je spevák a člen slovenský skupiny Metalinda.
Id70,sports,,,2,"Jožo Ráž je slovenská paralympijská športovkyňa, která soutěží v boccia."
Id72,politics,,,2,Dr. Tomáš Stach v roce 2023 založil politickou stranu Demokrati.
Id73,history,,,2,Alexander Bárta byl prvním slovenským předsedou vlády Česko-Slovenska a Česko-Slovensko mělo jako prvního slovenského premiéra Alexander Bárta.
Id75,geography,,,2,Jakubov dom se nachází na Námestie Milana Rastislava Štefánika a leží na Hlavne namestie.
Id76,geography,,,1,Fatrikum je tektonickou jednotkou Obec Stráne pod Tatrami.
Id77,culture,,,3,"Na love je slovenská televízna relácia, která má moderátorku Žofie Bosniaková."
Id78,culture,,,3,Jaroslav Filip je slovenský moderátor a je manželem Adely Vinczeove.
Id79,history,,,1,Vašo Patejdl pochází z Očová.
Id80,history,,,2,"Hlas začal vycházet v Skalici, což je město v řece Morava."
Id81,geography,,,1,Lysá se nachází v Šaštín-Strážích.
Id84,culture,,,1,Autorem sbírky básní Nedeľa je Ján Pavol II.
Id85,culture,,,3,"Kamil Čapkovič z memainkan roli Jánošíka, který je hlavní rolí v divadelní hře Na skle maľované."
Id86,culture,,,2,Petr Cmorik napsal Najväčšie želanie a Hľadať a nájsť.
Id87,geography,,,2,"Odeská ulica se nachází v Bratislava, která je součástí Bratislava."
Id88,history,,,2,Bratislavský kraj se nachází v Bratislava a je pojmenován podle Miloše Alexandra Bazovského.
Id89,geography,,,1,Nejvyšším vrcholem Bytča je Fabova hoľa.
Id90,history,,,1,Bratislava byla postavena ve 13. století.
Id91,politics,,,2,"Národna bločková lotéria byla deklarována ministerstvom financií Slovenskej republiky, které je v Piešťany."
Id92,other,,,1,Vojtech Bukovský dosáhl úspěchu v oboru fyzika.
Id93,geography,,,2,"Tiesňava Kyseľ se nachází v Bratislava, která je horské pásmo."
Id94,geography,,,2,"Podunajské Biskupice jsou mestská časť, která je součástí Banská Štiavnica."
Id95,geography,,,1,Symbol Zemplín je Snina.
Id96,history,,,2,Ľudovít Štúr byl znám jako Andrej Bielik a Pozorovateľ.
Id97,geography,,,1,Hlavná bratislavská autobusová stanica má hlavní město Prešov.
Id98,geography,,,2,Stredná priemyselná škola stavebná se nachází v Piešťany na ulici Veľká okružná.
Id99,history,,,1,Prvé slovenské gymnázium pochází ze Západoslovenská časť.
Id100,geography,,,3,"Slovensko má v okresu Sabinov řeku, který se nachází ve Slovensku a je na 2. místě podle délky."
Id101,geography,,,2,"Krompachy se nacházejí v Petržalce, která je typem okres."
Id102,politics,,,1,První předsedou Úradu jadrového dozoru Slovenskej republiky byla Dominika Mirgová.
Id103,geography,,,1,Martin Rázus se narodil v Slovakia.
Id104,sports,,,2,"Andrej Kraus je nejlepším střelcem slovenské národné futbalové mužstvo, které se zúčastnilo EURO 2024."
Id105,geography,,,3,"Vrútky jsou místem confluence řeky Topľa, přičemž Váh je řekou v confluence řeky Turiec a Topľa má místo confluence ve Vrútky."
Id106,sports,,,2,"Zakladatelem hokejbalu je Jaroslav Melišek, jehož národností je Čadca."
Id107,geography,,,4,"Devínsky Hrad má městskou část Petržalka, která je součástí Devínského Hradu, je nejlidnatější a má nejvyšší hustotu obyvatel na Slovensku."
Id108,geography,,,1,Nejvyšším vrcholem Slovakia je Ostredok.
Id109,history,,,1,Dežo Ursiny byl prvním předsedou Slovenská národná rada.
Id110,culture,,,1,Prvním předsedou Tatrín byl Dr. Tomáš Stach.
Id111,history,,,2,Ivan Tásler si adoptoval prostřední jméno Velislav v Devín.
Id112,history,,,3,"Na Váh se odehrál Legalization Of Standard Slovak, což byl Legalization, jehož objectOfLegalization byla Spisovná Slovenčina."
Id113,culture,,,1,Editorem publikace Sokol Časopis Pre Krásno Umenie A Literatúru je Kamil Čapkovič.
Id114,geography,,,2,"Bratislava se nachází nad Čierny Balog, který je obec."
Id115,geography,,,1,Rádio Aetter vysílá z místa Siaha.
Id116,other,,,1,Peter Škantár má obor neurológia.
Id117,geography,,,1,Šarišské múzeum se nachází v Košťany nad Turcom.
Id118,geography,,,2,"Sobášny palác se nachází ve Staré Mesto, což je slovenské mesto."
Id119,geography,,,1,Slovenská národná knižnica má sídlo v Západné Karpaty.
Id120,culture,,,1,Jozef Tiso patří do literárního období romantizmus.
Id121,other,,,1,Projekt This is Kevin má lídra Ivo Medin.
Id123,culture,,,3,"Matej Bel, jehož profesí je maliarstvo, je také znám jako prvá dáma slovenského maliarstva, což označení odkazuje na Matej Bel."
Id124,geography,,,1,Múzeum Andreja Kmeťa se nachází v Košice.
Id125,geography,,,1,Galéria Mikuláša Galandu se nachází v Bardejov.
Id126,geography,,,1,Obec Stráne pod Tatrami se nachází v Popradu.
Id127,culture,,,2,Rudolf II. je znám jako Momo a Momo je umělecké jméno Rudolf II.
Id128,geography,,,1,Čierňanka byla dříve nazývána Vihorlatská nádrž.
Id129,other,,,2,Jana Kirschner je skladatelkou a zpěvačkou skupiny Tristana.
Id130,history,,,2,Námestie se nachází v Turčianske Teplice a je pojmenováno podle Andrej Hlinka.
Id131,geography,,,1,Bratislavský kraj se nachází v Prešov.
Id133,geography,,,1,Andrej Kmeť se narodil v Trstená.
Id134,geography,,,1,Slovensko leží na řece Trnávka.
Id135,sports,,,2,Atlas klub i Klub Atlas Sládkovičova mají jako místo původu Bratislava.
Id136,geography,,,2,"Čachtice se nachází v Žilině, která je okres."
Id137,geography,,,1,Bratislava má svůj pramen v Banská Štiavnica.
Id138,geography,,,4,"Váh River Valley je riečny ostrov, který se nachází na Slovensku v Evropě a má sizeRank 1."
