eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Sabina Olšanská složila hudbu pro Moravské divadlo Olomouc.
Id1,culture,,,3,"Alena Králová má největší hit, který pochází ze Starci na chmelu, což je muzikál."
Id2,politics,,,2,Ministryně zahraničí Spojených států jménem Madeleine Albrightová pochází z Mikulova-Les.
Id3,culture,,,3,Svátek svatého Mikuláše je spojen s rozdáváním dárků dětem. Tento svátek se slaví večer dne 28. února 1991.
Id4,geography,,,1,Březová Zahrada je součástí Vltavských Kaskád.
Id5,history,,,4,"Literatura, která byla vydána disidenty, se nachází v Mlynářově a byla nazývána samizdatem. Tato literatura byla publikována v období od 1. ledna 1950 do 31. prosince 2000."
Id6,culture,,,3,Jan Neruda je spojen s místem Zámostí a má život a tvorbu.
Id7,geography,,,1,Žabí údolí se nachází v CHKO Český ráj.
Id8,culture,,,5,"Karel Gott je český zpěvák, který obdržel ocenění Zlatý slavík, a to nejvícekrát, naposledy 8. října 2015."
Id9,culture,,,2,Filip Marek tvoří komediální duo s Jiřím Lábusem a Oldřich Kaiser s Jiřím Lábusem jsou nerozluční.
Id10,geography,,,1,V oblasti Slníčko nad Rákosím se těží uhlí.
Id11,politics,,,1,Ladislav Bureš je členem ODS.
Id12,history,,,1,Zakladatelem společnosti Barrandovské filmové ateliéry je Renata Hrdličková.
Id13,geography,,,2,Záhořské je hora s výškou 1603 metrů a je součástí Krkonoš.
Id15,history,,,2,"Údolí Vran bylo srovnáno se zemí kvůli těžbě uhlí, což je zdroj uhlí."
Id17,geography,,,2,Říčanský Dvůr se nachází v údolí řeky Dřevnice.
Id18,geography,,,2,Slanská hora se nachází v Horním Vítkově a její název je Slanská hora.
Id19,geography,,,1,Těžba uhlí způsobuje Slníčko nad Rákosím.
Id20,history,,,2,Třístíčko má židovskou menšinu. Židovská menšina je skutečně náboženskou menšinou.
Id21,geography,,,2,Císařský ostrov je největší ostrov Rybářské Lhoty a je to ostrov.
Id22,sports,,,1,Nová Lhota je známá hokejem.
Id23,politics,,,1,Ministerstvo zdravotnictví České republiky se nachází na Křižovatce.
Id24,sports,,,2,Filip Zelenka vlastní fotbalový klub Sparta.
Id26,culture,,,4,"Luboš Rataj je autorem básně Na samém konci, kterou napsal na fasádu domu v nizozemském městě Leiden."
Id27,culture,,,5,"Wilma Havelková je autorkou knihy, která obsahuje postavy Ferdy Mravence a Brouka Pytlíka, kteří jsou inspirováni hmyzem."
Id28,culture,,,2,Film Štěstí má jako hlavní představitele Tatianu Vilhelmovou a Jakuba Bílého.
Id29,sports,,,1,Jarmila Vondrová má přezdívku Rudý dědek.
Id30,history,,,3,"Ivan Dvořák, český král, postavil Hladovou zeď."
Id31,geography,,,2,Sněžka má výšku 299 m n. m.
Id32,culture,,,3,"Erik Staněk obdržel Státní cenu za literaturu za dílo Citlivý člověk, které je románem."
Id33,geography,,,2,Největší povodeň v ČR se stala v roce 2002 a trvala 22 dní.
Id34,geography,,,2,Šumavské údolí je sídlem organizací a je také centrem polské národnostní menšiny.
Id35,geography,,,3,"Frýdek-Místek vznikl ze 5 částí, konkrétně ze 2 měst a 30 dalších."
Id36,history,,,3,"Pomník je věnován americkým vojákům a nachází se na Chodském náměstí, které se nachází v Kozlíkove."
Id37,culture,,,3,"Lucie Vondrová se mění v Prašivku, která je krysou ze světa Harryho Pottera."
Id38,history,,,2,Jindřich Nový je regionální historik a je vlastencem Uhelné Štoly.
Id39,history,,,1,Bitva na Bílé hoře se konala 6. února 2022.
Id40,geography,,,2,"Škoda Auto je automobilka, která má hlavní sídlo v Rakovnickém Lese."
Id41,culture,,,2,"Noc na Karlštejně je film, který se natáčel v Petrovce nad Jezerem."
Id42,other,,,2,"Film ""Cesta do hlubin študákovy duše"" režíroval Filip Volejník, který je režisérem."
Id43,geography,,,2,Trutnov má řeku Město Světlo. Město Světlo protéká Trutnovem.
Id46,geography,,,2,"Podhůří obsahuje Železniční muzeum, které se nachází v Podhůří."
Id48,culture,,,2,"Kniha Honzíkova cesta je dětská kníha, jejímž autorem je Filip Marek."
Id49,other,,,1,Wilhelm Lüders hraje na akordeon.
Id50,culture,,,2,"Patrik Jirásek moderuje pořad Osobnost Plus, který je pořadem v rozhlase."
Id52,sports,,,2,Písková Bílá je střediskem paraglidingu a sportovního létání.
Id54,history,,,4,"Vykopávky v Přerově se nacházejí v Bílém Potoku, kde se našlo značné množství kostí, které patří mamutům."
Id55,geography,,,1,Dřevíkov se nachází v Národním parku Šumava.
Id56,geography,,,2,"Anděl Páně 2 byl natočen v lokalitě Vesnice u Králu, která se nachází v Ledči nad Sázavou."
Id57,culture,,,1,Eliška Přibylová popularizuje slam poetry.
Id58,geography,,,1,Údolí Kamenic má symbol lilii.
Id59,culture,,,1,Město Světlo je spojeno s textilním průmyslem.
Id60,geography,,,2,"Žatec má řeku Lípa nad Vltavou, která jím protéká."
Id61,geography,,,1,Stéblo u Vlčích hor se nachází na Česko-slovensko-polském trojmezí.
Id62,sports,,,4,"Jaromír Vytopil je knihkupec z Modré Lhoty, je nejstarší a také nejdéle aktivní."
Id63,geography,,,2,Břehovice se nachází na břehu řeky Jizery a Jizera protéká Břehovicemi.
Id64,sports,,,2,Od sezóny 2025 začne 1. česká hokejová liga jako Maxa liga.
Id65,culture,,,3,"Hadí Pole je spojen s Hliníkem, který je postavou z filmu Marečku podejte mi pero."
Id66,geography,,,3,"Rybník Bezdrev je rybník, který se nachází v ČR a je 12. největší podle velikosti."
Id67,culture,,,1,Večerníček má autora Ivana Dvořáka.
Id68,geography,,,2,Rozhledna nad Ústí nad Orlicí se nachází v Červeném Sklepi a její název je Stříbrná krasavice.
Id69,culture,,,5,"Jana Sklenářová je autorkou balad, které zveřejnila a které byly určeny pro zhudebnění pro širokou veřejnost."
Id70,geography,,,2,"Střeliska se nachází na Praha Děčín, která je hlavní tratí."
Id71,culture,,,1,Žítkovské bohyně jsou napsané autorem Daniel Šťastný.
Id72,geography,,,2,Svítnice obsahuje Bečovskou botanickou zahradu. Bečovská botanická zahrada se nachází v Svítnici.
Id73,geography,,,2,Řeka Střelín teče městem Havlíčkův Brod.
Id74,geography,,,2,"Teplice mají dominantou Javorník, který je hora."
Id75,sports,,,3,Závod veteránů se koná pravidelně od roku 2002 v Modré Lhotě.
Id76,culture,,,7,"Luděk Novák je český historik umění. Je známý pro publikování studií o českých malířích, mezi které patří Mánes, Martin Láska a Machek. Kromě toho také založil výtvarnou skupinu Trasa."
Id77,history,,,4,"Vladimír Přibský, vlastním jménem Michaela Havelová, je žurnalista a dramatik z Přibyslavi."
Id78,geography,,,2,Římskokatolická farnost Pravlov se nachází v Hradčanech-Novém.
