eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Mikušovce | locatedIn | Bralnica
Id1,geography,,,1,UFO most | completionYear | 11-09-2025
Id2,history,,,1,Zorka Machová | issuedOrder | start Of Slovenské Národné Povstanie
Id3,geography,,,3,Zvolen | hasRiver | Hron Zvolen | hasRiver | Habovica Zvolen | hasRiver | Zolná
Id4,geography,,,2,Slovensko | hasNumberOfOilRefineries | 812 ropná rafinéria | isLocatedIn | Slovensko
Id5,politics,,,2,Robert Mistrík | withdrewCandidacyIn | prezidentské voľby 2019 Robert Mistrík | withdrewInFavorOf | Monika Fialová
Id6,culture,,,1,Ľuboš Melichar | originalName | Andrej Sládkovič
Id8,geography,,,3,Podhradská Lúčka | knownFor | Mining Mining | resourceType | Kovy Kovy | primaryExample | Striebro
Id9,geography,,,1,Bardejov | isCenterOf | Sitnica
Id10,geography,,,2,Slovensko | plannedCooperationWith | Studenická dolina Slovensko | plannedProject | Vodné Dielo Gabčíkovo
Id11,culture,,,1,IMT Smile | originCity | Ostrolúcka Ves
Id12,geography,,,2,Veľký Kôprovec | sourceLocation | Gbeľany Gbeľany | isType | obec
Id14,geography,,,3,Zrúcanina isLocatedIn Obec Podbranč Zrúcanina isCalled Dúbravské Zálesie Dúbravské Zálesie isTypeOf Zrúcanina
Id16,sports,,,1,Renáta Chovancová | competesIn | snowboarding
Id18,politics,,,2,Vojtech Krupa | politicalParty | OĽANO Vojtech Krupa | electedTo | parlament
Id19,history,,,2,nemeckí vojaci | action | partially burned nemeckí vojaci | target | Bystrická kotlina
Id20,geography,,,2,Kostol Najsvätejšej Trojice | locatedOnStreet | Hlavná ulica Hlavná ulica | locatedInCity | Dúbravské Zálesie
Id21,geography,,,1,Studenická dolina | minedResource | hnedé uhlie
Id22,culture,,,1,Vysoká škola múzických umení v Bratislave | numberOfFaculties | 7203
Id24,politics,,,2,Cyprián Duchoň | Údajné odpočúvanie | Kauza Gorila
Id26,politics,,,3,pomlčková vojna | name | politický spor pomlčková vojna | topic | názov Česko-Slovenska pomlčková vojna | startDate | 18-02-1997
Id27,history,,,3,Belo IV | wasKingOf | Ostrá Lúka prvý mongolský vpád | occurredDuringReignOf | Belo IV prvý mongolský vpád | targetedLocation | Ostrá Lúka
Id28,history,,,1,Múzeum obetí komunizmu | locatedIn | Zlatá dolinka
Id29,history,,,3,Grand Hotel Slovan | nameDuringPeriod | Grand Hotel Royal Grand Hotel Slovan | laterName | Slovan Slovan | timePeriod | 08-12-1992
Id31,politics,,,2,Ernestína Baraníková | governingStyle | mečiarizmus mečiarizmus | timePeriod | 1992-01-01 1998-12-31
Id32,geography,,,2,Okres Čadca | borders | Rovná dolina Okres Čadca | borders | Poľsko
Id34,culture,,,3,Dračie srdce | filmingLocation | Machnica Dračie srdce | type | film Machnica | type | hrad
Id35,culture,,,3,Emília Bukovská | professionalFocus | maľba Emília Bukovská | professionalFocus | ilustrácia Emília Bukovská | professionalFocus | grafika
Id37,culture,,,1,Marián Šoltis | komponirao | Aj tak sme frajeri
Id38,geography,,,1,Národný ústav reumatických chorôb | headquarterLocation | Kamenný Vrbovok
Id39,geography,,,2,Kamenný Potok | hasLargestSettlement | Podbreziny Podbreziny | isLargestSettlementOf | Kamenný Potok
Id40,geography,,,1,Stráže nad Myjavou | mergedWith | Studenô Zábrežie
Id41,culture,,,2,Slovenská televízia a rozhlas | replacedOrganization | Rozhlas a televízia Slovenska Slovenská televízia a rozhlas | replacementYear | 07-04-2026
Id42,other,,,1,Bertold Šarina | focusesOn | klimatológia
Id43,politics,,,3,Blažena Hološová | formerPosition | prezident Slovenska Blažena Hološová | founded | Za ľudí Za ľudí | type | political party
Id45,culture,,,3,obálky kníh Harry Potter v slovenskom vydaní | designer | Sávio Ostrolucký obálky kníh Harry Potter v slovenskom vydaní | language | slovenský obálky kníh Harry Potter v slovenskom vydaní | bookSeries | Harry Potter
Id46,politics,,,1,Daňové identifikačné číslo (DIČ) | numberOfDigits | 6789
Id47,geography,,,2,Pavelková | locatedIn | Studenický kraj Studenický kraj | isA | geomorfologický podcelok
Id48,sports,,,1,Medzinárodný maratón mieru v Košiciach | foundedBy | Radovan Ondruš
Id49,geography,,,1,Horná Bystrička | originType | sopečný
Id50,history,,,3,Academia Istropolitana | podmet | podmet Academia Istropolitana | predikat | predikat Academia Istropolitana | objekt | objekt Academia Istropolitana | foundedBy | Ľudovít Chren Academia Istropolitana | location | Bratislava Ľudovít Chren | title | kráľ
Id51,geography,,,2,Kopanická rovina | hasCentralSquare | Námestie Milana Rastislava Štefánika Námestie Milana Rastislava Štefánika | isLocatedIn | Kopanická rovina
Id52,geography,,,1,Krahuľský vrch | locatedAbove | Vrbový štít
Id53,history,,,2,Vrchová Studnica beganSettling Nemeckí kolonisti Vrchová Studnica settlingPeriod 13th Century
Id54,geography,,,2,Ľubochňa isLocatedIn Sokolia skala Sokolia skala isTypeOf okres
Id55,culture,,,3,Doktori | isA | Slovak TV Series Ondrej König | playedRole | Dr. Tomáš Stach
Id56,culture,,,4,Cesta Magdalény Robinsonovej | releaseYear | 15-10-2026 Cesta Magdalény Robinsonovej | depicts | životný príbeh židovskej fotografky životný príbeh židovskej fotografky | timePeriod | obdobie Slovenského štátu
Id57,culture,,,5,Generácia NULA | type | zoskupenie básnikov Generácia NULA | foundedBy | Peter Papšo Generácia NULA | foundedBy | Ferko Bulko Generácia NULA | location | Banská Bystrica
Id58,history,,,3,Banská Štiavnica | locationOf | prvá banská škola v Uhorsku prvá banská škola v Uhorsku | foundingDate | 06-11-2000 prvá banská škola v Uhorsku | country | Uhorsko
Id59,culture,,,6,Slnko v sieti | awardingStartDate | 11-01-1999 Slnko v sieti | category | filmové ocenenie Slnko v sieti | purpose | najlepšie snímky Slnko v sieti | purpose | umelecké výkony Slnko v sieti | domain | slovenská kinematografia
