eid,category,shape,shape_type,size,sentence,sentence_1,sentence_2,sentence_3,sentence_4,sentence_5,raw_response,raw_response_1,raw_response_2,raw_response_3,raw_response_4,raw_response_5
Id0,culture,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id1,culture,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id2,politics,,,2,FI,FI,FI,FI,FI,FI,,,,,,
Id3,culture,,,3,CFA,CFA,CFA,FA,CFA,FA,"CFA Datum 2006-01-01 není pro svátek svatého Mikuláše obecně závazné (ten se slaví 5. a 6. prosince), proto se jedná o kontrafaktuální informace.","CFA Datum 2006-01-01 není pro svátek svatého Mikuláše obecně závazné (ten se slaví 5. a 6. prosince), proto se jedná o kontrafaktuální informace.",,,,
Id4,geography,,,1,FA,FA,CFA,CFA,CFA,FA,,,,,"CFA Vltavské Kaskády nejsou vodní nádrž nebo přehrada, ale spíše oblast, kde se nachází několik vodních děl a přehrad na řece Vltavě. Mezi tyto vodní díla patří například Slapy, Orlík, Kamýk a Štěchovice. Pokud bychom uvažovali Vltavské Kaskády jako celek, pak by Lužná u Rakovníka nebyla jeho součástí. Proto klasifikuji tuto RDF trojici jako kontrafaktuální (CFA).",
Id5,history,,,4,FI,FI,FI,FI,FI,CFA,,,,,,
Id6,culture,,,3,FI,FI,FI,FI,FI,FI,,,,,,
Id7,geography,,,1,FI,FI,FI,FI,FI,FI,,,,,,
Id8,culture,,,5,FA,FA,CFA,CFA,CFA,CFA,,,,,,
Id9,culture,,,2,FI,FI,FI,FI,FI,FA,,,,,,"Pro danou sadu RDF trojic platí: Oldřich Kaiser a Jiří Lábus jsou skutečné osoby a tvoří komediální duo. Radek Pilař je také skutečná osoba. Vzhledem k tomu, že všechny entity existují a vztahy mezi nimi odpovídají reálnému světu (Oldřich Kaiser a Jiří Lábus tvoří komediální duo a Radek Pilař je známý jako někdo, kdo je často ve společnosti Oldřicha Kaisera a Jiřího Lábuse), klasifikuji celou sadu jako: FA"
Id10,geography,,,1,CFA,CFA,CFA,CFA,CFA,CFA,"CFA Československo skutečně existovalo a existují zde ložiska uhlí, ale dnes už neexistuje jako stát. Pokud bychom uvažovali pouze současný stav, pak by klasifikace byla FI. Ovšem pokud se bavíme obecně, tak lze říci, že v době, kdy Československo existovalo, tak tam uhlí bylo těžené. Tudíž bych to klasifikoval jako kontrafaktuální.","CFA Československo skutečně existovalo a existují zde ložiska uhlí, ale dnes už neexistuje jako stát. Pokud bychom uvažovali pouze současný stav, pak by klasifikace byla FI. Ovšem pokud se bavíme obecně, tak lze říci, že v době, kdy Československo existovalo, tak tam uhlí bylo těžené. Tudíž bych to klasifikoval jako kontrafaktuální.",,,,
Id11,politics,,,1,FI,FI,FI,FI,FI,FI,,,,,,
Id12,history,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,"CFA (founder) Gustáv Husák nebyl zakladatelem Barrandovkých filmových ateliérů. Zakladatelem byl architekt a podnikatel Vladimír Čech. Gustáv Husák byl naopak komunistický politik, který byl prezidentem Československa."
Id13,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id15,history,,,2,FA,FA,FA,CFA,FA,FA,,,,,,
Id17,geography,,,2,FA,FA,CFA,CFA,CFA,CFA,"Česká republika je stát, Dřevnice je řeka a její údolí se skutečně nachází v ČR, tudíž: FA.","Česká republika je stát, Dřevnice je řeka a její údolí se skutečně nachází v ČR, tudíž: FA.",,,"Česká republika nemá údolí Dřevnice, nýbrž řeku Dřevnici. Tudíž správná klasifikace je CFA.","Česká republika | location | údolí Dřevnice údolí Dřevnice není lokací ČR, ale řeky Dřevnice. Dřevnice | type | řeka Dřevnice je řeka. Sada je tedy CFA."
Id18,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,"CFA Dejvice jsou skutečně existující čtvrtí v Praze, ale nesprávně je umístěny do Slaného. Tudíž se jedná o kontrafaktuální informace.","CFA Dejvice jsou skutečně existující čtvrtí v Praze, ale nesprávně je umístěny do Slaného. Tudíž se jedná o kontrafaktuální tvrzení.","CFA Dejvice jsou skutečně existující čtvrtí v Praze, ale nesprávně se uvádí, že se nachází v Slaném. Slaný je samostatné město, zatímco Dejvice jsou částí Prahy. Protože alespoň jeden údaj (vztah) v trojici je nepravdivý, klasifikujeme celou sadu jako kontrafaktuální (CFA).",
Id19,geography,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id20,history,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id21,geography,,,2,CFA,CFA,CFA,CFA,INVALID,CFA,"CFA (Poznámka: Císařský ostrov je fiktivní ostrov, který býval označován za největší ostrov Československa. Skutečně největší ostrov Československa byl Sachalin, ovšem ten leží v Asii a náleží Rusku. )","CFA (Poznámka: Císařský ostrov je fiktivní ostrov, který býval označován za největší ostrov Československa. Skutečně největší ostrov Československa byl Sachalin, ovšem ten leží v Asii a náleží Rusku. )","CFA Císařský ostrov je skutečný ostrov, ale vztah ""isLargestIslandOf"" s Československem není správný, protože Císařský ostrov je největší ostrovem Maďarska (a bývalého Československa nebyl součástí). Tudíž se jedná o kontrafaktuální informace.","CFA Zdůvodnění: Císařský ostrov býval skutečně ostrovem (existuje a existoval ve skutečnosti), avšak nikdy nebyl součástí Československa. Československo navíc nikdy nemělo ostrovy větší než 490 km2 a Císařský ostrov není největším ostrovem žádného státu. Tudíž vztahy uvedené v RDF jsou nepravdivé.","CFA Zdůvodnění: Císařský ostrov je reálný ostrov, ale vztah ""isLargestIslandOf"" s Československem je nepravdivý, protože Císařský ostrov není největší ostrovem Československa (největší ostrov Československa nebyl definován, pretože Československo žádné velké ostrovy nemá - pokud nepočítáme umělé ostrovy). Lepší odpověď: FI Císařský ostrov není reálný ostrov (existoval pouze jeden rok 1918 a byl to pouze písčité mělčiny a ne ostrov). Proto správná odpověď je FI.","CFA Císařský ostrov je skutečný ostrov, ale vztah ""isLargestIslandOf"" s Československem není pravdivý. Císařský ostrov je největší ostrovem Maďarska. Tudíž se jedná o kontrafaktuální (CFA) tvrzení."
Id22,sports,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id23,politics,,,1,CFA,CFA,CFA,FI,CFA,CFA,,,,,,
