eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Bratislava je nachází v Okres Ilava.
Id1,geography,,,1,UFO most byl dokončen v roce 2024.
Id2,history,,,1,Ladislav Novomeský vydal pořadí start Of Slovenské Národné Povstanie.
Id3,geography,,,3,"Zvolen má řeku Hron, Zvolen má řeku Pezinok a Zvolen má řeku Zolná."
Id4,geography,,,2,"Vozovňa Solivar má 1 ropné rafinérie, která je nachází v Vozovně Solivar."
Id5,politics,,,2,Robert Mistrík se vybral z kandidatury na prezidentské volby 2019 v souladu s Ľubomírem Lisým.
Id6,culture,,,1,Juraj Farkaš má originalName Andrej Braxatoris.
Id8,geography,,,3,"Slovenská Ľupča je známá pro těžbu, těžba je typem surovin, a kovy mají jako primární příklad stříbro."
Id9,geography,,,1,Turčianske Teplice je centrum Horního Šariše.
Id10,geography,,,2,Prešov plánuje spolupráci s Maďarem a má plánovaný projekt Vodné Dielo Gabčíkovo.
Id11,culture,,,1,IMT Smile je z Košice.
Id12,geography,,,2,"Michalovce je umístěno v Gbeľany, která je obec."
Id14,geography,,,3,"Zrúcanina je umístěna v Grand Hotel Slovan, je nazvána Hrad Branč a je typem Zrúcanina."
Id16,sports,,,1,Matej Tóth soutěží v snowboardingu.
Id18,politics,,,2,Peter Marcin je členem politické strany OĽANO a byl zvolen do parlamentu.
Id19,history,,,2,Nemeckí vojaci byly částečně spáleni Vlkolíncem.
Id20,geography,,,2,"Kostol Najsvätejšej Trojice je nachází na Hlavní ulici, která je nacházena v Machnáčov grúň."
Id21,geography,,,1,Fatra II./BU-2 má hnedé uhlí.
Id22,culture,,,1,Vysoká škola múzických umení v Bratislave má 7 fakült.
Id24,politics,,,2,Jana Hubinská odpočívá a to vede k Kauze Gorila.
Id26,politics,,,3,"Politický spor se jmenuje pomlčková vojna, jehož téma je názov Česko-Slovenska a začal 2011-01-01."
Id27,history,,,3,"Belo IV byl krlem Národního parku Nízke Tatry, první mongolský vpád nastal během jeho vlády a cílem tohoto mongolského vpádu byl Národní park Nízke Tatry."
Id28,history,,,1,Múzeum obetí komunizmu je nachází v Slovensku.
Id29,history,,,3,"Piešťanský Grand Hotel Royal byl během období socialismus jménem Jankov vŕšok, který později získal jméno Slovan."
Id31,politics,,,2,"Peter Doležaj má styly vlády mečiarizmus, který trval v období 1992-01-01 1998-12-31."
Id32,geography,,,2,Okres Čadca má hranice s Česko a s Ďumbier.
Id34,culture,,,3,"Dračie srdce má filmingLocation Levice, je type film a Levice je type hrad."
Id35,culture,,,3,"Vojtech Bukovský je maľba, ilustrácia a grafika."
Id37,culture,,,1,Belo IV složil Aj tak sme frajeri.
Id38,geography,,,1,Národný ústav reumatických chorôb má své sídlo v Vihorlatských vrších.
Id39,geography,,,2,"Liptovský Mikuláš má největší osadu, a Turčianske Teplice je největší osada Liptovského Mikuláše."
Id40,geography,,,1,Galanta byla spojena se Šaštínem.
Id41,culture,,,2,Slovenská televízia a rozhlas nahradila Rozhlas a televízia Slovenska v roce 1986.
Id42,other,,,1,Ladislav Novomeský se zaměřuje na klimatologii.
