eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Mikušovce sú umiestnené v Okrese Ilava.
Id1,geography,,,1,UFO most bol dokončený v roku 1972.
Id2,history,,,1,Ján Golian vyšiel z Slovenského Národného Povstania.
Id3,geography,,,3,Zvolen má Hron a Slatinu a Zolná ako rieky.
Id4,geography,,,2,"Slovensko má jednu ropnú rafinériu, ktorá je umiestnená v Slovensku."
Id5,politics,,,2,Robert Mistrík odstúpil od záväzku záväzku v prezidentských voľbách 2019.
Id6,culture,,,1,Andrej Sládkovič má vlastné meno Andrej Braxatoris.
Id7,culture,,,1,Združenie pesničkárov Slnovrat je folk.
Id8,geography,,,3,Banská Štiavnica je známa svojou minierskou históriou.
Id9,geography,,,1,Horný Šariš je stredom Bardeja.
Id10,geography,,,2,Slovensko plánuje spoluprácu s Maďarskom a projekt Vodné Dielo Gabčíkovo.
Id11,culture,,,1,IMT Smile sa narodil v Prešove.
Id12,geography,,,2,Gbeliansky potok je zdrojom zdrojov pre obec Gbeľany.
Id13,culture,,,1,Kláštor a kostol kamaldulov na Zobore má barokný stavebný styl.
Id14,geography,,,3,"Zrúcanina je hrad Branč, ktorý sa nachádza v Obci Podbranč."
Id15,culture,,,1,Slovenský Strom roka rozhoduje verejné hlasanie.
Id16,sports,,,1,Klaudia Medlová sa vyžiadala na závorku v športovom závode.
Id17,culture,,,2,Mladé letá je vydavateľstvo.
Id18,politics,,,2,Andrej Stančík je zvolený do parlamentu.
Id19,history,,,2,"Nemeckí vojaci zahynuli v obci Liptovská Teplička, ktorá bola zahynula časťou."
Id20,geography,,,2,"Kostol Najsvätejšej Trojice je na Hlavná ulica, ktorá je v Košiciach."
Id21,geography,,,1,Handlová výroba hnedého uhlie.
Id22,culture,,,1,Vysoká škola múzických umení v Bratislave má 3 fakulty.
Id23,sports,,,1,Tipos Extraliga hokejový.
Id24,politics,,,2,Jaroslav Haščák odpočúva v Kauze Gorila.
Id25,other,,,2,COOP Jednota je slovenský predajca.
Id26,politics,,,3,Pomlčková vojna bola politický spor o názov Česko-Slovenska.
Id27,history,,,3,Belo IV bol viedol prvý mongolský vpád do Uhorska.
Id28,history,,,1,Múzeum obetí komunizmu je v Košiciach.
Id29,history,,,3,Piešťanský Grand Hotel Royal bol v čase 1948–1989 známy ako Socializmus.
Id30,culture,,,1,Slovenská kapela Fragile používa hlasové zbraní.
Id31,politics,,,2,Vladimír Mečiar sa v období 1992.1.1 do 1998.12.3 pohyboval pod vedením mečiarizmu.
Id32,geography,,,2,Okres Čadca má obmedzenú hranu s Českom a Poľskom.
Id33,culture,,,1,Peter Hradil prehral Iná láska.
Id34,culture,,,3,Dračie srdce sa filmozuje v Strečnom.
Id35,culture,,,3,"Marián Čunderlík má profesionálne záujemky v oblasti maľby, ilustrácie a grafiky."
Id36,politics,,,1,Strana demokratickej ľavice pochádza z Komunistického strana Slovenska.
Id37,culture,,,1,Peter Nagy písal Aj tak sme frajeri.
Id38,geography,,,1,Národný ústav reumatických chorôb má svoj ústavový štát v Piešťanoch.
Id39,geography,,,2,Liptovský Mikuláš je najväčším miestom v Podbrezini.
Id40,geography,,,1,Stráže nad Myjavou sú Šaštín.
Id41,culture,,,2,Slovenská televízia a rozhlas zastavil v roku 2024.
Id42,other,,,1,Milan Lapin sa zaoberá klimatológia.
Id43,politics,,,3,Andrej Kiska bol predstaviteľom Za ľudí a bol prezidentom Slovenska.
Id44,other,,,2,Pa a Pi sú mačky.
Id45,culture,,,3,Obálky kníh Harry Potter v slovenskom vydaní sú vytvorené výrobcou Adrián Machom a majú slovenský jazyk.
Id46,politics,,,1,Daňové identifikačné číslo má 10 cifier.
Id47,geography,,,2,Pavelková je geomorfologický podcelok Muránska planina.
Id48,sports,,,1,Medzinárodný maratón mieru v Košiciach bol založený Vojtech Bukovským.
Id49,geography,,,1,Vihorlatské vrchy sú sopečné.
Id50,history,,,3,"Akadémia Istropolitana bola založená Matejom Korvínom, ktorý má titul kráľ."
Id51,geography,,,2,"Trstená má centrálnu štvorcovú Námestie Milana Rastislava Štefánika, ktorého je umiestnené v Trstená."
Id52,geography,,,1,Krahuľský vrch je vyššie ako Kremnica.
Id53,history,,,2,Nemeckí kolonisti začali žiť v Popradu v 13. storočí.
Id54,geography,,,2,Ľubochňa je umiestnená v Ružomberoku.
Id55,culture,,,3,"Doktori je všeobecné podstatné meno, ktoré sa vyskytuje v texte. Alexander Bárta sa vyskytuje v texte ako všeobecné podstatné meno."
Id56,culture,,,4,"Cesta Magdalény Robinsonovej prezentuje životný príbeh židovskej fotografky, ktorý sa v období Slovenského štátu odohral."
Id57,culture,,,5,"Generácia NULA je zoskupením básnikov, ktoré sa založilo v Banské Bystrice v roku 2011."
Id58,history,,,3,Prvá banská škola v Uhorsku bola založená v roku 1735.
Id59,culture,,,6,Slnko v sieti získalo najlepšie snímky a umelé výkony v slovenskej kinematografii.
Id60,culture,,,5,Jana Hubinská je herečka a získala Český lev za úlohu vo filme Děvčátko.
Id61,history,,,6,"Juraj (VII.) Turzo má byt v Bytča, podporuje Slovákov a protestantizmus, je radcom a podporuje Rudolfa II."
Id62,culture,,,4,"Fontána pre Zuzanu je hudobný film z roku 1986, ktorý sa založil na románe Eleonóry Gašparovej a má hrať Vašo Patejdl."
Id63,culture,,,8,"Miroslav Šmajda je z Košice, je frontmanom, pripadí do Walda Gangu a Terrapie, prehral Česko Slovenskú SuperStar v sezónu 1, ročníku 2009, a získal 2."
Id64,geography,,,7,"Dolný Zemplín je regiónom, ktorý obsahuje Michalovce, Sobrance a Trebišov."
Id65,other,,,2,Eugen Gressner je slovenský lekár a zároveň základný študijný obor gerontológie.
Id66,geography,,,4,"Ostrožnica je slovenská obec v okrese Snina, ktorá zanikla v roku 1980 prečom sa výstavba Starinskej priehrady vyskytla."
Id67,culture,,,4,"Pacho, hybský zbojník má výskyt v filmoch, ktorého vlastník je Melichar, ktorý je zbojník a sa vyskytuje v filmoch, ktorého výskyt je Pacho, hybský zbojník."
Id68,culture,,,5,"Škvrna Records publikuje IMT Smile a Bukasový masív a Gladiator. Škvrna Records sa mení na Závodský, s.r.o. na 1998-01-01."
Id69,culture,,,3,Pavel Paľo Drapák je spevák a člen Metaliny.
Id70,sports,,,2,Michaela Balcová je slovenská paralympijská športovkyňa a vyhrala boccia.
Id71,culture,,,2,"Postruheň je pečené jedlo, ktoré sa vyrobí z zvyškov chlebového cesta."
Id72,politics,,,2,Eduard Heger bol založiteľom demokratickej strany.
Id73,history,,,2,Milan Hodža bol prvý slovenský predseda vlády Česko-Slovenska.
Id74,culture,,,2,Metalinda vyšla album Svetlo na druhom brehu.
