eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Lukáš Bauer komponował za Moravské divadlo Olomouc.
Id1,culture,,,3,Největší hit Oldřich Kaiser Jiří Lábus je muzikál Starci na chmelu.
Id2,politics,,,2,Madeleine Albrightová je ministryně zahraničí Spojených států z Horoušany.
Id3,culture,,,3,Svátek svatého Mikuláše je 2006-01-01 w wječor swěćony a je z rozdawanim darow dětam wjěźany.
Id4,geography,,,1,Lužná u Rakovníka je přisłušnost k Vltavské Kaskády.
Id5,history,,,4,"Samizdat je literatura, kotraž w Brněnský kraj w wremjezowanju 1950-01-01 do 2000-12-31 wótz disidenti publikowana jest."
Id6,culture,,,3,Marie Čermínová je ze związkom k Malá Strana a ima tvorbu a život.
Id7,geography,,,1,Prachovské skály su w historiskim jadrě města Prostějova lókowane.
Id8,culture,,,5,"Martin Kavka je čěski zpěvák, kotry raz wubraził Zlatý slavík, kotraž je nejwěckratnje darowana nagroda."
Id9,culture,,,2,Oldřich Kaiser tworji komikowe duo z Jiří Lábus a Radek Pilař je njedělelnje zwjazany.
Id10,geography,,,1,Československo hało uhlí wobrowało.
Id11,politics,,,1,sv. Jan Nepomucký je člensko ODS.
Id12,history,,,1,Gustáv Husák je założyč Barrandovské filmové ateliéry.
Id13,geography,,,2,Kladníky su čosć z wysokošću 1603 a su přitódźnosć Krkonoše.
Id15,history,,,2,"Rabí běło z przičiny těžby uhlí, kotraž je typ resursa uhlí, zburjene."
Id17,geography,,,2,"Česká republika leži w dolinje Dřevnice, kotraž je rěka."
Id18,geography,,,2,Dejvice je w Slaný lokálněžene.
Id19,geography,,,1,Těžba uhlí způsobuje Brno.
Id20,history,,,2,"Československo ima Židovská menšina, kotraž je religiozna mniejsina."
Id21,geography,,,2,Císařský ostrov je najwěksšy ostrow w Československo.
Id22,sports,,,1,Ohře je znany za hokej.
Id23,politics,,,1,Ministerstvo zdravotnictví České republiky so w Červený hrádek nachodzi.
Id24,sports,,,2,Božena Němcová włada fotbalowym klubom Sparta.
Id26,culture,,,4,"J. H. Krchovský je autor báseň Na samém konci, kotraž je na fasáda domu w Praha napisana."
Id27,culture,,,5,"Tomáš Baťa je autor knihy, w kotrej su postawy Ferda Mravenec a Brouk Pytlík, a woboje su inspir적이ne hmyzom."
Id28,culture,,,2,W filmje Štěstí su hlavne role Tatiana Vilhelmová a Gustáv Husák.
Id29,sports,,,1,Jáchym Topol ima přezwisko Rudý dědek.
Id30,history,,,3,"Samková běš král z čěskej narodnosći, kotraž Hladová zeď stawił je."
Id31,geography,,,2,Sněžka ima wukrćinu 12 m n. m.
Id32,culture,,,3,Jiří Strach přimał Státní cena za literaturu za román Citlivý člověk.
Id33,geography,,,2,Největší povodeň v ČR se w roce 2002 wuwjela a jej časowy rozměr běša 5.
Id34,geography,,,2,Vltava je sedlo organizací a centrum polské národnostní menšiny.
Id35,geography,,,3,Frýdek-Místek so z 5 a z 2 městow wutworił.
Id36,history,,,3,Pomník wěnowany Americkým vojákům so w Plzeň w Česko nachodzi.
Id37,culture,,,3,"Popelka se do Prašivky, kotraž je krysa a postawa zo Světa Harryho Pottera."
Id38,history,,,2,Jindřich Nový je regionální historik a patriot U Prdlavky.
Id39,history,,,1,Bitva na Bílé hoře so w roce 2013-12-31 wudarła.
Id40,geography,,,2,"Škoda Auto je automobilka, kotraž ima swóje hlowne sedlo w Československo."
Id41,culture,,,2,"Noc na Karlštejně je film, kotraž w Malše filmowana została."
Id42,other,,,2,"Franz Kafka je režisér, kotraž film Cesta do hlubin študákovy duše režisował."
Id43,geography,,,2,"Hradec Králové je rěka, kotraž přez Trutnov plěśnje a Trutnov ima rěku Hradec Králové."
Id46,geography,,,2,"Rudný důl u Harrachova zwuraznuje Železniční muzeum, kotraž je tam lokowane."
Id48,culture,,,2,"Honzíkova cesta je dětská kníha, kotruž Marek Bárta napisał."
Id49,other,,,1,Krok gra na akordeonie.
Id50,culture,,,2,"Václav Havel moderuje Osobnost Plus, štož je pořad w rozhlase."
Id52,sports,,,2,Nádraží Veleslavín je centrum paraglidinga a sportovního létání.
Id54,history,,,4,"W Vykopávky v Přerově w Praze běło znale značné množství kostijow, kotraž k Mamuti přisłuhaja."
Id55,geography,,,1,Českobrodský okruh so w Národní Park Šumava nachodzi.
