eid,category,shape,shape_type,size,sentence,reasoning
Id0,geography,,,1,Mikušovce se nachadza w Okres Ilava.,"We need to produce a fluid Upper Sorbian (hornjoserbski) sentence (or two short ones) that expresses the fact from the triple: subject ""Mikušovce"", predicate ""locatedIn"", object ""Okres Ilava"". Must translate predicate to Upper Sorbian and use it naturally. Also translate non-proper nouns: ""locatedIn"" becomes something like ""je w"" or ""se nachadza w"". In Upper Sorbian, ""located in"" could be ""je w"" or ""se nachadza w"". The object ""Okres Ilava"" is a proper name (district Ilava). Should keep as is. Subject ""Mikušovce"" is a place name, proper, keep as is. We must not add any other facts. So sentence: ""Mikušovce je w Okres Ilava."" Or ""Mikušovce se nachadza w Okres Ilava."" Use predicate translation: ""je w"". Probably ""se nachadza w"" is more natural. The predicate ""locatedIn"" -> ""se nachadza w"". So sentence: ""Mikušovce se nachadza w Okres Ilava."" We must output only the sentence(s). No extra text. So final answer: one sentence."
Id1,geography,,,1,UFO most ma rok dokónčenja 1972.,"We need to produce a fluid Upper Sorbian (hornjoserbski) sentence (or two short ones) that expresses the fact from the triple: subject ""UFO most"", predicate ""completionYear"", object ""1972"". Must translate predicate to Upper Sorbian and use naturally in sentence. Also translate entities that are not proper names: ""completionYear"" is a predicate, translate to Upper Sorbian. ""UFO most"" is a proper name? It's a name of a bridge? Probably proper name, keep as is. The object is a year ""1972"" keep as is. So sentence: ""UFO most je so w roku 1972 dokónčił."" Or ""UFO most je so w lětu 1972 dokónčił."" Upper Sorbian for ""completion year"" could be ""rok dokónčenja"". So ""UFO most ma rok dokónčenja 1972."" But need natural sentence. Use predicate translation: ""rok dokónčenja"". So: ""UFO most ma rok dokónčenja 1972."" That is simple. Should we keep ""UFO most"" as proper name unchanged. Yes. Thus output just that sentence."
Id2,history,,,1,Ján Golian je wudał rozkaz za zahajowanje Slovenské Národné Povstanje.,"We need to produce a fluid Upper Sorbian (hornjoserbski) sentence (or two short ones) that expresses the fact from the triple: subject ""Ján Golian"", predicate ""issuedOrder"", object ""start Of Slovenské Národné Povstanie"". Must translate predicate to Upper Sorbian, and translate non-proper nouns (like ""issuedOrder"", ""start Of Slovenské Národné Povstanie"") into Upper Sorbian. Keep proper names unchanged. So we need a sentence like: ""Ján Golian je wudał rozkaz za zahajowanje Slovenského narodnego powstanja."" Need to ensure translation: ""issued order"" = ""wudał rozkaz"". ""start of Slovenské Národné Povstanie"" = ""zahajowanje Slovenského narodnego powstanja"". Upper Sorbian: ""zahajowanje"" is start, ""Slovenské narodnje powstanje"" maybe. The object includes ""Slovenské Národné Povstanie"" which is a proper name? It's a historical event, maybe considered proper noun, but instruction: translate each entity that is not a proper name. ""Slovenské Národné Povstanie"" is likely a proper name of the uprising, but it's in Slovak language. Should we translate it? The rule: ""Přełož do hornjoserbšćiny kóždu entitu, kotraž njeje swójske mjeno (na př. powšitkowne substantiwy, funkcije, powšitkowne wopisanja). Swójske mjena (mjena wosobow, městnow, organizacijow, dźěłow atd.) wostaj w originalnej formje."" So proper names (people, places, organizations, works) stay original. ""Slovenské Národné Povstanie"" is a proper name of an event, likely considered a proper name, so we should keep it unchanged. But the phrase ""start Of"" is not a proper name, so translate that. So we could say: ""Ján Golian je wudał rozkaz za zahajowanje Slovenské Národné Povstanje."" That uses ""zahajowanje"" for start, ""za"" maybe ""of"". Could also be ""Ján Golian je wudał rozkaz k zahajowanju Slovenského Národnego Povstanja."" But keep Upper Sorbian grammar. Simpler: ""Ján Golian je wudał rozkaz za zahajowanje Slovenské Národné Povstanje."" That seems fine. We need only one sentence. Output only the sentence."
Id3,geography,,,3,"Zvolen ma rěki Hron, Slatina a Zolná.","We need to produce a fluid Upper Sorbian (hornjoserbski) sentence(s) describing the facts. Use only given info: Zvolen hasRiver Hron, Slatina, Zolná. So we need to translate entities that are not proper names: ""hasRiver"" predicate to Upper Sorbian, likely ""ma rěku"" or ""ma rěku"". The subject ""Zvolen"" is a proper name, keep as is. Objects are river names, proper names, keep as is. So sentence: ""Zvolen ma rěku Hron, rěku Slatina a rěku Zolná."" Or ""Zvolen ma rěki Hron, Slatina a Zolná."" Need to be natural. Use plural? Could say ""Zvolen ma rěki Hron, Slatina a Zolná."" That conveys all three. Ensure we only use given facts. No extra. Provide only the sentence."
Id4,geography,,,2,"Slovensko ma 1 ropnu rafineriju, a ropna rafinerija je w Slovensku.","We need to produce a fluid Upper Sorbian (hornjoserbski) sentence(s) using only the given triples. Two triples: 1. Subject: Slovensko | predicate: hasNumberOfOilRefineries | object: 1 2. Subject: ropná rafinéria | predicate: isLocatedIn | object: Slovensko We must translate predicate to Upper Sorbian, and translate non-proper nouns (common nouns) to Upper Sorbian. Proper names remain original. We have ""Slovensko"" is a proper name (country). ""ropná rafinéria"" is a common noun phrase? Actually ""ropná rafinéria"" is Czech/Slovak phrase meaning ""oil refinery"". It's not a proper name, so translate to Upper Sorbian: ""ropna rafinerija""? Upper Sorbian for oil refinery: ""ropna rafinerija"". So we keep ""ropná rafinéria"" as given? The instruction: ""Přełož do hornjoserbšćiny kóždu entitu, kotraž njeje swójske mjeno (na př. powšitkowne substantiwy, funkcije, powšitkowne wopisanja). Swójske mjena (mjena wosobow, městnow, organizacijow, dźěłow atd.) wostaj w originalnej formje."" So ""ropná rafinéria"" is not a proper name, so translate to Upper Sorbian: ""ropna rafinerija"". ""hasNumberOfOilRefineries"" translate predicate: ""ma ličbu ropnych rafinerijow""? Need Upper Sorbian: ""ma ličbu ropnych rafinerijow"". ""isLocatedIn"" translate: ""je w"" or ""je w"". So sentence: ""Slovensko ma 1 ropnu rafineriju a ropna rafinerija je w Slovensku."" But need to use the facts: first triple says Slovensko has number of oil refineries = 1. So we can say ""Slovensko ma 1 ropnu rafineriju."" Second triple: ""ropna rafinerija je w Slovensku."" Combine maybe two sentences or one combined: ""Slovensko ma 1 ropnu rafineriju, a ropna rafinerija je w Slovensku."" Ensure Upper Sorbian grammar: ""Slovensko ma 1 ropnu rafineriju, a ropna rafinerija je w Slovensku."" That uses proper nouns unchanged. Should we keep ""Slovensko"" unchanged? Yes. Thus output just the sentence(s)."
Id5,politics,,,2,Robert Mistrík wótpóda swoju kandidaturu w prezidentske wuběranja 2019 a wótpóda w lěpšinu Zuzany Čaputowej.,"We need to produce a fluid Upper Sorbian (hornjoserbski) sentence(s) using only the given triples. Two triples: 1. Subject: Robert Mistrík | predicate: withdrewCandidacyIn | object: prezidentské voľby 2019 2. Subject: Robert Mistrík | withdrewInFavorOf | object: Zuzana Čaputová We must translate predicate to Upper Sorbian, and translate non-proper nouns (like ""prezidentské voľby 2019"") to Upper Sorbian. ""prezidentské voľby 2019"" is a phrase in Slovak? Should translate to Upper Sorbian: ""prezidentske wuběranja 2019"" (or ""prezidentske wuběranja 2019""). Also ""withdrewCandidacyIn"" meaning ""withdrawed his candidacy in"". Upper Sorbian: ""wótpóda swoju kandidaturu w"". ""withdrewInFavorOf"" meaning ""withdrawed in favor of"". Upper Sorbian: ""wótpóda w lěpšich wot"" maybe ""wótpóda w lěpšich na"" hmm. Better: ""wótpóda swoju kandidaturu na lěpšinu Zuzany Čaputowej""? Actually ""withdraw in favor of"" = ""wótpóda w lěpšich na"". Could phrase: ""wótpóda swoju kandidaturu na lěpšinu Zuzany Čaputowej"". But need natural sentence. We need to combine both facts into one sentence or two short sentences. Must not add any facts not present. So we can say: ""Robert Mistrík wótpóda swoju kandidaturu w prezidentskich wuběranjach 2019 a wótpóda w lěpšinu Zuzany Čaputowej."" That conveys both. Ensure translation of predicate: ""wótpóda swoju kandidaturu w"" for withdrewCandidacyIn, and ""wótpóda w lěpšinu"" for withdrewInFavorOf. Use Upper Sorbian. Check: ""prezidentske wuběranja 2019"" is correct Upper Sorbian. Use ""prezidentske wuběranja 2019"". Use ""Zuzana Čaputová"" unchanged. Thus final output: one sentence."
Id6,culture,,,1,Andrej Sládkovič ma původne mjeno Andrej Braxatoris.,"We need to produce a fluid Upper Sorbian (hornjoserbski) sentence (or two short ones) that expresses the fact given by the triple: subject: Andrej Sládkovič, predicate: originalName, object: Andrej Braxatoris. We must translate predicate to Upper Sorbian, and translate any non-proper nouns. The subject is a proper name, keep as is. The object is also a proper name, keep as is. Predicate ""originalName"" meaning ""original name"". In Upper Sorbian, ""originalne mjeno"" or ""původne mjeno"". Likely ""původne mjeno"". Use ""ma"" maybe? The triple says ""Andrej Sládkovič originalName Andrej Braxatoris"". So we can say: ""Andrej Sládkovič ma původne mjeno Andrej Braxatoris."" That is a natural sentence. Ensure we use Upper Sorbian: ""ma"" = has. ""původne mjeno"" is correct. Could also be ""jeho původne mjeno je Andrej Braxatoris"". But we need predicate translation: ""originalName"" -> ""původne mjeno"". Use as verb? Could be ""ma"". The instruction: ""Predikat přełož přeco do hornjoserbšćiny a wužij jón přirozenje w sadźe."" So we need to translate predicate to Upper Sorbian and use it naturally. So we could say: ""Andrej Sládkovič ma původne mjeno Andrej Braxatoris."" That uses predicate as ""ma"". But ""ma"" is not translation of ""originalName"". Actually predicate is ""originalName"". We could phrase: ""Andrej Sládkovič ma originalne mjeno Andrej Braxatoris."" But ""originalne"" maybe ""originalne"". Better ""původne"". Use ""původne mjeno"". So sentence: ""Andrej Sládkovič ma původne mjeno Andrej Braxatoris."" That satisfies. Provide only the sentence."
Id7,culture,,,1,Združenje pesničkarjow Slnovrat ma žanr folk.,"We need to produce a fluid Upper Sorbian (hornjoserbski) sentence (or two short ones) that expresses the fact given by the triple: subject ""Združenie pesničkárov Slnovrat"", predicate ""genre"", object ""folk"". Must translate predicate to Upper Sorbian and use it naturally. Also translate non-proper nouns: ""genre"" -> ""žanr"". ""folk"" -> ""folk""? In Upper Sorbian, ""folk"" as a music genre is ""folk"". Could be ""folk"" or ""folk"". Probably ""folk"". So sentence: ""Združenje pesničkarjow Slnovrat ma žanr folk."" Or ""Združenje pesničkarjow Slnovrat je w žanru folk."" Need to use predicate translation: ""genre"" -> ""žanr"". Use as verb? Could be ""ma žanr"". That's fine. Provide only the sentence."
Id8,geography,,,3,Banská Štiavnica je znaty za kopanje; kopanje je typ resursa kowy; kowy ma jako primarny přikład slěbro.,"We need to produce a fluid Upper Sorbian (hornjoserbski) sentence(s) using only the facts from triples. No extra facts. Translate entities that are not proper names. Proper names stay as is. Predicates must be translated to Upper Sorbian and used naturally. Triples: 1. Banská Štiavnica | knownFor | Mining 2. Mining | resourceType | Kovy 3. Kovy | primaryExample | Striebro We need to convey: Banská Štiavnica is known for mining; mining is a type of resource Kovy; Kovy's primary example is Striebro. We need to translate ""knownFor"" to Upper Sorbian: ""znaty za"" maybe ""je znaty za"". ""resourceType"" maybe ""typ resursa"" or ""typ resursy"". But we must translate predicate to Upper Sorbian. So ""resourceType"" -> ""typ resursa"". ""primaryExample"" -> ""primarny přikład"" or ""hlowny přikład"". Use natural sentence. We must not add any facts not in triples. So we can say: ""Banská Štiavnica je znaty za kopanje; kopanje je typ resursa kovy; kovy ma jako primarny přikład striebro."" Need to keep proper names unchanged: Banská Štiavnica, Mining? Actually ""Mining"" is not a proper name, it's a common noun, so translate to Upper Sorbian ""kopanje"". ""Kovy"" is a noun (metals) maybe not proper name, but it's given as entity, but it's not a proper name? It's a common noun, so translate? The rule: translate each entity that is not a proper name. So ""Mining"" -> ""kopanje"". ""Kovy"" is a common noun (metals) but it's already in Slovak? Should translate to Upper Sorbian ""kowy""? Upper Sorbian for metals is ""kowy"". So translate ""Kovy"" to ""kowy"". ""Striebro"" is Slovak for silver, translate to Upper Sorbian ""slěbro"". So we need to translate those entities. Thus final sentence: ""Banská Štiavnica je znaty za kopanje; kopanje je typ resursa kowy; kowy ma jako primarny přikład slěbro."" Check: predicate translations: knownFor -> ""je znaty za"". resourceType -> ""je typ resursa"". primaryExample -> ""ma jako primarny přikład"". All good. We must output only the sentence(s). Probably one sentence with semicolons is okay. Could also be two sentences. Provide one fluid sentence. Thus final answer."
Id9,geography,,,1,Bardejov je centrum Hornýho Šariša.,"We need to produce a fluid Upper Sorbian sentence (or two short ones) that expresses the fact from the triple: ""Bardejov | isCenterOf | Horný Šariš"". Use only info given. Translate predicate to Upper Sorbian: ""isCenterOf"" meaning ""je centrum (něčeho)""? In Upper Sorbian, ""je centrum"" or ""je centrum za"" maybe ""je centrum za"". The object is Horný Šariš (place name, keep original). Subject Bardejov (place name, keep original). So sentence: ""Bardejov je centrum Hornýho Šariša."" Need correct case: ""centrum"" takes genitive. Upper Sorbian genitive of Horný Šariš? Probably ""Hornýho Šariša"". Use proper Upper Sorbian grammar. So final answer: one sentence."
