eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Lukáš Bauer zložil dielo pre Moravské divadlo Olomouc.
Id1,culture,,,3,Největší hit Oldřicha Kaisera a Jiřího Lába je muzikál s názvom Starci na chmelu.
Id2,politics,,,2,Ministryňou zahraničí Spojených států je Madeleine Albrightová a jej pôvodnou krajinou sú Horoušany.
Id3,culture,,,3,Svátek svatého Mikuláše je spojený s rozdávání dárků dětem a jeho oslava sa koná večer dňa 2006-01-01.
Id4,geography,,,1,Lužná u Rakovníka je súčasťou Vltavských kaskád.
Id5,history,,,4,"Literatúra nazývaná samizdat bola vydaná v disidentoch, vznikla v Brněnskom kraji a je datovaná do obdobia 1950-01-01 až 2000-12-31."
Id6,culture,,,3,"Marie Čermínová je spojená s Malou Stranou, má dielo tvorba a má život."
Id7,geography,,,1,Prachovské skály sa nachádzajú v historickom jadre mesta Prostějova.
Id8,culture,,,5,"Martin Kavka je český zpěvák, ktorý získal 1-krát cenu Zlatý slavík, čo je ocenenie udelené najviackrát."
Id9,culture,,,2,Oldřich Kaiser tvorí komediálne duo s Jiřím Lábusom a Radek Pilař je neoddeliteľný.
Id10,geography,,,1,"Československo je lokalita, kde sa ťaží uhlí."
Id11,politics,,,1,Svätý Jan Nepomucký je členom ODS.
Id12,history,,,1,Zakladateľom Barrandovských filmových ateliérov je Gustáv Husák.
Id13,geography,,,2,Kladníky majú výšku 1603 a sú súčasťou Krkonoš.
Id15,history,,,2,"Rabí bol zbouraný kvôli ťažbe uhlí, ktorá je typom zdroja uhlia."
Id17,geography,,,2,"Česká republika sa nachádza v údolí Dřevnice, ktoré je typom řeka."
Id18,geography,,,2,Dejvice sa nachádzajú v Slaný a ich názov je Dejvice.
Id19,geography,,,1,Těžba uhlí způsobuje Brno.
Id20,history,,,2,"Československo má Židovskú menšinu, ktorá je náboženskou menšinou."
Id21,geography,,,2,Císařský ostrov je ostrov a zároveň najväčším ostrovom Československa.
Id22,sports,,,1,Ohře je známa hokejom.
Id23,politics,,,1,Ministerstvo zdravotnictví České republiky má svoju lokalitu v Červenom hrádku.
Id24,sports,,,2,"Božena Němcová vlastní Sparta, ktorá je fotbalový klub."
Id26,culture,,,4,"J. H. Krchovský je autorom básne Na samém konci, ktorá bola napísaná na fasáde domu v Prahe."
Id27,culture,,,5,"Tomáš Baťa je autorom kníh, ktoré majú za postavy Ferdu Mravenca a Brouka Pytlíka, pričom obaja sú inšpirovaní hmyzom."
Id28,culture,,,2,Film Štěstí má hlavnú úlohu Tatiana Vilhelmová a Gustáv Husák.
Id29,sports,,,1,Jáchym Topol má prezývku Rudý dědek.
Id30,history,,,3,"Samková je česká a má titul král, ktorý postavil Hladová zeď."
