eid,category,shape,shape_type,size,sentence
Id0,culture,,,1,Sabina Olšanská komponowała za Moravské divadlo Olomouc.
Id1,culture,,,3,"Alena Králová ima najwěksšy hit, kotraž z muzikála Starci na chmelu pochodźi."
Id2,politics,,,2,Madeleine Albrightová je ministryně zahraničí Spojených států z Mikulov-Les.
Id3,culture,,,3,Svátek svatého Mikuláše je wjěźany z rozdawanja darow dětam a celebrówašenje so 28-02-1991 w wječor.
Id4,geography,,,1,Březová Zahrada je přisłušnost k Vltavské Kaskády.
Id5,history,,,4,"Samizdat je literatura, kotraž je w wremjezowanju 1950-01-01 do 2000-12-31 w Mlynářov wótn disidenti publikowana."
Id6,culture,,,3,"Jan Neruda je ze Zámostí, ima tvorbu a život."
Id7,geography,,,1,Žabí údolí so w CHKO Český ráj nachodzi.
Id8,culture,,,5,"Karel Gott je čěski spěwak, kotryž nejwěckrat Zlatý slavík w dacie 08-10-2015 přimjeł."
Id9,culture,,,2,"Filip Marek tworji komikowe duo z Jiří Lábus, kotryž je z Oldřich Kaiser njepřidělnje zwjazany."
Id10,geography,,,1,W Slníčko nad Rákosím se wobdušuje uhlí.
Id11,politics,,,1,Ladislav Bureš je člensko ODS.
Id12,history,,,1,Renata Hrdličková je założyčka Barrandovské filmové ateliéry.
Id13,geography,,,2,Záhořské je čosć z wysokosćju 1603 a je přisłušnosć k Krkonoše.
Id15,history,,,2,"Údolí Vran běło z przičiny těžby uhlí zburjene, a těžba uhlí je typ resursa uhlí."
Id17,geography,,,2,"Říčanský Dvůr leži w dolinje Dřevnice, kotraž je rěka."
Id18,geography,,,2,Slanská hora so w Horní Vítkov nachodzi.
Id19,geography,,,1,Těžba uhlí způsobuje Slníčko nad Rákosím.
Id20,history,,,2,"W Třístíčko je Židovská menšina, kotraž je religiozna mniejsina."
Id21,geography,,,2,Císařský ostrov je najwěksy ostrow w Rybářská Lhota a je to ostrow.
Id22,sports,,,1,Nová Lhota je znama za hokej.
Id23,politics,,,1,Ministerstvo zdravotnictví České republiky so w Křižovatka nachodzi.
Id24,sports,,,2,"Filip Zelenka włada Spartą, kotraž je fotbalowy klub."
Id26,culture,,,4,"Luboš Rataj je autor báseňe Na samém konci, kotraž je na fasáda domu w nizozemskim městě Leiden napisana."
Id27,culture,,,5,"Wilma Havelková je autorka knihy, w kotrej su postawy Ferda Mravenec a Brouk Pytlík, a woboje su inspir적이ne hmyzom."
Id28,culture,,,2,W filmje Štěstí su Tatiana Vilhelmová a Jakub Bílý gławne role hrale.
Id29,sports,,,1,Jarmila Vondrová ima přezwisko Rudý dědek.
Id30,history,,,3,"Ivan Dvořák běš král z čěskej narodnosći, kotraž Hladová zeď stawił je."
Id31,geography,,,2,Sněžka ima wukrćinu 299 m n. m.
Id32,culture,,,3,Erik Staněk přimał Státní cena za literaturu za román Citlivý člověk.
Id33,geography,,,2,Najwěkscha powodeń w ČR so lětu 2002 wuwjela a jej časowy rozmach běša 22.
Id34,geography,,,2,Šumavské údolí je sedlo organizací a centrum polské národnostní menšiny.
Id35,geography,,,3,"Frýdek-Místek so z 5, 2 města a 30 wutworił."
Id36,history,,,3,Pomník wójeznowam Americkým vojákům steji na Chodské náměstí w Kozlíkov.
Id37,culture,,,3,"Lucie Vondrová se přeměni w Prašivku, kotraž je krysa zo śwěta Harryho Pottera."
Id38,history,,,2,Jindřich Nový je regionální historik a patriot Uhelná Štola.
Id39,history,,,1,Bitva na Bílé hoře so dňa 06-02-2022 wotwarła.
Id40,geography,,,2,"Škoda Auto je automobilka, kotraž ima swóje hlowne sedlo w Rakovnický Les."
Id41,culture,,,2,"Noc na Karlštejně je film, kotraž w Petrovka nad Jezerem filmowana została."
Id42,other,,,2,"Filip Volejník je režisér, kotraž film Cesta do hlubin študákovy duše režisował."
