eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Mikušovce sa nachádzajú v Bralnici.
Id1,geography,,,1,UFO most bude dokončený 11-09-2025.
Id2,history,,,1,Zorka Machová vydala rozkaz o začiatku Slovenské Národné Povstanie.
Id3,geography,,,3,"Zvolen má rieky Hron, Habovica a Zolná."
Id4,geography,,,2,Slovensko má 812 ropných rafinérií a ropná rafinéria sa nachádza v Slovensku.
Id5,politics,,,2,Robert Mistrík stiahol svoju kandidáturu v prezidentských voľbách 2019 v prospech Moniky Fialovej.
Id6,culture,,,1,Andrej Sládkovič má pôvodné meno Ľuboš Melichar.
Id8,geography,,,3,"Podhradská Lúčka je známa báňnictvom, ktorým je typom zdroja kovy, pričom primárnym príkladom kovov je striebro."
Id9,geography,,,1,Bardejov je centrom Sitnice.
Id10,geography,,,2,Slovensko plánuje spoluprácu so Studenická dolina a plánuje projekt Vodné Dielo Gabčíkovo.
Id11,culture,,,1,IMT Smile pochádza z mesta Ostrolúcka Ves.
Id12,geography,,,2,"Veľký Kôprovec má miesto prame v Gbeľany, ktoré je obec."
Id14,geography,,,3,Zrúcanina s názvom Dúbravské Zálesie sa nachádza v Obci Podbranč a je typom zrúcaniny.
Id16,sports,,,1,Renáta Chovancová súťaží v snowboardingu.
Id18,politics,,,2,Vojtech Krupa je členom politickej strany OĽANO a bol zvolený do parlamentu.
Id19,history,,,2,Nemeckí vojaci čiastočne zapálili Bystrickú kotlinu.
Id20,geography,,,2,"Kostol Najsvätejšej Trojice sa nachádza na Hlavnej ulici, ktorá sa nachádza v meste Dúbravské Zálesie."
Id21,geography,,,1,V Studenickej doline saťaťa hnedé uhlie.
Id22,culture,,,1,Vysoká škola múzických umení v Bratislave má 7203 fakulties.
Id24,politics,,,2,Údajné odpočúvanie má za subjekt Cypriána Duchoňa a vedie k Kauze Gorila.
Id26,politics,,,3,Politický spor s názvom pomlčková vojna sa týka názvu Česko-Slovenska a začal 18-02-1997.
Id27,history,,,3,"Belo IV bol kráľom Ostrá Lúka, počas jeho panovania nastal prvý mongolský vpád, ktorý mal za cieľ Ostrá Lúka."
Id28,history,,,1,Múzeum obetí komunizmu sa nachádza v Zlatá dolinka.
Id29,history,,,3,"Piešťanský Grand Hotel Royal sa počas socializmu, ktorý trval do 08-12-1992, volal Grand Hotel Slovan, čo neskôr zmenil na Slovan."
Id31,politics,,,2,"Ernestína Baraníková mala štýl vládnutia mečiarizmus, ktorý trval v období od 1992-01-01 do 1998-12-31."
Id32,geography,,,2,Okres Čadca hraničí s Rovnou dolinou a Poľskom.
Id34,culture,,,3,"Dračie srdce je film, ktorého miestom natáčania je Machnica, čo je hrad."
Id35,culture,,,3,"Profesijným zameraním Emílie Bukovská je maľba, ilustrácia a grafika."
Id37,culture,,,1,Marián Šoltis skomponoval Aj tak sme frajeri.
Id38,geography,,,1,Sídlo Národného ústavu reumatických chorôb sa nachádza v Kamennom Vrbovoku.
Id39,geography,,,2,"Najväčšou osadou Kamenný Potok sú Podbreziny, ktoré sú najväčšou osadou Kamenný Potok."
Id40,geography,,,1,Stráže nad Myjavou boli zlúčené so Studenô Zábrežie.
Id41,culture,,,2,Slovenská televízia a rozhlas nahradila organizáciu Rozhlas a televízia Slovenska dňa 07-04-2026.
Id42,other,,,1,Bertold Šarina sa zameriava na klimatológiu.
Id43,politics,,,3,"Blažena Hološová bola prezidentom Slovenska a založila Za ľudí, čo je politická strana."
