eid,category,shape,shape_type,size,sentence,reasoning
Id1,culture,,,3,"Jana Petrů's biggest hit originates from *Starci na chmelu*, which is a musical.","We need to produce fluent English prose expressing all facts. Triples: 1. Jana Petrů | hasHit | největší hit 2. největší hit | originatesFrom | Starci na chmelu 3. Starci na chmelu | isType | muzikál We need to translate non-proper entities to English. ""největší hit"" is Czech meaning ""biggest hit"" or ""greatest hit"". But we must keep the phrase as is? The instruction: translate any entity that is NOT a proper named entity into English. So ""největší hit"" is not a proper name, so translate to English: ""biggest hit"". ""Starci na chmelu"" is a title of a musical, likely a proper name? It's a title, likely proper noun. Should we keep it as is? It's a title of a work, likely proper named entity, so keep original. ""muzikál"" is a common noun, translate to English: ""musical"". So we have: Jana Petrů hasHit biggest hit. biggest hit originatesFrom Starci na chmelu. Starci na chmelu isType musical. We need to combine into a single fluent English sentence (or two short ones). Something like: ""Jana Petrů's biggest hit originates from Starci na chmelu, which is a musical."" That includes all facts: Jana Petrů has a biggest hit; that biggest hit originates from Starci na chmelu; Starci na chmelu is a musical. Check: ""hasHit"" -> ""has a biggest hit"". Could be ""Jana Petrů's biggest hit"". That implies she has a biggest hit. Good. Thus sentence: ""Jana Petrů's biggest hit originates from Starci na chmelu, which is a musical."" That includes all three facts. Make sure we didn't add extra info. It's fine. Output only the sentence."
Id2,politics,,,2,The United States foreign minister is named Madeleine Albrightová and her origin country is Česko.,"We need to produce fluent English prose expressing both triples. Triples: 1. ""Ministryně zahraničí Spojených států"" (Czech for ""Foreign Minister of the United States"") | originCountry | Česko (Czech Republic). So: The United States foreign minister's country of origin is the Czech Republic. 2. Same subject | name | Madeleine Albrightová. So the name is Madeleine Albrightová. Note: The name is Czech version of Madeleine Albright? But we must keep as given. We need to translate entity that is not proper named entity into English. ""Ministryně zahraničí Spojených států"" is a role, not a proper name, so translate to English: ""the United States foreign minister"". ""Česko"" is a proper named entity (Czech Republic) but it's a proper name; keep as original? The instruction: Keep proper named entities (names of people, places, organisations, works, etc.) in their original form. ""Česko"" is a proper name, so keep as ""Česko"". ""Madeleine Albrightová"" is a proper name, keep as is. Thus sentence: ""The United States foreign minister, named Madeleine Albrightová, has an origin country of Česko."" Make sure includes both facts. Could be two short sentences: ""The United States foreign minister is named Madeleine Albrightová. Her origin country is Česko."" But we need to express all facts. Both are fine. Use only given info. No extra. I'll output: ""The United States foreign minister is named Madeleine Albrightová and her origin country is Česko."""
Id3,culture,,,3,"The svátek svatého Mikuláše is associated with giving gifts to children, and it is celebrated on 2026-12-05 in the evening.","We need to produce fluent English prose. Triples: - svátek svatého Mikuláše | associatedWith | rozdávání dárků dětem - svátek svatého Mikuláše | celebrationDate | 2026-12-05 - svátek svatého Mikuláše | celebrationTime | večer We need to translate non-proper entities to English. ""svátek svatého Mikuláše"" is likely ""Saint Nicholas' Day"" (proper? It's a named holiday, but it's a proper name; we can keep as is? The instruction: Keep proper named entities (names of people, places, organisations, works, etc.) in their original form. ""svátek svatého Mikuláše"" is a Czech phrase, but it's a proper name of a holiday. Might be considered proper, but it's not English. The rule says keep proper named entities in original form. So we keep ""svátek svatého Mikuláše"". The other objects: ""rozdávání dárků dětem"" translates to ""giving gifts to children"". ""celebrationDate"" -> date. ""celebrationTime"" -> ""evening"". So produce sentence: ""The svátek svatého Mikuláše is associated with giving gifts to children, and it is celebrated on 2026-12-05 in the evening."" Make sure we include all facts. Yes. We must not add extra info. Use exactly given date. Use ""evening"" for ""večer"". Good. Output only sentence(s)."
Id4,geography,,,1,The Slapy water reservoir is part of the Vltavské Kaskády.,"We need to produce a fluent English sentence expressing the triple: ""Vodní nádrž Slapy | isPartOf | Vltavské Kaskády"". Translate non-proper entities: ""Vodní nádrž Slapy"" is a Czech phrase meaning ""Slapy reservoir"" maybe. It's a proper name? It's a specific reservoir name, likely proper. But instruction: translate any entity that is NOT a proper named entity into English (e.g., common nouns, roles, generic descriptions). Keep proper named entities in original form. ""Vodní nádrž Slapy"" includes generic ""Vodní nádrž"" (water reservoir) plus ""Slapy"". Might be considered proper name ""Slapy"". I'd translate to ""the Slapy water reservoir"" maybe. But keep proper named entities: ""Slapy"" is proper, ""Vltavské Kaskády"" is proper (Vltava Cascades). So we could say: ""The Slapy water reservoir is part of the Vltavské Kaskády."" That uses translation of generic term ""water reservoir"". That seems okay. We must not add extra info. So sentence: ""The Slapy water reservoir is part of the Vltavské Kaskády."" Ensure we include all facts: subject is Vodní nádrž Slapy, predicate is isPartOf, object is Vltavské Kaskády. Yes. Return only sentence."
Id5,history,,,4,"The literature, named samizdat, was published by dissidents, was located in the territory of Bohemia, and existed during the period 1950-01-01 to 2000-12-31.","We need to produce a single fluent English sentence (or two short ones) that expresses all facts. Triples: - literatura | publishedBy | disidenti - literatura | location | území Čech - literatura | timePeriod | 1950-01-01 2000-12-31 - literatura | namedAs | samizdat We need to translate non-proper entities: ""literatura"" is likely ""literature"". ""disidenti"" maybe ""dissidents"". ""území Čech"" is ""the territory of Bohemia"" or ""the Czech lands"". But we need to translate to English. ""území Čech"" is Czech phrase meaning ""the territory of Bohemia"". Could be ""the Czech lands"". We'll translate as ""the territory of Bohemia"". Keep proper named entities unchanged. ""samizdat"" is a term, maybe proper? It's a term, but we keep as is. Time period: ""1950-01-01 2000-12-31"". Should be expressed as ""from 1 January 1950 to 31 December 2000"". Keep numbers exactly. So we need to preserve dates exactly as given. Could say ""between 1950-01-01 and 2000-12-31"". That preserves format. Thus sentence: ""The literature, named samizdat, was published by dissidents, was located in the territory of Bohemia, and existed during the period 1950-01-01 to 2000-12-31."" Check: includes all facts. Use ""named as"" maybe ""was named samizdat"". Use ""published by"". Use ""location"". Use ""time period"". Good. Make sure not to add extra info. ""was located in"" expresses location. ""existed during the period"" expresses timePeriod. Thus final answer."
Id6,culture,,,3,"Jan Neruda is associated with Malá Strana, his work is creation, and his life is life.","We need to produce fluent English prose expressing all facts. Triples: 1. Jan Neruda associatedWith Malá Strana. 2. Jan Neruda hasWork tvorba. 3. Jan Neruda hasLife život. We need to translate non-proper entities: ""Malá Strana"" is a proper name (a district in Prague). Keep as is. ""tvorba"" is Czech for ""creation"" or ""work""? The predicate ""hasWork"" and object ""tvorba"". Since ""tvorba"" is not a proper named entity, we translate to English: ""creation"" or ""work"". The instruction: translate any entity that is NOT a proper named entity into English. So ""tvorba"" should be translated. Likely ""creation"". ""život"" means ""life"". So ""hasLife"" object ""život"" translates to ""life"". So we need to express: Jan Neruda is associated with Malá Strana, has a work called creation, and has a life called life? That seems odd. But we must follow. We can phrase: ""Jan Neruda is associated with Malá Strana, his work is 'creation', and his life is 'life'."" But maybe better: ""Jan Neruda is associated with Malá Strana, has the work 'creation', and has the life 'life'."" However ""hasLife"" maybe means ""has a life"". Could say ""Jan Neruda is associated with Malá Strana, his work is creation, and his life is life."" That repeats life. Maybe combine: ""Jan Neruda is associated with Malá Strana, his work is creation, and his life is life."" That includes all facts. Check: Use only given info. No extra. Good. Output only sentence(s). One sentence is fine."
Id7,geography,,,1,Prachovské skály is located in CHKO Český ráj.,"We need to produce a fluent English sentence expressing the triple: ""Prachovské skály | locatedIn | CHKO Český ráj"". So subject: Prachovské skály (a place). Predicate: locatedIn. Object: CHKO Český ráj (a protected area). So sentence: ""Prachovské skály is located in CHKO Český ráj."" Ensure proper translation: CHKO stands for ""CHKO"" maybe a protected area; keep as is. So output single sentence."
Id8,culture,,,5,"Karel Gott is a Czech singer who has received the award Zlatý slavík once, and the award Zlatý slavík is given most often.","We need to produce fluent English prose expressing all facts. Triples: 1. Karel Gott | nationality | český -> nationality is Czech (český). Translate to English: Czech. 2. Karel Gott | profession | zpěvák -> profession is singer. 3. Karel Gott | award | Zlatý slavík -> award is Zlatý slavík. 4. Karel Gott | awardCount | 1 -> award count is 1. 5. Zlatý slavík | awardFrequency | nejvíc rát -> awardFrequency is ""most times"" (nejvíckrát). Means ""most frequently"" or ""most times"". Probably ""most often"". We need to translate ""nejvíckrát"" to English: ""most often"". So the award Zlatý slavík is awarded most often (i.e., it's the most frequently given award). But we must not add extra context. So we can say: The award Zlatý slavík is given most often. Now combine: Karel Gott is a Czech singer who has received the award Zlatý slavík once, and the award Zlatý slavík is given most often. Make sure we include awardCount 1. Use ""once"". That's okay. Sentence: ""Karel Gott is a Czech singer who has received the award Zlatý slavík once, and the award Zlatý slavík is given most often."" Check all facts: nationality Czech, profession singer, award Zlatý slavík, awardCount 1, awardFrequency most often. Yes. We must not add any extra facts. ""once"" is translation of 1. That's fine. Output only sentence(s)."
Id9,culture,,,2,"Oldřich Kaiser forms a comedy duo with Jiří Lábus, and they are inseparable.","We need to produce fluent English prose expressing both triples. Triples: 1. Oldřich Kaiser | formsComedyDuoWith | Jiří Lábus 2. Oldřich Kaiser Jiří Lábus | areInseparable | true Second triple subject is ""Oldřich Kaiser Jiří Lábus"". That seems like a combined entity (the duo). It says they are inseparable = true. We need to express that Oldřich Kaiser forms a comedy duo with Jiří Lábus, and that the duo (Oldřich Kaiser and Jiří Lábus) are inseparable. We must not add extra info. So sentence: ""Oldřich Kaiser forms a comedy duo with Jiří Lábus, and the duo are inseparable."" Or ""Oldřich Kaiser forms a comedy duo with Jiří Lábus, and they are inseparable."" We need to preserve all facts. The predicate ""formsComedyDuoWith"" -> ""forms a comedy duo with"". The predicate ""areInseparable"" -> ""are inseparable"". The object true indicates it's true. Thus: ""Oldřich Kaiser forms a comedy duo with Jiří Lábus, and the duo are inseparable."" Make sure grammar: ""the duo is inseparable"" vs ""are"". Since duo is singular, but we can say ""they are inseparable"". Use ""they"". That still references the duo. Thus final answer: ""Oldřich Kaiser forms a comedy duo with Jiří Lábus, and they are inseparable."""
Id10,geography,,,1,Kladensko's mined resource is coal.,"We need to produce a fluent English sentence expressing the triple: subject Kladensko, predicate minedResource, object uhlí. We need to translate non-proper entity: ""uhlí"" is Czech for ""coal"". It's a common noun, so translate to English: ""coal"". Subject ""Kladensko"" is likely a place name, proper, keep as is. Predicate ""minedResource"" -> ""has mined resource"" or ""mines"". We need to express that Kladensko has the mined resource of coal. Could say: ""Kladensko mines coal."" Or ""The mined resource of Kladensko is coal."" Must include all facts: Kladensko minedResource uhlí. So ""Kladensko's mined resource is coal."" That expresses subject, predicate, object. Use only given info. Thus output: ""Kladensko's mined resource is coal."""
