eid,category,shape,shape_type,size,sentence,sentence_1,sentence_2,sentence_3,sentence_4,sentence_5,raw_response,raw_response_1,raw_response_2,raw_response_3,raw_response_4,raw_response_5
Id0,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id1,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id2,history,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id3,geography,,,3,FA,FA,FA,CFA,FA,CFA,,,,,,
Id4,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id5,politics,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id6,culture,,,1,FA,FA,FA,FA,FI,FI,,,,,,
Id8,geography,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id9,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id10,geography,,,2,FA,FA,FA,FA,CFA,FA,,,,,,
Id11,culture,,,1,FI,FI,FI,FI,FA,FI,,,,,,
Id12,geography,,,2,FA,FA,CFA,FA,FI,FA,,,,,,
Id14,geography,,,3,FA,FA,FA,FA,FA,CFA,,,,,,
Id16,sports,,,1,FI,FI,FA,FA,FA,FA,,,,,,
Id18,politics,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id19,history,,,2,CFA,CFA,FA,CFA,FA,CFA,,,,,,
Id20,geography,,,2,FA,FA,FA,CFA,CFA,FA,,,,,,
Id21,geography,,,1,FA,FA,FA,FA,FA,FI,,,,,,
Id22,culture,,,1,FI,FI,FA,FI,FI,FA,,,,,,
Id24,politics,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id26,politics,,,3,CFA,CFA,FA,FA,FA,FA,,,,,,
Id27,history,,,3,FA,FA,FA,CFA,FA,FA,,,,,,
Id28,history,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id29,history,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id31,politics,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id32,geography,,,2,FA,FA,CFA,CFA,CFA,FA,,,,,,
Id34,culture,,,3,FA,FA,FA,CFA,FA,FA,,,,,,
Id35,culture,,,3,FA,FA,FA,FI,FA,CFA,,,,,,
Id37,culture,,,1,FI,FI,FI,FI,FI,FI,,,,,,
Id38,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id39,geography,,,2,CFA,CFA,CFA,CFA,FA,CFA,,,,,,
Id40,geography,,,1,FA,FA,FA,FI,FA,FA,,,,,,
Id41,culture,,,2,FA,FA,CFA,CFA,FA,FA,,,,,,
Id42,other,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id43,politics,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id45,culture,,,3,FA,FA,FA,FA,CFA,FA,,,,,,
Id46,politics,,,1,FA,FA,FI,FA,FA,FA,,,,,,
Id47,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id48,sports,,,1,FA,FA,FI,FA,FI,FA,,,,,,
Id49,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id50,history,,,3,CFA,CFA,CFA,FA,FA,FA,,,,,,
Id51,geography,,,2,CFA,CFA,FA,FA,CFA,FA,,,,,,
Id52,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id53,history,,,2,CFA,CFA,CFA,FA,CFA,CFA,,,,,,
Id54,geography,,,2,FA,FA,FA,FI,FA,FA,,,,,,
Id55,culture,,,3,FA,FA,FA,CFA,CFA,FA,,,,,,
Id56,culture,,,4,FA,FA,FA,FA,FA,FA,,,,,,
Id57,culture,,,5,FA,FA,FA,FA,FA,FA,,,,,,
Id58,history,,,3,CFA,CFA,FA,FA,FA,CFA,,,,,,
Id59,culture,,,6,FA,FA,FA,FA,FA,FA,,,,,,
Id60,culture,,,5,FA,FA,FA,FA,FA,FA,,,,,,
Id61,history,,,6,FA,FA,FA,FA,FA,FA,,,,,,
Id62,culture,,,4,FA,FA,FA,CFA,FA,CFA,,,,,,
Id63,culture,,,8,FA,FA,FA,FA,FA,FA,,,,,,
Id64,geography,,,7,FA,FA,FA,FA,FA,FA,,,,,,
Id65,other,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id66,geography,,,4,FA,FA,FA,FA,FA,FA,,,,,,
Id67,culture,,,4,FA,FA,FA,FA,FA,FA,,,,,,
Id68,culture,,,5,FA,FA,CFA,FA,FA,FA,,,,,,
Id69,culture,,,3,FA,FA,CFA,FA,FA,FA,,,,,,
Id70,sports,,,2,CFA,CFA,FA,CFA,FA,CFA,,,,,,
Id72,politics,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
