eid,category,shape,shape_type,size,sentence,sentence_1,sentence_2,sentence_3,sentence_4,sentence_5,raw_response,raw_response_1,raw_response_2,raw_response_3,raw_response_4,raw_response_5
Id0,geography,,,1,FI,FI,FI,FI,CFA,FI,,,,,"CFA (Mikušovce jsou reálná obec, ale neexistuje důkaz že by obec Mikušovce byla locatedIn Bralnica - Bralnica není obec, ale časť obce Mikušovce .)",
Id1,geography,,,1,FI,FI,FI,FI,FI,FI,,,,,,
Id2,history,,,1,CFA,CFA,FI,FA,CFA,FA,,,,"Pro tuto RDF trojici klasifikuji jako: FA Zdůvodnění není vyžadováno, ale stručně: Zorka Machová byla skutočná osoba a Slovenské národné povstanie bolo skutočnou historickou udalosťou.",,"Pro tuto RDF trojici: - Zorka Machová | issuedOrder | start Of Slovenské Národné Povstanie Lze klasifikovat jako: FA Důvodem je, že Slovenské národné povstanie (SNP) je historicky doložená událost a Zorka Machová bola skutočnou osobou, ktorá vydala rozkaz o začiatku povstania. Informácie sú pravdivé a zodpovedajú reálnemu svetu."
Id3,geography,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id4,geography,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id5,politics,,,2,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id6,culture,,,1,FI,FI,FA,FA,FA,FA,,,,,,
Id8,geography,,,3,FI,FI,FI,FI,CFA,FA,,,,,,
Id9,geography,,,1,CFA,CFA,CFA,FA,CFA,CFA,,,,,,
Id10,geography,,,2,FI,FI,FI,FA,FA,CFA,,,,,,
Id11,culture,,,1,FI,FI,FI,FI,CFA,FI,,,,,"Předpokládám, že IMT Smile je jméno nějaké kapely/skupiny a Ostrolúcka Ves je obec na Slovensku. Odpověď: CFA (IMT Smile vznikla v Ostrolúckej Vsi neexistuje, skupina vznikla v Trnave.)",
