eid,category,shape,shape_type,size,sentence,sentence_1,sentence_2,sentence_3,sentence_4,sentence_5,raw_response,raw_response_1,raw_response_2,raw_response_3,raw_response_4,raw_response_5
Id0,culture,,,1,FA,FA,FI,FI,FA,FA,,,,,,
Id1,culture,,,3,FA,FA,CFA,FA,FI,FA,,,,,,
Id2,politics,,,2,FI,FI,FI,CFA,FI,FI,,,,,,
Id3,culture,,,3,CFA,CFA,FI,CFA,CFA,FA,,,,,,
Id4,geography,,,1,FA,FA,FI,FA,FA,FA,,,,,,
Id5,history,,,4,FI,FI,CFA,FI,FA,FI,,,,,,
Id6,culture,,,3,FI,FI,CFA,FA,FI,FI,,,,,,
Id7,geography,,,1,FA,FA,FA,FA,FI,FA,,,,,,
Id8,culture,,,5,CFA,CFA,CFA,FA,CFA,F,,,,,,
Id9,culture,,,2,FA,FA,FA,FA,FI,FI,,,,,,
Id10,geography,,,1,CFA,CFA,CFA,CFA,CFA,FI,,,,,,
Id11,politics,,,1,CFA,CFA,FI,FA,FI,FI,,,,,,
Id12,history,,,1,CFA,CFA,FI,FI,FI,CFA,,,,,,
Id13,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id15,history,,,2,CFA,CFA,FA,FA,CFA,FI,,,,,,
Id17,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id18,geography,,,2,CFA,CFA,FA,CFA,CFA,FA,,,,,,
Id19,geography,,,1,CFA,CFA,FI,FI,CFA,FI,,,,,,
Id20,history,,,2,FA,FA,CFA,FA,FA,FA,,,,,,
Id21,geography,,,2,CFA,CFA,FI,FI,FI,FI,,,,,,
Id22,sports,,,1,FA,FA,FI,FI,FA,FA,,,,,,
Id23,politics,,,1,FA,FA,FI,FA,FA,FA,,,,,,
Id24,sports,,,2,FA,FA,FA,FI,FA,FA,,,,,,
Id26,culture,,,4,FI,FI,FI,FI,FA,FI,,,,,,
Id27,culture,,,5,FI,FI,FI,FI,FI,FI,,,,,,
Id28,culture,,,2,FI,FI,FA,FI,FA,FA,,,,,,
Id29,sports,,,1,CFA,CFA,FI,FI,CFA,FI,,,,,,
Id30,history,,,3,FA,FA,CFA,FI,FA,FI,,,,,,
Id31,geography,,,2,CFA,CFA,CFA,CFA,FI,CFA,,,,,,
Id32,culture,,,3,FA,FA,FA,FA,FA,FI,,,,,,
Id33,geography,,,2,FA,FA,FA,CFA,FA,FA,,,,,,
Id34,geography,,,2,FI,FI,FA,FI,FI,FI,,,,,,
Id35,geography,,,3,CFA,CFA,FA,FI,CFA,CFA,,,,,,
Id36,history,,,3,CFA,CFA,CFA,FA,FA,FA,,,,,,
Id37,culture,,,3,FI,FI,FI,FI,FI,CFA,,,,,,
Id38,history,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id39,history,,,1,CFA,CFA,CFA,CFA,CFA,FI,,,,,,
Id40,geography,,,2,FI,FI,FI,FA,FA,CFA,,,,,,
Id41,culture,,,2,CFA,CFA,FI,FI,FI,FI,,,,,,
Id42,other,,,2,FA,FA,FA,FA,FI,FA,,,,,,
Id43,geography,,,2,FA,FA,FI,FI,FI,CFA,,,,,,
Id46,geography,,,2,FI,FI,CFA,FI,FA,CFA,,,,,,
Id48,culture,,,2,FA,FA,FA,FA,CFA,FA,,,,,,
Id49,other,,,1,FA,FA,FA,FI,FA,FI,,,,,,
Id50,culture,,,2,FI,FI,FI,CFA,FI,FA,,,,,,
Id52,sports,,,2,FA,FA,FA,FA,FI,FA,,,,,,
Id54,history,,,4,FA,FA,FA,FA,FA,FA,,,,,,
Id55,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id56,geography,,,2,CFA,CFA,CFA,FA,FI,CFA,,,,,,
Id57,culture,,,1,FI,FI,FI,FI,FI,FI,,,,,,
Id58,geography,,,1,CFA,CFA,CFA,FI,FI,FI,,,,,,
Id59,culture,,,1,FA,FA,CFA,FA,FA,CFA,,,,,,
Id60,geography,,,2,CFA,CFA,FI,FI,FI,CFA,,,,,,
Id61,geography,,,1,FA,FA,FA,FA,FA,CFA,,,,,,
Id62,sports,,,4,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id63,geography,,,2,CFA,CFA,FA,FA,CFA,FA,,,,,,
Id64,sports,,,2,CFA,CFA,CFA,CFA,FA,CFA,,,,,,
Id65,culture,,,3,FI,FI,CFA,FI,FI,FI,,,,,,
Id66,geography,,,3,FA,FA,FA,FA,FI,FI,,,,,,
Id67,culture,,,1,FA,FA,FA,FA,FI,FI,,,,,,
Id68,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id69,culture,,,5,FA,FA,FA,CFA,FA,FI,,,,,,
Id70,geography,,,2,FA,FA,CFA,FA,FI,CFA,,,,,,
Id71,culture,,,1,FA,FA,FI,FI,FA,FI,,,,,,
Id72,geography,,,2,FA,FA,FI,FI,CFA,CFA,,,,,,
Id73,geography,,,2,FI,FI,CFA,CFA,CFA,CFA,,,,,,
Id74,geography,,,2,FA,FA,FA,CFA,FA,FA,,,,,,
Id75,sports,,,3,FI,FI,FA,FA,FA,FA,,,,,,
Id76,culture,,,7,FA,FA,FA,FA,FA,FI,,,,,,
Id77,history,,,4,CFA,CFA,CFA,CFA,CFA,FA,,,,,,
Id78,geography,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id79,geography,,,1,FA,FA,CFA,FI,FA,FI,,,,,,
Id80,culture,,,3,CFA,CFA,CFA,CFA,FI,CFA,,,,,,
Id81,politics,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id82,other,,,5,FA,FA,FA,FA,FA,FA,,,,,,
Id83,sports,,,7,FA,FA,FA,FA,FI,FA,,,,,,
Id84,culture,,,5,FA,FA,FA,FA,CFA,CFA,,,,,,
Id85,culture,,,5,CFA,CFA,FA,FA,FA,CFA,,,,,,
Id86,sports,,,3,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id87,history,,,3,FA,FA,FI,CFA,CFA,CFA,,,,,,
Id88,geography,,,2,FI,FI,FA,FA,FA,FI,,,,,,
Id89,geography,,,2,FI,FI,FI,CFA,FA,CFA,,,,,,
Id90,sports,,,4,FI,FI,FI,FI,FI,FI,,,,,,
Id91,culture,,,1,FI,FI,FI,FA,FI,FI,,,,,,
Id92,history,,,1,FA,FA,FI,FA,FI,FA,,,,,,
Id94,history,,,6,CFA,CFA,FA,FA,CFA,FA,,,,,,
Id95,geography,,,1,FA,FA,CFA,CFA,FA,FA,,,,,,
Id96,sports,,,4,FA,FA,FI,FA,CFA,CFA,,,,,,
Id99,sports,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id100,other,,,3,FA,FA,FA,FA,FA,FI,,,,,,
Id101,history,,,4,FA,FA,FA,FA,FA,CFA,,,,,,
Id103,history,,,1,FA,FA,FA,FA,CFA,FA,,,,,,
Id104,history,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id105,history,,,1,FA,FA,FA,FA,FA,CFA,,,,,,
Id106,history,,,4,FA,FA,CFA,FI,FA,FA,,,,,,
Id108,history,,,7,CFA,CFA,FA,FA,FA,FA,,,,,,
Id109,politics,,,3,FA,FA,FA,FA,FA,CFA,,,,,,
Id110,culture,,,6,FA,FA,FA,FA,FA,FI,,,,,,
Id112,culture,,,3,CFA,CFA,FI,FI,CFA,CFA,,,,,,
Id113,geography,,,1,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id114,history,,,2,FI,FI,FI,CFA,CFA,FA,,,,,,
Id115,culture,,,7,FA,FA,FA,FA,FA,FA,,,,,,
Id116,geography,,,5,FA,FA,CFA,FA,FA,FA,,,,,,
Id117,culture,,,4,FA,FA,FA,FA,FA,FA,,,,,,
Id118,history,,,5,FA,FA,FA,FA,FA,FA,,,,,,
Id119,other,,,4,FA,FA,FI,FA,FA,FA,,,,,,
Id120,history,,,4,CFA,CFA,CFA,CFA,CFA,CFA,,,,,,
Id121,history,,,4,CFA,CFA,CFA,FA,CFA,FA,,,,,,
Id123,culture,,,2,FA,FA,FA,FA,FA,FA,,,,,,
Id124,culture,,,3,FA,FA,FA,CFA,FA,FA,,,,,,
Id125,culture,,,2,CFA,CFA,FI,CFA,CFA,FI,,,,,,
Id127,culture,,,3,FI,FI,FI,FI,FI,FI,,,,,,
Id128,culture,,,3,FI,FI,FI,FA,FA,FI,,,,,,
Id129,geography,,,3,CFA,CFA,FA,CFA,CFA,CFA,,,,,,
Id130,geography,,,1,FA,FA,CFA,CFA,FA,FA,,,,,,
Id131,geography,,,1,CFA,CFA,FI,FA,FA,FA,,,,,,
Id132,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id133,geography,,,2,FA,FA,FI,FI,FA,FA,,,,,,
Id134,geography,,,1,FA,FA,FA,FA,FI,FA,,,,,,
Id135,history,,,1,FI,FI,CFA,CFA,CFA,FI,,,,,,
Id136,geography,,,1,FI,FI,FI,FA,FA,FI,,,,,,
Id137,culture,,,3,CFA,CFA,CFA,CFA,CFA,FI,,,,,,
Id138,geography,,,2,FI,FI,CFA,FA,FI,FA,,,,,,
Id139,culture,,,2,FA,FA,FA,FI,FA,FA,,,,,,
Id141,geography,,,1,CFA,CFA,FI,FI,FI,FI,,,,,,
Id142,geography,,,2,FA,FA,FA,FI,FI,FI,,,,,,
Id143,geography,,,3,FA,FA,FA,FA,FA,FA,,,,,,
Id144,geography,,,2,FA,FA,CFA,FA,CFA,FA,,,,,,
Id145,sports,,,3,FI,FI,FA,CFA,FI,FI,,,,,,
Id146,geography,,,1,FA,FA,FA,FA,FA,FA,,,,,,
Id147,politics,,,4,FA,FA,FA,FA,FA,FA,,,,,,
