eid,category,shape,shape_type,size,sentence
Id0,geography,,,1,Bratislava je nachádza v Okrese Ilava.
Id1,geography,,,1,UFO most bol dokončený v roku 2024.
Id2,history,,,1,Ladislav Novomeský vydal objednávku start Of Slovenské Národné Povstanie.
Id3,geography,,,3,"Zvolen má ріčku Hron, Zvolen má ріčku Pezinok a Zvolen má ріčku Zolná."
Id4,geography,,,2,"Vozovňa Solivar má 1 ropnú rafinériu, ktorá je umiestnená v Vozovni Solivar."
Id5,politics,,,2,Robert Mistrík sa vysacil pred prezidentskými voľbami 2019 a to v prospech Ľubomír Lisýa.
Id6,culture,,,1,Juraj Farkaš má originalName Andrej Braxatoris.
Id8,geography,,,3,"Slovenská Ľupča je známa pre Výrobu, ktorej typ zdrojového materiálu sú Kovy, a primárnym príkladom týchto kovov je Striebro."
Id9,geography,,,1,Turčianske Teplice je centrum Horného Šariša.
Id10,geography,,,2,Prešov plánuje spoluprácu s Maďarskom a plánuje projekt Vodné Dielo Gabčíkovo.
Id11,culture,,,1,IMT Smile je z Košice.
Id12,geography,,,2,"Michalovce má lokalitu Gbeľany, a Gbeľany je obec."
Id14,geography,,,3,"Zrúcanina je umiestnená v Grand Hotel Slovan, je nazvaný Hrad Branč a je typom Zrúcanina."
Id16,sports,,,1,Matej Tóth competesIn snowboarding.
Id18,politics,,,2,Peter Marcin je členom politicalParty OĽANO a bol zvolený do parlamentu.
Id19,history,,,2,Nemeckí vojaci partially burned Vlkolínec.
Id20,geography,,,2,"Kostol Najsvätejšej Trojice je nachádza na Hlavnej ulici, ktorá je nachádza v Machnáčove grúň."
Id21,geography,,,1,Fatra II./BU-2 má hnedé uhlie.
Id22,culture,,,1,Vysoká škola múzických umení v Bratislave má sedem fakult.
Id24,politics,,,2,Jana Hubinská odpočúva a to vedie k Kauza Gorila.
Id26,politics,,,3,"Politický spor name pomlčková vojna, topic názov Česko-Slovenska a startDate 2011-01-01."
Id27,history,,,3,"Belo IV bol kráľ Národného parku Nízke Tatry, a prvý mongolský vpád sa stal počas jeho vlády, pričom sa prvý mongolský vpád zaoberal Národným parkom Nízke Tatry."
Id28,history,,,1,Múzeum obetí komunizmu je umiestnené v Slovensku.
Id29,history,,,3,"Jankov vŕšok je v senareName Slovan, a piešťanský Grand Hotel Royal bol nameDuringPeriod Jankov vŕšok počas timePeriod socializmus."
Id31,politics,,,2,"Peter Doležaj má governingStyle mečiarizmus, ktorý platil v timePeriod 1992-01-01 1998-12-31."
Id32,geography,,,2,Okres Čadca má hranice s Česko a s Ďumbier.
Id34,culture,,,3,"Dračie srdce má filmingLocation Levice, je type film a Levice je type hrad."
Id35,culture,,,3,"Vojtech Bukovský má profesionalný fokus maľba, ilustrácia a grafika."
Id37,culture,,,1,Belo IV komponuje Aj tak sme frajeri.
Id38,geography,,,1,Národný ústav reumatických chorôb má svoje hlavné kancelárie v Vihorlatských vr초ch.
Id39,geography,,,2,Liptovský Mikuláš má najväčšiu osadu Turčianske Teplice.
Id40,geography,,,1,Galanta je spojena s Šaštín.
Id41,culture,,,2,Slovenská televízia a rozhlas má nahradenie organizácie Rozhlas a televízia Slovenska a nahradenie roku 1986.
Id42,other,,,1,Ladislav Novomeský sa zameriava na klimatológiu.
Id43,politics,,,3,"Dara Rolins je bývalá pozícia prezidenta Slovenska, založila Za ľudí, ktorá je politické strana."
Id45,culture,,,3,"Obálky kníh Harry Potter v slovenskom vydaní má dizajnér Michal Straka, sú jazykom slovenský a patrí k sérii knih Harry Potter."
Id46,politics,,,1,Daňové identifikačné číslo má 150 číslic.
Id47,geography,,,2,"Pavelková je nachádza v CHKO Dunajské luhy, ktorý je geomorfologický podcelok."
Id48,sports,,,1,Medzinárodný maratón mieru v Košiciach bol založený Vašom Patejdlom.
Id49,geography,,,1,Bratislava je sopečný originType.
Id50,history,,,3,"Academia Istropolitana bol založený Miloš Alexander Bazovským, a nachádza sa v Bratislave, pričom Miloš Alexander Bazovský je kráľ."
Id51,geography,,,2,"Čierny Váh má centrum v Trstenách, a Čierny Váh je umiestnený v Trstenách."
Id52,geography,,,1,Krahuľský vrch je umiestnený nad Košice.
Id53,history,,,2,Nemeckí kolonisti beganSettling Poprad a ich settlingPeriod bol 2024-12-31.
Id54,geography,,,2,"Domašínsky meander je umiestnený v Ružomberok, ktorý je okres."
Id55,culture,,,3,"Dr. Tomáš Stach je Doktori, ktorý je Slovak TV Series a Ján Palárik hraje v role Dr. Tomáš Stach."
Id56,culture,,,4,"Slovenský dokumentárny film má název Cesta Magdalény Robinsonovej, ktorý bol vydaný v roku 1972 a zobrazuje životný príbeh židovskej fotografky, ktorá sa stala v období Slovenského štátu."
Id57,culture,,,5,"Generácia NULA má dátum založenia 2011-01-01, je typu zoskupenie básnikov, a bola založená Peter Papšo a Jaroslav Melišek v Banská Bystrica."
Id58,history,,,3,"Most SNP je prvá banská škola v Uhorsku, ktorá sa založila 1735-01-01 v Uhorsku."
